reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Phosphate sensing in root development,Phosphate Sensing In Root Development,70,10.1016/j.pbi.2011.04.007,https://w3id.org/oc/meta/br/0620345054,year_volume_page
b1,"PHO2, MicroRNA399, and PHR1 Define a Phosphate-Signaling Pathway in Plants","PHO2, MicroRNA399, And PHR1 Define A Phosphate-Signaling Pathway In Plants",70,10.1104/pp.106.079707,https://w3id.org/oc/meta/br/062101316854,year_volume_page
b2,Ethylene: a regulator of root architectural responses to soil phosphorus availability,Ethylene: A Regulator Of Root Architectural Responses To Soil Phosphorus Availability,70,10.1046/j.1365-3040.1999.00405.x,https://w3id.org/oc/meta/br/062503125393,year_volume_page
b3,A mechanistic framework for auxin dependent Arabidopsis root hair elongation to low external phosphate,A Mechanistic Framework For Auxin Dependent Arabidopsis Root Hair Elongation To Low External Phosphate,70,10.1038/s41467-018-03851-3,https://w3id.org/oc/meta/br/061201309642,author_title
b4,Molecular mechanisms governing Arabidopsis iron uptake,Molecular Mechanisms Governing Arabidopsis Iron Uptake,70,10.1016/j.tplants.2014.11.004,https://w3id.org/oc/meta/br/0630327794,year_volume_page
b5,"Phloem small RNAs, nutrient stress responses, and systemic mobility","Phloem Small RNAs, Nutrient Stress Responses, And Systemic Mobility",70,10.1186/1471-2229-10-64,https://w3id.org/oc/meta/br/06140140178,author_title
b6,Overexpression of the FRO2 Ferric Chelate Reductase Confers Tolerance to Growth on Low Iron and Uncovers Posttranscriptional Control,Overexpression Of The FRO2 Ferric Chelate Reductase Confers Tolerance To Growth On Low Iron And Uncovers Posttranscriptional Control,70,10.1104/pp.103.025122,https://w3id.org/oc/meta/br/062201318197,year_volume_page
b7,Nitric Oxide Acts Downstream of Auxin to Trigger Root Ferric-Chelate Reductase Activity in Response to Iron Deficiency in Arabidopsis thaliana,Nitric Oxide Acts Downstream Of Auxin To Trigger Root Ferric-Chelate Reductase Activity In Response To Iron Deficiency In Arabidopsis,70,10.1104/pp.110.161109,https://w3id.org/oc/meta/br/062601342273,year_volume_page
b8,Network in sensing phosphate availability in plants,Signaling Network In Sensing Phosphate Availability In Plants,70,10.1146/annurev-arplant-042110-103849,https://w3id.org/oc/meta/br/06180961135,year_volume_page
b9,Iron nutrition of plants at high pH,IRON NUTRITION OF PLANTS AT HIGH pH,70,10.1097/00010694-195503000-00001,https://w3id.org/oc/meta/br/06901290576,year_volume_page
b10,Characterization of a Phosphate-Accumulator Mutant of Arabidopsis thaliana,Characterization Of A Phosphate-Accumulator Mutant Of Arabidopsis Thaliana,70,10.1104/pp.107.1.207,https://w3id.org/oc/meta/br/062101315962,year_volume_page
b11,A type 5 acid phosphatase gene from Arabidopsis thaliana is induced by phosphate starvation and by some other types of phosphate mobilising/oxidative stress conditions,A Type 5 Acid Phosphatase Gene From Arabidopsis Thaliana Is Induced By Phosphate Starvation And By Some Other Types Of Phosphate Mobilising/Oxidative Stress Conditions,70,10.1046/j.1365-313x.1999.00562.x,https://w3id.org/oc/meta/br/06501032736,year_volume_page
b12,The transcriptional control of plant responses to phosphate limitation,The Transcriptional Control Of Plant Responses To Phosphate Limitation,70,10.1093/jxb/erh009,https://w3id.org/oc/meta/br/06190210145,year_volume_page
b13,Ethylene and nitric oxide involvement in the up-regulation of key genes related to iron acquisition and homeostasis in Arabidopsis,Ethylene And Nitric Oxide Involvement In The Up-Regulation Of Key Genes Related To Iron Acquisition And Homeostasis In Arabidopsis,70,10.1093/jxb/erq203,https://w3id.org/oc/meta/br/06120201916,year_volume_page
b14,"A new model involving ethylene, nitric oxide and Fe to explain the regulation of Fe-acquisition genes in Strategy I plants","A New Model Involving Ethylene, Nitric Oxide And Fe To Explain The Regulation Of Fe-acquisition Genes In Strategy I Plants",70,10.1016/j.plaphy.2011.01.019,https://w3id.org/oc/meta/br/0690876508,year_volume_page
b15,Shoot to root communication is necessary to control the expression of iron-acquisition genes in Strategy I plants,Shoot To Root Communication Is Necessary To Control The Expression Of Iron-Acquisition Genes In Strategy I Plants,65,10.1007/s00425-012-1757-0,https://w3id.org/oc/meta/br/06190361980,year_volume_page
b16,Hypoxia and bicarbonate could limit the expression of iron acquisition genes in Strategy I plants by affecting ethylene synthesis and signaling in different ways,Hypoxia And Bicarbonate Could Limit The Expression Of Iron Acquisition Genes In Strategy I Plants By Affecting Ethylene Synthesis And Signaling In Different Ways,65,10.1111/ppl.12076,https://w3id.org/oc/meta/br/06180498515,year_volume_page
b17,Ethylene and the Regulation of Physiological and Morphological Responses to Nutrient Deficiencies,Ethylene And The Regulation Of Physiological And Morphological Responses To Nutrient Deficiencies,70,10.1104/pp.15.00708,https://w3id.org/oc/meta/br/062301321691,year_volume_page
