reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b4,Vocal expression and perception of emotion,絹フィブロイン膜の応用 (I),70,10.11417/silk.8.s53,https://w3id.org/oc/meta/br/06404571326,year_volume_page
b5,Vocal expression of emotion: Intensity and context,Vocal Expression Of Emotion: Acoustic Properties Of Speech Are Associated With Emotional Intensity And Context,70,10.1111/j.1467-9280.1995.tb00596.x,https://w3id.org/oc/meta/br/061802651611,year_volume_page
b6,A cross-cultural investigation of the perception of emotion in music: Psychophysical and cultural cues,A Cross-Cultural Investigation Of The Perception Of Emotion In Music: Psychophysical And Cultural Cues,70,10.2307/40285811,https://w3id.org/oc/meta/br/061401002555,year_volume_page
b8,Multidimensional scaling of emotional responses to music: The effect of musical expertise and the duration of the excerpts,Multidimensional Scaling Of Emotional Responses To Music: The Effect Of Musical Expertise And Of The Duration Of The Excerpts,70,10.1080/02699930500204250,https://w3id.org/oc/meta/br/06603273664,year_volume_page
b10,The contribution of speech rate and pitch variation to the perception of vocal emotions in a German and an American sample,The Contribution Of Speech Rate And Pitch Variation To The Perception Of Vocal Emotions In A German And An American Sample,70,10.1080/02699930126095,https://w3id.org/oc/meta/br/06603273784,year_volume_page
b13,On the psychometric principles of affect,On The Psychometric Principles Of Affect,70,10.1037/1089-2680.3.1.14,https://w3id.org/oc/meta/br/061201015411,year_volume_page
b15,"Musical scales and evaluations of happiness and awkwardness: Effects of pitch, direction, and scale mode","Musical Scales And Evaluations Of Happiness And Awkwardness: Effects Of Pitch, Direction, And Scale Mode",70,10.2307/1423686,https://w3id.org/oc/meta/br/061602208031,year_volume_page
b16,Enculturation to musical pitch structure in young children: Evidence from behavioral and electrophysiological methods,Enculturation To Musical Pitch Structure In Young Children: Evidence From Behavioral And Electrophysiological Methods,65,10.1111/desc.12100,https://w3id.org/oc/meta/br/0660956510,year_volume_page
b17,"Interval distributions, mode, and tonal strength of melodies as predictors of perceived emotion","Interval Distributions, Mode, And Tonal Strength Of Melodies As Predictors Of Perceived Emotion",70,10.1525/mp.2004.22.1.1,https://w3id.org/oc/meta/br/061601012231,year_volume_page
b18,"Perception of the major/minor distinction: III. Hedonic, musical, and affective discriminations","Perception Of The Major/Minor Distinction: III. Hedonic, Musical, And Affective Discriminations",70,10.3758/bf03330169,https://w3id.org/oc/meta/br/061701366402,year_volume_page
b20,Acoustic intensity causes perceived changes in arousal levels in music: An experimental investigation,Acoustic Intensity Causes Perceived Changes In Arousal Levels In Music: An Experimental Investigation,70,10.1371/journal.pone.0018591,https://w3id.org/oc/meta/br/06601532643,year_volume_page
b21,The role of peripheral feedback in emotional experience with music,The Role Of Peripheral Feedback In Emotional Experience With Music,70,10.1525/mp.2004.22.1.79,https://w3id.org/oc/meta/br/061601012246,year_volume_page
b22,"Are the emotions expressed in music genre-specific? An audio-based evaluation of datasets spanning classical, film, pop and mixed genres","Are The Emotions Expressed In Music Genre-specific? An Audio-based Evaluation Of Datasets Spanning Classical, Film, Pop And Mixed Genres",70,10.1080/09298215.2011.602195,https://w3id.org/oc/meta/br/0632015883,year_volume_page
b25,A comparison of the discrete and dimensional models of emotion in music,A Comparison Of The Discrete And Dimensional Models Of Emotion In Music,70,10.1177/0305735610362821,https://w3id.org/oc/meta/br/062502848879,year_volume_page
b26,"A review of music and emotion studies: Approaches, emotion models, and stimuli","A Review Of Music And Emotion Studies: Approaches, Emotion Models, And Stimuli",65,10.1525/mp.2012.30.3.307,https://w3id.org/oc/meta/br/061401002378,year_volume_page
b27,Beethoven’s last piano sonata and those who follow crocodiles: Cross-domain mappings of auditory pitch in a musical context,Beethoven’s Last Piano Sonata And Those Who Follow Crocodiles: Cross-domain Mappings Of Auditory Pitch In A Musical Context,70,10.1016/j.cognition.2009.10.013,https://w3id.org/oc/meta/br/0610496193,year_volume_page
b29,Expressive devices and perceived musical character in 34 performances of Variation-7 from Bach’s ‘‘Goldberg Variations.’’,Expressive Devices And Perceived Musical Character In 34 Performances Of Variation 7 From Bach's Goldbergvariations,70,10.1177/10298649040070s103,https://w3id.org/oc/meta/br/06101852462,year_volume_page
b31,Using listener-based perceptual features as intermediate representations in music information retrieval,Using Listener-Based Perceptual Features As Intermediate Representations In Music Information Retrieval,70,10.1121/1.4892767,https://w3id.org/oc/meta/br/06230545384,year_volume_page
b34,"Mode and tempo relative contributions to ""happy-sad"" judgements in equitone melodies",乱数検定法の検定I : 諸検定法を検定するための乱数質のレベルを掌握した乱数の生成,70,10.20551/jscssymo.17.0_25,https://w3id.org/oc/meta/br/06340245010,year_volume_page
b36,The development of affective responses to modality and melodic contour,The Development Of Affective Responses To Modality And Melodic Contour,70,10.2307/40286184,https://w3id.org/oc/meta/br/061401002743,year_volume_page
b37,Affective and physiological responses to environmental noises and music,Affective And Physiological Responses To Environmental Noises And Music,70,10.1016/j.ijpsycho.2004.02.002,https://w3id.org/oc/meta/br/06160148765,year_volume_page
b38,Relationships between musical structure and psychophysiological measures of emotion,Relationships Between Musical Structure And Psychophysiological Measures Of Emotion.,70,10.1037/1528-3542.7.2.377,https://w3id.org/oc/meta/br/06230554375,year_volume_page
b39,Factors determining the characterization of musical phrases,Factors Determining The Characterization Of Musical Phrases,70,10.2307/1416007,https://w3id.org/oc/meta/br/061502199823,year_volume_page
b40,"It’s not what you play, it’s how you play it: Timbre affects perception of emotion in music","It's Not What You Play, It'S How You Play It: Timbre Affects Perception Of Emotion In Music",70,10.1080/17470210902765957,https://w3id.org/oc/meta/br/061301852314,year_volume_page
b42,The affective characters of the major and minor modes in music,The Affective Characters Of The Major And Minor Modes In Music.,70,10.1037/h0070573,https://w3id.org/oc/meta/br/06260694340,year_volume_page
b43,The affective character of the major and minor modes in music,The Affective Character Of The Major And Minor Modes In Music,70,10.2307/1416710,https://w3id.org/oc/meta/br/061602208084,year_volume_page
b44,Experimental studies of the elements of expression in music,Experimental Studies Of The Elements Of Expression In Music,70,10.2307/1415746,https://w3id.org/oc/meta/br/061302194110,year_volume_page
b45,The affective value of pitch and tempo in music,The Affective Value Of Pitch And Tempo In Music,70,10.2307/1416385,https://w3id.org/oc/meta/br/061502199795,year_volume_page
b47,Mixed affective responses to music with conflicting cues,Mixed Affective Responses To Music With Conflicting Cues,70,10.1080/02699930701438145,https://w3id.org/oc/meta/br/06603273449,year_volume_page
b48,"Feelings and perceptions of happiness and sadness induced by music: Similarities, differences, and mixed emotions","Feelings And Perceptions Of Happiness And Sadness Induced By Music: Similarities, Differences, And Mixed Emotions.",70,10.1037/a0016873,https://w3id.org/oc/meta/br/0660552070,year_volume_page
b50,"Effects of musical tempo and Mode on arousal, mood, and spatial abilities","Effects Of Musical Tempo And Mode On Arousal, Mood, And Spatial Abilities",70,10.1525/mp.2002.20.2.151,https://w3id.org/oc/meta/br/061601012279,year_volume_page
b51,A comparison of acoustic cues in music and speech for three dimensions of affect,A Comparison Of Acoustic Cues In Music And Speech For Three Dimensions Of Affect,70,10.1525/mp.2006.23.4.319,https://w3id.org/oc/meta/br/061401003035,year_volume_page
b53,Emotional communication in music performance: A functionalist perspective and some data,Emotional Communication In Music Performance: A Functionalist Perspective And Some Data,70,10.2307/40285731,https://w3id.org/oc/meta/br/061401002536,year_volume_page
b55,"Expression, perception, and induction of musical emotions: A review and a questionnaire study of everyday listening","Expression, Perception, And Induction Of Musical Emotions: A Review And A Questionnaire Study Of Everyday Listening",70,10.1080/0929821042000317813,https://w3id.org/oc/meta/br/0632016173,year_volume_page
b56,Musical expression of emotions: Modelling listeners’ judgements of composed and performed features,MusicalExpression ofEmotions: ModellingListeners' Judgements ofComposed andPerformedFeatures,65,10.1111/j.1468-2249.2011.00323.x,https://w3id.org/oc/meta/br/0670585758,year_volume_page
b57,The role of timing patterns in recognition of emotional expression from musical performance,The Role Of Timing Patterns In Recognition Of Emotional Expression From Musical Performance,70,10.2307/40285891,https://w3id.org/oc/meta/br/061401002727,year_volume_page
b58,Perception of the major/minor distinction: IV. Emotional connotations in young children,Perception Of The Major/Minor Distinction: IV. Emotional Connotations In Young Children,70,10.2307/40285496,https://w3id.org/oc/meta/br/061401002585,year_volume_page
b59,"Music, language and meaning: brain signatures of semantic processing","Music, Language And Meaning: Brain Signatures Of Semantic Processing",70,10.1038/nn1197,https://w3id.org/oc/meta/br/061403108451,year_volume_page
b60,Modeling emotional content of music using system identification,Modeling Emotional Content Of Music Using System Identification,70,10.1109/tsmcb.2005.862491,https://w3id.org/oc/meta/br/061101955316,year_volume_page
b61,Universal and culture-specific factors in the recognition and performance of musical affect expressions,Universal And Culture-Specific Factors In The Recognition And Performance Of Musical Affect Expressions.,70,10.1037/a0031388,https://w3id.org/oc/meta/br/06230553642,year_volume_page
b62,Prediction of musical affect using a combination of acoustic structural cues,Prediction Of Musical Affect Using A Combination Of Acoustic Structural Cues,70,10.1080/09298210500123978,https://w3id.org/oc/meta/br/0632016152,year_volume_page
b63,Impact of melodic organization of melodic structure and emotional expression,Impact Of Melodic Organization On Perceived Structure And Emotional Expression In Music,70,10.1177/102986490601000105,https://w3id.org/oc/meta/br/06101852609,year_volume_page
