reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,The shades of gray of the chromatin fiber,The Shades Of Gray Of The Chromatin Fiber,65,10.1002/bies.201400144,https://w3id.org/oc/meta/br/062402202764,year_volume_page
b1,Higher-order structure of the 30-nm chromatin fiber revealed by cryo-EM,Higher-order Structure Of The 30-Nm Chromatin Fiber Revealed By cryo-EM,70,10.1002/iub.1568,https://w3id.org/oc/meta/br/062301507477,year_volume_page
b2,Chromatin fibres are left-handed double helices with diameter and mass per unit length that depend on linker length,Chromatin Fibers Are Left-Handed Double Helices With Diameter And Mass Per Unit Length That Depend On Linker Length,65,10.1016/s0006-3495(86)83637-2,https://w3id.org/oc/meta/br/06260338619,year_volume_page
b3,A metastable structure for the compact 30 nm fibre,A Metastable Structure For The Compact 30‐Nm Chromatin Fibre,60,10.1002/1873-3468.12128,https://w3id.org/oc/meta/br/061801356779,year_volume_page
b4,A solenoidal model for superstructure in chromatin,Solenoidal Model For Superstructure In Chromatin.,70,10.1073/pnas.73.6.1897,https://w3id.org/oc/meta/br/062203051310,year_author_page
b5,Structure of the 300 A ̊ chromatin filament: X-ray diffraction from oriented samples,Structure Of The 3000Å Chromatin Filament: X-ray Diffraction From Oriented Samples,65,10.1016/0092-8674(85)90025-x,https://w3id.org/oc/meta/br/06230680175,year_volume_page
b6,Higher-order structure of long repeat chromatin,Higher-order Structure Of Long Repeat Chromatin.,70,10.1002/j.1460-2075.1985.tb04064.x,https://w3id.org/oc/meta/br/06602245802,year_volume_page
b7,Physicochemical studies of the folding of the 100 A nucleosome filament into the 300 A filament: cation dependence,Physicochemical Studies Of The Folding Of The 100 Å Nucleosome Filament Into The 300 Å Filament,70,10.1016/0022-2836(86)90012-4,https://w3id.org/oc/meta/br/06180248811,year_volume_page
b8,Higher order structure of chromatin: evidence from photochemically detected linear dichroism,Higher-order Structure Of Chromatin: Evidence From Photochemically Detected Linear Dichroism,70,10.1021/bi00359a052,https://w3id.org/oc/meta/br/0680535719,year_volume_page
b9,X-ray structure of a tetranucleosome and its implications for the chromatin fibre,X-ray Structure Of A Tetranucleosome And Its Implications For The Chromatin Fibre,70,10.1038/nature03686,https://w3id.org/oc/meta/br/06160353477,year_volume_page
b10,Evidence for short-range helical order in the 30-nm chromatin fibres of erythrocyte nuclei,Evidence For Short-Range Helical Order In The 30-Nm Chromatin Fibers Of Erythrocyte Nuclei,65,10.1073/pnas.1108268108,https://w3id.org/oc/meta/br/06903077370,year_volume_page
b11,Cryo-EM study of the chromatin fibre reveals a double helix twisted by tetranucleosomal units,Cryo-EM Study Of The Chromatin Fiber Reveals A Double Helix Twisted By Tetranucleosomal Units,65,10.1126/science.1251413,https://w3id.org/oc/meta/br/0640487476,year_volume_page
b12,Structure of an H1-bound 6-nucleosome array reveals an untwisted two-start chromatin fiber conformation,Structure Of An H1-Bound 6-Nucleosome Array Reveals An Untwisted Two-Start Chromatin Fiber Conformation,70,10.1016/j.molcel.2018.09.027,https://w3id.org/oc/meta/br/062501305106,year_volume_page
b13,The higher-order structure of chromatin: evidence for a helical ribbon arrangement,The Higher-Order Structure Of Chromatin: Evidence For A Helical Ribbon Arrangement.,70,10.1083/jcb.99.1.42,https://w3id.org/oc/meta/br/061601654691,year_volume_page
b14,Small angle x-ray scattering of chromatin. Radius and mass per unit length depend on linker length,Small Angle X-Ray Scattering Of Chromatin. Radius And Mass Per Unit Length Depend On Linker Length,70,10.1016/s0006-3495(91)82276-7,https://w3id.org/oc/meta/br/0620322439,year_volume_page
b15,Transitions between in situ and isolated chromatin,Transitions Between In Situ And Isolated Chromatin,70,10.1242/jcs.105.2.551,https://w3id.org/oc/meta/br/06301656357,year_volume_page
b16,Nucleosomes with aligned dyads are found in native chromatin in vivo,Nucleosomes Stacked With Aligned Dyad Axes Are Found In Native Compact Chromatin In Vitro,60,10.1016/j.jsb.2011.11.020,https://w3id.org/oc/meta/br/06301045549,year_volume_page
