reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Chondrosarcoma in the United States (1973 to 2003): an analysis of 2890 cases from the SEER database,Chondrosarcoma In The United States (1973 To 2003): An Analysis Of 2890 Cases From The SEER Database,70,10.2106/jbjs.h.00416,https://w3id.org/oc/meta/br/061302069003,year_volume_page
b1,Chondrosarcoma of bone,Chondrosarcoma Of Bone,70,10.1007/978-3-319-07323-1_6,https://w3id.org/oc/meta/br/061302645387,year_author_page
b2,"3-Deazaneplanocin A (DZNep), an Inhibitor of the Histone Methyltransferase EZH2, Induces Apoptosis and Reduces Cell Migration in Chondrosarcoma Cells","3-Deazaneplanocin A (DZNep), An Inhibitor Of The Histone Methyltransferase EZH2, Induces Apoptosis And Reduces Cell Migration In Chondrosarcoma Cells",70,10.1371/journal.pone.0098176,https://w3id.org/oc/meta/br/062301522213,year_volume_page
b3,Identification of an easy to use 3D culture model to investigate invasion and anticancer drug response in chondrosarcomas,Identification Of An Easy To Use 3D Culture Model To Investigate Invasion And Anticancer Drug Response In Chondrosarcomas,70,10.1186/s12885-017-3478-z,https://w3id.org/oc/meta/br/06190149832,author_title
b4,BRCA1-deficient mammary tumor cells are dependent on EZH2 expression and sensitive to Polycomb Repressive Complex 2-inhibitor 3-deazaneplanocin,BRCA1-deficient Mammary Tumor Cells Are Dependent On EZH2 Expression And Sensitive To Polycomb Repressive Complex 2-Inhibitor 3-Deazaneplanocin A,70,10.1186/bcr2354,https://w3id.org/oc/meta/br/061101991328,author_title
b5,Determinants of Sensitivity to DZNep Induced Apoptosis in Multiple Myeloma Cells,Determinants Of Sensitivity To DZNep Induced Apoptosis In Multiple Myeloma Cells,70,10.1371/journal.pone.0021583,https://w3id.org/oc/meta/br/06401540796,year_volume_page
b6,TP53 genomic status regulates sensitivity of gastric cancer cells to the histone methylation inhibitor 3-deazaneplanocin A (DZNep),TP53 Genomic Status Regulates Sensitivity Of Gastric Cancer Cells To The Histone Methylation Inhibitor 3-Deazaneplanocin A (DZNep),70,10.1158/1078-0432.ccr-12-0036,https://w3id.org/oc/meta/br/06202635076,year_volume_page
b7,"EZH2 in Bladder Cancer, a Promising Therapeutic Target","EZH2 In Bladder Cancer, A Promising Therapeutic Target",70,10.3390/ijms161126000,https://w3id.org/oc/meta/br/061301424261,year_volume_page
b8,Partial deletions of the CDKN2 and MTS2 putative tumor suppressor genes in a myxoid chondrosarcoma,Partial Deletions Of The CDKN2 And MTS2 Putative Tumor Suppressor Genes In A Myxoid Chondrosarcoma,70,10.1016/0304-3835(96)04273-5,https://w3id.org/oc/meta/br/061502405941,year_volume_page
b9,Marshall Urist Award. Interstitial collagenase gene expression correlates with in vitro invasion in human chondrosarcoma,Interstitial Collagenase Gene Expression Correlates With In Vitro Invasion In Human Chondrosarcoma,70,10.1097/00003086-200007000-00038,https://w3id.org/oc/meta/br/062301130381,year_author_page
b10,"Establishment and characterization of a continuous human chondrosarcoma cell line, ch-2879: comparative histologic and genetic studies with its tumor of origin","Establishment And Characterization Of A Continuous Human Chondrosarcoma Cell Line, Ch-2879: Comparative Histologic And Genetic Studies With Its Tumor Of Origin",70,10.1097/01.lab.0000073131.34648.ea,https://w3id.org/oc/meta/br/06602342425,year_volume_page
b11,Systematic and integrative analysis of large gene lists using DAVID bioinformatics resources,Systematic And Integrative Analysis Of Large Gene Lists Using DAVID Bioinformatics Resources,65,10.1038/nprot.2008.211,https://w3id.org/oc/meta/br/0630455427,year_volume_page
b13,Combined epigenetic therapy with the histone methyltransferase EZH2 inhibitor 3-deazaneplanocin A and the histone deacetylase inhibitor panobinostat against human AML cells,Combined Epigenetic Therapy With The Histone Methyltransferase EZH2 Inhibitor 3-Deazaneplanocin A And The Histone Deacetylase Inhibitor Panobinostat Against Human AML Cells,70,10.1182/blood-2009-03-213496,https://w3id.org/oc/meta/br/061401767940,year_volume_page
b14,3-Deazaneplanocin A is a promising therapeutic agent for the eradication of tumor-initiating hepatocellular carcinoma cells,3-Deazaneplanocin A Is A Promising Therapeutic Agent For The Eradication Of Tumor-Initiating Hepatocellular Carcinoma Cells,65,10.1002/ijc.26264,https://w3id.org/oc/meta/br/0632012259,year_volume_page
b15,Antitumor effects of pharmacological EZH2 inhibition on malignant peripheral nerve sheath tumor through the miR-30a and KPNB1 pathway,Antitumor Effects Of Pharmacological EZH2 Inhibition On Malignant Peripheral Nerve Sheath Tumor Through The miR-30a And KPNB1 Pathway,70,10.1186/s12943-015-0325-1,https://w3id.org/oc/meta/br/06220294134,year_volume_page
b16,"Evaluation of the impact of S-adenosylmethionine-dependent methyltransferase inhibitor, 3-deazaneplanocin A, on tissue injury and cognitive function in mice","Evaluation Of The Impact Of S-adenosylmethionine-dependent Methyltransferase Inhibitor, 3-Deazaneplanocin A, On Tissue Injury And Cognitive Function In Mice",70,10.18632/oncotarget.25062,https://w3id.org/oc/meta/br/061602096476,year_volume_page
b17,Loading 3-deazaneplanocin A into pegylated unilamellar liposomes by forming transient phenylboronic acid-drug complex and its pharmacokinetic features in Sprague-Dawley rats,Loading 3-Deazaneplanocin A Into Pegylated Unilamellar Liposomes By Forming Transient Phenylboronic Acid–Drug Complex And Its Pharmacokinetic Features In Sprague–Dawley Rats,70,10.1016/j.ejpb.2011.10.014,https://w3id.org/oc/meta/br/06160193496,year_volume_page
b18,A rapid ultra HPLC-MS/MS method for the quantitation and pharmacokinetic analysis of 3-deazaneplanocin A in mice,A Rapid Ultra HPLC–MS/MS Method For The Quantitation And Pharmacokinetic Analysis Of 3-Deazaneplanocin A In Mice,70,10.1016/j.jchromb.2013.01.003,https://w3id.org/oc/meta/br/06110847629,year_author_page
b19,Histone methylases as novel drug targets: developing inhibitors of EZH2,Histone Methylases As Novel Drug Targets: Developing Inhibitors Of EZH2,70,10.4155/fmc.14.123,https://w3id.org/oc/meta/br/06220827776,year_volume_page
b20,DZNep Is a Global Histone Methylation Inhibitor that Reactivates Developmental Genes Not Silenced by DNA Methylation,DZNep Is A Global Histone Methylation Inhibitor That Reactivates Developmental Genes Not Silenced By DNA Methylation,70,10.1158/1535-7163.mct-09-0013,https://w3id.org/oc/meta/br/06140167982,year_volume_page
b21,Intracellular S-adenosylhomocysteine concentrations predict global DNA hypomethylation in tissues of methyl-deficient cystathionine beta-synthase heterozygous mice,Intracellular S-Adenosylhomocysteine Concentrations Predict Global DNA Hypomethylation In Tissues Of Methyl-Deficient Cystathionine β-Synthase Heterozygous Mice,70,10.1093/jn/131.11.2811,https://w3id.org/oc/meta/br/06901396686,year_volume_page
b22,gammaH2AX: a sensitive molecular marker of DNA damage and repair.,γH2AX: A Sensitive Molecular Marker Of DNA Damage And Repair,70,10.1038/leu.2010.6,https://w3id.org/oc/meta/br/061702027286,year_volume_page
b23,Polycomb protein EZH2 regulates cancer cell fate decision in response to DNA damage,Polycomb Protein EZH2 Regulates Cancer Cell Fate Decision In Response To DNA Damage,70,10.1038/cdd.2011.48,https://w3id.org/oc/meta/br/06801010436,year_volume_page
b24,Metabolic perturbation of epigenome by inhibiting S-adenosylhomocysteine hydrolase elicits senescence through DNA damage response in hepatoma cells,Metabolic Perturbation Of Epigenome By Inhibiting S-adenosylhomocysteine Hydrolase Elicits Senescence Through DNA Damage Response In Hepatoma Cells,70,10.1177/1010428317699117,https://w3id.org/oc/meta/br/061801491120,author_title
b25,3-Deazaneplanocin A suppresses aggressive phenotype- related gene expression in an oral squamous cell carcinoma cell line,3-Deazaneplanocin A Suppresses Aggressive Phenotype-Related Gene Expression In An Oral Squamous Cell Carcinoma Cell Line,70,10.1016/j.bbrc.2015.10.115,https://w3id.org/oc/meta/br/061902703499,year_volume_page
b26,Targeting the EGFR signaling pathway in cancer therapy,Targeting The EGFR Signaling Pathway In Cancer Therapy,70,10.1517/14728222.2011.648617,https://w3id.org/oc/meta/br/0630182525,year_volume_page
b27,Epidermal growth factor receptor inhibitors: coming of age,Epidermal Growth Factor Receptor Inhibitors: Coming Of Age,70,10.1177/107327481402100111,https://w3id.org/oc/meta/br/061402690469,year_volume_page
b28,Multi-platform profiling of over 2000 sarcomas: Identification of biomarkers and novel therapeutic targets,Multi-platform Profiling Of Over 2000 Sarcomas: Identification Of Biomarkers And Novel Therapeutic Targets,70,10.18632/oncotarget.3498,https://w3id.org/oc/meta/br/061302079640,year_volume_page
b30,Constitutive activation of EGFR is associated with tumor progression and plays a prominent role in malignant phenotype of chondrosarcoma,Constitutive Activation Of EGFR Is Associated With Tumor Progression And Plays A Prominent Role In Malignant Phenotype Of Chondrosarcoma,70,10.18632/oncotarget.26899,https://w3id.org/oc/meta/br/061502087599,year_volume_page
