reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,A review of recent patents on trivalent chromium plating,A Review Of Recent Patents On Trivalent Chromium Plating,70,10.2174/1874464810902010050,https://w3id.org/oc/meta/br/06603042397,year_volume_page
b2,Hydrogen evolution reaction of low carbon steel electrode in hydrochloric acid as a source for hydrogen production,Hydrogen Evolution Reaction Of Low Carbon Steel Electrode In Hydrochloric Acid As A Source For Hydrogen Production,70,10.1016/j.ijhydene.2008.10.026,https://w3id.org/oc/meta/br/06110668632,year_volume_page
b3,Studies on the hydrogen evolution reaction on different stainless steels,Studies On The Hydrogen Evolution Reaction On Different Stainless Steels,70,10.1016/j.ijhydene.2006.03.017,https://w3id.org/oc/meta/br/06120660245,year_volume_page
b4,Electrochemical mechanism of Cr(III) reduction for preparing crystalline chromium coatings based on 1-butyl-3-methy-limidazolium hydrogen sulfate ionic liquid,Electrochemical Mechanism Of Cr(iii) Reduction For Preparing Crystalline Chromium Coatings Based On 1-Butyl-3-Methylimidazolium Hydrogen Sulfate Ionic Liquid,70,10.1039/c4ra12335b,https://w3id.org/oc/meta/br/06180965171,year_volume_page
b5,Electrochemical mechanism of trivalent chromium reduction in 1-butyl-3-methylimidazolium bromide ionic liquid,Electrochemical Mechanism Of Trivalent Chromium Reduction In 1-Butyl-3-Methylimidazolium Bromide Ionic Liquid,70,10.1016/j.electacta.2014.03.027,https://w3id.org/oc/meta/br/061201945600,year_author_page
b6,Application of ionic liquids to the electrodeposition of metals,Application Of Ionic Liquids To The Electrodeposition Of Metals,70,10.1039/b607329h,https://w3id.org/oc/meta/br/06240504377,year_volume_page
b7,Characterization of imidazolium chloride ionic liquids plus trivalent chromium chloride for chromium electroplating,Characterization Of Imidazolium Chloride Ionic Liquids Plus Trivalent Chromium Chloride For Chromium Electroplating,70,10.1021/ie505026v,https://w3id.org/oc/meta/br/06401472613,year_volume_page
b8,Mechanistic study on the effect of PEG molecules in a trivalent chromium electrodeposition process,Mechanistic Study On The Effect Of PEG Molecules In A Trivalent Chromium Electrodeposition Process,70,10.1016/j.microc.2011.02.017,https://w3id.org/oc/meta/br/06260770320,year_volume_page
b9,The effects of pH and polyethylene glycol on the Cr(III) solution chemistry and electrodeposition of chromium,The Effects Of pH And Polyethylene Glycol On The Cr(III) Solution Chemistry And Electrodeposition Of Chromium,70,10.1016/j.surfcoat.2012.04.025,https://w3id.org/oc/meta/br/06130231537,year_volume_page
b10,Environmentally friendly chromium electrodeposition: effect of pre-electrolysis on a Cr(III) bath in an anion-exchange membrane reactor,Environmentally Friendly Chromium Electrodeposition: Effect Of Pre-Electrolysis On A Cr(iii) Bath In An Anion-Exchange Membrane Reactor,70,10.1039/c3ra42770f,https://w3id.org/oc/meta/br/0630980369,year_volume_page
b12,The effect of the additive cetyl trimethyl ammonium bromide on the electrodeposition of lead dioxide,The Effect Of The Additive Cetyl Trimethyl Ammonium Bromide On The Electrodeposition Of Lead Dioxide,70,10.1007/bf00616141,https://w3id.org/oc/meta/br/0648055630,year_volume_page
b14,Electrochemicalreduction of an imidazolium cation: a convenient preparation of imidazol-2-ylidenes and their observation in an ionic liquid,Electrochemical Reduction Of An Imidazolium Cation: A Convenient Preparation Of Imidazol-2-Ylidenes And Their Observation In An Ionic Liquid,70,10.1039/b407386j,https://w3id.org/oc/meta/br/06303503984,year_author_page
b15,Fabrication of a nanocrystalline Cr–C layer with excellent anti-wear performance,Fabrication Of A Nanocrystalline Cr–C Layer With Excellent Anti-Wear Performance,70,10.1016/j.matlet.2007.01.066,https://w3id.org/oc/meta/br/06220447675,year_volume_page
b16,Improved corrosion resistance through microstructural modifications induced by codepositing SiC-particles with electrolytic nickel,Improved Corrosion Resistance Through Microstructural Modifications Induced By Codepositing SiC-particles With Electrolytic Nickel,70,10.1016/s0010-938x(02)00220-2,https://w3id.org/oc/meta/br/06180276706,year_volume_page
