reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Robust optimization for emergency logistics planning: risk mitigation in humanitarian relief supply chains,Robust Optimization For Emergency Logistics Planning: Risk Mitigation In Humanitarian Relief Supply Chains,70,10.1016/j.trb.2010.09.002,https://w3id.org/oc/meta/br/06170399214,year_volume_page
b1,Coordination in humanitarian relief chains: chain coordinators,Coordination In Humanitarian Relief Chains: Chain Coordinators,70,10.1108/20426741211226019,https://w3id.org/oc/meta/br/06302412346,year_volume_page
b6,Facility location in humanitarian relief,Facility Location In Humanitarian Relief,70,10.1080/13675560701561789,https://w3id.org/oc/meta/br/062601136127,year_author_page
b7,Inventory management support systems for emergency humanitarian relief operations in south sudan,Inventory Management Support Systems For Emergency Humanitarian Relief Operations In South Sudan,70,10.1108/09574090610689952,https://w3id.org/oc/meta/br/061402639767,year_volume_page
b9,Transportation in disaster response operations.,Transportation In Disaster Response Operations,70,10.1016/j.seps.2011.05.002,https://w3id.org/oc/meta/br/06130776503,year_volume_page
b10,The price of robustness,The Price Of Robustness,70,10.1287/opre.1030.0065,https://w3id.org/oc/meta/br/06210748903,year_volume_page
b11,"Coordination in humanitarian relief chains: practices, challenges and opportunities","Coordination In Humanitarian Relief Chains: Practices, Challenges And Opportunities",70,10.1016/j.ijpe.2009.09.008,https://w3id.org/oc/meta/br/06110837862,year_volume_page
b12,Optimization models in emergency logistics: a literature review,Optimization Models In Emergency Logistics: A Literature Review,70,10.1016/j.seps.2011.04.004,https://w3id.org/oc/meta/br/06130776507,year_volume_page
b14,A scenario planning approach for the flood emergency logistics preparation problem under uncertainty,A Scenario Planning Approach For The Flood Emergency Logistics Preparation Problem Under Uncertainty,70,10.1016/j.tre.2006.10.013,https://w3id.org/oc/meta/br/06190835682,year_volume_page
b15,Theory and applications of robust optimization,Theory And Applications Of Robust Optimization,70,10.1137/080734510,https://w3id.org/oc/meta/br/06903086171,year_volume_page
b16,A two-echelon stochastic facility location model for humanitarian relief logistics,A Two-Echelon Stochastic Facility Location Model For Humanitarian Relief Logistics,65,10.1007/s11590-011-0421-0,https://w3id.org/oc/meta/br/061702887990,year_volume_page
b18,Collaboration in Humanitarian Logistics,Collaboration In Humanitarian Logistics,70,10.1061/41139(387)155,https://w3id.org/oc/meta/br/06903188382,author_title
b19,A grasp metaheuristic for humanitarian aid distribution,A GRASP Metaheuristic For Humanitarian Aid Distribution,65,10.1007/s10732-015-9302-5,https://w3id.org/oc/meta/br/061302873161,year_volume_page
b20,Recent advances in robust optimization: An overview,Recent Advances In Robust Optimization: An Overview,70,10.1016/j.ejor.2013.09.036,https://w3id.org/oc/meta/br/06240220484,year_volume_page
b21,Prepositioning of supplies in preparation for a hurricane under potential destruction of prepositioned supplies,Prepositioning Of Supplies In Preparation For A Hurricane Under Potential Destruction Of Prepositioned Supplies,70,10.1016/j.seps.2012.11.002,https://w3id.org/oc/meta/br/06130776457,year_volume_page
b22,Review of recent developments in OR/MS research in disaster operations management,Review Of Recent Developments In OR/MS Research In Disaster Operations Management,70,10.1016/j.ejor.2013.01.039,https://w3id.org/oc/meta/br/06240220892,year_volume_page
b23,Two-stage stochastic programming in disaster management: A literature survey,Two-stage Stochastic Programming In Disaster Management: A Literature Survey,70,10.1016/j.sorms.2016.11.002,https://w3id.org/oc/meta/br/062202147086,year_volume_page
b28,A heuristic program for locating warehouses,A Heuristic Program For Locating Warehouses,70,10.1287/mnsc.9.4.643,https://w3id.org/oc/meta/br/06602355364,year_volume_page
b30,Trends and developments in humanitarian logistics-a gap analysis,Trends And Developments In Humanitarian Logistics – A Gap Analysis,70,10.1108/09600031111101411,https://w3id.org/oc/meta/br/06240547601,year_volume_page
b31,Or/ms research in disaster operations management,OR/MS Research In Disaster Operations Management,70,10.1016/j.ejor.2005.05.016,https://w3id.org/oc/meta/br/0620221291,year_volume_page
b32,Location and Emergency Inventory Pre-Positioning for Disaster Response Operations: Min-Max Robust Model and a Case Study of Yushu Earthquake,Location And Emergency Inventory Pre-Positioning For Disaster Response Operations: Min-Max Robust Model And A Case Study Of Yushu Earthquake,65,10.1111/poms.12789,https://w3id.org/oc/meta/br/0690106322,year_volume_page
b33,Stochastic optimization of medical supply location and distribution in disaster management,Stochastic Optimization Of Medical Supply Location And Distribution In Disaster Management,70,10.1016/j.ijpe.2009.10.004,https://w3id.org/oc/meta/br/06110837833,year_volume_page
b34,Reliable logistics networks design with facility disruptions,Reliable Logistics Networks Design With Facility Disruptions,70,10.1016/j.trb.2011.05.022,https://w3id.org/oc/meta/br/06170399171,year_volume_page
b35,Budget constrained location problem with opening and closing of facilities,Budget Constrained Location Problem With Opening And Closing Of Facilities,70,10.1016/s0305-0548(02)00123-5,https://w3id.org/oc/meta/br/06190174552,year_volume_page
b36,Pre-positioning of emergency supplies for disaster response,Pre-positioning Of Emergency Supplies For Disaster Response,70,10.1016/j.trb.2009.08.003,https://w3id.org/oc/meta/br/06170399300,year_volume_page
