reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Accuracy of computer‐ aided template‐guided oral implant placement: A prospective clinical study,Accuracy Of Computer-Aided Template-Guided Oral Implant Placement: A Prospective Clinical Study,65,10.5051/jpis.2014.44.4.184,https://w3id.org/oc/meta/br/06802466885,year_volume_page
b2,How does an error in positioning the template affect the accuracy of implants inserted using a single fixed mucosa‐supported stereolithographic surgical guide?,How Does An Error In Positioning The Template Affect The Accuracy Of Implants Inserted Using A Single Fixed Mucosa-Supported Stereolithographic Surgical Guide?,70,10.1016/j.ijom.2013.06.012,https://w3id.org/oc/meta/br/061101357240,year_volume_page
b3,Accuracy of two stereolithographic surgical templates: A retrospective study,Accuracy Of Two Stereolithographic Surgical Templates: A Retrospective Study,70,10.1111/j.1708-8208.2011.00369.x,https://w3id.org/oc/meta/br/061901820427,year_volume_page
b5,Effectiveness of implant therapy analyzed in a Swedish population: Early and late implant loss,"Response To Letter To The Editor, “Effectiveness Of Implant Therapy Analyzed In A Swedish Population: Early And Late Implant Loss”",70,10.1177/0022034515593707,https://w3id.org/oc/meta/br/062301905772,author_title
b6,Clinical and radiographic outcome of implants placed using stereolithographic guided surgery: A prospective monocenter study,Clinical And Radiographic Outcome Of Implants Placed Using Stereolithographic Guided Surgery: A Prospective Monocenter Study,70,10.11607/jomi.2618,https://w3id.org/oc/meta/br/06501509259,year_volume_page
b7,"Evaluation of bone heating, drill deformation, and drill roughness after implant os‐ teotomy: Guided surgery and classic drilling procedure","Evaluation Of Bone Heating, Drill Deformation, And Drill Roughness After Implant Osteotomy: Guided Surgery And Classic Drilling Procedure",70,10.11607/jomi.2919,https://w3id.org/oc/meta/br/06501509029,year_volume_page
b8,In vivo precision of conventional and digital methods of obtaining complete‐arch dental impressions,In Vivo Precision Of Conventional And Digital Methods Of Obtaining Complete-Arch Dental Impressions,65,10.1016/j.prosdent.2015.09.011,https://w3id.org/oc/meta/br/06170917121,year_volume_page
b9,Precision of dental implant digitization using intraoral scanners,Precision Of Dental Implant Digitization Using Intraoral Scanners,70,10.11607/ijp.4417,https://w3id.org/oc/meta/br/06160199490,year_volume_page
b10,Registration of cone beam computed tomography data and intraoral surface scans – A prerequisite for guided implant surgery with CAD/CAM drilling guides,Registration Of Cone Beam Computed Tomography Data And Intraoral Surface Scans - A Prerequisite For Guided Implant Surgery With CAD/CAM Drilling Guides,70,10.1111/clr.12925,https://w3id.org/oc/meta/br/0612072040,year_volume_page
b11,Three‐dimensional plotting and printing of an implant drilling guide: Simplifying guided implant surgery,Three-Dimensional Plotting And Printing Of An Implant Drilling Guide: Simplifying Guided Implant Surgery,70,10.1016/j.joms.2013.04.010,https://w3id.org/oc/meta/br/062401278572,year_volume_page
b12,Comparison of heat generation between guided and conventional implant surgery for single and sequential drilling protocols‐an in vitro study,Comparison Of Heat Generation Between Guided And Conventional Implant Surgery For Single And Sequential Drilling protocols-An In Vitro Study,70,10.1111/clr.13398,https://w3id.org/oc/meta/br/0612071664,year_volume_page
b14,Digital technology in fixed implant prosthodontics,Digital Technology In Fixed Implant Prosthodontics,65,10.7892/boris.123794,https://w3id.org/oc/meta/br/061103088021,year_volume_page
b16,Tolerance within the sleeve inserts of different surgical guides for guided implant surgery,Tolerance Within The Sleeve Inserts Of Different Surgical Guides For Guided Implant Surgery,65,10.1111/j.1600-0501.2012.02436.x,https://w3id.org/oc/meta/br/0614070888,year_volume_page
b17,Prosthetic outcomes and survival rates of implants placed with guided flapless surgery using stereolithographic templates: A retrospective study,Prosthetic Outcomes And Survival Rates Of Implants Placed With Guided Flapless Surgery Using Stereolithographic Templates: A Retrospective Study,70,10.11607/prd.1113),https://w3id.org/oc/meta/br/061903097528,year_volume_page
b19,Registration accuracy in the integration of laser‐scanned dental images into maxillofa‐ cial cone‐beam computed tomography images,Registration Accuracy In The Integration Of Laser-Scanned Dental Images Into Maxillofacial Cone-Beam Computed Tomography Images,65,10.1016/j.ajodo.2011.04.018,https://w3id.org/oc/meta/br/06240332249,year_volume_page
b20,Assessment of metal artefact reduction around dental titanium implants in cone beam ct,Assessment Of Metal Artefact Reduction Around Dental Titanium Implants In Cone Beam CT,70,10.1259/dmfr.20140019,https://w3id.org/oc/meta/br/062201746396,year_volume_page
b22,Implant loading protocols for partially edentulous patients with extended edentulous sites–A systematic review and meta‐analysis,Implant Loading Protocols For Partially Edentulous Patients With Extended Edentulous Sites—A Systematic Review And Meta-Analysis,70,10.11607/jomi.2014suppl.g4.2,https://w3id.org/oc/meta/br/06501508901,year_volume_page
b23,Computer technology applications in surgical implant dentistry: A systematic review,Computer Technology Applications In Surgical Implant Dentistry: A Systematic Review,70,10.11607/jomi.2014suppl.g1.2,https://w3id.org/oc/meta/br/06501508904,year_volume_page
b25,Tolerance within a surgical guide,Tolerance Within A Surgical Guide,70,10.1111/j.1600-0501.2009.01836.x,https://w3id.org/oc/meta/br/0614071505,year_volume_page
b27,Accuracy of digital impressions of multiple dental implants: An in vitro study,Accuracy Of Digital Impressions Of Multiple Dental Implants: Anin Vitrostudy,65,10.1111/clr.12853,https://w3id.org/oc/meta/br/0612072109,year_volume_page
b28,An RCT comparing patient‐centred outcome variables of guided surgery (bone or mucosa supported) with conventional implant placement,An RCT Comparing Patient-Centred Outcome Variables Of Guided Surgery (Bone Or Mucosa Supported) With Conventional Implant Placement,70,10.1111/jcpe.12257,https://w3id.org/oc/meta/br/06240399199,year_volume_page
b29,The use of CT scan based planning for oral rehabilitation by means of implants and its transfer to the surgical field: A critical review on accuracy,The Use Of CT Scan Based Planning For Oral Rehabilitation By Means Of Implants And Its Transfer To The Surgical Field: A Critical Review On Accuracy,70,10.1111/j.1365-2842.2007.01816.x,https://w3id.org/oc/meta/br/0610171814,year_volume_page
b30,The influence of the masticatory mucosa on the peri‐implant soft tissue condition,The Influence Of The Masticatory Mucosa On The Peri-Implant Soft Tissue Condition,65,10.1034/j.1600-0501.1994.050101.x,https://w3id.org/oc/meta/br/0615074516,year_volume_page
