reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b28,Cystathionine gamma lyase-H2S contributes to osteo- clastogenesis during bone remodeling induced by mechanical loading,Cystathionine Gamma lyase-H2S Contributes To Osteoclastogenesis During Bone Remodeling Induced By Mechanical Loading,65,10.1016/j.bbrc.2018.05.015,https://w3id.org/oc/meta/br/061402674706,year_volume_page
b29,"Cellular, molecular, and tissue-level reactions to orthodontic force","Cellular, Molecular, And Tissue-Level Reactions To Orthodontic Force",70,10.1016/j.ajodo.2005.10.007,https://w3id.org/oc/meta/br/0610345999,author_title
b30,Autophagy in bone: self-eating to stay in balance,Autophagy In Bone: Self-eating To Stay In Balance,70,10.1016/j.arr.2015.08.004,https://w3id.org/oc/meta/br/06703038182,year_author_page
b31,The localization of acid- phosphatase activity in osteoblasts incident to experimental tooth movement,The Localization Of Acid Phosphatase Activity In Osteoblasts Incident To Experimental Tooth Movement.,70,10.1267/ahc.17.571,https://w3id.org/oc/meta/br/06502133855,year_volume_page
b32,Opposing responses of apoptosis and autophagy to moderate compression in skeletal muscle,Opposing Responses Of Apoptosis And Autophagy To Moderate Compression In Skeletal Muscle,70,10.1111/j.1748-1716.2010.02173.x,https://w3id.org/oc/meta/br/0610515727,year_volume_page
b33,Structure of periodontal tissues in health and disease,Structure Of Periodontal Tissues In Health And Disease*,70,10.1111/j.1600-0757.2005.00141.x,https://w3id.org/oc/meta/br/061103088700,year_volume_page
b34,Experimental model of tooth movement in mice: a standardized protocol for studying bone remodel- ing under compression and tensile strains,Experimental Model Of Tooth Movement In Mice: A Standardized Protocol For Studying Bone Remodeling Under Compression And Tensile Strains,65,10.1016/j.jbiomech.2012.09.006,https://w3id.org/oc/meta/br/061090679,year_volume_page
b35,Regulation of autophagy by stress-responsive transcription factors,特集 今日の外科-連携のための最新知識 【各論】 肝胆膵外科,70,10.11477/mf.1414102807,https://w3id.org/oc/meta/br/06480250487,year_volume_page
b36,Autophagy and the integrated stress response,Autophagy And The Integrated Stress Response,70,10.1016/j.molcel.2010.09.023,https://w3id.org/oc/meta/br/06201321177,year_volume_page
b37,Development by self-digestion: molecular mechanisms and biological functions of autophagy,Development By Self-Digestion,70,10.1016/s1534-5807(04)00099-1,https://w3id.org/oc/meta/br/061703096395,year_volume_page
b38,A ubiquitin-like system mediates protein lipidation,A Ubiquitin-Like System Mediates Protein Lipidation,70,10.1038/35044114,https://w3id.org/oc/meta/br/06240341791,year_volume_page
b39,Hierarchy of Atg proteins in pre-autophagosomal structure organization,Hierarchy Of Atg Proteins In Pre-Autophagosomal Structure Organization,70,10.1111/j.1365-2443.2007.01050.x,https://w3id.org/oc/meta/br/06230952681,year_volume_page
b40,Dissection of autophagosome formation using Apg5-deficient mouse embryonic stem cells,Dissection Of Autophagosome Formation Using Apg5-Deficient Mouse Embryonic Stem Cells,70,10.1083/jcb.152.4.657,https://w3id.org/oc/meta/br/062601672378,year_volume_page
b41,"LC3, a mammalian homo- logue of yeast Apg8p, is localized in autophagosome membranes after processing","LC3, A Mammalian Homologue Of Yeast Apg8p, Is Localized In Autophagosome Membranes After Processing",65,10.1093/emboj/19.21.5720,https://w3id.org/oc/meta/br/062501862907,year_volume_page
b42,Autophagy: a new player in skeletal maintenance,Autophagy: A New Player In Skeletal Maintenance?,70,10.1002/jbmr.1668,https://w3id.org/oc/meta/br/061201076942,year_volume_page
b43,Pathway-based genome-wide association analysis identified the importance of regulation-of- autophagy pathway for ultradistal radius BMD,Pathway-based Genome-Wide Association Analysis Identified The Importance Of Regulation-Of-Autophagy Pathway For Ultradistal Radius BMD,70,10.1002/jbmr.36,https://w3id.org/oc/meta/br/061501088658,year_volume_page
b44,Rapamycin promotes the osteoblastic differentiation of human embryonic stem cells by blocking the mTOR pathway and stimulating the BMP/Smad pathway,Rapamycin Promotes The Osteoblastic Differentiation Of Human Embryonic Stem Cells By Blocking The mTOR Pathway And Stimulating The BMP/Smad Pathway,70,10.1089/scd.2009.0147,https://w3id.org/oc/meta/br/06230961152,year_volume_page
b45,"Impact of sirolimus, tacrolimus and mycophenolate mofetil on osteoclastogenesis– implications for post-transplantation bone disease","Impact Of Sirolimus, Tacrolimus And Mycophenolate Mofetil On Osteoclastogenesis--Implications For Post-Transplantation Bone Disease",70,10.1093/ndt/gfr214,https://w3id.org/oc/meta/br/06130202018,year_volume_page
b46,Rapamycin inhibits osteoclast forma- tion in giant cell tumor of bone through the C/EBPbeta – MafB axis,Rapamycin Inhibits Osteoclast Formation In Giant Cell Tumor Of Bone Through The C/EBPβ - MafB Axis,60,10.1007/s00109-011-0823-6,https://w3id.org/oc/meta/br/06701289901,year_volume_page
b47,RANK/RANKL/OPG during orthodontic tooth movement,RANK/RANKL/OPG During Orthodontic Tooth Movement,70,10.1111/j.1601-6343.2009.01444.x,https://w3id.org/oc/meta/br/061602011380,year_volume_page
