reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Genomic sweep and potential genetic rescue during limiting environmental conditions in an isolated wolf population,Genomic Sweep And Potential Genetic Rescue During Limiting Environmental Conditions In An Isolated Wolf Population,70,10.1098/rspb.2011.0261,https://w3id.org/oc/meta/br/062203013871,year_volume_page
b1,Genetic rescue in a severely inbred wolf population,Genetic Rescue In A Severely Inbred Wolf Population,70,10.1111/mec.13797,https://w3id.org/oc/meta/br/06160992661,year_volume_page
b2,Time frames for population viability analysis of species with long generations: An example with Asian elephants,Time Frames For Population Viability Analysis Of Species With Long Generations: An Example With Asian Elephants,70,10.1111/j.1469-1795.1999.tb00050.x,https://w3id.org/oc/meta/br/06170569503,year_volume_page
b3,Genetic evaluation of an otter translocation program,Genetic Evaluation Of An Otter Translocation Program,70,10.1023/b:coge.0000014059.49606.dd,https://w3id.org/oc/meta/br/061702424879,year_volume_page
b4,On the use of demographic models of population viability in endangered species management,On The Use Of Demographic Models Of Population Viability In Endangered Species Management,70,10.2307/3802534,https://w3id.org/oc/meta/br/062602776200,year_volume_page
b6,Beyond the beneficial effects of translocations as an effective tool for the genetic restoration of isolated populations,Beyond The Beneficial Effects Of Translocations As An Effective Tool For The Genetic Restoration Of Isolated Populations,65,10.1007/s10592-008-9547-8,https://w3id.org/oc/meta/br/061602427094,year_volume_page
b7,Synergies among extinction drivers under global change,Synergies Among Extinction Drivers Under Global Change,70,10.1016/j.tree.2008.03.011,https://w3id.org/oc/meta/br/06140886954,year_volume_page
b8,Turnover rates in insular biogeography: Effect of immigration on extinction,Turnover Rates In Insular Biogeography: Effect Of Immigration On Extinction,70,10.2307/1935620,https://w3id.org/oc/meta/br/062501564099,year_volume_page
b9,The genetics of inbreeding depression,The Genetics Of Inbreeding Depression,70,10.1038/nrg2664,https://w3id.org/oc/meta/br/06701466820,year_volume_page
b10,Environment-dependent inbreeding depression: Its ecological and evolutionary significance,Environment‐dependent Inbreeding Depression: Its Ecological And Evolutionary Significance,60,10.1111/j.1469-8137.2010.03541.x,https://w3id.org/oc/meta/br/06702492423,year_volume_page
b11,Ability of matrix models to explain the past and predict the future of plant populations,Ability Of Matrix Models To Explain The Past And Predict The Future Of Plant Populations,70,10.1111/cobi.12049,https://w3id.org/oc/meta/br/062601480378,year_volume_page
b13,N/A,An Introduction To Population Genetics Theory,65,10.2307/1529706,https://w3id.org/oc/meta/br/061202654533,author_title
b15,Managing water levels on wet grasslands to improve foraging conditions for breeding northern lapwing Vanellus vanellus,Managing Water Levels On Wet Grasslands To Improve Foraging Conditions For Breeding Northern lapwingVanellus Vanellus,70,10.1111/j.1365-2664.2010.01783.x,https://w3id.org/oc/meta/br/0639058716,year_volume_page
b16,N/A,Reintroduction Biology,70,10.1002/9781444355833,https://w3id.org/oc/meta/br/06902801748,author_title
b17,Quantifying the extinction vortex,Quantifying The Extinction Vortex,65,10.1111/j.1461-0248.2005.00845.x,https://w3id.org/oc/meta/br/062201016222,author_title
b18,Linking killer whale survival and prey abundance: Food limitation in the oceans’ apex predator?,Linking Killer Whale Survival And Prey Abundance: Food Limitation In The Oceans' Apex Predator?,65,10.1098/rsbl.2009.0468,https://w3id.org/oc/meta/br/06260925203,year_volume_page
b19,Inbreeding depression increases with environmental stress: An experimental study and meta-analysis,Inbreeding Depression Increases With Environmental Stress: An Experimental Study And Meta-Analysis,65,10.1111/j.1558-5646.2010.01108.x,https://w3id.org/oc/meta/br/06260191648,year_volume_page
b20,Genetic rescue of small inbred populations: Metaanalysis reveals large and consistent benefits of gene flow,Genetic Rescue Of Small Inbred Populations: Meta-Analysis Reveals Large And Consistent Benefits Of Gene Flow,70,10.1111/mec.13139,https://w3id.org/oc/meta/br/06170991802,year_volume_page
b21,Supplementary feeding as an effective tool for improving breeding success in the Spanish imperial eagle (Aquila adalberti),Supplementary Feeding As An Effective Tool For Improving Breeding Success In The Spanish Imperial Eagle (Aquila Adalberti),70,10.1016/j.biocon.2005.11.014,https://w3id.org/oc/meta/br/0610326117,year_volume_page
b22,Three types of rescue can avert extinction in a changing environment,Three Types Of Rescue Can Avert Extinction In A Changing Environment,70,10.1073/pnas.1504732112,https://w3id.org/oc/meta/br/061703063411,year_volume_page
b23,Inbreeding effects in wild populations,Inbreeding Effects In Wild Populations,70,10.1016/s0169-5347(02)02489-8,https://w3id.org/oc/meta/br/06110890102,year_volume_page
b24,How much gene flow is needed to avoid inbreeding depression in wild tiger populations?,How Much Gene Flow Is Needed To Avoid Inbreeding Depression In Wild Tiger Populations?,70,10.1098/rspb.2013.3337,https://w3id.org/oc/meta/br/062103010638,year_volume_page
b25,Severe inbreeding depression in collared flycatchers (Ficedula albicollis),Severe Inbreeding Depression In Collared Flycatchers ( Ficedula Albicollis ),70,10.1098/rspb.2002.2049,https://w3id.org/oc/meta/br/06203438387,year_volume_page
b28,Limited inbreeding depression in a bottlenecked population is age but not environment dependent,Limited Inbreeding Depression In A Bottlenecked Population Is Age But Not Environment Dependent,70,10.1111/j.1600-048x.2010.05164.x,https://w3id.org/oc/meta/br/062403068744,year_volume_page
