reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Influence of concomitant heeled footwear when wearing a lateral wedged insole for medial compartment osteoarthritis of the knee,Influence Of Concomitant Heeled Footwear When Wearing A Lateral Wedged Insole For Medial Compartment Osteoarthritis Of The Knee,70,10.1016/j.joca.2007.06.010,https://w3id.org/oc/meta/br/0650430095,year_volume_page
b1,"OARSI recommendations for the management of hip and knee osteoarthritis, Part II: OARSI evidence-based, expert consensus guidelines","OARSI Recommendations For The Management Of Hip And Knee Osteoarthritis, Part II: OARSI Evidence-Based, Expert Consensus Guidelines",70,10.1016/j.joca.2007.12.013,https://w3id.org/oc/meta/br/0650429965,year_volume_page
b2,Lateral wedges in knee osteoarthritis: what are their immediate clinical and biomechanical effects and can these predict a three-month clinical outcome?,Lateral Wedges In Knee Osteoarthritis: What Are Their Immediate Clinical And Biomechanical Effects And Can These Predict A Three-Month Clinical Outcome?,70,10.1002/art.23326,https://w3id.org/oc/meta/br/06203525585,author_title
b3,Effects of disease severity on response to lateral wedged shoe insole for medial compartment knee osteoarthritis,Effects Of Disease Severity On Response To Lateral Wedged Shoe Insole For Medial Compartment Knee Osteoarthritis,70,10.1016/j.apmr.2006.08.018,https://w3id.org/oc/meta/br/062502039425,year_volume_page
b4,Ankle anticipatory postural adjustments during gait initiation in healthy and post-stroke subjects,Ankle Anticipatory Postural Adjustments During Gait Initiation In Healthy And Post-Stroke Subjects,70,10.1016/j.clinbiomech.2015.07.002,https://w3id.org/oc/meta/br/061201751676,year_volume_page
b5,Delayed onset of electromyographic activity of vastus medialis obliquus relative to vastus lateralis in subjects with patellofemoral pain syndrome,Delayed Onset Of Electromyographic Activity Of Vastus Medialis Obliquus Relative To Vastus Lateralis In Subjects With Patellofemoral Pain Syndrome,70,10.1053/apmr.2001.19022,https://w3id.org/oc/meta/br/061802043462,year_volume_page
b6,Age-related changes in the initiation of gait: degradation of central mechanisms for momentum generation,Age-related Changes In The Initiation Of Gait: Degradation Of Central Mechanisms For Momentum Generation,70,10.1016/s0003-9993(98)90425-7,https://w3id.org/oc/meta/br/062602073644,year_volume_page
b7,"The initiation of gait in young, elderly, and Parkinson's disease subjects","The Initiation Of Gait In Young, Elderly, And Parkinson's Disease Subjects",70,10.1016/s0966-6362(98)00020-4,https://w3id.org/oc/meta/br/0660664589,year_volume_page
b8,The initiation of normal walking,The Initiation Of Normal Walking,50,10.1002/mds.870090203,https://w3id.org/oc/meta/br/06260678986,author_title
b9,Relationship between postural balance and knee and toe muscle power in young women,Relationship Between Postural Balance And Knee And Toe Muscle Power In Young Women.,70,10.18926/amo/32087,https://w3id.org/oc/meta/br/06203991487,year_volume_page
b10,Soft tissues: a question of balance,Soft Tissues: A Question Of Balance,70,10.3928/0147-7447-19970901-24,https://w3id.org/oc/meta/br/06203924196,year_volume_page
b11,The effect of flat and textured insoles on the balance of primary care elderly people: a randomized controlled clinical trial,The Effect Of Flat And Textured Insoles On The Balance Of Primary Care Elderly People: A Randomized Controlled Clinical Trial,70,10.2147/cia.s149038,https://w3id.org/oc/meta/br/061203123114,year_author_page
b12,The effect of textured insoles on postural control in double and single limb stance,The Effect Of Textured Insoles On Postural Control In Double And Single Limb Stance,70,10.1123/jsr.16.4.363,https://w3id.org/oc/meta/br/062603127731,year_volume_page
b13,Characteristic muscle activity patterns during gait initiation in the healthy younger and older adults,Characteristic Muscle Activity Patterns During Gait Initiation In The Healthy Younger And Older Adults,70,10.1016/j.gaitpost.2015.09.014,https://w3id.org/oc/meta/br/06110660270,year_author_page
b14,The efficacy of a lateral wedge insole for painful medial knee osteoarthritis after prescreening: a randomized clinical trial,The Efficacy Of A Lateral Wedge Insole For Painful Medial Knee Osteoarthritis After Prescreening: A Randomized Clinical Trial,70,10.1002/art.40808,https://w3id.org/oc/meta/br/061701948044,year_volume_page
