reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Sequence relationships among the hemagglutinin genes of 12 subtypes of influenza A virus,Sequence Relationships Among The Hemagglutinin Genes Of 12 Subtypes Of Influenza A Virus.,70,10.1073/pnas.78.12.7639,https://w3id.org/oc/meta/br/06703458112,year_volume_page
b1,Structure of influenza virus haemagglutinin complexed with a neutralizing antibody,Structure Of Influenza Virus Haemagglutinin Complexed With A Neutralizing Antibody,70,10.1038/376092a0,https://w3id.org/oc/meta/br/06130351360,year_volume_page
b2,Inhibition of the fusion-inducing conformational change of influenza hemagglutinin by benzoquinones and hydroquinones,Inhibition Of The Fusion-Inducing Conformational Change Of Influenza Hemagglutinin By Benzoquinones And Hydroquinones,70,10.1021/bi00063a007,https://w3id.org/oc/meta/br/06190531456,year_volume_page
b3,Structure of influenza haemagglutinin at the pH of membrane fusion,Structure Of Influenza Haemagglutinin At The pH Of Membrane Fusion,70,10.1038/371037a0,https://w3id.org/oc/meta/br/06210354852,year_volume_page
b4,A recommended numbering scheme for influenza A HA subtypes,A Recommended Numbering Scheme For Influenza A HA Subtypes,70,10.1371/journal.pone.0112302,https://w3id.org/oc/meta/br/06801526747,year_volume_page
b5,Influenza hemagglutinin (HA) stem region mutations that stabilize or destabilize the structure of multiple HA subtypes,Influenza Hemagglutinin (HA) Stem Region Mutations That Stabilize Or Destabilize The Structure Of Multiple HA Subtypes,70,10.1128/jvi.00057-15,https://w3id.org/oc/meta/br/06701108900,year_volume_page
b6,"Structure of the hemagglutinin precursor cleavage site, a determinant of influenza pathogenicity and the origin of the labile conformation","Structure Of The Hemagglutinin Precursor Cleavage Site, A Determinant Of Influenza Pathogenicity And The Origin Of The Labile Conformation",70,10.1016/s0092-8674(00)81771-7,https://w3id.org/oc/meta/br/06140672007,year_volume_page
b7,A neutralizing antibody selected from plasma cells that binds to group 1 and group 2 influenza a hemagglutinins,A Neutralizing Antibody Selected From Plasma Cells That Binds To Group 1 And Group 2 Influenza A Hemagglutinins,70,10.1126/science.1205669,https://w3id.org/oc/meta/br/06110489097,year_volume_page
b8,Composition and functions of the influenza fusion peptide,Composition And Functions Of The Influenza Fusion Peptide,70,10.2174/092986609788681715,https://w3id.org/oc/meta/br/061201187476,year_volume_page
b9,Studies on influenza haemagglutinin fusion peptide mutants generated by reverse genetics,Studies On Influenza Haemagglutinin Fusion Peptide Mutants Generated By Reverse Genetics,70,10.1093/emboj/20.16.4432,https://w3id.org/oc/meta/br/062601893718,year_volume_page
b10,Fusion mutants of the influenza virus hemagglutinin glycoprotein,Fusion Mutants Of The Influenza Virus Hemagglutinin Glycoprotein,70,10.1016/0092-8674(85)90157-6,https://w3id.org/oc/meta/br/06210676846,year_volume_page
b11,Structure of a classical broadly neutralizing stem antibody in complex with a pandemic H2 influenza virus hemagglutinin,Structure Of A Classical Broadly Neutralizing Stem Antibody In Complex With A Pandemic H2 Influenza Virus Hemagglutinin,70,10.1128/jvi.02975-12,https://w3id.org/oc/meta/br/061101116151,year_volume_page
b12,Antibody recognition of a highly conserved influenza virus epitope,Antibody Recognition Of A Highly Conserved Influenza Virus Epitope,70,10.1126/science.1171491,https://w3id.org/oc/meta/br/06160485041,year_volume_page
b13,A highly conserved neutralizing epitope on group 2 influenza A viruses,A Highly Conserved Neutralizing Epitope On Group 2 Influenza A Viruses,70,10.1126/science.1204839,https://w3id.org/oc/meta/br/06110489255,year_volume_page
b14,Computational design of proteins targeting the conserved stem region of influenza hemagglutinin,Computational Design Of Proteins Targeting The Conserved Stem Region Of Influenza Hemagglutinin,70,10.1126/science.1202617,https://w3id.org/oc/meta/br/06120478059,year_volume_page
b15,Influenza HA subtypes demonstrate divergent phenotypes for cleavage activation and pH of fusion: implications for host range and adaptation,Influenza HA Subtypes Demonstrate Divergent Phenotypes For Cleavage Activation And pH Of Fusion: Implications For Host Range And Adaptation,70,10.1371/journal.ppat.1003151,https://w3id.org/oc/meta/br/062101787730,year_volume_page
b16,The structure and receptor binding properties of the 1918 influenza hemagglutinin,The Structure And Receptor Binding Properties Of The 1918 Influenza Hemagglutinin,70,10.1126/science.1093155,https://w3id.org/oc/meta/br/06130482563,year_volume_page
b17,Dynamic changes during acidinduced activation of influenza hemagglutinin,Dynamic Changes During Acid-Induced Activation Of Influenza Hemagglutinin,65,10.1016/j.str.2015.02.006,https://w3id.org/oc/meta/br/06202206283,year_volume_page
b18,Studies on the mechanism of membrane fusion: site-specific mutagenesis of the hemagglutinin of influenza virus,Studies On The Mechanism Of Membrane Fusion: Site-Specific Mutagenesis Of The Hemagglutinin Of Influenza Virus.,70,10.1083/jcb.102.1.11,https://w3id.org/oc/meta/br/061401632179,year_volume_page
b19,"Comparison of the activities of zanamivir, oseltamivir, and RWJ-270201 against clinical isolates of influenza virus and neuraminidase inhibitor-resistant variants","Comparison Of The Activities Of Zanamivir, Oseltamivir, And RWJ-270201 Against Clinical Isolates Of Influenza Virus And Neuraminidase Inhibitor-Resistant Variants",70,10.1128/aac.45.12.3403-3408.2001,https://w3id.org/oc/meta/br/061803501482,year_volume_page
b20,H5 avian and H9 swine influenza virus haemagglutinin structures: possible origin of influenza subtypes,H5 Avian And H9 Swine Influenza Virus Haemagglutinin Structures: Possible Origin Of Influenza Subtypes,70,10.1093/emboj/21.5.865,https://w3id.org/oc/meta/br/06102257204,year_volume_page
b21,Neuraminidase inhibitor susceptibility network position statement: antiviral resistance in influenza A/H5N1 viruses,Neuraminidase Inhibitor Susceptibility Network Position Statement: Antiviral Resistance In Influenza A/H5N1 Viruses,70,10.1177/135965350501000811,https://w3id.org/oc/meta/br/061603090076,year_volume_page
b22,Baloxavir marboxil for uncomplicated influenza in adults and adolescents,Baloxavir Marboxil For Uncomplicated Influenza In Adults And Adolescents,70,10.1056/nejmoa1716197,https://w3id.org/oc/meta/br/06802504920,year_volume_page
b23,tructure-based identification of an inducer of the low-pH conformational change in the influenza virus hemagglutinin: irreversible inhibition of infectivity,Structure-based Identification Of An Inducer Of The low-pH Conformational Change In The Influenza Virus Hemagglutinin: Irreversible Inhibition Of Infectivity,70,10.1128/jvi.71.11.8808-8820.1997,https://w3id.org/oc/meta/br/061701113300,year_volume_page
b25,Structure and function analysis of an antibody recognizing all influenza a subtypes,Structure And Function Analysis Of An Antibody Recognizing All Influenza A Subtypes,70,10.1016/j.cell.2016.05.073,https://w3id.org/oc/meta/br/0650681593,year_volume_page
b26,Activation of influenza A viruses by trypsin treatment,Activation Of Influenza A Viruses By Trypsin Treatment,70,10.1016/0042-6822(75)90284-6,https://w3id.org/oc/meta/br/06501471650,year_volume_page
b27,Enhancement of the infectivity of influenza A and B viruses by proteolytic cleavage of the hemagglutinin polypeptide,Enhancement Of The Infectivity Of Influenza A And B Viruses By Proteolytic Cleavage Of The Hemagglutinin Polypeptide,70,10.1016/0042-6822(75)90285-8,https://w3id.org/oc/meta/br/06301459122,year_volume_page
b28,Lowered pH leads to fusion peptide release and a highly dynamic intermediate of influenza hemagglutinin,Lowered pH Leads To Fusion Peptide Release And A Highly Dynamic Intermediate Of Influenza Hemagglutinin,70,10.1021/acs.jpcb.6b06775,https://w3id.org/oc/meta/br/0650634955,year_author_page
b29,Structures of receptor complexes formed by hemagglutinins from the Asian Influenza pandemic of 1957,Structures Of Receptor Complexes Formed By Hemagglutinins From The Asian Influenza Pandemic Of 1957,70,10.1073/pnas.0906849106,https://w3id.org/oc/meta/br/061803052758,year_volume_page
b30,Insights into avian influenza virus pathogenicity: the hemagglutinin precursor HA0 of subtype H16 has an alpha-helix structure in its cleavage site with inefficient HA1/HA2 cleavage,Insights Into Avian Influenza Virus Pathogenicity: The Hemagglutinin Precursor HA0 Of Subtype H16 Has An Alpha-Helix Structure In Its Cleavage Site With Inefficient HA1/HA2 Cleavage,70,10.1128/jvi.01606-12,https://w3id.org/oc/meta/br/061101116984,year_volume_page
b31,Comparison of complete amino acid sequences and receptor-binding properties among 13 serotypes of hemagglutinins of influenza A viruses,Comparison Of Complete Amino Acid Sequences And Receptor-Binding Properties Among 13 Serotypes Of Hemagglutinins Of Influenza A Viruses,70,10.1016/0042-6822(91)90588-3,https://w3id.org/oc/meta/br/062601474289,year_volume_page
b32,A specific point mutant at position 1 of the influenza hemagglutinin fusion peptide displays a hemifusion phenotype,A Specific Point Mutant At Position 1 Of The Influenza Hemagglutinin Fusion Peptide Displays A Hemifusion Phenotype,70,10.1091/mbc.10.8.2759,https://w3id.org/oc/meta/br/0616099075,year_volume_page
b33,Amino acid residues in the fusion peptide pocket regulate the pH of activation of the H5N1 influenza virus hemagglutinin protein,Amino Acid Residues In The Fusion Peptide Pocket Regulate The pH Of Activation Of The H5N1 Influenza Virus Hemagglutinin Protein,70,10.1128/jvi.02238-08,https://w3id.org/oc/meta/br/061601118296,year_volume_page
b34,H1 and H7 influenza haemagglutinin structures extend a structural classification of haemagglutinin subtypes,H1 And H7 Influenza Haemagglutinin Structures Extend A Structural Classification Of Haemagglutinin Subtypes,70,10.1016/j.virol.2004.04.040,https://w3id.org/oc/meta/br/061901452624,year_volume_page
b35,Structure of influenza hemagglutinin in complex with an inhibitor of membrane fusion,Structure Of Influenza Hemagglutinin In Complex With An Inhibitor Of Membrane Fusion,70,10.1073/pnas.0807142105,https://w3id.org/oc/meta/br/062303052904,year_volume_page
b36,Studies using double mutants of the conformational transitions in influenza hemagglutinin required for its membrane fusion activity,Studies Using Double Mutants Of The Conformational Transitions In Influenza Hemagglutinin Required For Its Membrane Fusion Activity,70,10.1073/pnas.93.23.12873,https://w3id.org/oc/meta/br/062403047533,year_volume_page
b37,Studies of the membrane fusion activities of fusion peptide mutants of influenza virus hemagglutinin,Studies Of The Membrane Fusion Activities Of Fusion Peptide Mutants Of Influenza Virus Hemagglutinin,70,10.1128/jvi.69.11.6643-6651.1995,https://w3id.org/oc/meta/br/062301107577,year_volume_page
b38,Structure of the uncleaved human H1 hemagglutinin from the extinct 1918 influenza virus,Structure Of The Uncleaved Human H1 Hemagglutinin From The Extinct 1918 Influenza Virus,70,10.1126/science.1093373,https://w3id.org/oc/meta/br/06130482562,year_volume_page
