reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,N/A,Lubricants And Lubrication,65,10.1002/9783527610341,https://w3id.org/oc/meta/br/06803537593,author_title
b1,N/A,"Metalworking Fluids, Third Edition",50,10.4324/9781351228213,https://w3id.org/oc/meta/br/0611055065,author_title
b2,Application of interaction energy in quantitative structure-inhibition relationship study of some benzenethiol derivatives on copper corrosion,Application Of Interaction Energy In Quantitative Structure-Inhibition Relationship Study Of Some Benzenethiol Derivatives On Copper Corrosion,70,10.1016/j.corsci.2016.01.014,https://w3id.org/oc/meta/br/0690281858,year_author_page
b3,Copper oxides: kinetics of formation and semiconducting properties. Part I. Polycrystalline copper and copper-gold alloys,Copper Oxides: Kinetics Of Formation And Semiconducting Properties. Part I. Polycrystalline Copper And Copper-Gold Alloys,70,10.1007/s10008-014-2522-z,https://w3id.org/oc/meta/br/06903335976,year_volume_page
b4,The desorption and reaction of 1-alkenes and 1-alkynes on Cu(111) and copper foils,The Desorption And Reaction Of 1-Alkenes And 1-Alkynes On Cu(111) And Copper Foils,70,10.1016/j.susc.2013.04.007,https://w3id.org/oc/meta/br/06301121990,year_author_page
b6,"Experimental and theoretical investigation of 3-amino-1,2,4-triazole-5-thiol as a corrosion inhibitor for carbon steel in HCl medium","Experimental And Theoretical Investigation Of 3-Amino-1,2,4-Triazole-5-Thiol As A Corrosion Inhibitor For Carbon Steel In HCl Medium",70,10.1016/j.corsci.2011.08.038,https://w3id.org/oc/meta/br/06120270224,year_volume_page
b7,Experimental and theoretical studies of thiazoles as corrosion inhibitors for mild steel in sulphuric acid solution,Experimental And Theoretical Studies Of Thiazoles As Corrosion Inhibitors For Mild Steel In Sulphuric Acid Solution,70,10.1016/j.corsci.2011.05.027,https://w3id.org/oc/meta/br/06120270362,year_volume_page
b8,Inhibition properties of self-assembled corrosion inhibitor tall oil diethylenetriamine imidazoline for mild steel corrosion in chloride solution saturated with carbon dioxide,Inhibition Properties Of Self-Assembled Corrosion Inhibitor Talloil Diethylenetriamine Imidazoline For Mild Steel Corrosion In Chloride Solution Saturated With Carbon Dioxide,70,10.1016/j.corsci.2013.08.012,https://w3id.org/oc/meta/br/06110278449,year_author_page
b10,SERS and MD simulation studies of a kinase inhibitor demonstrate the emergence of a potential drug discovery tool,SERS And MD Simulation Studies Of A Kinase Inhibitor Demonstrate The Emergence Of A Potential Drug Discovery Tool,70,10.1073/pnas.1402695111,https://w3id.org/oc/meta/br/062203049210,year_volume_page
b11,"What determines the inhibition effectiveness of ATA, BTAH, and BTAOH corrosion inhibitors on copper?","What Determines The Inhibition Effectiveness Of ATA, BTAH, And BTAOH Corrosion Inhibitors On Copper?",70,10.1021/ja107704y,https://w3id.org/oc/meta/br/062101528127,year_volume_page
b13,Scale alpha and beta of quantitative convergence and chemical reactivity analysis in dual choli- nesterase/monoamine oxidase inhibitors for the alzheimer disease treatment using density functional theory (DFT),タンパク質-タンパク質界面における荷電性アミノ酸残基と周辺残基との相互作用解析,70,10.11545/ciqs.2013.0.p1.0,https://w3id.org/oc/meta/br/06330239511,year_volume_page
b14,Integrated computation and experimental investigation on the adsorption mechanisms of anti-wear and anti-corrosion additives on copper [J],Integrated Computation And Experimental Investigation On The Adsorption Mechanisms Of Anti-Wear And Anti-Corrosion Additives On Copper,70,10.1021/acs.jpcc.7b04460,https://w3id.org/oc/meta/br/061901530804,year_volume_page
b15,Performance of the Vienna ab initio simulation package (VASP) in chemical applications,Performance Of The Vienna Ab Initio Simulation Package (VASP) In Chemical Applications,70,10.1016/s0166-1280(02)00733-9,https://w3id.org/oc/meta/br/06190253938,year_volume_page
b16,Generalized gradient approximation made simple,Generalized Gradient Approximation Made Simple,70,10.1103/physrevlett.77.3865,https://w3id.org/oc/meta/br/061403482731,year_volume_page
b17,Projector augmented-wave method,Projector Augmented-Wave Method,70,10.1103/physrevb.50.17953,https://w3id.org/oc/meta/br/06703908463,year_volume_page
b18,Structure analysis of the Cu(110)-(1×2) surface reconstruction induced by alkali-metal adsorption,特集 発がんのメカニズム/最近の知見 染色体異常と発がん-欠失とがん抑制遺伝子,70,10.11477/mf.2425900009,https://w3id.org/oc/meta/br/062104059266,year_volume_page
b19,Poly(1-vinylimidazole) formation on copper surfaces via surface-initiated graft polymerization for corrosion protection,Poly(1-vinylimidazole) Formation On Copper Surfaces Via Surface-Initiated Graft Polymerization For Corrosion Protection,70,10.1016/j.corsci.2010.02.010,https://w3id.org/oc/meta/br/06130269394,year_volume_page
b20,Inhibitive properties and adsorption of purpled as a corrosion inhibitor for copper in nitric acid medium,Inhibitive Properties And Adsorption Of Purpald As A Corrosion Inhibitor For Copper In Nitric Acid Medium,65,10.1021/ie301465k,https://w3id.org/oc/meta/br/06801460503,year_author_page
b21,Adsorption and corrosion inhibition of phytic acid calcium on the copper surface in 3 wt% NaCl solution,Adsorption And Corrosion Inhibition Of Phytic Acid Calcium On The Copper Surface In 3Wt% NaCl Solution,70,10.1016/j.corsci.2014.02.001,https://w3id.org/oc/meta/br/06110278223,year_author_page
b22,Theoretical prediction and electrochemical evaluation of vinylimidazole and allylimidazole as corrosion inhibitors for mild steel in 1 M HCl,Theoretical Prediction And Electrochemical Evaluation Of Vinylimidazole And Allylimidazole As Corrosion Inhibitors For Mild Steel In 1 M HCl,70,10.1016/j.jiec.2014.05.049,https://w3id.org/oc/meta/br/061102387307,year_author_page
b23,Inhibition effect of rhodanine-N-acetic acid on copper corrosion in acidic media,Inhibition Effect Of Rhodanine-N-Acetic Acid On Copper Corrosion In Acidic Media,70,10.1021/ie400160x,https://w3id.org/oc/meta/br/06701453972,year_volume_page
b24,Corrosion control of copper in 3.5 wt.% NaCl solution by domperidone: experimental and theoretical study,Corrosion Control Of Copper In 3.5Wt.% NaCl Solution By Domperidone: Experimental And Theoretical Study,65,10.1016/j.corsci.2014.04.002,https://w3id.org/oc/meta/br/06110278167,year_author_page
b25,Adsorption and corrosion inhibition of Osmanthus fragran leaves extract on carbon steel,Adsorption And Corrosion Inhibition Of Osmanthus Fragran Leaves Extract On Carbon Steel,70,10.1016/j.corsci.2012.05.026,https://w3id.org/oc/meta/br/06120269874,year_author_page
b26,"Wettability characteristics of carbon steel modified with CO2, Nd:YAG, excimer and high power diode lasers","Wettability Characteristics Of Carbon Steel Modified With CO2, Nd:YAG, Excimer And High Power Diode Lasers",70,10.1016/s0169-4332(99)00416-x,https://w3id.org/oc/meta/br/06190892506,year_author_page
b27,Space-confined synthesis of multilayer Cu-N-doped graphene nanosheets for efficient oxygen electroreduction,Space-confined Synthesis Of Multilayer Cu–N-doped Graphene Nanosheets For Efficient Oxygen Electroreduction,70,10.1039/c7dt01614j,https://w3id.org/oc/meta/br/06190436440,year_volume_page
b28,Copper on carbon materials: stabilization by nitrogen doping,Copper On Carbon Materials: Stabilization By Nitrogen Doping,70,10.1039/c7ta02282d,https://w3id.org/oc/meta/br/06180496659,year_volume_page
b29,"Resolving surface chemical states in XPS analysis of first row transition metals, oxides and hydroxides: Sc, Ti, V, Cu and Zn","Resolving Surface Chemical States In XPS Analysis Of First Row Transition Metals, Oxides And Hydroxides: Sc, Ti, V, Cu And Zn",70,10.1016/j.apsusc.2010.07.086,https://w3id.org/oc/meta/br/0640896128,year_volume_page
