reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Memristor-The missing circuit element,Memristor-The Missing Circuit Element,70,10.1109/tct.1971.1083337,https://w3id.org/oc/meta/br/061601344776,year_volume_page
b1,Memristive devices and systems,Memristive Devices And Systems,70,10.1109/proc.1976.10092,https://w3id.org/oc/meta/br/06140685990,year_volume_page
b2,A memristive circuit model for p-n junction diodes,A Memristive Circuit Model For P-N Junction Diodes,70,10.1002/cta.4490020406,https://w3id.org/oc/meta/br/06260281818,year_volume_page
b3,The missing memristor found,The Missing Memristor Found,70,10.1038/nature06932,https://w3id.org/oc/meta/br/0640355537,year_volume_page
b4,Nanoscale Memristor Device as Synapse in Neuromorphic Systems,Nanoscale Memristor Device As Synapse In Neuromorphic Systems,70,10.1021/nl904092h,https://w3id.org/oc/meta/br/061601482557,year_volume_page
b5,Bioengineered Tunable Memristor Based on Protein Nanocage,Bioengineered Tunable Memristor Based On Protein Nanocage,65,10.1002/smll.201300810,https://w3id.org/oc/meta/br/06702416187,year_volume_page
b6,Memristor Bridge Synapse-Based Neural Network and Its Learning,Memristor Bridge Synapse-Based Neural Network And Its Learning,70,10.1109/tnnls.2012.2204770,https://w3id.org/oc/meta/br/062401756334,year_volume_page
b7,The elusive memristor: properties of basic electrical circuits,The Elusive Memristor: Properties Of Basic Electrical Circuits,70,10.1088/0143-0807/30/4/001,https://w3id.org/oc/meta/br/06250559104,year_volume_page
b8,Compound synchronization of four memristor chaotic oscillator systems and secure communication,Compound Synchronization Of Four Memristor Chaotic Oscillator Systems And Secure Communication,70,10.1063/1.4794794,https://w3id.org/oc/meta/br/061601320134,author_title
b9,Training itself: Mixed-signal training acceleration for memristor-based neural network,Training Itself: Mixed-signal Training Acceleration For Memristor-Based Neural Network,70,10.1109/aspdac.2014.6742916,https://w3id.org/oc/meta/br/062302896861,author_title
b10,Multilayer RTD-memristor-based cellular neural networks for color image processing,Multilayer RTD-memristor-based Cellular Neural Networks For Color Image Processing,70,10.1016/j.neucom.2015.03.057,https://w3id.org/oc/meta/br/06230833676,year_author_page
b11,GST-memristor-based online learning neural networks,GST-memristor-based Online Learning Neural Networks,70,10.1016/j.neucom.2017.08.014,https://w3id.org/oc/meta/br/06180833645,year_author_page
