reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Phase III study of gefitinib or pemetrexed with carboplatin in EGFR-mutated advanced lung adenocarcinoma,Phase III Study Of Gefitinib Or Pemetrexed With Carboplatin In EGFR-mutated Advanced Lung Adenocarcinoma,70,10.1136/esmoopen-2017-000168,https://w3id.org/oc/meta/br/061202087544,year_volume_page
b1,Osimertinib in Untreated EGFR-Mutated Advanced Non-Small-Cell Lung Cancer,Osimertinib In UntreatedEGFR-Mutated Advanced Non–Small-Cell Lung Cancer,65,10.1056/nejmoa1713137,https://w3id.org/oc/meta/br/06802505721,year_volume_page
b2,Afatinib versus erlotinib as second-line treatment of patients with advanced squamous cell carcinoma of the lung (LUX-Lung 8): an open-label randomised controlled phase 3 trial,Afatinib Versus Erlotinib As Second-Line Treatment Of Patients With Advanced Squamous Cell Carcinoma Of The Lung (LUX-Lung 8): An Open-Label Randomised Controlled Phase 3 Trial,70,10.1016/s1470-2045(15)00006-6,https://w3id.org/oc/meta/br/061201026252,year_volume_page
b3,"NCCN Guidelines Insights: Non–Small Cell Lung Cancer, Version 5.2018","NCCN Guidelines Insights: Non–Small Cell Lung Cancer, Version 5.2018",70,10.6004/jnccn.2018.0062,https://w3id.org/oc/meta/br/062101132340,year_volume_page
b5,Phase III Study Comparing Cisplatin Plus Gemcitabine With Cisplatin Plus Pemetrexed in Chemotherapy-Naive Patients With Advanced-Stage Non–Small-Cell Lung Cancer,Phase III Study Comparing Cisplatin Plus Gemcitabine With Cisplatin Plus Pemetrexed In Chemotherapy-Naive Patients With Advanced-Stage Non–Small-Cell Lung Cancer,70,10.1200/jco.2007.15.0375,https://w3id.org/oc/meta/br/061702872305,year_volume_page
b6,Pemetrexed for advanced stage nonsquamous non-small cell lung cancer: latest evidence about its extended use and outcomes,Pemetrexed For Advanced Stage Nonsquamous Non-Small Cell Lung Cancer: Latest Evidence About Its Extended Use And Outcomes,70,10.1177/1758834016644155,https://w3id.org/oc/meta/br/06250784683,year_volume_page
b7,PARAMOUNT: Final Overall Survival Results of the Phase III Study of Maintenance Pemetrexed Versus Placebo Immediately After Induction Treatment With Pemetrexed Plus Cisplatin for Advanced Nonsquamous Non–Small-Cell Lung Cancer,PARAMOUNT: Final Overall Survival Results Of The Phase III Study Of Maintenance Pemetrexed Versus Placebo Immediately After Induction Treatment With Pemetrexed Plus Cisplatin For Advanced Nonsquamous Non–Small-Cell Lung Cancer,70,10.1200/jco.2012.47.1102,https://w3id.org/oc/meta/br/061102879103,year_volume_page
b8,Maintenance treatment after induction therapy in non-small cell lung cancer: latest evidence and clinical implications,Maintenance Treatment After Induction Therapy In Non-Small Cell Lung Cancer: Latest Evidence And Clinical Implications,65,10.1177/1758834013510589,https://w3id.org/oc/meta/br/06250784755,year_volume_page
b9,"Maintenance pemetrexed plus best supportive care versus placebo plus best supportive care for non-small-cell lung cancer: a randomised, double-blind, phase 3 study","Maintenance Pemetrexed Plus Best Supportive Care Versus Placebo Plus Best Supportive Care For Non-Small-Cell Lung Cancer: A Randomised, Double-Blind, Phase 3 Study",70,10.1016/s0140-6736(09)61497-5,https://w3id.org/oc/meta/br/0680823054,year_volume_page
b10,Cost-Effectiveness of Continuation Maintenance Pemetrexed After Cisplatin and Pemetrexed Chemotherapy for Advanced Nonsquamous Non–Small-Cell Lung Cancer: Estimates From the Perspective of the Chinese Health Care System,Cost-Effectiveness Of Continuation Maintenance Pemetrexed After Cisplatin And Pemetrexed Chemotherapy For Advanced Nonsquamous Non–Small-Cell Lung Cancer: Estimates From The Perspective Of The Chinese Health Care System,70,10.1016/j.clinthera.2012.12.013,https://w3id.org/oc/meta/br/06260993872,year_volume_page
b11,Cost-Effectiveness of Maintenance Pemetrexed in Patients with Advanced Nonsquamous-Cell Lung Cancer from the Perspective of the Swiss Health Care System,Cost-Effectiveness Of Maintenance Pemetrexed In Patients With Advanced Nonsquamous-Cell Lung Cancer From The Perspective Of The Swiss Health Care System,70,10.5167/uzh-68697,https://w3id.org/oc/meta/br/06260644558,year_volume_page
b12,Approval Summary: Erlotinib Maintenance Therapy of Advanced/Metastatic Non-Small Cell Lung Cancer (NSCLC),Approval Summary: Erlotinib Maintenance Therapy Of Advanced/Metastatic Non-Small Cell Lung Cancer (NSCLC),70,10.1634/theoncologist.2010-0257,https://w3id.org/oc/meta/br/06103056413,year_volume_page
b13,"Erlotinib as maintenance treatment in advanced non-small-cell lung cancer: a multicentre, randomised, placebo-controlled phase 3 study","Erlotinib As Maintenance Treatment In Advanced Non-Small-Cell Lung Cancer: A Multicentre, Randomised, Placebo-Controlled Phase 3 Study",70,10.1016/s1470-2045(10)70112-1,https://w3id.org/oc/meta/br/061401027136,year_volume_page
b14,Erlotinib in Previously Treated Non–Small-Cell Lung Cancer,Erlotinib In Previously Treated Non–Small-Cell Lung Cancer,70,10.1056/nejmoa050753,https://w3id.org/oc/meta/br/062102121476,year_volume_page
b15,N/A,Statistical Analysis With Missing Data,50,10.2307/1533221,https://w3id.org/oc/meta/br/061502661891,author_title
b16,"Efficacy and safety of erlotinib versus chemotherapy in second-line treatment of patients with advanced, non-small-cell lung cancer with poor prognosis (TITAN): a randomised multicentre, open-label, phase 3 study","Efficacy And Safety Of Erlotinib Versus Chemotherapy In Second-Line Treatment Of Patients With Advanced, Non-Small-Cell Lung Cancer With Poor Prognosis (TITAN): A Randomised Multicentre, Open-Label, Phase 3 Study",70,10.1016/s1470-2045(11)70385-0,https://w3id.org/oc/meta/br/061401026624,year_volume_page
b17,Maintenance erlotinib versus erlotinib at disease progression in patients with advanced non-small-cell lung cancer who have not progressed following platinum-based chemotherapy (IUNO study),Maintenance Erlotinib Versus Erlotinib At Disease Progression In Patients With Advanced Non-Small-Cell Lung Cancer Who Have Not Progressed Following Platinum-Based Chemotherapy (IUNO Study),70,10.1016/j.lungcan.2016.10.007,https://w3id.org/oc/meta/br/0620893486,year_author_page
b19,Erlotinib in African Americans With Advanced Non–Small Cell Lung Cancer: A Prospective Randomized Study With Genetic and Pharmacokinetic Analyses,Erlotinib In African Americans With Advanced Non–Small Cell Lung Cancer: A Prospective Randomized Study With Genetic And Pharmacokinetic Analyses,70,10.1038/clpt.2014.93,https://w3id.org/oc/meta/br/061301134683,year_volume_page
b20,Population Pharmacokinetics/Pharmacodynamics of Erlotinib and Pharmacogenomic Analysis of Plasma and Cerebrospinal Fluid Drug Concentrations in Japanese Patients with Non-Small Cell Lung Cancer,Population Pharmacokinetics/Pharmacodynamics Of Erlotinib And Pharmacogenomic Analysis Of Plasma And Cerebrospinal Fluid Drug Concentrations In Japanese Patients With Non-Small Cell Lung Cancer,70,10.1007/s40262-013-0058-5,https://w3id.org/oc/meta/br/061902450646,year_volume_page
b21,Pharmacogenomic and Pharmacokinetic Determinants of Erlotinib Toxicity,Pharmacogenomic And Pharmacokinetic Determinants Of Erlotinib Toxicity,70,10.1200/jco.2007.13.1128,https://w3id.org/oc/meta/br/061802859864,year_volume_page
b22,Nivolumab versus Docetaxel in Advanced Squamous-Cell Non–Small-Cell Lung Cancer,Nivolumab Versus Docetaxel In Advanced Squamous-Cell Non–Small-Cell Lung Cancer,70,10.1056/nejmoa1504627,https://w3id.org/oc/meta/br/061202120839,year_volume_page
b23,Nivolumab versus Docetaxel in Advanced Nonsquamous Non–Small-Cell Lung Cancer,Nivolumab Versus Docetaxel In Advanced Nonsquamous Non–Small-Cell Lung Cancer,70,10.1056/nejmoa1507643,https://w3id.org/oc/meta/br/061202120511,year_volume_page
b24,"Pembrolizumab versus docetaxel for previously treated, PD-L1-positive, advanced non-small-cell lung cancer (KEYNOTE-010): a randomised controlled trial","Pembrolizumab Versus Docetaxel For Previously Treated, PD-L1-positive, Advanced Non-Small-Cell Lung Cancer (KEYNOTE-010): A Randomised Controlled Trial",70,10.1016/s0140-6736(15)01281-7,https://w3id.org/oc/meta/br/065101482,year_volume_page
b25,Access to Cancer Therapeutics in Low-and Middle-Income Countries,Access To Cancer Therapeutics In Low- And Middle-Income Countries,70,10.1200/edbk_155975,https://w3id.org/oc/meta/br/06501384983,year_author_page
b26,ESMO-Magnitude of Clinical Benefit Scale version 1.1,ESMO-Magnitude Of Clinical Benefit Scale Version 1.1,70,10.1093/annonc/mdx310,https://w3id.org/oc/meta/br/062303335192,year_volume_page
b27,Maintenance therapy for advanced non-small-cell lung cancer: a pilot study on patients' perceptions,Maintenance Therapy For Advanced Non–Small-Cell Lung Cancer: A Pilot Study On Patients’ Perceptions,70,10.1097/jto.0b013e31825879ea,https://w3id.org/oc/meta/br/061903309817,year_volume_page
