reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Characterization of neocortical principal cells and interneurons by network interactions and extracellular features,Characterization Of Neocortical Principal Cells And Interneurons By Network Interactions And Extracellular Features,70,10.1152/jn.01170.2003,https://w3id.org/oc/meta/br/062401353708,year_volume_page
b1,Long-term suppression of tremor by chronic stimulation of the ventral intermediate thalamic nucleus,Long-term Suppression Of Tremor By Chronic Stimulation Of The Ventral Intermediate Thalamic Nucleus,70,10.1016/0140-6736(91)91175-t,https://w3id.org/oc/meta/br/063404560,year_volume_page
b2,Essential tremor severity and anatomical changes in brain areas controlling movement sequencing,Essential Tremor Severity And Anatomical Changes In Brain Areas Controlling Movement Sequencing,65,10.1002/acn3.681,https://w3id.org/oc/meta/br/06201175120,year_volume_page
b3,Measuring burstiness and regularity in oscillatory spike trains,Measuring Burstiness And Regularity In Oscillatory Spike Trains,70,10.1016/j.jneumeth.2011.08.013,https://w3id.org/oc/meta/br/0620463611,year_volume_page
b4,Emerging views of corticothalamic function,Emerging Views Of Corticothalamic Function,70,10.1016/j.conb.2008.09.002,https://w3id.org/oc/meta/br/06150866668,year_volume_page
b5,Cortical volume and folding abnormalities in Parkinson’s disease patients with pathological gambling,Cortical Volume And Folding Abnormalities In Parkinson's Disease Patients With Pathological Gambling,70,10.1016/j.parkreldis.2014.09.001,https://w3id.org/oc/meta/br/061602432000,year_volume_page
b6,Current clinical application of deep- brain stimulation for essential tremor,Current Clinical Application Of Deep-Brain Stimulation For Essential Tremor,70,10.2147/ndt.s32342,https://w3id.org/oc/meta/br/062103090208,year_author_page
b7,Coefficient of variation (CV) vs mean interspike interval (ISI) curves: what do they tell us about the brain?,Coefficient Of Variation Vs. Mean Interspike Interval Curves: What Do They Tell Us About The Brain?,70,10.1016/s0925-2312(01)00480-5,https://w3id.org/oc/meta/br/06110836033,year_author_page
b8,Neuroanatomical heterogeneity of essential tremor according to propranolol response,Neuroanatomical Heterogeneity Of Essential Tremor According To Propranolol Response,70,10.1371/journal.pone.0084054,https://w3id.org/oc/meta/br/061401507795,author_title
b9,Surgery for dystonia and tremor,Surgery For Dystonia And Tremor,70,10.1007/s11910-016-0627-8,https://w3id.org/oc/meta/br/06230879631,author_title
b11,Pathophysiology of nonparkinsonian tremors,Pathophysiology Of Nonparkinsonian Tremors,70,10.1002/mds.10141,https://w3id.org/oc/meta/br/0620666969,author_title
b12,The pathophysiology of essential tremor,The Pathophysiology Of Essential Tremor And Parkinson’s Tremor,50,10.1007/s11910-013-0378-8,https://w3id.org/oc/meta/br/06230879873,author_title
b13,Microstimulation-induced inhibition of neuronal firing in human globus pallidus,Microstimulation-Induced Inhibition Of Neuronal Firing In Human Globus Pallidus,70,10.1152/jn.2000.84.1.570,https://w3id.org/oc/meta/br/061601377678,year_volume_page
b14,What is essential tremor?,What Is Essential Tremor?,70,10.1007/s11910-013-0353-4,https://w3id.org/oc/meta/br/06230879900,author_title
b15,Mechanisms of deep brain stimulation for essential tremor,Mechanisms Of Deep Brain Stimulation For Essential Tremor,70,10.1093/brain/awt347,https://w3id.org/oc/meta/br/061601876856,year_volume_page
b16,Thalamic bursting in rats during different awake behavioral states,Thalamic Bursting In Rats During Different Awake Behavioral States,70,10.1073/pnas.261273898,https://w3id.org/oc/meta/br/062403047474,year_volume_page
b17,Tapping the brakes: cellular and synaptic mechanisms that regulate thalamic oscillations,Tapping The Brakes: Cellular And Synaptic Mechanisms That Regulate Thalamic Oscillations,70,10.1016/j.neuron.2016.10.024,https://w3id.org/oc/meta/br/062402012395,year_volume_page
b18,"A force-plate actometer for quantitating rodent behaviors: illustrative data on locomotion, rotation, spatial patterning, stereotypies, and tremor","A Force-Plate Actometer For Quantitating Rodent Behaviors: Illustrative Data On Locomotion, Rotation, Spatial Patterning, Stereotypies, And Tremor",70,10.1016/s0165-0270(01)00359-4,https://w3id.org/oc/meta/br/06250460685,year_volume_page
b19,Time delay and partial coherence analyses to identify cortical connectivities,Time Delay And Partial Coherence Analyses To Identify Cortical Connectivities,70,10.1007/s00422-005-0045-5,https://w3id.org/oc/meta/br/062201750257,year_volume_page
b20,Harmaline tremor: underlying mechanisms in a potential animal model of essential tremor,Harmaline Tremor: Underlying Mechanisms In A Potential Animal Model Of Essential Tremor.,70,10.7916/d8td9w2p,https://w3id.org/oc/meta/br/06404289097,year_author_page
b21,The Anesthetic mechanism of urethane: the effects on neurotransmitter-gated ion channels,The Anesthetic Mechanism Of Urethane: The Effects On Neurotransmitter-Gated Ion Channels,70,10.1213/00000539-200202000-00015,https://w3id.org/oc/meta/br/06501010998,year_volume_page
b22,Mouse motor cortex coordinates the behavioral response to unpredicted sensory feedback,Mouse Motor Cortex Coordinates The Behavioral Response To Unpredicted Sensory Feedback,70,10.1016/j.neuron.2019.02.042,https://w3id.org/oc/meta/br/062603903976,year_author_page
b23,Tremor-correlated cortical activity detected by electroencephalography,Tremor-correlated Cortical Activity Detected By Electroencephalography,70,10.1016/s1388-2457(00)00248-0,https://w3id.org/oc/meta/br/06403148935,year_volume_page
b24,Tremor-correlated cortical activity in essential tremor,Tremor-correlated Cortical Activity In Essential Tremor,70,10.1016/s0140-6736(00)04044-7,https://w3id.org/oc/meta/br/063801330,year_volume_page
b25,Thalamic neuronal activity correlated with essential tremor,Thalamic Neuronal Activity Correlated With Essential Tremor,70,10.1136/jnnp.64.2.273,https://w3id.org/oc/meta/br/06701368637,year_volume_page
b26,Motor thalamic circuits in primates with emphasis on the area targeted in treatment of movement disorders,Motor Thalamic Circuits In Primates With Emphasis On The Area Targeted In Treatment Of Movement Disorders,70,10.1002/mds.10137,https://w3id.org/oc/meta/br/0620666398,author_title
b27,Bursts as a unit of neural information: selective communication via resonance,Bursts As A Unit Of Neural Information: Selective Communication Via Resonance,70,10.1016/s0166-2236(03)00034-1,https://w3id.org/oc/meta/br/0670252273,year_volume_page
b28,Neuronal response to local electrical stimulation in rat thalamus: physiological implications for mechanisms of deep brain stimulation,Neuronal Response To Local Electrical Stimulation In Rat Thalamus: Physiological Implications For Mechanisms Of Deep Brain Stimulation,70,10.1016/s0306-4522(02)00122-7,https://w3id.org/oc/meta/br/061801924843,year_volume_page
b29,The tremor network targeted by successful VIM deep brain stimulation in humans,The Tremor Network Targeted By Successful VIM Deep Brain Stimulation In Humans,70,10.1212/wnl.0b013e318249f702,https://w3id.org/oc/meta/br/06902147576,year_volume_page
b30,Development of harmaline-induced tremor in a swine model,Development Of Harmaline-induced Tremor In A Swine Model.,70,10.5334/tohm.406,https://w3id.org/oc/meta/br/062303857351,year_author_page
b31,Decreased EAAT2 protein expression in the essential tremor cerebellar cortex,Decreased EAAT2 Protein Expression In The Essential Tremor Cerebellar Cortex,70,10.7916/d8xs5t3h,https://w3id.org/oc/meta/br/06230230324,author_title
