reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b2,Member checking: A tool to enhance trustworthiness or merely a nod to validation?,Member Checking,70,10.1177/1049732316654870,https://w3id.org/oc/meta/br/06601192958,year_volume_page
b3,The utility of tem‐ plate analysis in qualitative psychology research,The Utility Of Template Analysis In Qualitative Psychology Research,60,10.1080/14780887.2014.955224,https://w3id.org/oc/meta/br/061901435903,year_volume_page
b5,Fifty years of the critical incident technique: 1954–2004 and beyond,Fifty Years Of The Critical Incident Technique: 1954-2004 And Beyond,70,10.1177/1468794105056924,https://w3id.org/oc/meta/br/061401622023,year_volume_page
b6,Management in the South African public health sector: An x‐inefficiency perspective,Management In The South African Public Health Sector: An X-Inefficiency Perspective,65,10.1080/0376835x.2012.730972,https://w3id.org/oc/meta/br/06203051981,year_volume_page
b8,Testing the differen‐ tial effects of changes in psychological contract breach and fulfillment,Testing The Differential Effects Of Changes In Psychological Contract Breach And Fulfillment,65,10.1016/j.jvb.2011.01.003,https://w3id.org/oc/meta/br/062102248801,year_volume_page
b9,The role of the psychological contract in the motivation of nurses,The Role Of The Psychological Contract In The Motivation Of Nurses,65,10.1108/lhs-02-2017-0008,https://w3id.org/oc/meta/br/06260667902,year_volume_page
b10,The mediating effect of burnout on the relationship between structural empowerment and organizational citizenship behaviours,The Mediating Effect Of Burnout On The Relationship Between Structural Empowerment And Organizational Citizenship Behaviours,70,10.1111/j.1365-2834.2010.01074.x,https://w3id.org/oc/meta/br/062103327541,year_volume_page
b11,Communicating the psychological contract: An employer perspective,Communicating The Psychological Contract: An Employer Perspective,70,10.1111/j.1748-8583.2002.tb00062.x,https://w3id.org/oc/meta/br/0646065096,year_volume_page
b12,Paperwork and the contradictions of accountability in a South African hospital,Paperwork And The Contradictions Of Accountability In A South African Hospital,70,10.1111/j.1467-9655.2012.01779.x,https://w3id.org/oc/meta/br/06803481728,year_volume_page
b13,Psychological contracts of hospice nurses,Psychological Contracts Of Hospice Nurses,70,10.12968/ijpn.2010.16.12.599,https://w3id.org/oc/meta/br/0680542234,year_volume_page
b15,Positive working relationships matter for better nurse and patient outcomes,Positive Working Relationships Matter For Better Nurse And Patient Outcomes,70,10.1111/j.1365-2834.2010.01206.x,https://w3id.org/oc/meta/br/062103327406,year_volume_page
b16,N/A,Practical Research: Planning And Design,50,10.2307/1318509,https://w3id.org/oc/meta/br/06803722995,author_title
b17,Intensive care unit managers’ views regarding nurse staffing in their units in South Africa,Intensive Care Unit Nurse Managers’ Views Regarding Nurse Staffing In Their Units In South Africa,65,10.1016/j.iccn.2015.07.006,https://w3id.org/oc/meta/br/06201018345,year_author_page
b18,"The antecedents, attributes and consequences of trust among nurses and nurse managers: A concept analysis","The Antecedents, Attributes And Consequences Of Trust Among Nurses And Nurse Managers: A Concept Analysis",70,10.1016/j.ijnurstu.2013.10.003,https://w3id.org/oc/meta/br/06170402610,year_volume_page
b19,Increased prevalence of post‐traumatic stress disorder symptoms in critical care nurses,Increased Prevalence Of Post-traumatic Stress Disorder Symptoms In Critical Care Nurses,65,10.1164/rccm.200606-735oc,https://w3id.org/oc/meta/br/06803122154,year_volume_page
b20,Psychological contract violation beyond an employees’ perspective: The perspective of employers,Psychological Contract Violation Beyond An Employees' Perspective,65,10.1108/01425451211191841,https://w3id.org/oc/meta/br/061401116285,year_volume_page
b21,Retention strategies for professional nurses in South Africa,Retention Strategies For Professional Nurses In South Africa,70,10.1108/17511870910928010,https://w3id.org/oc/meta/br/06260668150,year_volume_page
b23,Psychological and implied contracts in organizations,Psychological And Implied Contracts In Organizations,70,10.1007/bf01384942,https://w3id.org/oc/meta/br/06301257193,year_volume_page
b25,N/A,Organizational Psychology Then And Now: Some Observations,50,10.1146/annurev-orgpsych-032414-111449,https://w3id.org/oc/meta/br/061902170410,author_title
b26,Delivering best care and maintaining emotional wellbeing in the intensive care unit: The perspective of experienced nurses,Delivering Best Care And Maintaining Emotional Wellbeing In The Intensive Care Unit: The Perspective Of Experienced Nurses,70,10.1016/j.apnr.2015.02.008,https://w3id.org/oc/meta/br/06140357669,year_volume_page
