reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Above-threshold ionization with subpicosecond laser pulses,Above-threshold Ionization With Subpicosecond Laser Pulses,70,10.1103/physrevlett.59.1092,https://w3id.org/oc/meta/br/06603914578,year_volume_page
b1,Multiphoton ionization of xenon with 100-fs laser pulses,Multiphoton Ionization Of Xenon With 100-Fs Laser Pulses,70,10.1103/physrevlett.60.565,https://w3id.org/oc/meta/br/06203916774,year_volume_page
b2,Population trapping in Kr and Xe in intense laser fields,Population Trapping In Kr And Xe In Intense Laser Fields,70,10.1103/physreva.47.r49,https://w3id.org/oc/meta/br/061401314941,author_title
b3,Atomic hydrogen in a strong optical radiation field,Atomic Hydrogen In A Strong Optical Radiation Field,70,10.1103/physreva.49.4837,https://w3id.org/oc/meta/br/062503511899,year_volume_page
b4,Free-Free Transitions Following Six-Photon Ionization of Xenon Atoms,Free-Free Transitions Following Six-Photon Ionization Of Xenon Atoms,70,10.1103/physrevlett.42.1127,https://w3id.org/oc/meta/br/061403482676,year_volume_page
b5,Above-Threshold Ionization: From Classical Features to Quantum Effects,Above-Threshold Ionization: From Classical Features To Quantum Effects,70,10.1016/s1049-250x(02)80006-4,https://w3id.org/oc/meta/br/061303195475,year_author_page
b6,Theories of photoelectron correlation in laser-driven multiple atomic ionization,Theories Of Photoelectron Correlation In Laser-Driven Multiple Atomic Ionization,70,10.1103/revmodphys.84.1011,https://w3id.org/oc/meta/br/06101414735,year_volume_page
b7,Coulomb potential recapture effect in above-barrier ionization in laser pulses,Coulomb Potential Recapture Effect In Above-Barrier Ionization In Laser Pulses,70,10.1088/0256-307x/23/10/029,https://w3id.org/oc/meta/br/061102860514,year_volume_page
b8,Strong-Field Tunneling without Ionization,Strong-Field Tunneling Without Ionization,70,10.1103/physrevlett.101.233001,https://w3id.org/oc/meta/br/06902086040,author_title
b9,Acceleration of neutral atoms in strong short-pulse laser fields,Acceleration Of Neutral Atoms In Strong Short-Pulse Laser Fields,70,10.1038/nature08481,https://w3id.org/oc/meta/br/06250349986,year_volume_page
b10,Capture into rydberg states and momentum distributions of ionized electrons,Capture Into Rydberg States And Momentum Distributions Of Ionized Electrons,70,10.1134/s1054660x09150377,https://w3id.org/oc/meta/br/06120497966,year_volume_page
b11,"Ionization and stabilization of atoms in a high-intensity, low-frequency laser field","Ionization And Stabilization Of Atoms In A High-Intensity, Low-Frequency Laser Field",70,10.1134/s1063776111080127,https://w3id.org/oc/meta/br/0620432838,year_volume_page
b12,Routes to formation of highly excited neutral atoms in the breakup of strongly driven H2,Routes To Formation Of Highly Excited Neutral Atoms In The Breakup Of Strongly Driven H2,70,10.1103/physreva.85.011402,https://w3id.org/oc/meta/br/06501351277,author_title
b13,Frustrated Tunnel Ionization of Noble Gas Dimers with Rydberg-Electron Shakeoff by Electron Charge Oscillation,Frustrated Tunnel Ionization Of Noble Gas Dimers With Rydberg-Electron Shakeoff By Electron Charge Oscillation,70,10.1103/physrevlett.110.023001,https://w3id.org/oc/meta/br/061902057390,author_title
b14,Survival window for atomic tunneling ionization with elliptically polarized laser fields,Survival Window For Atomic Tunneling Ionization With Elliptically Polarized Laser Fields,70,10.1103/physreva.87.033415,https://w3id.org/oc/meta/br/06101350423,author_title
b15,Population trapping in Xe atoms,Population Trapping In Xe Atoms,70,10.1088/1742-6596/414/1/012015,https://w3id.org/oc/meta/br/06140572368,year_author_page
