reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b2,N/A,The Afrocentric Idea In Education,50,10.2307/2295608,https://w3id.org/oc/meta/br/062401348901,author_title
b3,An African-centered approach to domestic violence,An African-Centered Approach To Domestic Violence,70,10.1606/1044-3894.2455,https://w3id.org/oc/meta/br/0630829731,year_volume_page
b4,Could a common biochemical mechanism underlie addictions?,Could A Common Biochemical Mechanism Underlie Addictions?,70,10.1046/j.1365-2710.2000.00260.x,https://w3id.org/oc/meta/br/0680867855,year_volume_page
b6,Cognitive and social learning models of drug dependence: implications for the assessment oftobacco dependence in adolescents,Cognitive And Social Learning Models Of Drug Dependence: Implications For The Assessment Of Tobacco Dependence In Adolescents,70,10.1111/j.1360-0443.2004.00737.x,https://w3id.org/oc/meta/br/0690649767,year_author_page
b9,Neurogenetic adaptive mechanisms in alcoholism,Neurogenetic Adaptive Mechanisms In Alcoholism,70,10.1126/science.2882604,https://w3id.org/oc/meta/br/06150487614,year_volume_page
b10,The myth of cross-cultural competence,The Myth Of Cross-Cultural Competence,70,10.1606/1044-3894.151,https://w3id.org/oc/meta/br/0630829976,year_volume_page
b13,Africentric youth and family rites of passage program: Promoting resilience among at-risk African American youths,Africentric Youth And Family Rites Of Passage Program: Promoting Resilience Among At-Risk African American Youths,50,10.1093/sw/49.1.65,https://w3id.org/oc/meta/br/061101863665,author_title
b14,Afrocentric treatment of African American women and their children in residential chemical dependency program,Afrocentric Treatment Of African American Women And Their Children In A Residential Chemical Dependency Program,70,10.1177/002193479502600102,https://w3id.org/oc/meta/br/062401629215,year_volume_page
b16,Family-strengthening approaches for the prevention of youth problem behaviors,Family-strengthening Approaches For The Prevention Of Youth Problem Behaviors.,70,10.1037/0003-066x.58.6-7.457,https://w3id.org/oc/meta/br/061901430963,year_author_page
b17,Perspectives on preventing adolescent substance use of misuse,Perspectives On Preventing Adolescent Substance Use And Misuse,65,10.1081/ja-120023395,https://w3id.org/oc/meta/br/06201101324,year_author_page
b18,"Promoting recovery from drug abuse, an Africentric intervention",Promoting Recovery From Drug Abuse: An Africentric Intervention,70,10.1177/002193479802800303,https://w3id.org/oc/meta/br/062301641440,year_author_page
b19,Desire for help among African American drug users,Desire For Help Among African-American Drug Users,70,10.1177/002204269702700405,https://w3id.org/oc/meta/br/06210332828,year_volume_page
b21,Afrocentricity and African spirituality,Afrocentricity And African Spirituality,70,10.1177/002193402237226,https://w3id.org/oc/meta/br/062301641963,year_volume_page
b27,Substance Use Among Rural African American Adolescents: Identifying Risk and Protective Factors,Substance Use Among Rural African American Adolescents: Identifying Risk And Protective Factors,65,10.1007/s10560-012-0280-2,https://w3id.org/oc/meta/br/062403009498,year_volume_page
b32,N/A,Voodoo Or IQ: An Introduction To African Psychology,50,10.1177/009579847500100202,https://w3id.org/oc/meta/br/06601192454,author_title
b33,"Alienation, human transformation and adolescent drug use: Toward a conceptualization of the problem","Alienation, Human Transformation And Adolescent Drug Use: Toward A Reconceptualization Of The Problem",65,10.1177/002204268401400205,https://w3id.org/oc/meta/br/06210332690,year_volume_page
b34,Extended self: Rethinking the so-called Negro self-concept,Extended Self: Rethinking The So-Called Negro Self-Concept,50,10.1177/009579847600200205,https://w3id.org/oc/meta/br/06601192450,author_title
b36,Cultural sensitivity in substance use prevention,Cultural Sensitivity In Substance Use Prevention,70,10.1002/(sici)1520-6629(200005)28:3<271::aid-jcop4>3.0.co;2-i,https://w3id.org/oc/meta/br/06503165337,year_volume_page
b37,African-centered drug treatment: An alternative conceptual paradigm for drug counseling with African American clients,African-Centered Drug Treatment: An Alternative Conceptual Paradigm For Drug Counseling With African-American Clients,70,10.1080/02791072.1993.10472588,https://w3id.org/oc/meta/br/06190439026,year_volume_page
b38,N/A,Human Services And The Afrocentric Paradigm,50,10.4324/9781315043500,https://w3id.org/oc/meta/br/06103073845,author_title
b40,Screening and assessing adolescent substance abuse: A primer for counselors,Screening And Assessing Adolescent Substance Abuse: A Primer For Counselors,70,10.1002/j.2161-1874.2003.tb00179.x,https://w3id.org/oc/meta/br/061702194265,author_title
b43,Young African American Males in Reentry: An Afrocentric Cultural Approach,Young African American Males In Reentry: An Afrocentric Cultural Approach,70,10.1080/10911359.2014.922801,https://w3id.org/oc/meta/br/06501709724,year_volume_page
b46,Afrocentric approaches to working with African American families,Afrocentric Approaches To Working With African American Families,70,10.1606/1044-3894.326,https://w3id.org/oc/meta/br/0620826961,year_volume_page
b47,Etiology of adolescent substance abuse: a developmental perspective,Etiology Of Adolescent Substance Abuse: A Developmental Perspective,70,10.1080/10550490290087965,https://w3id.org/oc/meta/br/06250500129,year_volume_page
b51,Theories of addiction,Theories Of Addiction,70,10.1046/j.1360-0443.2001.96131.x,https://w3id.org/oc/meta/br/06110642099,year_volume_page
b52,Racial differences in risk factors for delinquency and substance us among adolescents,Racial Differences In Risk Factors For Delinquency And Substance Use Among Adolescents,65,10.1093/swr/23.4.241,https://w3id.org/oc/meta/br/061902414524,year_volume_page
