reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,Addition of glutathione to an extender for frozen equine semen,Addition Of Glutathione To An Extender For Frozen Equine Semen,70,10.1016/j.jevs.2013.05.001,https://w3id.org/oc/meta/br/06801158344,year_volume_page
b2,The effect of 2-hydroxypropyl-b-cyclodextrin on post-thaw parameters of cryopreserved jack and stallion semen,The Effect Of 2-Hydroxypropyl-β-Cyclodextrin On Post-Thaw Parameters Of Cryopreserved Jack And Stallion Semen,65,10.1016/j.jevs.2012.07.021,https://w3id.org/oc/meta/br/06801158507,year_volume_page
b3,Pathophysiology of human spermatozoa,Pathophysiology Of Human Spermatozoa,70,10.1097/00001703-199404000-00004,https://w3id.org/oc/meta/br/06140565295,year_volume_page
b4,Recent progress in the preservation of ram semen,Recent Progress In The Preservation Of Ram Semen,70,10.1016/0378-4320(96)01544-8,https://w3id.org/oc/meta/br/062202825591,year_volume_page
b5,Fertilizing capacity and ultrastructure of fowl and Turkey spermatozoa before and after freezing,Fertilizing Capacity And Ultrastructure Of Fowl And Turkey Spermatozoa Before And After Freezing,70,10.1530/jrf.0.0550001,https://w3id.org/oc/meta/br/062201030317,year_volume_page
b6,Maintenance of bioenergetic balance in sperm and prevention of lipid peroxidation: a review of the effect on design of storage preservation systems,Maintenance Of Bioenergetic Balance In Sperm And Prevention Of Lipid Peroxidation: A Review Of The Effect On Design Of Storage Preservation Systems,70,10.1071/rd9930675,https://w3id.org/oc/meta/br/06101854522,year_volume_page
b7,Mammalian fertilization,Immunological Block To Mammalian Fertilization: Survival And Organ Distribution Of Immunoglobulin Which Inhibits Fertilization In Vivo.,50,10.1073/pnas.73.7.2405,https://w3id.org/oc/meta/br/062403052152,author_title
b8,Spontaneous lipid peroxidation in rabbit epididymal spermatozoa: its effect on sperm motility,Spontaneous Lipid Peroxidation In Rabbit Epididymal Spermatozoa: Its Effect On Sperm Motility,70,10.1095/biolreprod27.5.1102,https://w3id.org/oc/meta/br/0650322044,year_volume_page
b11,Capacitation as a regulatory event that primes spermatozoa for the acrosome reaction and fertilization,Capacitation As A Regulatory Event That Primes Spermatozoa For The Acrosome Reaction And Fertilization,70,10.1093/molehr/3.3.175,https://w3id.org/oc/meta/br/06220201067,year_volume_page
b12,Sperm nuclear DNA damage and altered chromatin structure: effect on fertilization and embryo development,Sperm Nuclear DNA Damage And Altered Chromatin Structure: Effect On Fertilization And Embryo Development,70,10.1093/humrep/13.suppl_4.11,https://w3id.org/oc/meta/br/06220200016,year_volume_page
b13,Spontaneous lipid peroxidation and production of hydrogen peroxide and superoxide in human spermatozoa. Superoxide dismutase as major enzyme protectant against oxygen toxicity,Spontaneous Lipid Peroxidation And Production Of Hydrogen Peroxide And Superoxide In Human Spermatozoa Superoxide Dismutase As Major Enzyme Protectant Against Oxygen Toxicity,70,10.1002/j.1939-4640.1987.tb00973.x,https://w3id.org/oc/meta/br/06403001740,year_volume_page
b14,Role of glutathione peroxidase in protecting mammalian spermatozoa from loss of motility caused by spontaneous lipid peroxidation,Role Of Glutathione Peroxidase In Protecting Mammalian Spermatozoa From Loss Of Motility Caused By Spontaneous Lipid Peroxidation,70,10.1002/mrd.1120230108,https://w3id.org/oc/meta/br/061703146124,year_volume_page
b15,Role of antioxidants in the treatment of male infertility,Role Of Antioxidants In The Treatment Of Male Infertility,70,10.1111/j.1442-2042.2009.02280.x,https://w3id.org/oc/meta/br/06901085075,year_volume_page
b16,"Effect of cryopreservation on sperm parameters, lipid peroxidation and antioxidant enzymes activity in fowl semen","Effect Of Cryopreservation On Sperm Parameters, Lipid Peroxidation And Antioxidant Enzymes Activity In Fowl Semen",70,10.1016/j.theriogenology.2011.11.006,https://w3id.org/oc/meta/br/06603512826,year_volume_page
b17,The biology of oxygen redicals,The Biology Of Oxygen Radicals,65,10.1126/science.210504,https://w3id.org/oc/meta/br/0690493891,year_volume_page
b18,"Antioxidant superoxide dismutaseda review: its function, regulation in the testis and role in male fertility","Antioxidant Superoxide Dismutase - A Review: Its Function, Regulation In The Testis, And Role In Male Fertility",65,10.1016/s0010-7824(01)00320-1,https://w3id.org/oc/meta/br/06501624162,year_volume_page
b19,"Oxidative stress, osmotic stress and apoptosis: impacts on sperm function and preservation in the horse","Oxidative Stress, Osmotic Stress And Apoptosis: Impacts On Sperm Function And Preservation In The Horse",70,10.1016/j.anireprosci.2008.04.014,https://w3id.org/oc/meta/br/062502820621,year_volume_page
b20,Effect of oxidative stress on male reproduction,Effect Of Oxidative Stress On Male Reproduction,70,10.5534/wjmh.2014.32.1.1,https://w3id.org/oc/meta/br/06601650525,year_volume_page
b21,"The influence of trehalose, taurine, cysteamine and hyaluronan on ram semen: microscopic and oxidative stress parameters after the freeze-thawing process","The Influence Of Trehalose, Taurine, Cysteamine And Hyaluronan On Ram Semen",70,10.1016/j.theriogenology.2006.12.004,https://w3id.org/oc/meta/br/06803505426,year_volume_page
b22,"The effect of antioxidants on motility, viability, acrosome integrity and DNA integrity of frozenthawed epididymal cat spermatozoa","The Effect Of Antioxidants On Motility, Viability, Acrosome Integrity And DNA Integrity Of Frozen-Thawed Epididymal Cat Spermatozoa",70,10.1016/j.theriogenology.2008.04.005,https://w3id.org/oc/meta/br/06703499074,year_volume_page
b23,"Taurine, hypotaurine, epinephrine and albumin inhibit lipid peroxidation in rabbit spermatozoa and protect against loss of motility","Taurine, Hypotaurine, Epinephrine And Albumin Inhibit Lipid Peroxidation In Rabbit Spermatozoa And Protect Against Loss Of Motility",70,10.1095/biolreprod29.3.548,https://w3id.org/oc/meta/br/0620319695,year_volume_page
b24,Oxidative stress and male reproductive biology,Oxidative Stress And Male Reproductive Biology,70,10.1071/rd03089,https://w3id.org/oc/meta/br/06201838278,year_volume_page
b25,The cryoprotective effects of ascorbic acid supplementation on bovine semen quality,The Cryoprotective Effects Of Ascorbic Acid Supplementation On Bovine Semen Quality,70,10.1016/j.anireprosci.2010.04.180,https://w3id.org/oc/meta/br/062502820197,year_volume_page
b28,A procedure for poitou jackass sperm cryopreservation,A Procedure For Poitou Jackass Sperm Cryopreservation,70,10.1016/s0093-691x(98)00184-8,https://w3id.org/oc/meta/br/06103526474,year_volume_page
b29,Effect of cryoprotectant on donkey semen freezability and fertility,Effect Of Cryoprotectant On Donkey Semen Freezability And Fertility,70,10.1016/j.anireprosci.2006.04.010,https://w3id.org/oc/meta/br/062602856835,year_volume_page
b30,Differences in ability of jennies and mares to conceive with cooled and frozen semen containing glycerol or not,Differences In Ability Of Jennies And Mares To Conceive With Cooled And Frozen Semen Containing Glycerol Or Not,70,10.1016/j.anireprosci.2008.03.016,https://w3id.org/oc/meta/br/062502820646,year_volume_page
b31,"Donkey jack (Equus asinus) semen cryopreservation: studies of seminal parameters, post breeding inflammatory response, and fertility in donkey jennies","Donkey Jack (Equus Asinus) Semen Cryopreservation: Studies Of Seminal Parameters, Post Breeding Inflammatory Response, And Fertility In Donkey Jennies",70,10.1016/j.theriogenology.2012.07.015,https://w3id.org/oc/meta/br/06603512558,year_volume_page
b32,Strategies to improve the fertility of fresh and frozen donkey semen,Strategies To Improve The Fertility Of Fresh And Frozen Donkey Semen,70,10.1016/j.theriogenology.2015.12.010,https://w3id.org/oc/meta/br/06403518702,year_volume_page
b33,Some reproductive parameters of Zanskari Mares reared in an organized farm under tropical climate,Some Reproductive Parameters Of Zanskari Mares Reared In An Organized Farm Under Tropical Climate,70,10.56093/ijans.v86i2.55797,https://w3id.org/oc/meta/br/06380192933,author_title
b34,"Effects of different concentration and combinations of cryoprotectants on sperm quality, functional integrity in three Indian horse breeds","Effects Of Different Concentration And Combinations Of Cryoprotectants On Sperm Quality, Functional Integrity In Three Indian Horse Breeds",70,10.1016/j.cryobiol.2018.12.005,https://w3id.org/oc/meta/br/06140270895,year_author_page
b35,Effects of antioxidants on motility and membrane integrity of chilled-stored stallion semen,特集 開口分泌のメカニズムにおける新しい展開 刺激-分泌連関,70,10.11477/mf.2425901191,https://w3id.org/oc/meta/br/062104058720,year_volume_page
b36,Effects of α-tocopherol and ascorbic acid on equine semen quality after cryopreservation,Effects Of Α-Tocopherol And Ascorbic Acid On Equine Semen Quality After Cryopreservation,70,10.1016/j.jevs.2012.12.012,https://w3id.org/oc/meta/br/06801158448,year_volume_page
b37,Improvement of motility of post-thaw Poitou jackass sperm using glutamine,Improvement Of Motility Of Post-Thaw Poitou Jackass Sperm Using Glutamine.,70,10.1016/0093-691x(96)00029-5,https://w3id.org/oc/meta/br/061603710773,year_volume_page
b38,"Protective effect of taurine, glutathione and trehalose on the liquid storage of ram semen","Protective Effect Of Taurine, Glutathione And Trehalose On The Liquid Storage Of Ram Semen",70,10.1016/j.smallrumres.2006.12.001,https://w3id.org/oc/meta/br/06190368247,year_volume_page
b39,Effect of method and clinician on stallion sperm morphology evaluation,Effect Of Method And Clinician On Stallion Sperm Morphology Evaluation,70,10.1016/j.theriogenology.2011.04.007,https://w3id.org/oc/meta/br/06603513070,year_volume_page
b40,Development of an assay to assess the functional integrity of the human sperm membrane and its relationship to other semen characters,Development Of An Assay To Assess The Functional Integrity Of The Human Sperm Membrane And Its Relationship To Other Semen Characteristics,65,10.1530/jrf.0.0700219,https://w3id.org/oc/meta/br/061901035426,year_volume_page
b41,Use of Giemsa stain to detect changes in acrosomes of frozen ram spermatozoa,Use Of A Giemsa Stain To Detect Changes In Acrosomes Of Frozen Ram Spermatozoa,70,10.1136/vr.97.1.12,https://w3id.org/oc/meta/br/06301458160,year_volume_page
b42,Effect of anti-oxidants and oxidative stress parameters on ram semen after the freeze thawing process,Effect Of Anti-Oxidants And Oxidative Stress Parameters On Ram Semen After The Freeze–Thawing Process,70,10.1016/j.smallrumres.2007.09.002,https://w3id.org/oc/meta/br/06190368153,year_volume_page
b43,The effect of Equex STM paste and sperm morphology on post-thaw survival of cat epididymal spermatozoa,The Effect Of Equex STM Paste And Sperm Morphology On Post-Thaw Survival Of Cat Epididymal Spermatozoa,70,10.1016/j.anireprosci.2003.11.003,https://w3id.org/oc/meta/br/062602857263,year_volume_page
b44,Adding cholesterol to the stallion sperm plasma membrane improves cryosurvival,Adding Cholesterol To The Stallion Sperm Plasma Membrane Improves Cryosurvival,70,10.1016/j.cryobiol.2005.07.004,https://w3id.org/oc/meta/br/06160276546,year_volume_page
b45,"Oxidative stress, DNA damage and the Y-chromosome","Oxidative Stress, DNA Damage And The Y Chromosome",70,10.1530/rep.0.1220497,https://w3id.org/oc/meta/br/06701032094,year_author_page
