reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,10.1111/1365-2435.12666,2016-05-11,A Common Framework For Identifying Linkage Rules Across Different Types Of Interactions,https://w3id.org/oc/meta/id/06490720880,https://w3id.org/oc/meta/ar/06390189579,https://w3id.org/oc/meta/re/0639042529,https://w3id.org/oc/meta/br/0639048502,http://purl.org/spar/fabio/JournalArticle,A common framework for identifying linkage rules across different types of interactions,A Common Framework For Identifying Linkage Rules Across Different Types Of Interactions,70,10.1111/1365-2435.12666,https://w3id.org/oc/meta/br/0639047902,year_volume_page
b1,10.2307/1313226,1998-01,Evolution Of Feeding Behavior In Insect Herbivores,https://w3id.org/oc/meta/id/06701806798,https://w3id.org/oc/meta/ar/06708038583,https://w3id.org/oc/meta/re/06701465475,https://w3id.org/oc/meta/br/0619043395,http://purl.org/spar/fabio/JournalArticle,Evolution of feeding behavior in insect herbivores,Evolution Of Feeding Behavior In Insect Herbivores,70,10.2307/1313226,https://w3id.org/oc/meta/br/06701781353,year_volume_page
b2,10.1111/1365-2656.12834,2018-05-14,On The Development Of A Predictive Functional Trait Approach For Studying Terrestrial Arthropods,https://w3id.org/oc/meta/id/06240910224,https://w3id.org/oc/meta/ar/062403693130,https://w3id.org/oc/meta/re/06240666102,https://w3id.org/oc/meta/br/06240852248,http://purl.org/spar/fabio/JournalArticle,On the development of a functional trait approach for studying terrestrial arthropods,On The Development Of A Predictive Functional Trait Approach For Studying Terrestrial Arthropods,70,10.1111/1365-2656.12834,https://w3id.org/oc/meta/br/06240852074,year_volume_page
b3,10.1111/1365-2435.12943,2017-08-14,Trait Matching And Phylogeny As Predictors Of Predator–Prey Interactions Involving Ground Beetles,https://w3id.org/oc/meta/id/06490721230,https://w3id.org/oc/meta/ar/06390187795,https://w3id.org/oc/meta/re/0639042266,https://w3id.org/oc/meta/br/0639048490,http://purl.org/spar/fabio/JournalArticle,Traitmatching and phylogeny as predictors of predator-prey interactions involving ground beetles,Trait Matching And Phylogeny As Predictors Of Predator–Prey Interactions Involving Ground Beetles,60,10.1111/1365-2435.12943,https://w3id.org/oc/meta/br/0639047639,year_volume_page
b4,10.1890/03-9000,2004-07,Toward A Metabolic Theory Of Ecology,https://w3id.org/oc/meta/id/06490875443,https://w3id.org/oc/meta/ar/062306821625,https://w3id.org/oc/meta/re/062301282721,https://w3id.org/oc/meta/br/0624032022,http://purl.org/spar/fabio/JournalArticle,Toward a metabolic theory of ecology,Toward A Metabolic Theory Of Ecology,70,10.1890/03-9000,https://w3id.org/oc/meta/br/062301566736,year_volume_page
b5,10.1016/j.soilbio.2016.06.033,2016-11,Top-down Consumptive And Trait-Mediated Control Do Affect Soil Food Webs: It’s Time For A New Model,https://w3id.org/oc/meta/id/06160837461,https://w3id.org/oc/meta/ar/061603278296,https://w3id.org/oc/meta/re/06160598404,https://w3id.org/oc/meta/br/06160789967,http://purl.org/spar/fabio/JournalArticle,Top-down consumptive and traitmediated control do affect soil food webs: it's time for a new model,Top-down Consumptive And Trait-Mediated Control Do Affect Soil Food Webs: It’s Time For A New Model,65,10.1016/j.soilbio.2016.06.033,https://w3id.org/oc/meta/br/06160789497,year_author_page
b6,10.1139/x00-014,2000-05-01,"Influence Of Millipedes On Litter Decomposition, N Mineralization, And Microbial Communities In A Coastal Forest In British Columbia, Canada",https://w3id.org/oc/meta/id/06202711895,https://w3id.org/oc/meta/ar/062012181249,https://w3id.org/oc/meta/re/06202115107,https://w3id.org/oc/meta/br/0616052169,http://purl.org/spar/fabio/JournalArticle,"Influence of millipedes on litter decomposition, N mineralization, and microbial communities in a coastal forest in British Columbia, Canada","Influence Of Millipedes On Litter Decomposition, N Mineralization, And Microbial Communities In A Coastal Forest In British Columbia, Canada",70,10.1139/x00-014,https://w3id.org/oc/meta/br/06202872121,year_volume_page
b7,10.1007/s12080-015-0281-9,2015-10-27,A Theory For Species Co-Occurrence In Interaction Networks,https://w3id.org/oc/meta/id/06280936052,https://w3id.org/oc/meta/ar/061709495431,https://w3id.org/oc/meta/re/061701809403,https://w3id.org/oc/meta/br/061702176409,http://purl.org/spar/fabio/JournalArticle,A theory for species co-occurrence in interaction networks,A Theory For Species Co-Occurrence In Interaction Networks,65,10.1007/s12080-015-0281-9,https://w3id.org/oc/meta/br/061702175985,year_volume_page
b8,10.1016/j.soilbio.2014.05.009,2014-09,The Role Of Litter-Feeding Macroarthropods In Decomposition Processes: A Reappraisal Of Common Views,https://w3id.org/oc/meta/id/062305531136,https://w3id.org/oc/meta/ar/061703279093,https://w3id.org/oc/meta/re/06170597314,https://w3id.org/oc/meta/br/06170791897,http://purl.org/spar/fabio/JournalArticle,The role of litter-feeding macroarthropods in decomposition processes: a reappraisal of common views,The Role Of Litter-Feeding Macroarthropods In Decomposition Processes: A Reappraisal Of Common Views,70,10.1016/j.soilbio.2014.05.009,https://w3id.org/oc/meta/br/06170791134,year_author_page
b9,10.1111/j.1469-185x.2010.00138.x,2010-04-14,"The Ecology Of Saprophagous Macroarthropods (Millipedes, Woodlice) In The Context Of Global Change",https://w3id.org/oc/meta/id/062504253690,https://w3id.org/oc/meta/ar/06107184737,,https://w3id.org/oc/meta/br/062503785746,http://purl.org/spar/fabio/JournalArticle,"The ecology of saprophagous macroarthropods (millipedes, woodlice) in the context of global change","The Ecology Of Saprophagous Macroarthropods (Millipedes, Woodlice) In The Context Of Global Change",70,10.1111/j.1469-185x.2010.00138.x,https://w3id.org/oc/meta/br/06101657668,author_title
