reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b5,10.1093/aesthj/ayn019,2008-07-01,"Beautiful People, Beautiful Things",https://w3id.org/oc/meta/id/06660779709,https://w3id.org/oc/meta/ar/062603724741,https://w3id.org/oc/meta/re/06260665754,https://w3id.org/oc/meta/br/06260880787,http://purl.org/spar/fabio/JournalArticle,"‘Beautiful people, beautiful things","Beautiful People, Beautiful Things",65,10.1093/aesthj/ayn019,https://w3id.org/oc/meta/br/06260880080,year_volume_page
b8,10.1177/1477878517695903,2017-03,Educating Through Exemplars: Alternative Paths To Virtue,https://w3id.org/oc/meta/id/06570935442,https://w3id.org/oc/meta/ar/06501695728,https://w3id.org/oc/meta/re/0650288660,https://w3id.org/oc/meta/br/0650434175,http://purl.org/spar/fabio/JournalArticle,Educating through Exemplars: alternative paths to virtue,Educating Through Exemplars: Alternative Paths To Virtue,70,10.1177/1477878517695903,https://w3id.org/oc/meta/br/0650432443,year_volume_page
b9,10.1080/03057240.2017.1396966,2018-01-08,Exemplars And Nudges: Combining Two Strategies For Moral Education,https://w3id.org/oc/meta/id/0686070988,https://w3id.org/oc/meta/ar/0623010191832,https://w3id.org/oc/meta/re/062301872806,https://w3id.org/oc/meta/br/062302376692,http://purl.org/spar/fabio/JournalArticle,Exemplars and nudges: Combining two strategies for moral education,Exemplars And Nudges: Combining Two Strategies For Moral Education,70,10.1080/03057240.2017.1396966,https://w3id.org/oc/meta/br/062302375911,year_volume_page
b10,10.1080/09552360120048843,2001-03,"Confucius, Gandhi And The Aesthetics Of Virtue",https://w3id.org/oc/meta/id/06580422765,https://w3id.org/oc/meta/ar/06120825145,https://w3id.org/oc/meta/re/06120145058,https://w3id.org/oc/meta/br/06120234076,http://purl.org/spar/fabio/JournalArticle,"Confucius, Gandhi, and the Aesthetics of Virtue","Confucius, Gandhi And The Aesthetics Of Virtue",70,10.1080/09552360120048843,https://w3id.org/oc/meta/br/06120233054,year_volume_page
b11,10.1353/pew.2001.0022,2001,The Dancing Ru: A Confucian Aesthetics Of Virtue,https://w3id.org/oc/meta/id/061302686237,https://w3id.org/oc/meta/ar/0613011785424,https://w3id.org/oc/meta/re/061302160143,https://w3id.org/oc/meta/br/061302769365,http://purl.org/spar/fabio/JournalArticle,The dancing ru: A confucian aesthetics of virtue,The Dancing Ru: A Confucian Aesthetics Of Virtue,70,10.1353/pew.2001.0022,https://w3id.org/oc/meta/br/061302768938,year_volume_page
b12,10.4324/9781315708508,2017-11-14,A Theory Of Moral Education,https://w3id.org/oc/meta/id/06204844,https://w3id.org/oc/meta/ar/0618010064632,,,http://purl.org/spar/fabio/Expression,N/A,A Theory Of Moral Education,70,10.4324/9781315708508,https://w3id.org/oc/meta/br/062046249,author_title
b13,10.1017/s0034412515000578,2015-12-28,"Beauty, Virtue, And Religious Exemplars",https://w3id.org/oc/meta/id/06940754889,https://w3id.org/oc/meta/ar/06307111795,https://w3id.org/oc/meta/re/06301335293,https://w3id.org/oc/meta/br/06301622050,http://purl.org/spar/fabio/JournalArticle,"Beauty, virtue, and religious exemplars","Beauty, Virtue, And Religious Exemplars",50,10.1017/s0034412515000578,https://w3id.org/oc/meta/br/06301621294,author_title
b15,10.1080/09552360600772736,2006-07,Confucius's Aesthetic Concept Of Noble Man: Beyond Moralism,https://w3id.org/oc/meta/id/06580422771,https://w3id.org/oc/meta/ar/06120826117,https://w3id.org/oc/meta/re/06120145522,https://w3id.org/oc/meta/br/06120234185,http://purl.org/spar/fabio/JournalArticle,Confucius’s aesthetic concept of noble man: Beyond moralism,Confucius's Aesthetic Concept Of Noble Man: Beyond Moralism,70,10.1080/09552360600772736,https://w3id.org/oc/meta/br/06120233518,year_volume_page
b16,10.1080/02549948.1998.11731311,1998-01,"The Aesthetic Moral Personality:Li, Yi, Wen, andChihin theAnalects",https://w3id.org/oc/meta/id/06280524972,https://w3id.org/oc/meta/ar/0614013685677,https://w3id.org/oc/meta/re/061402464486,https://w3id.org/oc/meta/br/061403320486,http://purl.org/spar/fabio/JournalArticle,"The aesthetic moral personality: Li, Yi, Wen, and Chih in the analects","The Aesthetic Moral Personality:Li, Yi, Wen, andChihin theAnalects",65,10.1080/02549948.1998.11731311,https://w3id.org/oc/meta/br/061403319958,year_volume_page
b19,10.1007/978-3-319-43893-1_10,2017,Thinking Through An Embodied Confucian Aesthetics Of Persons,https://w3id.org/oc/meta/id/06620481069,https://w3id.org/oc/meta/ar/068011853897,https://w3id.org/oc/meta/re/06802028830,https://w3id.org/oc/meta/br/0621056039,http://purl.org/spar/fabio/BookChapter,Thinking through an embodied confucian aesthetics of persons,Thinking Through An Embodied Confucian Aesthetics Of Persons,70,10.1007/978-3-319-43893-1_10,https://w3id.org/oc/meta/br/06802776047,year_author_page
b22,10.1057/9781137303394,2013,A Reader’s Companion To The Confucian Analects,https://w3id.org/oc/meta/id/065301317778,https://w3id.org/oc/meta/ar/0623011451156,,,http://purl.org/spar/fabio/Expression,N/A,A Reader’s Companion To The Confucian Analects,70,10.1057/9781137303394,https://w3id.org/oc/meta/br/0619061013,author_title
b23,10.1111/j.1467-8527.2005.00295.x,2005-09,Of Manners And Morals,https://w3id.org/oc/meta/id/06130911638,https://w3id.org/oc/meta/ar/061303713538,https://w3id.org/oc/meta/re/06130672973,https://w3id.org/oc/meta/br/06130860948,http://purl.org/spar/fabio/JournalArticle,Of manners and morals,Of Manners And Morals,70,10.1111/j.1467-8527.2005.00295.x,https://w3id.org/oc/meta/br/06130860601,year_volume_page
b25,10.5840/logos-episteme20167445,2016,Teaching Virtue,https://w3id.org/oc/meta/id/061704802532,https://w3id.org/oc/meta/ar/061503614414,https://w3id.org/oc/meta/re/06150659222,https://w3id.org/oc/meta/br/06150849882,http://purl.org/spar/fabio/JournalArticle,Teaching virtue: Changing attitudes,Teaching Virtue,70,10.5840/logos-episteme20167445,https://w3id.org/oc/meta/br/06150849434,year_volume_page
b26,10.5406/jaesteduc.49.1.0068,2015,Confucius On The Relationship Of Beauty And Goodness,https://w3id.org/oc/meta/id/06960149125,https://w3id.org/oc/meta/ar/06706095543,https://w3id.org/oc/meta/re/06701156392,https://w3id.org/oc/meta/br/06701416849,http://purl.org/spar/fabio/JournalArticle,Confucius on the relationship of beauty and goodness,Confucius On The Relationship Of Beauty And Goodness,70,10.5406/jaesteduc.49.1.0068,https://w3id.org/oc/meta/br/06701415374,year_volume_page
b28,10.1093/acprof:oso/9780190655846.001.0001,2017-04-27,Exemplarist Moral Theory,https://w3id.org/oc/meta/id/062405144501,https://w3id.org/oc/meta/ar/061709844837,,,http://purl.org/spar/fabio/Expression,N/A,Exemplarist Moral Theory,70,10.1093/acprof:oso/9780190655846.001.0001,https://w3id.org/oc/meta/br/061702260128,author_title
