reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,10.1080/21655979.2016.1229718,2016-10-03,The Evolution Of Recombinant Thrombolytics: Current Status And Future Directions,https://w3id.org/oc/meta/id/06904523988,https://w3id.org/oc/meta/ar/068011951833,https://w3id.org/oc/meta/re/06802048581,https://w3id.org/oc/meta/br/06802799381,http://purl.org/spar/fabio/JournalArticle,The evolution of recombinant thrombolytics: current status and future directions,The Evolution Of Recombinant Thrombolytics: Current Status And Future Directions,65,10.1080/21655979.2016.1229718,https://w3id.org/oc/meta/br/06802798743,year_volume_page
b2,10.1016/s0021-9258(19)57350-1,1988-01,beta-Hydroxyaspartic Acid Or Beta-Hydroxyasparagine In Bovine Low Density Lipoprotein Receptor And In Bovine Thrombomodulin.,https://w3id.org/oc/meta/id/0640156154,https://w3id.org/oc/meta/ar/064091038,https://w3id.org/oc/meta/re/064019483,https://w3id.org/oc/meta/br/06901959,http://purl.org/spar/fabio/JournalArticle,beta-hydroxyaspartic acid or 6-hydroxyasparagine in bovine low density lipoprotein receptor and in bovine thrombomodulin*,beta-Hydroxyaspartic Acid Or Beta-Hydroxyasparagine In Bovine Low Density Lipoprotein Receptor And In Bovine Thrombomodulin.,70,10.1016/s0021-9258(19)57350-1,https://w3id.org/oc/meta/br/064086347,year_volume_page
b3,10.1016/s0735-1097(86)80144-9,1986,Importance Of Continued Activation Of Thrombin Reflected By Fibrinopeptide A To The Efficacy Of Thrombolysis.,https://w3id.org/oc/meta/id/061104000747,https://w3id.org/oc/meta/ar/0611015039613,https://w3id.org/oc/meta/re/061101449493,https://w3id.org/oc/meta/br/069046758,http://purl.org/spar/fabio/JournalArticle,Importance of continued activation of thrombin reflected by fibrinopeptide A to the efficacy of thrombolysis,Importance Of Continued Activation Of Thrombin Reflected By Fibrinopeptide A To The Efficacy Of Thrombolysis,70,10.1016/s0735-1097(86)80144-9,https://w3id.org/oc/meta/br/061101753150,year_volume_page
b4,10.1161/01.str.21.3.424,1990-03,Prognostic Significance Of Fibrinopeptide A In Survivors Of Cerebral Infarction.,https://w3id.org/oc/meta/id/06710468077,https://w3id.org/oc/meta/ar/06220488479,https://w3id.org/oc/meta/re/0622085323,https://w3id.org/oc/meta/br/061401747,http://purl.org/spar/fabio/JournalArticle,Prognostic significance of fibrinopeptide a in survivors of cerebral infarction,Prognostic Significance Of Fibrinopeptide A In Survivors Of Cerebral Infarction.,70,10.1161/01.str.21.3.424,https://w3id.org/oc/meta/br/06220166543,year_volume_page
b5,10.1016/s0735-1097(87)80194-8,1987,Paradoxic Elevation Of Fibrinopeptide A After Streptokinase: Evidence For Continued Thrombosis Despite Intense Fibrinolysis.,https://w3id.org/oc/meta/id/061104000587,https://w3id.org/oc/meta/ar/0611015039170,https://w3id.org/oc/meta/re/06901449761,https://w3id.org/oc/meta/br/069046758,http://purl.org/spar/fabio/JournalArticle,Paradoxic elevation of fibrinopeptide A after streptokinase: evidence for continued thrombosis despite intense fibrinolysis,Paradoxic Elevation Of Fibrinopeptide A After Streptokinase: Evidence For Continued Thrombosis Despite Intense Fibrinolysis,70,10.1016/s0735-1097(87)80194-8,https://w3id.org/oc/meta/br/06901764658,year_volume_page
b6,10.1016/0735-1097(94)00360-3,1995-01,Thrombin Generation And Activity During Thrombolysis And Concomitant Heparin Therapy In Patients With Acute Myocardial Infarction,https://w3id.org/oc/meta/id/06601780235,https://w3id.org/oc/meta/ar/06607928449,https://w3id.org/oc/meta/re/06601446297,https://w3id.org/oc/meta/br/069045745,http://purl.org/spar/fabio/JournalArticle,Thrombin generation and activity during thrombolysis and concomitant heparin therapy in patients with acute myocardial infarction,Thrombin Generation And Activity During Thrombolysis And Concomitant Heparin Therapy In Patients With Acute Myocardial Infarction,70,10.1016/0735-1097(94)00360-3,https://w3id.org/oc/meta/br/06601752646,year_volume_page
b8,10.1038/216857a0,1967-12,Actions Of Thrombin And Other Coagulant And Proteolytic Enzymes On Blood Platelets,https://w3id.org/oc/meta/id/06410419208,https://w3id.org/oc/meta/ar/06701272595,https://w3id.org/oc/meta/re/0670227234,https://w3id.org/oc/meta/br/0626012982,http://purl.org/spar/fabio/JournalArticle,Actions of thrombin and other coagulant and pro- teolytic enzymes on blood platelets,Actions Of Thrombin And Other Coagulant And Proteolytic Enzymes On Blood Platelets,65,10.1038/216857a0,https://w3id.org/oc/meta/br/0670353395,year_volume_page
b9,10.1146/annurev.bi.57.070188.004411,1988-06,Cofactor Proteins In The Assembly And Expression Of Blood Clotting Enzyme Complexes,https://w3id.org/oc/meta/id/062301719070,https://w3id.org/oc/meta/ar/062307400835,https://w3id.org/oc/meta/re/062301391369,https://w3id.org/oc/meta/br/0622036015,http://purl.org/spar/fabio/JournalArticle,Cofactor proteins in the assembly and expression ofblood clotting enzyme complexes,Cofactor Proteins In The Assembly And Expression Of Blood Clotting Enzyme Complexes,65,10.1146/annurev.bi.57.070188.004411,https://w3id.org/oc/meta/br/062301691859,year_volume_page
b10,10.1016/0167-4838(88)90114-8,1988,Subunit Structure Of Thrombin-Activated Human Factor VIIIa.,https://w3id.org/oc/meta/id/06203721560,https://w3id.org/oc/meta/ar/062015884202,https://w3id.org/oc/meta/re/061601155019,https://w3id.org/oc/meta/br/061305713,http://purl.org/spar/fabio/JournalArticle,Subunit structure of thrombin-activated human factor VIIIa,Subunit Structure Of Thrombin-Activated Human Factor VIIIa,70,10.1016/0167-4838(88)90114-8,https://w3id.org/oc/meta/br/061601404185,year_author_page
b11,10.1126/science.1652157,1991-08-23,Factor XI Activation In A Revised Model Of Blood Coagulation,https://w3id.org/oc/meta/id/06603988816,https://w3id.org/oc/meta/ar/062501928648,https://w3id.org/oc/meta/re/06250335349,https://w3id.org/oc/meta/br/0619013480,http://purl.org/spar/fabio/JournalArticle,Factor XI activation in a revised model of blood coagulation,Factor XI Activation In A Revised Model Of Blood Coagulation,70,10.1126/science.1652157,https://w3id.org/oc/meta/br/06250483551,year_volume_page
b12,10.1016/0003-9861(64)90235-8,1964-04,Activation Of The Fibrin Stabilizing Factor Of Plasma By Thrombin,https://w3id.org/oc/meta/id/062503398071,https://w3id.org/oc/meta/ar/067010493027,https://w3id.org/oc/meta/re/06701804984,https://w3id.org/oc/meta/br/0622041737,http://purl.org/spar/fabio/JournalArticle,Activation of the fibrin stabilizing factor of plasma by thrombin,Activation Of The Fibrin Stabilizing Factor Of Plasma By Thrombin,70,10.1016/0003-9861(64)90235-8,https://w3id.org/oc/meta/br/06702404257,year_volume_page
b13,10.1074/jbc.270.24.14477,1995-06,"Purification And Characterization Of TAFI, A Thrombin-activable Fibrinolysis Inhibitor",https://w3id.org/oc/meta/id/06310657998,https://w3id.org/oc/meta/ar/0612072718,https://w3id.org/oc/meta/re/0612016201,https://w3id.org/oc/meta/br/06901241,http://purl.org/spar/fabio/JournalArticle,"Purification and characterization of TAFI, a thrombin-activable fibrinolysis inhibitor *","Purification And Characterization Of TAFI, A Thrombin-activable Fibrinolysis Inhibitor",70,10.1074/jbc.270.24.14477,https://w3id.org/oc/meta/br/0612078851,year_volume_page
b14,10.1161/01.cir.97.6.544,1998-02-17,Thrombin Binds To Soluble Fibrin Degradation Products Where It Is Protected From Inhibition By Heparin-Antithrombin But Susceptible To Inactivation By Antithrombin-Independent Inhibitors,https://w3id.org/oc/meta/id/061301167339,https://w3id.org/oc/meta/ar/061304913425,https://w3id.org/oc/meta/re/06130909752,https://w3id.org/oc/meta/br/0625022175,http://purl.org/spar/fabio/JournalArticle,Thrombin binds to soluble fibrin degradation products where it is protected from inhibition by heparin-antithrombin but susceptible to inactivation by antithrombin-independent inhibitors,Thrombin Binds To Soluble Fibrin Degradation Products Where It Is Protected From Inhibition By Heparin-Antithrombin But Susceptible To Inactivation By Antithrombin-Independent Inhibitors,70,10.1161/01.cir.97.6.544,https://w3id.org/oc/meta/br/061301126534,year_volume_page
b15,10.1172/jci114723,1990-08-01,Clot-bound Thrombin Is Protected From Inhibition By Heparin-Antithrombin III But Is Susceptible To Inactivation By Antithrombin III-independent Inhibitors.,https://w3id.org/oc/meta/id/062403553859,https://w3id.org/oc/meta/ar/061902534247,https://w3id.org/oc/meta/re/06190450817,https://w3id.org/oc/meta/br/0613010820,http://purl.org/spar/fabio/JournalArticle,Clot-bound thrombin is protected from inhibition by heparin-antithrombin III but is susceptible to inactivation by antithrombin III-independent inhibitors,Clot-bound Thrombin Is Protected From Inhibition By Heparin-Antithrombin III But Is Susceptible To Inactivation By Antithrombin III-independent Inhibitors.,70,10.1172/jci114723,https://w3id.org/oc/meta/br/06190620536,year_volume_page
