reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,10.1177/0149206314558302,2014-11-21,When Voice Matters,https://w3id.org/oc/meta/id/061201020514,https://w3id.org/oc/meta/ar/061204181751,https://w3id.org/oc/meta/re/06120770667,https://w3id.org/oc/meta/br/06120965630,http://purl.org/spar/fabio/JournalArticle,When voice matters,When Voice Matters,65,10.1177/0149206314558302,https://w3id.org/oc/meta/br/06120965205,year_volume_page
b1,10.1177/1094428105278021,2005-07,Potential Problems In The Statistical Control Of Variables In Organizational Research: A Qualitative Analysis With Recommendations,https://w3id.org/oc/meta/id/061401241934,https://w3id.org/oc/meta/ar/061405293529,https://w3id.org/oc/meta/re/06140978249,https://w3id.org/oc/meta/br/061401193364,http://purl.org/spar/fabio/JournalArticle,Potential problems in the statistical control of variables in organizational research: A qualitative analysis with recommendations,Potential Problems In The Statistical Control Of Variables In Organizational Research: A Qualitative Analysis With Recommendations,70,10.1177/1094428105278021,https://w3id.org/oc/meta/br/061401192998,year_volume_page
b2,10.1080/13594320244000201,2002-09,"Organization-, Supervisor-, And Workgroup-Directed Commitments And Citizenship Behaviours: A Comparison Of Models",https://w3id.org/oc/meta/id/06660840982,https://w3id.org/oc/meta/ar/0636087000,https://w3id.org/oc/meta/re/0636018084,https://w3id.org/oc/meta/br/0636020321,http://purl.org/spar/fabio/JournalArticle,"Organization‐, supervisor‐, and workgroup‐directed commitments and citizenship behaviours: A comparison of models","Organization-, Supervisor-, And Workgroup-Directed Commitments And Citizenship Behaviours: A Comparison Of Models",65,10.1080/13594320244000201,https://w3id.org/oc/meta/br/0636019471,year_volume_page
b4,10.1016/j.leaqua.2006.02.004,2006-06,Leader–member Exchange In Teams: An Examination Of The Interaction Between Relationship Differentiation And Mean LMX In Explaining Team-Level Outcomes,https://w3id.org/oc/meta/id/06670801117,https://w3id.org/oc/meta/ar/061102869813,https://w3id.org/oc/meta/re/06110508849,https://w3id.org/oc/meta/br/06110685282,http://purl.org/spar/fabio/JournalArticle,Leader‐member exchange in teams: An examination of the interaction between relationship differentiation and mean LMX in explaining team‐level outcomes,Leader–member Exchange In Teams: An Examination Of The Interaction Between Relationship Differentiation And Mean LMX In Explaining Team-Level Outcomes,65,10.1016/j.leaqua.2006.02.004,https://w3id.org/oc/meta/br/06110684803,year_volume_page
b5,10.1177/0018726716636945,2016-05-22,"Temporal Issues In Person–Organization Fit, Person–Job Fit And Turnover: The Role Of Leader–Member Exchange",https://w3id.org/oc/meta/id/06880350945,https://w3id.org/oc/meta/ar/06805182505,https://w3id.org/oc/meta/re/0680959276,https://w3id.org/oc/meta/br/067026358,http://purl.org/spar/fabio/JournalArticle,"Temporal issues in person–organization fit, person–job fit and turnover: The role of leader– member exchange","Temporal Issues In Person–Organization Fit, Person–Job Fit And Turnover: The Role Of Leader–Member Exchange",70,10.1177/0018726716636945,https://w3id.org/oc/meta/br/06801194396,year_volume_page
b6,10.1037/0021-9010.89.4.633,2004,Does The Justice Of The One Interact With The Justice Of The Many? Reactions To Procedural Justice In Teams.,https://w3id.org/oc/meta/id/061903542486,https://w3id.org/oc/meta/ar/06806521573,https://w3id.org/oc/meta/re/06801214225,https://w3id.org/oc/meta/br/06801484714,http://purl.org/spar/fabio/JournalArticle,Does the justice of the one interact with the justice of the many? Reactions to procedural justice in teams,Does The Justice Of The One Interact With The Justice Of The Many? Reactions To Procedural Justice In Teams.,70,10.1037/0021-9010.89.4.633,https://w3id.org/oc/meta/br/06801484537,year_author_page
b7,10.1037/0021-9010.86.3.425,2001,Justice At The Millennium: A Meta-Analytic Review Of 25 Years Of Organizational Justice Research.,https://w3id.org/oc/meta/id/061803527195,https://w3id.org/oc/meta/ar/06606503796,https://w3id.org/oc/meta/re/06601221457,https://w3id.org/oc/meta/br/06601488767,http://purl.org/spar/fabio/JournalArticle,Justice at the millennium: A meta‐analytic review of 25 years of organizational justice research,Justice At The Millennium: A Meta-Analytic Review Of 25 Years Of Organizational Justice Research.,65,10.1037/0021-9010.86.3.425,https://w3id.org/oc/meta/br/06601488430,year_volume_page
b8,10.1037/a0031757,2013-03,"Justice At The Millennium, A Decade Later: A Meta-Analytic Test Of Social Exchange And Affect-Based Perspectives.",https://w3id.org/oc/meta/id/06730840770,https://w3id.org/oc/meta/ar/062606474494,https://w3id.org/oc/meta/re/062601218885,https://w3id.org/oc/meta/br/062601500951,http://purl.org/spar/fabio/JournalArticle,"Justice at the millennium, a decade later: A meta‐analytic test of social exchange and affect‐based perspectives","Justice At The Millennium, A Decade Later: A Meta-Analytic Test Of Social Exchange And Affect-Based Perspectives.",65,10.1037/a0031757,https://w3id.org/oc/meta/br/062601500742,year_volume_page
b10,10.1007/s10869-010-9181-6,2010-05-22,What Reviewers Should Expect From Authors Regarding Common Method Bias In Organizational Research,https://w3id.org/oc/meta/id/06420476861,https://w3id.org/oc/meta/ar/062308841821,https://w3id.org/oc/meta/re/062301657424,https://w3id.org/oc/meta/br/062302018046,http://purl.org/spar/fabio/JournalArticle,What reviewers should expect from authors regarding common method bias in organizational research,What Reviewers Should Expect From Authors Regarding Common Method Bias In Organizational Research,70,10.1007/s10869-010-9181-6,https://w3id.org/oc/meta/br/062302017571,year_volume_page
b11,10.1006/jvbe.2001.1791,2001-04,"Moral Virtues, Fairness Heuristics, Social Entities, And Other Denizens Of Organizational Justice",https://w3id.org/oc/meta/id/063801178830,https://w3id.org/oc/meta/ar/062309895954,https://w3id.org/oc/meta/re/062301851660,https://w3id.org/oc/meta/br/062302250042,http://purl.org/spar/fabio/JournalArticle,"Moral virtues, fairness heuristics, social entities, and other denizens of organizational justice","Moral Virtues, Fairness Heuristics, Social Entities, And Other Denizens Of Organizational Justice",70,10.1006/jvbe.2001.1791,https://w3id.org/oc/meta/br/062302249295,year_volume_page
