reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,10.1162/evco_a_00009,2011-03,HypE: An Algorithm For Fast Hypervolume-Based Many-Objective Optimization,https://w3id.org/oc/meta/id/06560538753,https://w3id.org/oc/meta/ar/061106577400,https://w3id.org/oc/meta/re/061101221376,https://w3id.org/oc/meta/br/061101484319,http://purl.org/spar/fabio/JournalArticle,Hype: an algorithm for fast hypervolume-based many-objective optimization,HypE: An Algorithm For Fast Hypervolume-Based Many-Objective Optimization,70,10.1162/evco_a_00009,https://w3id.org/oc/meta/br/061101483807,year_volume_page
b3,10.1007/978-3-642-02538-9_13,2010,F-Race And Iterated F-Race: An Overview,https://w3id.org/oc/meta/id/062305273168,https://w3id.org/oc/meta/ar/0623012679766,https://w3id.org/oc/meta/re/062302321780,https://w3id.org/oc/meta/br/067064137,http://purl.org/spar/fabio/BookChapter,F-race and iterated f-race: an overview,F-Race And Iterated F-Race: An Overview,70,10.1007/978-3-642-02538-9_13,https://w3id.org/oc/meta/br/062303085258,year_author_page
b4,10.1287/mnsc.1070.0721,2007-12,Selecting A Selection Procedure,https://w3id.org/oc/meta/id/06860363141,https://w3id.org/oc/meta/ar/06908755803,https://w3id.org/oc/meta/re/06901640080,https://w3id.org/oc/meta/br/06901993583,http://purl.org/spar/fabio/JournalArticle,Selecting a selection procedure,Selecting A Selection Procedure,70,10.1287/mnsc.1070.0721,https://w3id.org/oc/meta/br/06901992874,year_volume_page
b7,10.1109/wsc.2015.7408518,2015-12,A New Myopic Sequential Sampling Algorithm For Multi-Objective Problems,https://w3id.org/oc/meta/id/06640447245,https://w3id.org/oc/meta/ar/066012438477,,https://w3id.org/oc/meta/br/06602912961,http://purl.org/spar/fabio/ProceedingsPaper,A new myopic sequential sampling algorithm for multi-objective problems,A New Myopic Sequential Sampling Algorithm For Multi-Objective Problems,70,10.1109/wsc.2015.7408518,https://w3id.org/oc/meta/br/06602911962,author_title
b9,10.1287/mnsc.47.6.800.9812,2001-06,A Multiple Attribute Utility Theory Approach To Ranking And Selection,https://w3id.org/oc/meta/id/061101999429,https://w3id.org/oc/meta/ar/061108820195,https://w3id.org/oc/meta/re/061101640619,https://w3id.org/oc/meta/br/063041592,http://purl.org/spar/fabio/JournalArticle,A multiple attribute utility theory approach to ranking and selection,A Multiple Attribute Utility Theory Approach To Ranking And Selection,70,10.1287/mnsc.47.6.800.9812,https://w3id.org/oc/meta/br/061101983031,year_volume_page
b10,10.1109/wsc.2014.7019875,2014-12,Simulation Optimization: A Tutorial Overview And Recent Developments In Gradient-Based Methods,https://w3id.org/oc/meta/id/0686010861,https://w3id.org/oc/meta/ar/062012379084,,https://w3id.org/oc/meta/br/06202961222,http://purl.org/spar/fabio/ProceedingsPaper,Simulation optimization: a tutorial overview and recent developments in gradient-based methods,Simulation Optimization: A Tutorial Overview And Recent Developments In Gradient-Based Methods,70,10.1109/wsc.2014.7019875,https://w3id.org/oc/meta/br/06202960241,author_title
b11,10.1109/9.533692,1996,A Lower Bound For The Correct Subset-Selection Probability And Its Application To Discrete-Event System Simulations,https://w3id.org/oc/meta/id/062301705399,https://w3id.org/oc/meta/ar/062307340720,https://w3id.org/oc/meta/re/062301379689,https://w3id.org/oc/meta/br/0618038542,http://purl.org/spar/fabio/JournalArticle,A lower bound for the correct subset-selection probability and its application to discreteevent system simulations,A Lower Bound For The Correct Subset-Selection Probability And Its Application To Discrete-Event System Simulations,70,10.1109/9.533692,https://w3id.org/oc/meta/br/062301677397,year_volume_page
b13,10.1287/opre.49.5.732.10615,2001-10,New Two-Stage And Sequential Procedures For Selecting The Best Simulated System,https://w3id.org/oc/meta/id/06805488352,https://w3id.org/oc/meta/ar/062203185503,https://w3id.org/oc/meta/re/06220562000,https://w3id.org/oc/meta/br/0613014603,http://purl.org/spar/fabio/JournalArticle,New two-stage and sequential procedures for selecting the best simulated system,New Two-Stage And Sequential Procedures For Selecting The Best Simulated System,70,10.1287/opre.49.5.732.10615,https://w3id.org/oc/meta/br/06220747041,year_volume_page
b14,10.1287/opre.1040.0187,2005-10,Selection Procedures With Frequentist Expected Opportunity Cost Bounds,https://w3id.org/oc/meta/id/06210801175,https://w3id.org/oc/meta/ar/062103186662,https://w3id.org/oc/meta/re/06210559882,https://w3id.org/oc/meta/br/06210748962,http://purl.org/spar/fabio/JournalArticle,Selection procedures with frequentist expected opportunity cost bounds,Selection Procedures With Frequentist Expected Opportunity Cost Bounds,70,10.1287/opre.1040.0187,https://w3id.org/oc/meta/br/06210748759,year_volume_page
b15,10.1287/ijoc.1090.0327,2010-02,Sequential Sampling To Myopically Maximize The Expected Value Of Information,https://w3id.org/oc/meta/id/0680883833,https://w3id.org/oc/meta/ar/06803513837,https://w3id.org/oc/meta/re/0680638633,https://w3id.org/oc/meta/br/0680834845,http://purl.org/spar/fabio/JournalArticle,Sequential sampling to myopically maximize the expected value of information,Sequential Sampling To Myopically Maximize The Expected Value Of Information,70,10.1287/ijoc.1090.0327,https://w3id.org/oc/meta/br/0680834618,year_volume_page
