reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b25,10.1371/journal.pone.0160848,2016-08-09,Soluble CD14 Enhances The Response Of Periodontal Ligament Stem Cells To P. Gingivalis Lipopolysaccharide,https://w3id.org/oc/meta/id/06901564067,https://w3id.org/oc/meta/ar/06906694780,https://w3id.org/oc/meta/re/06901258484,https://w3id.org/oc/meta/br/06304249579,http://purl.org/spar/fabio/JournalArticle,Soluble CD14 enhances the response of periodontal ligament stem cells to P. gingivalis lipopolysaccharide,Soluble CD14 Enhances The Response Of Periodontal Ligament Stem Cells To P. Gingivalis Lipopolysaccharide,70,10.1371/journal.pone.0160848,https://w3id.org/oc/meta/br/06901538230,author_title
b27,10.1002/eji.200636483,2007-11,TLR-mediated Stimulation Of APC: Distinct Cytokine Responses Of B Cells And Dendritic Cells,https://w3id.org/oc/meta/id/062303488185,https://w3id.org/oc/meta/ar/06130521263,https://w3id.org/oc/meta/re/0613088819,https://w3id.org/oc/meta/br/06130171283,http://purl.org/spar/fabio/JournalArticle,TLR-mediated stimulation of APC: distinct cytokine responses of B cells and dendritic cells,TLR-mediated Stimulation Of APC: Distinct Cytokine Responses Of B Cells And Dendritic Cells,70,10.1002/eji.200636483,https://w3id.org/oc/meta/br/06130170747,year_volume_page
b28,10.1016/j.imlet.2007.11.014,2008-02,Toll-like Receptor (TLR)2 And TLR3 Synergy And Cross-Inhibition In Murine Myeloid Dendritic Cells,https://w3id.org/oc/meta/id/06920641352,https://w3id.org/oc/meta/ar/062403633994,https://w3id.org/oc/meta/re/06240653415,https://w3id.org/oc/meta/br/06240839788,http://purl.org/spar/fabio/JournalArticle,Toll-like receptor (TLR)2 and TLR3 synergy and cross-inhibition in murine myeloid dendritic cells,Toll-like Receptor (TLR)2 And TLR3 Synergy And Cross-Inhibition In Murine Myeloid Dendritic Cells,70,10.1016/j.imlet.2007.11.014,https://w3id.org/oc/meta/br/06240839036,year_volume_page
b29,10.1371/journal.pone.0180073,2017-06-29,Combination Of Poly I:C And Pam3CSK4 Enhances Activation Of B Cells In Vitro And Boosts Antibody Responses To Protein Vaccines In Vivo,https://w3id.org/oc/meta/id/06610680716,https://w3id.org/oc/meta/ar/061506620006,https://w3id.org/oc/meta/re/061501259730,https://w3id.org/oc/meta/br/068037844,http://purl.org/spar/fabio/JournalArticle,Combination of poly I:c and Pam3CSK4 enhances activation of B cells in vitro and boosts antibody responses to protein vaccines in vivo,Combination Of Poly I:C And Pam3CSK4 Enhances Activation Of B Cells In Vitro And Boosts Antibody Responses To Protein Vaccines In Vivo,70,10.1371/journal.pone.0180073,https://w3id.org/oc/meta/br/061501520278,author_title
b30,10.1186/ar1917,2006,Interleukin-6 And Chronic Inflammation.,https://w3id.org/oc/meta/id/06180856156,https://w3id.org/oc/meta/ar/061803324324,https://w3id.org/oc/meta/re/06180612751,https://w3id.org/oc/meta/br/06404248220,http://purl.org/spar/fabio/JournalArticle,Interleukin-6 and chronic inflammation,Interleukin-6 And Chronic Inflammation.,70,10.1186/ar1917,https://w3id.org/oc/meta/br/06180803978,year_author_page
b31,10.1016/s0065-2776(08)60509-x,1993,Lnterleukin-8 And Related Chemotactic Cytokines—CXC And CC Chemokines,https://w3id.org/oc/meta/id/061605251942,https://w3id.org/oc/meta/ar/066014978238,https://w3id.org/oc/meta/re/06602576236,https://w3id.org/oc/meta/br/06320398813,http://purl.org/spar/fabio/BookChapter,Interleukin-8 and related chemotactic cytokines-CXC and CC chemokines,Lnterleukin-8 And Related Chemotactic Cytokines—CXC And CC Chemokines,65,10.1016/s0065-2776(08)60509-x,https://w3id.org/oc/meta/br/06603664358,year_author_page
b32,10.1177/154405910708600403,2007-04,Chemokines In Oral Inflammatory Diseases: Apical Periodontitis And Periodontal Disease,https://w3id.org/oc/meta/id/062505979521,https://w3id.org/oc/meta/ar/06809944249,https://w3id.org/oc/meta/re/06801708543,https://w3id.org/oc/meta/br/0612039161,http://purl.org/spar/fabio/JournalArticle,Chemokines in oral inflammatory diseases: apical periodontitis and periodontal disease,Chemokines In Oral Inflammatory Diseases: Apical Periodontitis And Periodontal Disease,70,10.1177/154405910708600403,https://w3id.org/oc/meta/br/06802287239,year_volume_page
b33,10.1111/j.1600-0463.2009.02532.x,2009-10,Influence Of Lipopolysaccharide And Interleukin-6 On RANKL And OPG Expression And Release In Human Periodontal Ligament Cells,https://w3id.org/oc/meta/id/06804338030,https://w3id.org/oc/meta/ar/065035511,https://w3id.org/oc/meta/re/06507315,https://w3id.org/oc/meta/br/0650912,http://purl.org/spar/fabio/JournalArticle,Influence of lipopolysaccharide and interleukin-6 on RANKL and OPG expression and release in human periodontal ligament cells,Influence Of Lipopolysaccharide And Interleukin-6 On RANKL And OPG Expression And Release In Human Periodontal Ligament Cells,70,10.1111/j.1600-0463.2009.02532.x,https://w3id.org/oc/meta/br/065070026,year_volume_page
b35,10.4049/jimmunol.178.2.1151,2007-01-03,IL-8 And IDO Expression By Human Gingival Fibroblasts Via TLRs,https://w3id.org/oc/meta/id/062502657835,https://w3id.org/oc/meta/ar/0625011632796,https://w3id.org/oc/meta/re/062502116426,https://w3id.org/oc/meta/br/064055947,http://purl.org/spar/fabio/JournalArticle,IL-8 and IDO expression by human gingival fibroblasts via TLRs,IL-8 And IDO Expression By Human Gingival Fibroblasts Via TLRs,70,10.4049/jimmunol.178.2.1151,https://w3id.org/oc/meta/br/062502734041,year_volume_page
b36,10.1128/iai.72.9.5041-5051.2004,2004-09,Porphyromonas Gingivalis Lipopolysaccharide Contains Multiple Lipid A Species That Functionally Interact With Both Toll-Like Receptors 2 And 4,https://w3id.org/oc/meta/id/065301233235,https://w3id.org/oc/meta/ar/06190782218,https://w3id.org/oc/meta/re/06190133693,https://w3id.org/oc/meta/br/06190232270,http://purl.org/spar/fabio/JournalArticle,Porphyromonas gingivalis lipopolysaccharide contains multiple lipid A species that functionally interact with both toll-like receptors 2 and 4,Porphyromonas Gingivalis Lipopolysaccharide Contains Multiple Lipid A Species That Functionally Interact With Both Toll-Like Receptors 2 And 4,70,10.1128/iai.72.9.5041-5051.2004,https://w3id.org/oc/meta/br/06190231989,year_volume_page
b37,10.1016/j.cell.2007.09.008,2007-09,Crystal Structure Of The TLR1-TLR2 Heterodimer Induced By Binding Of A Tri-Acylated Lipopeptide,https://w3id.org/oc/meta/id/06110733291,https://w3id.org/oc/meta/ar/061102842148,https://w3id.org/oc/meta/re/06110501258,https://w3id.org/oc/meta/br/06110677604,http://purl.org/spar/fabio/JournalArticle,Crystal structure of the TLR1-TLR2 heterodimer induced by binding of a tri-acylated lipopeptide,Crystal Structure Of The TLR1-TLR2 Heterodimer Induced By Binding Of A Tri-Acylated Lipopeptide,70,10.1016/j.cell.2007.09.008,https://w3id.org/oc/meta/br/06110677089,year_volume_page
b38,10.1016/j.bbrc.2009.08.062,2009-10,Toll-like Receptors And Innate Immunity,https://w3id.org/oc/meta/id/06790757048,https://w3id.org/oc/meta/ar/065013175333,https://w3id.org/oc/meta/re/06502246719,https://w3id.org/oc/meta/br/0624051858,http://purl.org/spar/fabio/JournalArticle,Toll-like receptors and innate immunity,Toll-like Receptors And Innate Immunity,70,10.1016/j.bbrc.2009.08.062,https://w3id.org/oc/meta/br/06503120272,year_volume_page
b39,10.1016/j.immuni.2010.03.012,2010-03,Intracellular Toll-like Receptors,https://w3id.org/oc/meta/id/062303115180,https://w3id.org/oc/meta/ar/0623013462289,https://w3id.org/oc/meta/re/062302445953,https://w3id.org/oc/meta/br/062303339252,http://purl.org/spar/fabio/JournalArticle,Intracellular toll-like receptors,Intracellular Toll-like Receptors,70,10.1016/j.immuni.2010.03.012,https://w3id.org/oc/meta/br/062303338263,year_volume_page
b40,10.1073/pnas.1510760112,2015-10-27,Differential Outcome Of TRIF-mediated Signaling In TLR4 And TLR3 Induced DC Maturation,https://w3id.org/oc/meta/id/06970683109,https://w3id.org/oc/meta/ar/0616012734913,https://w3id.org/oc/meta/re/061602324347,https://w3id.org/oc/meta/br/061603067768,http://purl.org/spar/fabio/JournalArticle,Differential outcome of TRIF-mediated signaling in TLR4 and TLR3 induced DC maturation,Differential Outcome Of TRIF-mediated Signaling In TLR4 And TLR3 Induced DC Maturation,70,10.1073/pnas.1510760112,https://w3id.org/oc/meta/br/061603067431,year_volume_page
b43,10.2353/ajpath.2006.060180,2006-09,B And T Lymphocytes Are The Primary Sources Of RANKL In The Bone Resorptive Lesion Of Periodontal Disease,https://w3id.org/oc/meta/id/061905935091,https://w3id.org/oc/meta/ar/061703971243,https://w3id.org/oc/meta/re/06170725616,https://w3id.org/oc/meta/br/06170934069,http://purl.org/spar/fabio/JournalArticle,B and T lymphocytes are the primary sources of RANKL in the bone resorptive lesion of periodontal disease,B And T Lymphocytes Are The Primary Sources Of RANKL In The Bone Resorptive Lesion Of Periodontal Disease,70,10.2353/ajpath.2006.060180,https://w3id.org/oc/meta/br/06170933829,year_volume_page
b44,10.1359/jbmr.1999.14.9.1486,1999-09-01,Expression Of Osteoprotegerin (Osteoclastogenesis Inhibitory Factor) In Cultures Of Human Dental Mesenchymal Cells And Epithelial Cells,https://w3id.org/oc/meta/id/062504002594,https://w3id.org/oc/meta/ar/061604623304,https://w3id.org/oc/meta/re/06160870981,https://w3id.org/oc/meta/br/068026860,http://purl.org/spar/fabio/JournalArticle,Expression of osteoprotegerin (osteoclastogenesis inhibitory factor) in cultures of human dental mesenchymal cells and epithelial cells,Expression Of Osteoprotegerin (Osteoclastogenesis Inhibitory Factor) In Cultures Of Human Dental Mesenchymal Cells And Epithelial Cells,70,10.1359/jbmr.1999.14.9.1486,https://w3id.org/oc/meta/br/061601089174,year_volume_page
