reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,10.1016/j.epsl.2010.10.015,2010-12,U–Pb Chronology Of The Solar System's Oldest Solids With Variable 238U/235U,https://w3id.org/oc/meta/id/063901317643,https://w3id.org/oc/meta/ar/061906868942,https://w3id.org/oc/meta/re/061901295025,https://w3id.org/oc/meta/br/061901570674,http://purl.org/spar/fabio/JournalArticle,U-Pb chronology of the 238 235 Solar System’s oldest solids with variable U/ U,U–Pb Chronology Of The Solar System's Oldest Solids With Variable 238U/235U,60,10.1016/j.epsl.2010.10.015,https://w3id.org/oc/meta/br/061901570067,year_volume_page
b1,10.1016/j.epsl.2017.04.022,2017-07,Testing The Chondrule-Rich Accretion Model For Planetary Embryos Using Calcium Isotopes,https://w3id.org/oc/meta/id/064901108025,https://w3id.org/oc/meta/ar/061506859101,https://w3id.org/oc/meta/re/061501303791,https://w3id.org/oc/meta/br/061501568532,http://purl.org/spar/fabio/JournalArticle,Testing the chondrule-rich accretion model for planetary embryos using calcium isotopes,Testing The Chondrule-Rich Accretion Model For Planetary Embryos Using Calcium Isotopes,70,10.1016/j.epsl.2017.04.022,https://w3id.org/oc/meta/br/061501568168,year_author_page
b2,10.1086/518819,2007-08-10,"Mixing And Homogenization In The Early Solar System: Clues From Sr, Ba, Nd, And Sm Isotopes In Meteorites",https://w3id.org/oc/meta/id/06620246633,https://w3id.org/oc/meta/ar/061607576799,https://w3id.org/oc/meta/re/061601439787,https://w3id.org/oc/meta/br/064040256,http://purl.org/spar/fabio/JournalArticle,"Mixing and Homogenization in the early solar system: clues from Sr, Ba, Nd, and Sm Isotopes in Meteorites","Mixing And Homogenization In The Early Solar System: Clues From Sr, Ba, Nd, And Sm Isotopes In Meteorites",70,10.1086/518819,https://w3id.org/oc/meta/br/061601736128,year_volume_page
b3,10.1021/ac034601v,2003-12-09,Fe Isotope Variations In Natural Materials Measured Using High Mass Resolution Multiple Collector ICPMS,https://w3id.org/oc/meta/id/062303377366,https://w3id.org/oc/meta/ar/062304209983,https://w3id.org/oc/meta/re/06230771890,https://w3id.org/oc/meta/br/06230987040,http://purl.org/spar/fabio/JournalArticle,Fe isotope variations in natural materials measured using high mass resolution multiple collector ICPMS,Fe Isotope Variations In Natural Materials Measured Using High Mass Resolution Multiple Collector ICPMS,65,10.1021/ac034601v,https://w3id.org/oc/meta/br/06230986527,year_volume_page
b4,10.1016/j.gca.2004.04.023,2004-11,Inter-mineral Fe Isotope Variations In Mantle-Derived Rocks And Implications For The Fe Geochemical Cycle,https://w3id.org/oc/meta/id/062505924764,https://w3id.org/oc/meta/ar/06207496669,https://w3id.org/oc/meta/re/06201398484,https://w3id.org/oc/meta/br/06201689287,http://purl.org/spar/fabio/JournalArticle,Inter-mineral Fe isotope variations in mantle-derived rocks and implications for the Fe geochemical cycle,Inter-mineral Fe Isotope Variations In Mantle-Derived Rocks And Implications For The Fe Geochemical Cycle,70,10.1016/j.gca.2004.04.023,https://w3id.org/oc/meta/br/06201689082,year_volume_page
b5,10.1351/pac-rep-10-06-02,2011-01-14,Isotopic Compositions Of The Elements 2009 (IUPAC Technical Report),https://w3id.org/oc/meta/id/06706298450,https://w3id.org/oc/meta/ar/0613010656538,https://w3id.org/oc/meta/re/061301960997,https://w3id.org/oc/meta/br/061302446956,http://purl.org/spar/fabio/JournalArticle,Isotopic compositions of the elements 2009 (IUPAC Technical Report),Isotopic Compositions Of The Elements 2009 (IUPAC Technical Report),70,10.1351/pac-rep-10-06-02,https://w3id.org/oc/meta/br/061302446314,year_volume_page
b6,10.1016/j.gca.2018.01.034,2018-04,Origins Of Mass-Dependent And Mass-Independent Ca Isotope Variations In Meteoritic Components And Meteorites,https://w3id.org/oc/meta/id/062101701279,https://w3id.org/oc/meta/ar/062107478009,https://w3id.org/oc/meta/re/062101384825,https://w3id.org/oc/meta/br/062101673986,http://purl.org/spar/fabio/JournalArticle,Origins of mass-dependent and mass-independent Ca isotope variations in meteoritic components and meteorites,Origins Of Mass-Dependent And Mass-Independent Ca Isotope Variations In Meteoritic Components And Meteorites,70,10.1016/j.gca.2018.01.034,https://w3id.org/oc/meta/br/062101673490,year_author_page
b7,10.1029/gl011i010p00943,1984-10,Chromium Isotopic Anomalies In Allende Refractory Inclusions,https://w3id.org/oc/meta/id/06410493867,https://w3id.org/oc/meta/ar/0612011939842,https://w3id.org/oc/meta/re/061202182709,https://w3id.org/oc/meta/br/0619061352,http://purl.org/spar/fabio/JournalArticle,Chromium isotopic anomalies in Allende refractory inclusions,Chromium Isotopic Anomalies In Allende Refractory Inclusions,70,10.1029/gl011i010p00943,https://w3id.org/oc/meta/br/061202808411,year_volume_page
b8,10.1029/gl012i011p00745,1985-11,Evidence For The Presence of53Mn In The Early Solar System,https://w3id.org/oc/meta/id/06570327293,https://w3id.org/oc/meta/ar/067013662871,https://w3id.org/oc/meta/re/06702337932,https://w3id.org/oc/meta/br/0619061333,http://purl.org/spar/fabio/JournalArticle,Evidence for the presence of 53Mn in the early solar system,Evidence For The Presence of53Mn In The Early Solar System,65,10.1029/gl012i011p00745,https://w3id.org/oc/meta/br/06703212395,year_volume_page
b9,10.1016/0012-821x(88)90096-9,1988-10,Nickel And Chromium Isotopes In Allende Inclusions,https://w3id.org/oc/meta/id/06810753575,https://w3id.org/oc/meta/ar/062506990318,https://w3id.org/oc/meta/re/062501298441,https://w3id.org/oc/meta/br/0623036197,http://purl.org/spar/fabio/JournalArticle,Nickel and chromium isotopes in Allende inclusions,Nickel And Chromium Isotopes In Allende Inclusions,70,10.1016/0012-821x(88)90096-9,https://w3id.org/oc/meta/br/062501563305,year_volume_page
b10,10.1016/0016-7037(84)90096-6,1984-04,Al-rich Objects In Ordinary Chondrites: Related Origin Of Carbonaceous And Ordinary Chondrites And Their Constituents,https://w3id.org/oc/meta/id/06901721737,https://w3id.org/oc/meta/ar/06907455379,https://w3id.org/oc/meta/re/06901396046,https://w3id.org/oc/meta/br/0617039430,http://purl.org/spar/fabio/JournalArticle,Al-rich objects in ordinary chondrites: Related origin of carbonaceous and ordinary chondrites and their constituents,Al-rich Objects In Ordinary Chondrites: Related Origin Of Carbonaceous And Ordinary Chondrites And Their Constituents,70,10.1016/0016-7037(84)90096-6,https://w3id.org/oc/meta/br/06901701859,year_volume_page
b11,10.1038/nature02882,2004-09-16,Mg Isotope Evidence For Contemporaneous Formation Of Chondrules And Refractory Inclusions,https://w3id.org/oc/meta/id/06803933180,https://w3id.org/oc/meta/ar/06701282934,https://w3id.org/oc/meta/re/0670230438,https://w3id.org/oc/meta/br/0670356905,http://purl.org/spar/fabio/JournalArticle,Mg isotope evidence for contemporaneous formation of chondrules and refractory inclusions,Mg Isotope Evidence For Contemporaneous Formation Of Chondrules And Refractory Inclusions,70,10.1038/nature02882,https://w3id.org/oc/meta/br/0670356652,year_volume_page
b12,10.1016/0016-7037(75)90003-4,1975-05,Fractionation In The Solar Nebula: Condensation Of Yttrium And The Rare Earth Elements,https://w3id.org/oc/meta/id/06880739725,https://w3id.org/oc/meta/ar/06407574003,https://w3id.org/oc/meta/re/06401390459,https://w3id.org/oc/meta/br/0617039620,http://purl.org/spar/fabio/JournalArticle,Fractionation in the solar nebula: condensation of yttrium and the rare earth elements,Fractionation In The Solar Nebula: Condensation Of Yttrium And The Rare Earth Elements,70,10.1016/0016-7037(75)90003-4,https://w3id.org/oc/meta/br/06401699320,year_volume_page
b14,10.1016/j.gca.2011.06.033,2011-09,New Constraints On Early Solar System Chronology From Al–Mg And U–Pb Isotope Systematics In The Unique Basaltic Achondrite Northwest Africa 2976,https://w3id.org/oc/meta/id/06390688294,https://w3id.org/oc/meta/ar/062407376719,https://w3id.org/oc/meta/re/062401377448,https://w3id.org/oc/meta/br/062401664493,http://purl.org/spar/fabio/JournalArticle,New constraints on early Solar System chronology from Al–Mg and U-Pb isotope systematics in the unique basaltic achondrite Northwest Africa 2976,New Constraints On Early Solar System Chronology From Al–Mg And U–Pb Isotope Systematics In The Unique Basaltic Achondrite Northwest Africa 2976,70,10.1016/j.gca.2011.06.033,https://w3id.org/oc/meta/br/062401664267,year_volume_page
b15,10.1126/science.1180871,2010-01-22,238 U/ 235 U Variations In Meteorites: Extant 247 Cm And Implications For Pb-Pb Dating,https://w3id.org/oc/meta/id/062203677844,https://w3id.org/oc/meta/ar/061401931607,https://w3id.org/oc/meta/re/06140332249,https://w3id.org/oc/meta/br/0619015045,http://purl.org/spar/fabio/JournalArticle,238U/235U Variations in Meteorites: Extant 247Cm and Implications for Pb-Pb Dating,238 U/ 235 U Variations In Meteorites: Extant 247 Cm And Implications For Pb-Pb Dating,65,10.1126/science.1180871,https://w3id.org/oc/meta/br/06140476952,year_volume_page
b16,10.1073/pnas.1307759110,2013-10-07,Evidence For Supernova Injection Into The Solar Nebula And The Decoupling Of R -Process Nucleosynthesis,https://w3id.org/oc/meta/id/06305905670,https://w3id.org/oc/meta/ar/0626012630977,https://w3id.org/oc/meta/re/062602318068,https://w3id.org/oc/meta/br/0621061112,http://purl.org/spar/fabio/JournalArticle,Evidence for supernova injection into the solar nebula and the decoupling or r-process nucleosynthesis,Evidence For Supernova Injection Into The Solar Nebula And The Decoupling Of R -Process Nucleosynthesis,65,10.1073/pnas.1307759110,https://w3id.org/oc/meta/br/062603078966,year_volume_page
b17,10.1016/j.gca.2016.10.003,2017-03,A Renewed Search For Short-Lived 126Sn In The Early Solar System: Hydride Generation MC-ICPMS For High Sensitivity Te Isotopic Analysis,https://w3id.org/oc/meta/id/06970724556,https://w3id.org/oc/meta/ar/062207394360,https://w3id.org/oc/meta/re/062201388007,https://w3id.org/oc/meta/br/062201671890,http://purl.org/spar/fabio/JournalArticle,A renewed search for short-lived 126Sn in the early Solar System: Hydride generation MC-ICPMS for high sensitivity Te isotopic analysis,A Renewed Search For Short-Lived 126Sn In The Early Solar System: Hydride Generation MC-ICPMS For High Sensitivity Te Isotopic Analysis,70,10.1016/j.gca.2016.10.003,https://w3id.org/oc/meta/br/062201671075,year_author_page
b19,10.1016/j.gca.2008.10.023,2008-12,"Hf–W Mineral Isochron For Ca,Al-rich Inclusions: Age Of The Solar System And The Timing Of Core Formation In Planetesimals",https://w3id.org/oc/meta/id/063801091418,https://w3id.org/oc/meta/ar/062607406371,https://w3id.org/oc/meta/re/062601396553,https://w3id.org/oc/meta/br/062601706589,http://purl.org/spar/fabio/JournalArticle,"Hf-W mineral isochron for Ca, Al- rich inclusions: Age of the solar system and the timing of core formation in planetesimals","Hf–W Mineral Isochron For Ca,Al-rich Inclusions: Age Of The Solar System And The Timing Of Core Formation In Planetesimals",65,10.1016/j.gca.2008.10.023,https://w3id.org/oc/meta/br/062601705641,year_volume_page
b20,10.1016/j.epsl.2011.10.010,2011-12,Molybdenum Isotope Anomalies In Meteorites: Constraints On Solar Nebula Evolution And Origin Of The Earth,https://w3id.org/oc/meta/id/06680115192,https://w3id.org/oc/meta/ar/061806743555,https://w3id.org/oc/meta/re/061801290445,https://w3id.org/oc/meta/br/061801563982,http://purl.org/spar/fabio/JournalArticle,Molybdenum isotope anomalies in meteorites: constraints on solar nebula evolution and origin of the Earth,Molybdenum Isotope Anomalies In Meteorites: Constraints On Solar Nebula Evolution And Origin Of The Earth,70,10.1016/j.epsl.2011.10.010,https://w3id.org/oc/meta/br/061801563804,year_volume_page
b22,10.1038/nature18956,2016-09-14,A Nucleosynthetic Origin For The Earth’s Anomalous 142Nd Composition,https://w3id.org/oc/meta/id/06260413357,https://w3id.org/oc/meta/ar/062601295000,https://w3id.org/oc/meta/re/06260227640,https://w3id.org/oc/meta/br/062608935,http://purl.org/spar/fabio/JournalArticle,A nucleosynthetic origin for the Earth’s anomalous 142Nd composition,A Nucleosynthetic Origin For The Earth’s Anomalous 142Nd Composition,70,10.1038/nature18956,https://w3id.org/oc/meta/br/06260366371,year_volume_page
b23,10.1126/science.1140189,2007-05-25,"Chondrite Barium, Neodymium, And Samarium Isotopic Heterogeneity And Early Earth Differentiation",https://w3id.org/oc/meta/id/06210542350,https://w3id.org/oc/meta/ar/062101951335,https://w3id.org/oc/meta/re/06210325650,https://w3id.org/oc/meta/br/062103674612,http://purl.org/spar/fabio/JournalArticle,"Chondrite barium, neodymium, and samarium isotopic heterogeneity and early Earth differentiation","Chondrite Barium, Neodymium, And Samarium Isotopic Heterogeneity And Early Earth Differentiation",70,10.1126/science.1140189,https://w3id.org/oc/meta/br/06210485066,year_volume_page
b24,10.3319/tao.2008.09.19.01(tt),2009,In Situ Ti Isotopic Measurements By Laser Ablation MC-ICP-MS,https://w3id.org/oc/meta/id/061404675391,https://w3id.org/oc/meta/ar/061207235262,https://w3id.org/oc/meta/re/061201348501,https://w3id.org/oc/meta/br/061201625667,http://purl.org/spar/fabio/JournalArticle,In situ Ti isotopic measurements by laser ablation MC-ICP-MS,In Situ Ti Isotopic Measurements By Laser Ablation MC-ICP-MS,70,10.3319/tao.2008.09.19.01(tt),https://w3id.org/oc/meta/br/061201625405,year_volume_page
b26,10.1029/gl004i007p00295,1977-07,"Correlated Oxygen And Magnesium Isotope Anomalies In Allende Inclusions, I: Oxygen",https://w3id.org/oc/meta/id/06570820500,https://w3id.org/oc/meta/ar/066013639668,https://w3id.org/oc/meta/re/06602352746,https://w3id.org/oc/meta/br/0619061521,http://purl.org/spar/fabio/JournalArticle,"Correlated oxygen and magnesium isotope anomalies in Allende inclusions, I. Oxygen.","Correlated Oxygen And Magnesium Isotope Anomalies In Allende Inclusions, I: Oxygen",70,10.1029/gl004i007p00295,https://w3id.org/oc/meta/br/06603229595,year_volume_page
b27,10.1126/science.1226919,2012-11-02,The Absolute Chronology And Thermal Processing Of Solids In The Solar Protoplanetary Disk,https://w3id.org/oc/meta/id/062603686639,https://w3id.org/oc/meta/ar/06801894288,https://w3id.org/oc/meta/re/0680334602,https://w3id.org/oc/meta/br/0680490161,http://purl.org/spar/fabio/JournalArticle,The absolute chronology and thermal processing of solids in the solar protoplanetary disk,The Absolute Chronology And Thermal Processing Of Solids In The Solar Protoplanetary Disk,70,10.1126/science.1226919,https://w3id.org/oc/meta/br/0680489266,year_volume_page
b28,10.3847/1538-3881/aa8b12,2017-09-29,Iron Isotopic Compositions Of Troilite (FeS) Inclusions From Iron Meteorites,https://w3id.org/oc/meta/id/06401763800,https://w3id.org/oc/meta/ar/06407754089,https://w3id.org/oc/meta/re/06401425362,https://w3id.org/oc/meta/br/06401741971,http://purl.org/spar/fabio/JournalArticle,Iron isotopic compositions of troilite (FeS) inclusions from iron meteorites,Iron Isotopic Compositions Of Troilite (FeS) Inclusions From Iron Meteorites,70,10.3847/1538-3881/aa8b12,https://w3id.org/oc/meta/br/06401741064,year_volume_page
