reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,10.1016/j.eja.2018.06.001,2018-09,Simulating Plant Water Stress Dynamics In A Wide Range Of Bi-Specific Agrosystems In A Region Using The BISWAT Model,https://w3id.org/oc/meta/id/06730711232,https://w3id.org/oc/meta/ar/061509442730,https://w3id.org/oc/meta/re/061501783810,https://w3id.org/oc/meta/br/061502136863,http://purl.org/spar/fabio/JournalArticle,Simulating plant water stress dynamics in a wide range of bi-specific agrosystems in a region using the BISWAT model,Simulating Plant Water Stress Dynamics In A Wide Range Of Bi-Specific Agrosystems In A Region Using The BISWAT Model,70,10.1016/j.eja.2018.06.001,https://w3id.org/oc/meta/br/061502136586,year_author_page
b2,10.1016/j.envsoft.2016.09.001,2016-12,A Framework To Use Crop Models For Multi-Objective Constrained Optimization Of Irrigation Strategies,https://w3id.org/oc/meta/id/061905120866,https://w3id.org/oc/meta/ar/06240720246,https://w3id.org/oc/meta/re/06240124446,https://w3id.org/oc/meta/br/06240214337,http://purl.org/spar/fabio/JournalArticle,A framework to use crop models for multi-objective constrained op- timization of irrigation strategies,A Framework To Use Crop Models For Multi-Objective Constrained Optimization Of Irrigation Strategies,70,10.1016/j.envsoft.2016.09.001,https://w3id.org/oc/meta/br/06240213887,year_author_page
b3,10.1016/j.automatica.2017.03.012,2017-07,On Turnpike And Dissipativity Properties Of Continuous-Time Optimal Control Problems,https://w3id.org/oc/meta/id/06902889109,https://w3id.org/oc/meta/ar/069012491356,https://w3id.org/oc/meta/re/06902296415,https://w3id.org/oc/meta/br/06903049896,http://purl.org/spar/fabio/JournalArticle,On turnpike and disspativity properties of continuous-time optimal control problems,On Turnpike And Dissipativity Properties Of Continuous-Time Optimal Control Problems,65,10.1016/j.automatica.2017.03.012,https://w3id.org/oc/meta/br/06903049046,year_author_page
b4,10.1007/bf00939441,1987-08,A New Sufficient Condition For Most Rapid Approach Paths,https://w3id.org/oc/meta/id/06201425846,https://w3id.org/oc/meta/ar/06206024328,https://w3id.org/oc/meta/re/06201138247,https://w3id.org/oc/meta/br/06201388159,http://purl.org/spar/fabio/JournalArticle,A new sufficient condition for most rapid approach paths,A New Sufficient Condition For Most Rapid Approach Paths,70,10.1007/bf00939441,https://w3id.org/oc/meta/br/06201387630,author_title
b6,10.1016/j.agwat.2018.06.029,2018-09,Optimization Of Irrigation Scheduling For Spring Wheat Based On Simulation-Optimization Model Under Uncertainty,https://w3id.org/oc/meta/id/06940388713,https://w3id.org/oc/meta/ar/06303518444,https://w3id.org/oc/meta/re/0630631437,https://w3id.org/oc/meta/br/0630828545,http://purl.org/spar/fabio/JournalArticle,Optimization of irrigation schedul- ing for spring wheat based on simulation-optimization model under uncertainty,Optimization Of Irrigation Scheduling For Spring Wheat Based On Simulation-Optimization Model Under Uncertainty,65,10.1016/j.agwat.2018.06.029,https://w3id.org/oc/meta/br/0630828243,year_author_page
b7,10.2316/p.2011.715-093,2011,Irrigation Optimization By Modeling Of Plant-Soil Interaction,https://w3id.org/oc/meta/id/06890825989,https://w3id.org/oc/meta/ar/0621012564500,,https://w3id.org/oc/meta/br/062102999663,http://purl.org/spar/fabio/ProceedingsPaper,Irrigation optimization by modeling of plant-soil interaction,Irrigation Optimization By Modeling Of Plant-Soil Interaction,70,10.2316/p.2011.715-093,https://w3id.org/oc/meta/br/062102998664,author_title
b9,10.1016/j.ecolmodel.2017.10.003,2017-12,A Dynamical Systems Framework For Crop Models: Toward Optimal Fertilization And Irrigation Strategies Under Climatic Variability,https://w3id.org/oc/meta/id/06905891237,https://w3id.org/oc/meta/ar/064011683380,https://w3id.org/oc/meta/re/06402039338,https://w3id.org/oc/meta/br/06402788055,http://purl.org/spar/fabio/JournalArticle,A dynamical systems framework for crop models: Toward optimal fertilization and irrigation strategies under climatic variability,A Dynamical Systems Framework For Crop Models: Toward Optimal Fertilization And Irrigation Strategies Under Climatic Variability,70,10.1016/j.ecolmodel.2017.10.003,https://w3id.org/oc/meta/br/06402787603,year_author_page
b10,10.1137/1.9781611973273.4,2013-07-08,Optimal Control Of Crop Irrigation Based On The Hamilton-Jacobi-Bellman Equation,https://w3id.org/oc/meta/id/06440590511,https://w3id.org/oc/meta/ar/069011538810,https://w3id.org/oc/meta/re/06902120162,https://w3id.org/oc/meta/br/06902753912,http://purl.org/spar/fabio/BookChapter,Optimal control of crop irrigation based on the Hamilton-Jacobi-Bellman equation,Optimal Control Of Crop Irrigation Based On The Hamilton-Jacobi-Bellman Equation,70,10.1137/1.9781611973273.4,https://w3id.org/oc/meta/br/06902753574,year_author_page
b11,10.1051/cocv:2003039,2004-01,Turnpike Theorems By A Value Function Approach,https://w3id.org/oc/meta/id/06630428046,https://w3id.org/oc/meta/ar/062506645522,https://w3id.org/oc/meta/re/062501235812,https://w3id.org/oc/meta/br/062501494432,http://purl.org/spar/fabio/JournalArticle,Turnpike theorems by a value function approach,Turnpike Theorems By A Value Function Approach,70,10.1051/cocv:2003039,https://w3id.org/oc/meta/br/062501494347,year_volume_page
b12,10.1029/2007wr006181,2008-07,Use Of Crop Simulation Models To Evaluate Limited Irrigation Management Options For Corn In A Semiarid Environment,https://w3id.org/oc/meta/id/062505816537,https://w3id.org/oc/meta/ar/061304602903,,https://w3id.org/oc/meta/br/063022691,http://purl.org/spar/fabio/JournalArticle,Use of crop simulation models to evaluate limited irrigation management options for corn in a semiarid environment,Use Of Crop Simulation Models To Evaluate Limited Irrigation Management Options For Corn In A Semiarid Environment,70,10.1029/2007wr006181,https://w3id.org/oc/meta/br/061301058982,author_title
