reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b3,10.1046/j.1365-2664.2003.00812.x,2003-06,Spring Hunting Changes The Regional Movements Of Migrating Greater Snow Geese,https://w3id.org/oc/meta/id/06806057606,https://w3id.org/oc/meta/ar/06510242272,https://w3id.org/oc/meta/re/0651049028,https://w3id.org/oc/meta/br/0651057253,http://purl.org/spar/fabio/JournalArticle,Spring hunting changes the regional movements of migrating greater snow geese,Spring Hunting Changes The Regional Movements Of Migrating Greater Snow Geese,70,10.1046/j.1365-2664.2003.00812.x,https://w3id.org/oc/meta/br/0651055805,year_volume_page
b4,10.1007/s10336-015-1271-9,2015-08-04,"Philopatry In A Changing World: Response Of Pink-Footed Geese Anser Brachyrhynchus To The Loss Of A Key Autumn Staging Area Due To Restoration Of Filsø Lake, Denmark",https://w3id.org/oc/meta/id/06820753497,https://w3id.org/oc/meta/ar/062308599032,https://w3id.org/oc/meta/re/062301613548,https://w3id.org/oc/meta/br/062301961741,http://purl.org/spar/fabio/JournalArticle,"Philopatry in a changing world: response of pink-footed geese Anser brachyrhynchus to the loss of a key autumn staging area due to restoration of Filsø Lake, Denmark","Philopatry In A Changing World: Response Of Pink-Footed Geese Anser Brachyrhynchus To The Loss Of A Key Autumn Staging Area Due To Restoration Of Filsø Lake, Denmark",70,10.1007/s10336-015-1271-9,https://w3id.org/oc/meta/br/062301961421,year_volume_page
b8,10.1007/s13280-016-0879-1,2017-02-18,Why Geese Benefit From The Transition From Natural Vegetation To Agriculture,https://w3id.org/oc/meta/id/06206136401,https://w3id.org/oc/meta/ar/06206344045,https://w3id.org/oc/meta/re/06201189702,https://w3id.org/oc/meta/br/06201447775,http://purl.org/spar/fabio/JournalArticle,Why geese benefit from the transition from natural vegetation to agriculture,Why Geese Benefit From The Transition From Natural Vegetation To Agriculture,70,10.1007/s13280-016-0879-1,https://w3id.org/oc/meta/br/06201447536,year_volume_page
b9,10.1111/brv.12258,2016-03-04,Agriculture And Herbivorous Waterfowl: A Review Of The Scientific Basis For Improved Management,https://w3id.org/oc/meta/id/062604257572,https://w3id.org/oc/meta/ar/062607213416,https://w3id.org/oc/meta/re/062601361136,https://w3id.org/oc/meta/br/062603812255,http://purl.org/spar/fabio/JournalArticle,Agriculture and herbivorous waterfowl: a review of the scientific basis for improved management,Agriculture And Herbivorous Waterfowl: A Review Of The Scientific Basis For Improved Management,65,10.1111/brv.12258,https://w3id.org/oc/meta/br/062601660837,year_volume_page
b10,10.1007/s13280-016-0878-2,2017-02-18,Threatened Species To Super-Abundance: The Unexpected International Implications Of Successful Goose Conservation,https://w3id.org/oc/meta/id/06206136658,https://w3id.org/oc/meta/ar/06206344017,https://w3id.org/oc/meta/re/06201189696,https://w3id.org/oc/meta/br/06201447775,http://purl.org/spar/fabio/JournalArticle,Threatened species to super-abun- dance: The unexpected international implications of successful goose conservation,Threatened Species To Super-Abundance: The Unexpected International Implications Of Successful Goose Conservation,70,10.1007/s13280-016-0878-2,https://w3id.org/oc/meta/br/06201447530,year_volume_page
b11,10.1111/j.1365-2486.2005.00944.x,2005-06,"Interactions Between Land Use, Habitat Use, And Population Increase In Greater Snow Geese: What Are The Consequences For Natural Wetlands?",https://w3id.org/oc/meta/id/0610781856,https://w3id.org/oc/meta/ar/06103071941,https://w3id.org/oc/meta/re/0610545847,https://w3id.org/oc/meta/br/0610731461,http://purl.org/spar/fabio/JournalArticle,"Interactions between land use, habitat use, and population increase in greater snow geese: What are the consequences for natural wetlands?","Interactions Between Land Use, Habitat Use, And Population Increase In Greater Snow Geese: What Are The Consequences For Natural Wetlands?",70,10.1111/j.1365-2486.2005.00944.x,https://w3id.org/oc/meta/br/0610730640,year_volume_page
b12,10.1007/s11284-015-1282-2,2015-06-02,Patterns Of Occurrence And Abundance Of Roosting Geese: The Role Of Spatial Scale For Site Selection And Consequences For Conservation,https://w3id.org/oc/meta/id/062901145790,https://w3id.org/oc/meta/ar/061011210858,https://w3id.org/oc/meta/re/06101991775,https://w3id.org/oc/meta/br/06102619560,http://purl.org/spar/fabio/JournalArticle,Patterns of occurrence and abundance of roosting geese: the role of spatial scale for site selection and consequences for conservation,Patterns Of Occurrence And Abundance Of Roosting Geese: The Role Of Spatial Scale For Site Selection And Consequences For Conservation,70,10.1007/s11284-015-1282-2,https://w3id.org/oc/meta/br/06102619215,year_volume_page
b13,10.1007/s00300-013-1404-7,2013-11-16,Snow Conditions As An Estimator Of The Breeding Output In high-Arctic Pink-Footed Geese Anser Brachyrhynchus,https://w3id.org/oc/meta/id/06430754994,https://w3id.org/oc/meta/ar/062609889088,https://w3id.org/oc/meta/re/062601841564,https://w3id.org/oc/meta/br/062602240364,http://purl.org/spar/fabio/JournalArticle,Snow conditions as an estimator of the breeding output in high-Arctic pink-footed geese Anser brachyrhynchus,Snow Conditions As An Estimator Of The Breeding Output In high-Arctic Pink-Footed Geese Anser Brachyrhynchus,65,10.1007/s00300-013-1404-7,https://w3id.org/oc/meta/br/062602240089,year_volume_page
b15,10.1111/1365-2664.13184,2018-06-11,Landscape Context And Farm Uptake Limit Effects Of Bird Conservation In The Swedish Volunteer & Farmer Alliance,https://w3id.org/oc/meta/id/0638052939,https://w3id.org/oc/meta/ar/06380229041,https://w3id.org/oc/meta/re/0638048844,https://w3id.org/oc/meta/br/063018455,http://purl.org/spar/fabio/JournalArticle,Landscape context and farm uptake limit effects of bird conservation in the Swedish Volunteer & Farmer Alliance,Landscape Context And Farm Uptake Limit Effects Of Bird Conservation In The Swedish Volunteer & Farmer Alliance,70,10.1111/1365-2664.13184,https://w3id.org/oc/meta/br/0638056714,year_volume_page
b18,10.1007/s13280-016-0888-0,2017-02-18,Implementation Of The First Adaptive Management Plan For A European Migratory Waterbird Population: The Case Of The Svalbard Pink-Footed Goose Anser Brachyrhynchus,https://w3id.org/oc/meta/id/06206136394,https://w3id.org/oc/meta/ar/06206344052,https://w3id.org/oc/meta/re/06201189703,https://w3id.org/oc/meta/br/06201447775,http://purl.org/spar/fabio/JournalArticle,Implementation of the first adaptive management plan for a European migratory waterbird population: The case of the Svalbard pink-footed goose Anser brachyrhynchus,Implementation Of The First Adaptive Management Plan For A European Migratory Waterbird Population: The Case Of The Svalbard Pink-Footed Goose Anser Brachyrhynchus,70,10.1007/s13280-016-0888-0,https://w3id.org/oc/meta/br/06201447537,year_volume_page
