reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,10.1016/j.joca.2007.06.010,2008-02,Influence Of Concomitant Heeled Footwear When Wearing A Lateral Wedged Insole For Medial Compartment Osteoarthritis Of The Knee,https://w3id.org/oc/meta/id/0650499062,https://w3id.org/oc/meta/ar/06501685933,https://w3id.org/oc/meta/re/0650286456,https://w3id.org/oc/meta/br/0650430203,http://purl.org/spar/fabio/JournalArticle,Influence of concomitant heeled footwear when wearing a lateral wedged insole for medial compartment osteoarthritis of the knee,Influence Of Concomitant Heeled Footwear When Wearing A Lateral Wedged Insole For Medial Compartment Osteoarthritis Of The Knee,70,10.1016/j.joca.2007.06.010,https://w3id.org/oc/meta/br/0650430095,year_volume_page
b1,10.1016/j.joca.2007.12.013,2008-02,"OARSI Recommendations For The Management Of Hip And Knee Osteoarthritis, Part II: OARSI Evidence-Based, Expert Consensus Guidelines",https://w3id.org/oc/meta/id/0684042426,https://w3id.org/oc/meta/ar/06501685065,https://w3id.org/oc/meta/re/0650286326,https://w3id.org/oc/meta/br/0650430203,http://purl.org/spar/fabio/JournalArticle,"OARSI recommendations for the management of hip and knee osteoarthritis, Part II: OARSI evidence-based, expert consensus guidelines","OARSI Recommendations For The Management Of Hip And Knee Osteoarthritis, Part II: OARSI Evidence-Based, Expert Consensus Guidelines",70,10.1016/j.joca.2007.12.013,https://w3id.org/oc/meta/br/0650429965,year_volume_page
b2,10.1002/art.23326,2008,Lateral Wedges In Knee Osteoarthritis: What Are Their Immediate Clinical And Biomechanical Effects And Can These Predict A Three-Month Clinical Outcome?,https://w3id.org/oc/meta/id/06203251471,https://w3id.org/oc/meta/ar/062014399136,https://w3id.org/oc/meta/re/06202520252,https://w3id.org/oc/meta/br/06203526039,http://purl.org/spar/fabio/JournalArticle,Lateral wedges in knee osteoarthritis: what are their immediate clinical and biomechanical effects and can these predict a three-month clinical outcome?,Lateral Wedges In Knee Osteoarthritis: What Are Their Immediate Clinical And Biomechanical Effects And Can These Predict A Three-Month Clinical Outcome?,70,10.1002/art.23326,https://w3id.org/oc/meta/br/06203525585,author_title
b3,10.1016/j.apmr.2006.08.018,2006-11,Effects Of Disease Severity On Response To Lateral Wedged Shoe Insole For Medial Compartment Knee Osteoarthritis,https://w3id.org/oc/meta/id/062502066940,https://w3id.org/oc/meta/ar/062509124596,https://w3id.org/oc/meta/re/062501689432,https://w3id.org/oc/meta/br/062502040155,http://purl.org/spar/fabio/JournalArticle,Effects of disease severity on response to lateral wedged shoe insole for medial compartment knee osteoarthritis,Effects Of Disease Severity On Response To Lateral Wedged Shoe Insole For Medial Compartment Knee Osteoarthritis,70,10.1016/j.apmr.2006.08.018,https://w3id.org/oc/meta/br/062502039425,year_volume_page
b4,10.1016/j.clinbiomech.2015.07.002,2015-11,Ankle Anticipatory Postural Adjustments During Gait Initiation In Healthy And Post-Stroke Subjects,https://w3id.org/oc/meta/id/061303863102,https://w3id.org/oc/meta/ar/061207868651,https://w3id.org/oc/meta/re/061201455150,https://w3id.org/oc/meta/br/061201751752,http://purl.org/spar/fabio/JournalArticle,Ankle anticipatory postural adjustments during gait initiation in healthy and post-stroke subjects,Ankle Anticipatory Postural Adjustments During Gait Initiation In Healthy And Post-Stroke Subjects,70,10.1016/j.clinbiomech.2015.07.002,https://w3id.org/oc/meta/br/061201751676,year_volume_page
b5,10.1053/apmr.2001.19022,2001-02,Delayed Onset Of Electromyographic Activity Of Vastus Medialis Obliquus Relative To Vastus Lateralis In Subjects With Patellofemoral Pain Syndrome,https://w3id.org/oc/meta/id/061802061297,https://w3id.org/oc/meta/ar/061808848390,https://w3id.org/oc/meta/re/061801697179,https://w3id.org/oc/meta/br/061802044389,http://purl.org/spar/fabio/JournalArticle,Delayed onset of electromyographic activity of vastus medialis obliquus relative to vastus lateralis in subjects with patellofemoral pain syndrome,Delayed Onset Of Electromyographic Activity Of Vastus Medialis Obliquus Relative To Vastus Lateralis In Subjects With Patellofemoral Pain Syndrome,70,10.1053/apmr.2001.19022,https://w3id.org/oc/meta/br/061802043462,year_volume_page
b6,10.1016/s0003-9993(98)90425-7,1998,Age-related Changes In The Initiation Of Gait: Degradation Of Central Mechanisms For Momentum Generation.,https://w3id.org/oc/meta/id/061103424655,https://w3id.org/oc/meta/ar/0611014445972,https://w3id.org/oc/meta/re/062601699310,https://w3id.org/oc/meta/br/0626052434,http://purl.org/spar/fabio/JournalArticle,Age-related changes in the initiation of gait: degradation of central mechanisms for momentum generation,Age-related Changes In The Initiation Of Gait: Degradation Of Central Mechanisms For Momentum Generation,70,10.1016/s0003-9993(98)90425-7,https://w3id.org/oc/meta/br/062602073644,year_volume_page
b7,10.1016/s0966-6362(98)00020-4,1998,"The Initiation Of Gait In Young, Elderly, And Parkinson's Disease Subjects.",https://w3id.org/oc/meta/id/062204397067,https://w3id.org/oc/meta/ar/0622015008300,https://w3id.org/oc/meta/re/0660492896,https://w3id.org/oc/meta/br/063013367,http://purl.org/spar/fabio/JournalArticle,"The initiation of gait in young, elderly, and Parkinson's disease subjects","The Initiation Of Gait In Young, Elderly, And Parkinson's Disease Subjects",70,10.1016/s0966-6362(98)00020-4,https://w3id.org/oc/meta/br/0660664589,year_volume_page
b8,10.1002/mds.870090203,2004-10-12,The Initiation Of Normal Walking,https://w3id.org/oc/meta/id/06260719245,https://w3id.org/oc/meta/ar/062602786471,https://w3id.org/oc/meta/re/06260488717,https://w3id.org/oc/meta/br/06260679702,http://purl.org/spar/fabio/JournalArticle,The initiation of normal walking,The Initiation Of Normal Walking,50,10.1002/mds.870090203,https://w3id.org/oc/meta/br/06260678986,author_title
b10,10.3928/0147-7447-19970901-24,1997-09,Soft Tissues: A Question Of Balance,https://w3id.org/oc/meta/id/061503780227,https://w3id.org/oc/meta/ar/062015588422,https://w3id.org/oc/meta/re/06202681192,https://w3id.org/oc/meta/br/06203924818,http://purl.org/spar/fabio/JournalArticle,Soft tissues: a question of balance,Soft Tissues: A Question Of Balance,70,10.3928/0147-7447-19970901-24,https://w3id.org/oc/meta/br/06203924196,year_volume_page
