reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,10.1038/nrmicro2800,2012-06-06,Replication–transcription Conflicts In Bacteria,https://w3id.org/oc/meta/id/063501291857,https://w3id.org/oc/meta/ar/06807236375,https://w3id.org/oc/meta/re/06801349922,https://w3id.org/oc/meta/br/06801642954,http://purl.org/spar/fabio/JournalArticle,Replication-transcription conflicts in bacteria,Replication–transcription Conflicts In Bacteria,70,10.1038/nrmicro2800,https://w3id.org/oc/meta/br/06801642841,year_volume_page
b1,10.1111/j.1365-2958.2012.08102.x,2012-05-31,The Conflict Between DNA Replication And Transcription,https://w3id.org/oc/meta/id/06505851979,https://w3id.org/oc/meta/ar/061809658401,https://w3id.org/oc/meta/re/061801848264,https://w3id.org/oc/meta/br/061802220341,http://purl.org/spar/fabio/JournalArticle,The conflict between DNA replication and transcription,The Conflict Between DNA Replication And Transcription,70,10.1111/j.1365-2958.2012.08102.x,https://w3id.org/oc/meta/br/061802220184,year_volume_page
b2,10.1371/journal.pgen.1006488,2016-12-15,Unique Function Of The Bacterial Chromosome Segregation Machinery In Apically Growing Streptomyces - Targeting The Chromosome To New Hyphal Tubes And Its Anchorage At The Tips,https://w3id.org/oc/meta/id/06404628136,https://w3id.org/oc/meta/ar/06208051809,https://w3id.org/oc/meta/re/06201492191,https://w3id.org/oc/meta/br/06201804881,http://purl.org/spar/fabio/JournalArticle,Unique function of the bacterial chromosome segregation machinery in apically growing Streptomycestargeting the chromosome to new hyphal tubes and its anchorage at the tips,Unique Function Of The Bacterial Chromosome Segregation Machinery In Apically Growing Streptomyces - Targeting The Chromosome To New Hyphal Tubes And Its Anchorage At The Tips,70,10.1371/journal.pgen.1006488,https://w3id.org/oc/meta/br/06201804117,year_volume_page
b3,10.1046/j.1365-2958.2002.02993.x,2002-07,The Role Of Co-Transcriptional Translation And Protein Translocation (Transertion) In Bacterial Chromosome Segregation,https://w3id.org/oc/meta/id/06302503246,https://w3id.org/oc/meta/ar/063011241828,https://w3id.org/oc/meta/re/06301961773,https://w3id.org/oc/meta/br/0612045297,http://purl.org/spar/fabio/JournalArticle,The role of co-transcriptional translation and protein translocation (transertion) in bacterial chromosome segregation,The Role Of Co-Transcriptional Translation And Protein Translocation (Transertion) In Bacterial Chromosome Segregation,70,10.1046/j.1365-2958.2002.02993.x,https://w3id.org/oc/meta/br/06302603968,year_volume_page
b4,10.1128/jb.01707-08,2009-07,Active Transcription Of rRNA Operons Condenses The Nucleoid In Escherichia Coli : Examining The Effect Of Transcription On Nucleoid Structure In The Absence Of Transertion,https://w3id.org/oc/meta/id/06130146323,https://w3id.org/oc/meta/ar/0613057435,https://w3id.org/oc/meta/re/0613013212,https://w3id.org/oc/meta/br/0613077378,http://purl.org/spar/fabio/JournalArticle,Active transcription of rRNA operons condenses the nucleoid in Escherichia coli: examining the effect of transcription on nucleoid structure in the absence of transertion,Active Transcription Of rRNA Operons Condenses The Nucleoid In Escherichia Coli : Examining The Effect Of Transcription On Nucleoid Structure In The Absence Of Transertion,70,10.1128/jb.01707-08,https://w3id.org/oc/meta/br/0613076699,year_volume_page
b5,10.1038/nrmicro1968,2009-01,Streptomyces Morphogenetics: Dissecting Differentiation In A Filamentous Bacterium,https://w3id.org/oc/meta/id/06480570509,https://w3id.org/oc/meta/ar/06907217024,https://w3id.org/oc/meta/re/06901361129,https://w3id.org/oc/meta/br/06901660438,http://purl.org/spar/fabio/JournalArticle,Streptomyces morphogenetics: dissecting differentiation in a filamentous bacterium,Streptomyces Morphogenetics: Dissecting Differentiation In A Filamentous Bacterium,70,10.1038/nrmicro1968,https://w3id.org/oc/meta/br/06901660054,year_volume_page
b6,10.1128/jb.00307-06,2006-07-15,"DevA, A GntR-Like Transcriptional Regulator Required For Development In Streptomyces Coelicolor",https://w3id.org/oc/meta/id/06205648665,https://w3id.org/oc/meta/ar/0616054211,https://w3id.org/oc/meta/re/0616012338,https://w3id.org/oc/meta/br/0616081433,http://purl.org/spar/fabio/JournalArticle,"DevA, a GntR-like transcriptional regulator required for development in Streptomyces coelicolor","DevA, A GntR-Like Transcriptional Regulator Required For Development In Streptomyces Coelicolor",70,10.1128/jb.00307-06,https://w3id.org/oc/meta/br/0616080748,year_volume_page
b7,10.1128/jb.00940-06,2006-10,Replisome Localization In Vegetative And Aerial Hyphae Of Streptomyces Coelicolor,https://w3id.org/oc/meta/id/06205648460,https://w3id.org/oc/meta/ar/0616052813,https://w3id.org/oc/meta/re/0616012097,https://w3id.org/oc/meta/br/0616081427,http://purl.org/spar/fabio/JournalArticle,Replisome localization in vegetative and aerial hyphae of Streptomyces coelicolor,Replisome Localization In Vegetative And Aerial Hyphae Of Streptomyces Coelicolor,70,10.1128/jb.00940-06,https://w3id.org/oc/meta/br/0616080507,year_volume_page
b8,10.1093/nar/gkl649,2006-09-29,In Vivo DNase I Sensitivity Of The Streptomyces Coelicolor Chromosome Correlates With Gene Expression: Implications For Bacterial Chromosome Structure,https://w3id.org/oc/meta/id/06650835246,https://w3id.org/oc/meta/ar/061605774131,https://w3id.org/oc/meta/re/061601105487,https://w3id.org/oc/meta/br/061803777615,http://purl.org/spar/fabio/JournalArticle,In vivo DNase I sensitivity of the Streptomyces coelicolor chromosome correlates with gene expression: implications for bacterial chromosome structure,In Vivo DNase I Sensitivity Of The Streptomyces Coelicolor Chromosome Correlates With Gene Expression: Implications For Bacterial Chromosome Structure,70,10.1093/nar/gkl649,https://w3id.org/oc/meta/br/061601349830,year_volume_page
b9,10.1016/j.mib.2009.10.004,2009-12,Cell Division Is Dispensable But Not Irrelevant In Streptomyces,https://w3id.org/oc/meta/id/0650416780,https://w3id.org/oc/meta/ar/06501288729,https://w3id.org/oc/meta/re/0650227654,https://w3id.org/oc/meta/br/0650346538,http://purl.org/spar/fabio/JournalArticle,Cell division is dispensable but not irrelevant in Streptomyces,Cell Division Is Dispensable But Not Irrelevant In Streptomyces,70,10.1016/j.mib.2009.10.004,https://w3id.org/oc/meta/br/0650346232,year_volume_page
