reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,10.1109/tct.1971.1083337,1971,Memristor-The Missing Circuit Element,https://w3id.org/oc/meta/id/061605189215,https://w3id.org/oc/meta/ar/061605748306,https://w3id.org/oc/meta/re/061601100558,https://w3id.org/oc/meta/br/063030660,http://purl.org/spar/fabio/JournalArticle,Memristor-The missing circuit element,Memristor-The Missing Circuit Element,70,10.1109/tct.1971.1083337,https://w3id.org/oc/meta/br/061601344776,year_volume_page
b1,10.1109/proc.1976.10092,1976,Memristive Devices And Systems,https://w3id.org/oc/meta/id/06140745849,https://w3id.org/oc/meta/ar/061402941841,https://w3id.org/oc/meta/re/06140521012,https://w3id.org/oc/meta/br/0621011627,http://purl.org/spar/fabio/JournalArticle,Memristive devices and systems,Memristive Devices And Systems,70,10.1109/proc.1976.10092,https://w3id.org/oc/meta/br/06140685990,year_volume_page
b2,10.1002/cta.4490020406,1974-12,A Memristive Circuit Model For P-N Junction Diodes,https://w3id.org/oc/meta/id/06530422995,https://w3id.org/oc/meta/ar/06260941474,https://w3id.org/oc/meta/re/06260170848,https://w3id.org/oc/meta/br/06260282237,http://purl.org/spar/fabio/JournalArticle,A memristive circuit model for p-n junction diodes,A Memristive Circuit Model For P-N Junction Diodes,70,10.1002/cta.4490020406,https://w3id.org/oc/meta/br/06260281818,year_volume_page
b3,10.1038/nature06932,2008-05-01,The Missing Memristor Found,https://w3id.org/oc/meta/id/0640417782,https://w3id.org/oc/meta/ar/06401319418,https://w3id.org/oc/meta/re/0640231862,https://w3id.org/oc/meta/br/0640356132,http://purl.org/spar/fabio/JournalArticle,The missing memristor found,The Missing Memristor Found,70,10.1038/nature06932,https://w3id.org/oc/meta/br/0640355537,year_volume_page
b4,10.1021/nl904092h,2010-03-01,Nanoscale Memristor Device As Synapse In Neuromorphic Systems,https://w3id.org/oc/meta/id/061304913104,https://w3id.org/oc/meta/ar/061606382890,https://w3id.org/oc/meta/re/061601218454,https://w3id.org/oc/meta/br/061601483208,http://purl.org/spar/fabio/JournalArticle,Nanoscale Memristor Device as Synapse in Neuromorphic Systems,Nanoscale Memristor Device As Synapse In Neuromorphic Systems,70,10.1021/nl904092h,https://w3id.org/oc/meta/br/061601482557,year_volume_page
b5,10.1002/smll.201300810,2013-08-19,Bioengineered Tunable Memristor Based On Protein Nanocage,https://w3id.org/oc/meta/id/06702316766,https://w3id.org/oc/meta/ar/067010537793,https://w3id.org/oc/meta/re/06701816212,https://w3id.org/oc/meta/br/061046901,http://purl.org/spar/fabio/JournalArticle,Bioengineered Tunable Memristor Based on Protein Nanocage,Bioengineered Tunable Memristor Based On Protein Nanocage,65,10.1002/smll.201300810,https://w3id.org/oc/meta/br/06702416187,year_volume_page
b6,10.1109/tnnls.2012.2204770,2012-09,Memristor Bridge Synapse-Based Neural Network And Its Learning,https://w3id.org/oc/meta/id/06770835377,https://w3id.org/oc/meta/ar/062407811118,https://w3id.org/oc/meta/re/062401454351,https://w3id.org/oc/meta/br/062401756506,http://purl.org/spar/fabio/JournalArticle,Memristor Bridge Synapse-Based Neural Network and Its Learning,Memristor Bridge Synapse-Based Neural Network And Its Learning,70,10.1109/tnnls.2012.2204770,https://w3id.org/oc/meta/br/062401756334,year_volume_page
b7,10.1088/0143-0807/30/4/001,2009-05-05,The Elusive Memristor: Properties Of Basic Electrical Circuits,https://w3id.org/oc/meta/id/06306202961,https://w3id.org/oc/meta/ar/062502300944,https://w3id.org/oc/meta/re/06250405219,https://w3id.org/oc/meta/br/06250559933,http://purl.org/spar/fabio/JournalArticle,The elusive memristor: properties of basic electrical circuits,The Elusive Memristor: Properties Of Basic Electrical Circuits,70,10.1088/0143-0807/30/4/001,https://w3id.org/oc/meta/br/06250559104,year_volume_page
b8,10.1063/1.4794794,2013-03,Compound Synchronization Of Four Memristor Chaotic Oscillator Systems And Secure Communication,https://w3id.org/oc/meta/id/06604433450,https://w3id.org/oc/meta/ar/061605652924,https://w3id.org/oc/meta/re/061601079947,https://w3id.org/oc/meta/br/061601320682,http://purl.org/spar/fabio/JournalArticle,Compound synchronization of four memristor chaotic oscillator systems and secure communication,Compound Synchronization Of Four Memristor Chaotic Oscillator Systems And Secure Communication,70,10.1063/1.4794794,https://w3id.org/oc/meta/br/061601320134,author_title
b10,10.1016/j.neucom.2015.03.057,2015-08,Multilayer RTD-memristor-based Cellular Neural Networks For Color Image Processing,https://w3id.org/oc/meta/id/06650788984,https://w3id.org/oc/meta/ar/062303530518,https://w3id.org/oc/meta/re/06230635380,https://w3id.org/oc/meta/br/06230834572,http://purl.org/spar/fabio/JournalArticle,Multilayer RTD-memristor-based cellular neural networks for color image processing,Multilayer RTD-memristor-based Cellular Neural Networks For Color Image Processing,70,10.1016/j.neucom.2015.03.057,https://w3id.org/oc/meta/br/06230833676,year_author_page
b11,10.1016/j.neucom.2017.08.014,2018-01,GST-memristor-based Online Learning Neural Networks,https://w3id.org/oc/meta/id/06180885578,https://w3id.org/oc/meta/ar/061803479303,https://w3id.org/oc/meta/re/06180638088,https://w3id.org/oc/meta/br/06180834015,http://purl.org/spar/fabio/JournalArticle,GST-memristor-based online learning neural networks,GST-memristor-based Online Learning Neural Networks,70,10.1016/j.neucom.2017.08.014,https://w3id.org/oc/meta/br/06180833645,year_author_page
b12,10.1016/j.amc.2017.11.037,2018-04,Adaptive Synchronization Of Memristor-Based BAM Neural Networks With Mixed Delays,https://w3id.org/oc/meta/id/062303100810,https://w3id.org/oc/meta/ar/0623013398394,https://w3id.org/oc/meta/re/062302432014,https://w3id.org/oc/meta/br/062303322724,http://purl.org/spar/fabio/JournalArticle,Adaptive synchronization of memristor-based BAM neural networks with mixed delays,Adaptive Synchronization Of Memristor-Based BAM Neural Networks With Mixed Delays,70,10.1016/j.amc.2017.11.037,https://w3id.org/oc/meta/br/062303322592,year_author_page
b14,10.1016/j.neunet.2013.10.001,2013-12,Global Exponential Synchronization Of Memristor-Based Recurrent Neural Networks With Time-Varying Delays,https://w3id.org/oc/meta/id/06204308977,https://w3id.org/oc/meta/ar/06110648546,https://w3id.org/oc/meta/re/06110111467,https://w3id.org/oc/meta/br/06110205357,http://purl.org/spar/fabio/JournalArticle,Global exponential synchronization of memristor-based recurrent neural networks with time-varying delays,Global Exponential Synchronization Of Memristor-Based Recurrent Neural Networks With Time-Varying Delays,70,10.1016/j.neunet.2013.10.001,https://w3id.org/oc/meta/br/06110205051,year_author_page
b15,10.1109/tnnls.2017.2675442,2018-05,Robust Finite-Time Stabilization Of Fractional-Order Neural Networks With Discontinuous And Continuous Activation Functions Under Uncertainty,https://w3id.org/oc/meta/id/06204782469,https://w3id.org/oc/meta/ar/062307749256,https://w3id.org/oc/meta/re/062301451153,https://w3id.org/oc/meta/br/062301764976,http://purl.org/spar/fabio/JournalArticle,Robust Finite-Time Stabilization of Fractional-Order Neural Networks With Discontinuous and Continuous Activation Functions Under Uncertainty,Robust Finite-Time Stabilization Of Fractional-Order Neural Networks With Discontinuous And Continuous Activation Functions Under Uncertainty,70,10.1109/tnnls.2017.2675442,https://w3id.org/oc/meta/br/062301764546,year_volume_page
b16,10.1016/j.neucom.2019.03.042,2019-07,New Results On Passivity Of Fractional-Order Uncertain Neural Networks,https://w3id.org/oc/meta/id/06430948831,https://w3id.org/oc/meta/ar/061603530693,https://w3id.org/oc/meta/re/06160642978,https://w3id.org/oc/meta/br/0626025610,http://purl.org/spar/fabio/JournalArticle,New results on passivity of fractional-order uncertain neural networks,New Results On Passivity Of Fractional-Order Uncertain Neural Networks,70,10.1016/j.neucom.2019.03.042,https://w3id.org/oc/meta/br/06160841011,year_author_page
b17,10.1016/j.neunet.2017.06.012,2017-10,Stability And Synchronization Of Fractional-Order Memristive Neural Networks With Multiple Delays,https://w3id.org/oc/meta/id/061805062200,https://w3id.org/oc/meta/ar/06110646264,https://w3id.org/oc/meta/re/06110110932,https://w3id.org/oc/meta/br/06110205314,http://purl.org/spar/fabio/JournalArticle,Stability and synchronization of fractional-order memristive neural networks with multiple delays,Stability And Synchronization Of Fractional-Order Memristive Neural Networks With Multiple Delays,70,10.1016/j.neunet.2017.06.012,https://w3id.org/oc/meta/br/06110204516,year_author_page
b18,10.1016/j.neucom.2018.09.073,2019-01,Stability Analysis Of Memristor-Based Time-Delay Fractional-Order Neural Networks,https://w3id.org/oc/meta/id/062405892535,https://w3id.org/oc/meta/ar/061703513166,https://w3id.org/oc/meta/re/06170640236,https://w3id.org/oc/meta/br/06170840987,http://purl.org/spar/fabio/JournalArticle,Stability analysis of memristor-based time-delay fractional-order neural networks,Stability Analysis Of Memristor-Based Time-Delay Fractional-Order Neural Networks,70,10.1016/j.neucom.2018.09.073,https://w3id.org/oc/meta/br/06170840377,year_author_page
b19,10.1109/tnnls.2015.2506738,2017-01,Global Mittag–Leffler Stabilization Of Fractional-Order Memristive Neural Networks,https://w3id.org/oc/meta/id/06204782306,https://w3id.org/oc/meta/ar/062307750921,https://w3id.org/oc/meta/re/062301451522,https://w3id.org/oc/meta/br/06204220199,http://purl.org/spar/fabio/JournalArticle,Global Mittag–Leffler Stabilization of Fractional-Order Memristive Neural Networks,Global Mittag–Leffler Stabilization Of Fractional-Order Memristive Neural Networks,70,10.1109/tnnls.2015.2506738,https://w3id.org/oc/meta/br/062301764915,year_volume_page
b20,10.1016/j.neunet.2015.09.012,2016-01,Finite-time Synchronization Of Fractional-Order Memristor-Based Neural Networks With Time Delays,https://w3id.org/oc/meta/id/06505433782,https://w3id.org/oc/meta/ar/06110647306,https://w3id.org/oc/meta/re/06110111179,https://w3id.org/oc/meta/br/06110205334,http://purl.org/spar/fabio/JournalArticle,Finite-time synchronization of fractional-order memristor-based neural networks with time delays,Finite-time Synchronization Of Fractional-Order Memristor-Based Neural Networks With Time Delays,70,10.1016/j.neunet.2015.09.012,https://w3id.org/oc/meta/br/06110204763,year_author_page
