reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b3,10.1192/pb.bp.109.028134,2010-08,Women In Academic Psychiatry,https://w3id.org/oc/meta/id/06840693676,https://w3id.org/oc/meta/ar/061406615687,https://w3id.org/oc/meta/re/061401230792,https://w3id.org/oc/meta/br/061401483281,http://purl.org/spar/fabio/JournalArticle,Women in academic psychiatry,Women In Academic Psychiatry,70,10.1192/pb.bp.109.028134,https://w3id.org/oc/meta/br/061401483032,year_volume_page
b4,10.5152/npa.2015.7265,2015-03-27,Longitudinal Analysis Of Female Authorship Of Psychiatry Articles In Turkey,https://w3id.org/oc/meta/id/06520803661,https://w3id.org/oc/meta/ar/06207963685,https://w3id.org/oc/meta/re/06201478075,https://w3id.org/oc/meta/br/061403788758,http://purl.org/spar/fabio/JournalArticle,Longitudinal analysis of female authorship of psychiatry articles in Turkey,Longitudinal Analysis Of Female Authorship Of Psychiatry Articles In Turkey,70,10.5152/npa.2015.7265,https://w3id.org/oc/meta/br/06201786037,year_volume_page
b6,10.1016/j.eurpsy.2017.03.008,2017-07,Gender-gaps And Glass Ceilings: A Survey Of Gender-Specific Publication Trends In Psychiatry Between 1994 And 2014,https://w3id.org/oc/meta/id/06302629613,https://w3id.org/oc/meta/ar/063011772182,https://w3id.org/oc/meta/re/06302031892,https://w3id.org/oc/meta/br/0614046841,http://purl.org/spar/fabio/JournalArticle,Gender-gaps and glass ceilings: A survey of gender-specific publication trends in Psychiatry between 1994 and 2014,Gender-gaps And Glass Ceilings: A Survey Of Gender-Specific Publication Trends In Psychiatry Between 1994 And 2014,70,10.1016/j.eurpsy.2017.03.008,https://w3id.org/oc/meta/br/06302786284,year_author_page
b7,10.1007/s40596-015-0408-8,2015-08-26,Demographic And Personal Characteristics Of Male And Female Chairs In Academic Psychiatry,https://w3id.org/oc/meta/id/062404109542,https://w3id.org/oc/meta/ar/061701192644,https://w3id.org/oc/meta/re/06170205049,https://w3id.org/oc/meta/br/06170326203,http://purl.org/spar/fabio/JournalArticle,Demographic and personal characteristics of male and female chairs in academic psychiatry,Demographic And Personal Characteristics Of Male And Female Chairs In Academic Psychiatry,65,10.1007/s40596-015-0408-8,https://w3id.org/oc/meta/br/06170325587,year_volume_page
b8,10.1089/jwh.2010.2055,2011-03,The Leadership Continuum: A Framework For Organizational And Individual Assessment Relative To The Advancement Of Women Physicians And Scientists,https://w3id.org/oc/meta/id/06704630177,https://w3id.org/oc/meta/ar/06203048724,https://w3id.org/oc/meta/re/0620535764,https://w3id.org/oc/meta/br/0620715948,http://purl.org/spar/fabio/JournalArticle,The leadership continuum: A framework for organizational and individual assessment relative to the advancement of women physicians and scientists,The Leadership Continuum: A Framework For Organizational And Individual Assessment Relative To The Advancement Of Women Physicians And Scientists,70,10.1089/jwh.2010.2055,https://w3id.org/oc/meta/br/0620715196,year_volume_page
b9,10.1192/bjo.2017.8,2018-02-22,Trends In Female Authorship In Research Papers On Eating Disorders: 20-Year Bibliometric Study,https://w3id.org/oc/meta/id/06402840297,https://w3id.org/oc/meta/ar/064012901915,https://w3id.org/oc/meta/re/06402187910,https://w3id.org/oc/meta/br/06403060643,http://purl.org/spar/fabio/JournalArticle,Trends in female authorship in research papers on eating disorders: 20-Year bibliometric study,Trends In Female Authorship In Research Papers On Eating Disorders: 20-Year Bibliometric Study,70,10.1192/bjo.2017.8,https://w3id.org/oc/meta/br/06403059890,year_volume_page
b10,10.1097/acm.0b013e3182222887,2011-08,The Gender Gap In High-Impact Psychiatry Journals,https://w3id.org/oc/meta/id/06906003884,https://w3id.org/oc/meta/ar/06203944100,https://w3id.org/oc/meta/re/0620709796,https://w3id.org/oc/meta/br/0620909987,http://purl.org/spar/fabio/JournalArticle,The gender gap in high-impact psychiatry journals,The Gender Gap In High-Impact Psychiatry Journals,70,10.1097/acm.0b013e3182222887,https://w3id.org/oc/meta/br/0620909749,year_volume_page
b19,10.1007/s40596-017-0810-5,2017-11-06,Eliminating The Glass Ceiling In Academic Psychiatry,https://w3id.org/oc/meta/id/062404109921,https://w3id.org/oc/meta/ar/061701190718,https://w3id.org/oc/meta/re/06170204668,https://w3id.org/oc/meta/br/061804842,http://purl.org/spar/fabio/JournalArticle,Eliminating the glass ceiling in academic psychiatry,Eliminating The Glass Ceiling In Academic Psychiatry,65,10.1007/s40596-017-0810-5,https://w3id.org/oc/meta/br/06170325206,year_volume_page
b20,10.1038/s41386-018-0186-6,2018-08-23,Neuropsychopharmacology (NPP): Gender Balance In Journal Function,https://w3id.org/oc/meta/id/06740671442,https://w3id.org/oc/meta/ar/066010416669,https://w3id.org/oc/meta/re/06601800963,https://w3id.org/oc/meta/br/0617044690,http://purl.org/spar/fabio/JournalArticle,Neuropsychopharmacology (NPP): Gender balance in journal function,Neuropsychopharmacology (NPP): Gender Balance In Journal Function,65,10.1038/s41386-018-0186-6,https://w3id.org/oc/meta/br/06602402529,year_volume_page
b21,10.1016/j.tree.2007.07.008,2008-01,Double-blind Review Favours Increased Representation Of Female Authors,https://w3id.org/oc/meta/id/061804384257,https://w3id.org/oc/meta/ar/061403859492,https://w3id.org/oc/meta/re/06140697960,https://w3id.org/oc/meta/br/06140887463,http://purl.org/spar/fabio/JournalArticle,Double-blind review favours increased representation of female authors,Double-blind Review Favours Increased Representation Of Female Authors,70,10.1016/j.tree.2007.07.008,https://w3id.org/oc/meta/br/06140887052,year_volume_page
