reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,10.1016/j.jpainsymman.2016.02.009,2016-08,How To Deal With Relatives Of Patients Dying In The Hospital? Qualitative Content Analysis Of Relatives' Experiences,https://w3id.org/oc/meta/id/06730680428,https://w3id.org/oc/meta/ar/06802770701,https://w3id.org/oc/meta/re/0680494320,https://w3id.org/oc/meta/br/064013195,http://purl.org/spar/fabio/JournalArticle,How to deal with relatives of patients dying in the hospital? Qualitative content analysis of relatives' experiences,How To Deal With Relatives Of Patients Dying In The Hospital? Qualitative Content Analysis Of Relatives' Experiences,70,10.1016/j.jpainsymman.2016.02.009,https://w3id.org/oc/meta/br/0680671993,year_volume_page
b2,10.1111/jocn.12773,2015-02-24,An Observational Study Of Older Patients’ Participation In Hospital Admission And Discharge – Exploring Patient And Next Of Kin Perspectives,https://w3id.org/oc/meta/id/06601047856,https://w3id.org/oc/meta/ar/06604216051,https://w3id.org/oc/meta/re/0660788372,https://w3id.org/oc/meta/br/063021762,http://purl.org/spar/fabio/JournalArticle,An observational study of older patients' participation in hospital admission and discharge -exploring patient and next of kin perspectives,An Observational Study Of Older Patients’ Participation In Hospital Admission And Discharge – Exploring Patient And Next Of Kin Perspectives,70,10.1111/jocn.12773,https://w3id.org/oc/meta/br/0660997271,year_volume_page
b3,10.5430/cns.v2n3p22,2014-04-27,Dignity And Existential Concerns Among Nursing Homes Residents From The Perspective Of Their Relatives,https://w3id.org/oc/meta/id/064701250357,https://w3id.org/oc/meta/ar/068010231187,,https://w3id.org/oc/meta/br/06802354780,http://purl.org/spar/fabio/JournalArticle,Dignity and existential concerns among nursing homes residents from the perspective of their relatives,Dignity And Existential Concerns Among Nursing Homes Residents From The Perspective Of Their Relatives,70,10.5430/cns.v2n3p22,https://w3id.org/oc/meta/br/06802354189,author_title
b4,10.1111/j.1365-2702.2006.01473.x,2006-09,"Relatives In End-Of-Life Care – Part 1: A Systematic Review Of The Literature The Five Last Years, January 1999–February 2004",https://w3id.org/oc/meta/id/06390875875,https://w3id.org/oc/meta/ar/061104259680,https://w3id.org/oc/meta/re/06110783794,https://w3id.org/oc/meta/br/06110991686,http://purl.org/spar/fabio/JournalArticle,"Relatives in end-of-life care-part 1: a systematic review of the literature the five last years, January 1999-February 2004","Relatives In End-Of-Life Care – Part 1: A Systematic Review Of The Literature The Five Last Years, January 1999–February 2004",70,10.1111/j.1365-2702.2006.01473.x,https://w3id.org/oc/meta/br/06110991197,year_volume_page
b5,10.1177/0269216310371411,2010-06-24,Part 2: Home-based Family Caregiving At The End Of Life: A Comprehensive Review Of Published Qualitative Research (1998-2008),https://w3id.org/oc/meta/id/064701045495,https://w3id.org/oc/meta/ar/0613012888414,https://w3id.org/oc/meta/re/061302363968,https://w3id.org/oc/meta/br/061303098639,http://purl.org/spar/fabio/JournalArticle,Part 2: home-based family caregiving at the end of life: a comprehensive review of published qualitative research (1998-2008),Part 2: Home-based Family Caregiving At The End Of Life: A Comprehensive Review Of Published Qualitative Research (1998-2008),70,10.1177/0269216310371411,https://w3id.org/oc/meta/br/061303098130,year_volume_page
b6,10.1191/0969733006ne890oa,2006-07,Everyday Ethical Problems In Dementia Care: A Teleological Model,https://w3id.org/oc/meta/id/06830694665,https://w3id.org/oc/meta/ar/061402070122,https://w3id.org/oc/meta/re/06140354660,https://w3id.org/oc/meta/br/06140500466,http://purl.org/spar/fabio/JournalArticle,Everyday ethical problems in dementia care: a teleological model,Everyday Ethical Problems In Dementia Care: A Teleological Model,70,10.1191/0969733006ne890oa,https://w3id.org/oc/meta/br/06140500274,year_volume_page
b10,10.1111/j.1365-2648.2010.05330.x,2010-05-13,Healthcare Professionals’ Perceptions Of Existential Distress In Patients With Advanced Cancer,https://w3id.org/oc/meta/id/06905633168,https://w3id.org/oc/meta/ar/06104528505,https://w3id.org/oc/meta/re/0610847461,https://w3id.org/oc/meta/br/0626031775,http://purl.org/spar/fabio/JournalArticle,Health care professionals' perceptions of existential distress in patients with advanced cancer,Healthcare Professionals’ Perceptions Of Existential Distress In Patients With Advanced Cancer,65,10.1111/j.1365-2648.2010.05330.x,https://w3id.org/oc/meta/br/06101064747,year_volume_page
b11,10.1348/000711201161082,2001-12,"Existential Loneliness: A Review Of The Concept, Its Psychosocial Precipitants And Psychotherapeutic Implications For HIV-infected Women",https://w3id.org/oc/meta/id/06580393111,https://w3id.org/oc/meta/ar/06120903373,https://w3id.org/oc/meta/re/06120162793,https://w3id.org/oc/meta/br/06120252420,http://purl.org/spar/fabio/JournalArticle,"Existential loneliness: a review of the concept, its psychosocial precipitants and psychotherapeutic implications for HIV-infected women","Existential Loneliness: A Review Of The Concept, Its Psychosocial Precipitants And Psychotherapeutic Implications For HIV-infected Women",70,10.1348/000711201161082,https://w3id.org/oc/meta/br/06120252294,year_volume_page
b12,10.1007/s11017-010-9141-1,2010-04,Existential Loneliness And End-Of-Life Care: A Systematic Review,https://w3id.org/oc/meta/id/06504544190,https://w3id.org/oc/meta/ar/06409530861,https://w3id.org/oc/meta/re/06401656096,https://w3id.org/oc/meta/br/06402226999,http://purl.org/spar/fabio/JournalArticle,Existential loneliness and end-of-life care: a systematic review,Existential Loneliness And End-Of-Life Care: A Systematic Review,70,10.1007/s11017-010-9141-1,https://w3id.org/oc/meta/br/06402226283,year_volume_page
b13,10.1089/jpm.2006.9.1376,2006-12,Existential Loneliness In A Palliative Home Care Setting,https://w3id.org/oc/meta/id/061901244125,https://w3id.org/oc/meta/ar/061905167094,https://w3id.org/oc/meta/re/06190977975,https://w3id.org/oc/meta/br/061901209300,http://purl.org/spar/fabio/JournalArticle,Existential loneliness in a palliative home care setting,Existential Loneliness In A Palliative Home Care Setting,70,10.1089/jpm.2006.9.1376,https://w3id.org/oc/meta/br/061901209095,year_volume_page
b14,10.1080/17482620500501883,2006-01,Aphasia – An Existential Loneliness: A Study On The Loss Of The World Of Symbols,https://w3id.org/oc/meta/id/06450833072,https://w3id.org/oc/meta/ar/06201991296,https://w3id.org/oc/meta/re/0620355200,https://w3id.org/oc/meta/br/0620508492,http://purl.org/spar/fabio/JournalArticle,Aphasia -an existential loneliness: a study on the loss of the world of symbols,Aphasia – An Existential Loneliness: A Study On The Loss Of The World Of Symbols,70,10.1080/17482620500501883,https://w3id.org/oc/meta/br/0620508368,year_volume_page
b15,10.1080/13607863.2017.1348481,2017-07-17,Being Disconnected From Life: Meanings Of Existential Loneliness As Narrated By Frail Older People,https://w3id.org/oc/meta/id/06801040334,https://w3id.org/oc/meta/ar/06804258308,https://w3id.org/oc/meta/re/0680783853,https://w3id.org/oc/meta/br/0680995971,http://purl.org/spar/fabio/JournalArticle,Being disconnected from life -meanings of existential loneliness as narrated by frail older people,Being Disconnected From Life: Meanings Of Existential Loneliness As Narrated By Frail Older People,65,10.1080/13607863.2017.1348481,https://w3id.org/oc/meta/br/0680995356,year_volume_page
b21,10.1080/17482631.2018.1474673,2018,Encountering Existential Loneliness Among Older People: Perspectives Of Health Care Professionals,https://w3id.org/oc/meta/id/0620575872,https://w3id.org/oc/meta/ar/06201989199,https://w3id.org/oc/meta/re/0620354686,https://w3id.org/oc/meta/br/06204213044,http://purl.org/spar/fabio/JournalArticle,N/A,Encountering Existential Loneliness Among Older People: Perspectives Of Health Care Professionals,65,10.1080/17482631.2018.1474673,https://w3id.org/oc/meta/br/0620507834,author_title
b22,10.1007/s00391-013-0475-y,2013-03-10,Self- And Proxy Report For The Assessment Of Pain In Patients With And Without Cognitive Impairment,https://w3id.org/oc/meta/id/06810289347,https://w3id.org/oc/meta/ar/062405263457,https://w3id.org/oc/meta/re/06240977197,https://w3id.org/oc/meta/br/0623029102,http://purl.org/spar/fabio/JournalArticle,Self-and proxy report for the assessment of pain in patients with and without cognitive impairment: experience gained in a geriatric hospital,Self- And Proxy Report For The Assessment Of Pain In Patients With And Without Cognitive Impairment,70,10.1007/s00391-013-0475-y,https://w3id.org/oc/meta/br/062401201444,year_volume_page
b23,10.1017/s1041610216002167,2017-01-16,Proxy Rated Quality Of Life Of Care Home Residents With Dementia: A Systematic Review,https://w3id.org/oc/meta/id/06850661464,https://w3id.org/oc/meta/ar/061204041304,https://w3id.org/oc/meta/re/06120741655,https://w3id.org/oc/meta/br/06120934430,http://purl.org/spar/fabio/JournalArticle,Proxy rated quality of life of care home residents with dementia: a systematic review,Proxy Rated Quality Of Life Of Care Home Residents With Dementia: A Systematic Review,70,10.1017/s1041610216002167,https://w3id.org/oc/meta/br/06120933569,year_volume_page
b27,10.1191/1478088706qp063oa,2006-01,Using Thematic Analysis In Psychology,https://w3id.org/oc/meta/id/061901465808,https://w3id.org/oc/meta/ar/061906232744,https://w3id.org/oc/meta/re/061901175233,https://w3id.org/oc/meta/br/061901436814,http://purl.org/spar/fabio/JournalArticle,Using thematic analysis in psychology,Using Thematic Analysis In Psychology,70,10.1191/1478088706qp063oa,https://w3id.org/oc/meta/br/061901436034,year_volume_page
b33,10.1016/j.ijnurstu.2011.10.016,2012-04,Having To Focus On Doing Rather Than being—Nurse Assistants’ Experience Of Palliative Care In Municipal Residential Care Settings,https://w3id.org/oc/meta/id/06170469265,https://w3id.org/oc/meta/ar/061701525626,https://w3id.org/oc/meta/re/06170256574,https://w3id.org/oc/meta/br/06170403555,http://purl.org/spar/fabio/JournalArticle,Having to focus on doing rather than being -nurse assistants' experience of palliative care in municipal residential care settings,Having To Focus On Doing Rather Than being—Nurse Assistants’ Experience Of Palliative Care In Municipal Residential Care Settings,70,10.1016/j.ijnurstu.2011.10.016,https://w3id.org/oc/meta/br/06170402977,year_volume_page
