reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b8,10.1021/jf00014a012,1992-02,Specific Method For Quantitative Measurement Of The Total Dextran Content Of Raw Sugar,https://w3id.org/oc/meta/id/06501005060,https://w3id.org/oc/meta/ar/06504030010,https://w3id.org/oc/meta/re/0650748662,https://w3id.org/oc/meta/br/068022492,http://purl.org/spar/fabio/JournalArticle,Specific method for quantitative measurement of the total dextran content of raw sugar,Specific Method For Quantitative Measurement Of The Total Dextran Content Of Raw Sugar,70,10.1021/jf00014a012,https://w3id.org/oc/meta/br/0650950306,year_author_page
b9,10.14219/jada.archive.2008.0134,2008-02,Adverse Events Associated With Chlorhexidine Use,https://w3id.org/oc/meta/id/06703648600,https://w3id.org/oc/meta/ar/06506826007,https://w3id.org/oc/meta/re/06501290573,https://w3id.org/oc/meta/br/0612032485,http://purl.org/spar/fabio/JournalArticle,Adverse events associated with chlorhexidine use: Results from the Department of Veterans Affairs Dental Diabetes Study,Adverse Events Associated With Chlorhexidine Use,70,10.14219/jada.archive.2008.0134,https://w3id.org/oc/meta/br/06501561076,year_volume_page
b10,10.1093/chemse/bjm095,2008-02-07,Regional Specificity Of Chlorhexidine Effects On Taste Perception,https://w3id.org/oc/meta/id/06420530539,https://w3id.org/oc/meta/ar/0621013057879,https://w3id.org/oc/meta/re/062102364819,https://w3id.org/oc/meta/br/062103116847,http://purl.org/spar/fabio/JournalArticle,Regional Specificity of Chlorhexidine Effects on Taste Perception,Regional Specificity Of Chlorhexidine Effects On Taste Perception,70,10.1093/chemse/bjm095,https://w3id.org/oc/meta/br/062103116122,year_volume_page
b11,10.1128/mmbr.69.2.306-325.2005,2005-06,Microbial Dextran-Hydrolyzing Enzymes: Fundamentals And Applications,https://w3id.org/oc/meta/id/06850710023,https://w3id.org/oc/meta/ar/0616011798533,https://w3id.org/oc/meta/re/061602169790,https://w3id.org/oc/meta/br/061602788426,http://purl.org/spar/fabio/JournalArticle,Microbial Dextran-Hydrolyzing Enzymes: Fundamentals and Applications,Microbial Dextran-Hydrolyzing Enzymes: Fundamentals And Applications,70,10.1128/mmbr.69.2.306-325.2005,https://w3id.org/oc/meta/br/061602788053,year_volume_page
b12,10.1128/jb.100.3.1151-1154.1969,1969-12,Modified Substrates And Modified Products As Inducers Of Carbohydrases,https://w3id.org/oc/meta/id/0660153877,https://w3id.org/oc/meta/ar/066057708,https://w3id.org/oc/meta/re/066012296,https://w3id.org/oc/meta/br/0680591,http://purl.org/spar/fabio/JournalArticle,Modified Substrates and Modified Products as Inducers of Carbohydrases,Modified Substrates And Modified Products As Inducers Of Carbohydrases,65,10.1128/jb.100.3.1151-1154.1969,https://w3id.org/oc/meta/br/066078824,year_volume_page
b13,10.1139/m70-141,1970-09-01,Stimulation Of Dextranase Production By Oxidized Dextran,https://w3id.org/oc/meta/id/06901642494,https://w3id.org/oc/meta/ar/06907050271,https://w3id.org/oc/meta/re/06901329295,https://w3id.org/oc/meta/br/0613034908,http://purl.org/spar/fabio/JournalArticle,Stimulation of dextranase production by oxidized dextran,Stimulation Of Dextranase Production By Oxidized Dextran,70,10.1139/m70-141,https://w3id.org/oc/meta/br/06901619811,year_volume_page
b14,10.1093/ps/84.7.998,2005-07,Isomaltooligosaccharide Increases Cecal Bifidobacterium Population In Young Broiler Chickens,https://w3id.org/oc/meta/id/06220865385,https://w3id.org/oc/meta/ar/062203443198,https://w3id.org/oc/meta/re/06220612945,https://w3id.org/oc/meta/br/0612014291,http://purl.org/spar/fabio/JournalArticle,Isomaltooligosaccharide increases cecal Bifidobacterium population in young broiler chickens,Isomaltooligosaccharide Increases Cecal Bifidobacterium Population In Young Broiler Chickens,70,10.1093/ps/84.7.998,https://w3id.org/oc/meta/br/06220803744,year_volume_page
b15,10.1007/s12355-009-0020-x,2009-06,Application Of Dextranases In Sugarcane Factory: Overcoming Practical Problems,https://w3id.org/oc/meta/id/06701460612,https://w3id.org/oc/meta/ar/06706145425,https://w3id.org/oc/meta/re/06701164432,https://w3id.org/oc/meta/br/06701425464,http://purl.org/spar/fabio/JournalArticle,Application of dextranases in sugarcane factory: Overcoming practical problems,Application Of Dextranases In Sugarcane Factory: Overcoming Practical Problems,70,10.1007/s12355-009-0020-x,https://w3id.org/oc/meta/br/06701424952,year_volume_page
b16,10.5274/assbt.2011.59,2011-03-02,Successful Application Of Dextranase In Sugar Beet Factories,https://w3id.org/oc/meta/id/06540356861,https://w3id.org/oc/meta/ar/0622012360155,,https://w3id.org/oc/meta/br/062202974152,http://purl.org/spar/fabio/ProceedingsPaper,Successful application of dextranase in sugar beet factories,Successful Application Of Dextranase In Sugar Beet Factories,70,10.5274/assbt.2011.59,https://w3id.org/oc/meta/br/062202973161,author_title
b17,10.1016/j.jbiotec.2007.07.946,2007-09,Immobilization Of Dextranase From Chaetomium Erraticum,https://w3id.org/oc/meta/id/06810243241,https://w3id.org/oc/meta/ar/061103351076,https://w3id.org/oc/meta/re/06110601310,https://w3id.org/oc/meta/br/063015688,http://purl.org/spar/fabio/JournalArticle,Immobilization of dextranase from Chaetomium erraticum,Immobilization Of Dextranase From Chaetomium Erraticum,70,10.1016/j.jbiotec.2007.07.946,https://w3id.org/oc/meta/br/06110788177,year_volume_page
