reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,10.1073/pnas.1516191113,2016-04-04,A Neural Link Between Affective Understanding And Interpersonal Attraction,https://w3id.org/oc/meta/id/061502904067,https://w3id.org/oc/meta/ar/0615012678734,,https://w3id.org/oc/meta/br/0621061052,http://purl.org/spar/fabio/JournalArticle,A neural link between affective understanding and interpersonal attraction,A Neural Link Between Affective Understanding And Interpersonal Attraction,70,10.1073/pnas.1516191113,https://w3id.org/oc/meta/br/061503057610,author_title
b2,10.7551/mitpress/4635.001.0001,1995,Mindblindness,https://w3id.org/oc/meta/id/06102433551,https://w3id.org/oc/meta/ar/061010926312,,,http://purl.org/spar/fabio/Expression,N/A,Mindblindness,70,10.7551/mitpress/4635.001.0001,https://w3id.org/oc/meta/br/06102549892,author_title
b3,10.1080/13668250410001709494,2004-06,Elicited Imitation In Children And Adults With Autism: Is There A Deficit?,https://w3id.org/oc/meta/id/06680334482,https://w3id.org/oc/meta/ar/061308078608,https://w3id.org/oc/meta/re/061301501683,https://w3id.org/oc/meta/br/061301802631,http://purl.org/spar/fabio/JournalArticle,Elicited imitation in children and adults with autism: is there a deficit?,Elicited Imitation In Children And Adults With Autism: Is There A Deficit?,70,10.1080/13668250410001709494,https://w3id.org/oc/meta/br/061301802261,year_volume_page
b4,10.1016/s2215-0366(17)30162-1,2017,Understanding And Prevention Of Suicide In Autism.,https://w3id.org/oc/meta/id/061904498751,https://w3id.org/oc/meta/ar/0619015021391,https://w3id.org/oc/meta/re/062402273,https://w3id.org/oc/meta/br/06201319,http://purl.org/spar/fabio/JournalArticle,Understanding and prevention of suicide in autism,Understanding And Prevention Of Suicide In Autism,70,10.1016/s2215-0366(17)30162-1,https://w3id.org/oc/meta/br/0624064417,year_author_page
b5,10.1037/abn0000199,2016-10,Interaction Takes Two: Typical Adults Exhibit Mind-Blindness Towards Those With Autism Spectrum Disorder.,https://w3id.org/oc/meta/id/06603841501,https://w3id.org/oc/meta/ar/062206452722,https://w3id.org/oc/meta/re/062201207051,https://w3id.org/oc/meta/br/06604077112,http://purl.org/spar/fabio/JournalArticle,Interaction takes two: Typical adults exhibit mind-blindness towards those with autism spectrum disorder,Interaction Takes Two: Typical Adults Exhibit Mind-Blindness Towards Those With Autism Spectrum Disorder.,70,10.1037/abn0000199,https://w3id.org/oc/meta/br/062201468585,author_title
b6,10.1007/s10803-014-2194-7,2014-07-19,Evaluating Posed And Evoked Facial Expressions Of Emotion From Adults With Autism Spectrum Disorder,https://w3id.org/oc/meta/id/061903800465,https://w3id.org/oc/meta/ar/061202397580,https://w3id.org/oc/meta/re/06120427302,https://w3id.org/oc/meta/br/06120580558,http://purl.org/spar/fabio/JournalArticle,Evaluating Posed and Evoked Facial Expressions of Emotion from Adults with Autism Spectrum Disorder,Evaluating Posed And Evoked Facial Expressions Of Emotion From Adults With Autism Spectrum Disorder,65,10.1007/s10803-014-2194-7,https://w3id.org/oc/meta/br/06120579877,year_volume_page
b7,10.1016/s1364-6613(98)01262-5,1998-12-01,Mirror Neurons And The Simulation Theory Of Mind-Reading,https://w3id.org/oc/meta/id/06110288678,https://w3id.org/oc/meta/ar/06110719833,https://w3id.org/oc/meta/re/06110126490,https://w3id.org/oc/meta/br/06110221708,http://purl.org/spar/fabio/JournalArticle,Mirror neurons and the simulation theory of mind-reading,Mirror Neurons And The Simulation Theory Of Mind-Reading,70,10.1016/s1364-6613(98)01262-5,https://w3id.org/oc/meta/br/06110221334,year_volume_page
b8,10.1044/1092-4388(2012/12-0067),2013,Emotional Facial And Vocal Expressions During Story Retelling By Children And Adolescents With High-Functioning Autism.,https://w3id.org/oc/meta/id/062404169564,https://w3id.org/oc/meta/ar/0624015039249,https://w3id.org/oc/meta/re/062202151095,https://w3id.org/oc/meta/br/0623062916,http://purl.org/spar/fabio/JournalArticle,Emotional Facial and Vocal Expressions During Story Retelling by Children and Adolescents With High-Functioning Autism,Emotional Facial And Vocal Expressions During Story Retelling By Children And Adolescents With High-Functioning Autism,70,10.1044/1092-4388(2012/12-0067),https://w3id.org/oc/meta/br/062202773619,year_volume_page
b9,10.2307/1416950,1944-04,An Experimental Study Of Apparent Behavior,https://w3id.org/oc/meta/id/06470978298,https://w3id.org/oc/meta/ar/061309827246,https://w3id.org/oc/meta/re/061301833107,https://w3id.org/oc/meta/br/0623054530,http://purl.org/spar/fabio/JournalArticle,An Experimental Study of Apparent Behavior,An Experimental Study Of Apparent Behavior,70,10.2307/1416950,https://w3id.org/oc/meta/br/061302194471,year_volume_page
b10,10.1016/s1364-6613(98)01230-3,1998-10,Development Itself Is The Key To Understanding Developmental Disorders,https://w3id.org/oc/meta/id/06110288436,https://w3id.org/oc/meta/ar/06110719239,https://w3id.org/oc/meta/re/06110126248,https://w3id.org/oc/meta/br/06110221705,http://purl.org/spar/fabio/JournalArticle,Development itself is the key to understanding developmental disorders,Development Itself Is The Key To Understanding Developmental Disorders,70,10.1016/s1364-6613(98)01230-3,https://w3id.org/oc/meta/br/06110221092,year_volume_page
