reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,10.5326/15473317-32-5-380,1996-09-01,Deep Mycotic Infections In Cats,https://w3id.org/oc/meta/id/06460980389,https://w3id.org/oc/meta/ar/062205734505,https://w3id.org/oc/meta/re/062201077339,https://w3id.org/oc/meta/br/061031469,http://purl.org/spar/fabio/JournalArticle,Deep mycotic infections in cats,Deep Mycotic Infections In Cats,70,10.5326/15473317-32-5-380,https://w3id.org/oc/meta/br/062201318789,year_volume_page
b2,10.1053/j.ctsap.2005.07.003,2005-11,Histoplasmosis In Dogs And Cats,https://w3id.org/oc/meta/id/0650893408,https://w3id.org/oc/meta/ar/06503495941,https://w3id.org/oc/meta/re/0650645554,https://w3id.org/oc/meta/br/0650836855,http://purl.org/spar/fabio/JournalArticle,Histoplasmosis in Dogs and Cats,Histoplasmosis In Dogs And Cats,70,10.1053/j.ctsap.2005.07.003,https://w3id.org/oc/meta/br/0650835758,year_volume_page
b3,10.5326/jaaha-ms-5758,2012-05-01,Feline Histoplasmosis: A Retrospective Study Of 22 Cases (1986–2009),https://w3id.org/oc/meta/id/06840467185,https://w3id.org/oc/meta/ar/062205737617,https://w3id.org/oc/meta/re/062201077992,https://w3id.org/oc/meta/br/062201319598,http://purl.org/spar/fabio/JournalArticle,Feline Histoplasmosis: A Retrospective Study of 22 Cases (1986-2009),Feline Histoplasmosis: A Retrospective Study Of 22 Cases (1986–2009),70,10.5326/jaaha-ms-5758,https://w3id.org/oc/meta/br/062201319442,year_volume_page
b4,10.1111/j.1939-1676.1987.tb02008.x,1987-10,Histoplasma Capsulatum Osteomyelitis In The Cat,https://w3id.org/oc/meta/id/06540444382,https://w3id.org/oc/meta/ar/062302434576,https://w3id.org/oc/meta/re/06230422222,https://w3id.org/oc/meta/br/06230595392,http://purl.org/spar/fabio/JournalArticle,Histoplasma capsulatum Osteomyelitis in the Cat,Histoplasma Capsulatum Osteomyelitis In The Cat,70,10.1111/j.1939-1676.1987.tb02008.x,https://w3id.org/oc/meta/br/06230594398,year_volume_page
b5,10.1111/jvim.13962,2016-05-09,Antigen Concentrations As An Indicator Of Clinical Remission And Disease Relapse In Cats With Histoplasmosis,https://w3id.org/oc/meta/id/06604327364,https://w3id.org/oc/meta/ar/061902406741,https://w3id.org/oc/meta/re/06190425445,https://w3id.org/oc/meta/br/06190594250,http://purl.org/spar/fabio/JournalArticle,Antigen Concentrations as an Indicator of Clinical Remission and Disease Relapse in Cats with Histoplasmosis,Antigen Concentrations As An Indicator Of Clinical Remission And Disease Relapse In Cats With Histoplasmosis,70,10.1111/jvim.13962,https://w3id.org/oc/meta/br/06190593896,year_volume_page
b6,10.1177/1098612x17746523,2017-12-19,Candidate Prognostic Indicators In Cats With Histoplasmosis Treated With Antifungal Therapy,https://w3id.org/oc/meta/id/06501721132,https://w3id.org/oc/meta/ar/06507570862,https://w3id.org/oc/meta/re/06501392871,https://w3id.org/oc/meta/br/06501690011,http://purl.org/spar/fabio/JournalArticle,Candidate prognostic indicators in cats with histoplasmosis treated with antifungal therapy,Candidate Prognostic Indicators In Cats With Histoplasmosis Treated With Antifungal Therapy,65,10.1177/1098612x17746523,https://w3id.org/oc/meta/br/06501689579,year_volume_page
b10,10.1111/j.1740-8261.1986.tb00002.x,1986-03,Disseminated Histoplasmosis With Osseous Lesions In A Cat With Feline Lymphosarcoma,https://w3id.org/oc/meta/id/06302785918,https://w3id.org/oc/meta/ar/063012664776,https://w3id.org/oc/meta/re/06302132769,https://w3id.org/oc/meta/br/06302995972,http://purl.org/spar/fabio/JournalArticle,Disseminated histoplasmosis with osseous lesions in a cat with feline lymphosarcoma,Disseminated Histoplasmosis With Osseous Lesions In A Cat With Feline Lymphosarcoma,70,10.1111/j.1740-8261.1986.tb00002.x,https://w3id.org/oc/meta/br/06302995857,year_volume_page
b12,10.3899/jrheum.110776,2011-12,Articular Involvement In Disseminated Histoplasmosis In A Kidney Transplant Patient Taking Azathioprine: Figure 1.,https://w3id.org/oc/meta/id/062603930581,https://w3id.org/oc/meta/ar/06102627153,https://w3id.org/oc/meta/re/0610462151,https://w3id.org/oc/meta/br/0610632297,http://purl.org/spar/fabio/JournalArticle,Articular involvement in disseminated histoplasmosis in a kidney transplant patient taking azathioprine,Articular Involvement In Disseminated Histoplasmosis In A Kidney Transplant Patient Taking Azathioprine: Figure 1.,70,10.3899/jrheum.110776,https://w3id.org/oc/meta/br/0610631994,year_volume_page
b13,10.1007/s10067-006-0331-1,2006-05-25,Articular Presentation Of Disseminated Histoplasmosis,https://w3id.org/oc/meta/id/06605737676,https://w3id.org/oc/meta/ar/061408300651,https://w3id.org/oc/meta/re/061401545980,https://w3id.org/oc/meta/br/0626048993,http://purl.org/spar/fabio/JournalArticle,Articular presentation of disseminated histoplasmosis,Articular Presentation Of Disseminated Histoplasmosis,65,10.1007/s10067-006-0331-1,https://w3id.org/oc/meta/br/061401846073,year_volume_page
b14,10.1007/bf02030251,1990-03,Gonarthritis As Only Manifestation Of Chronic Disseminated Histoplasmosis,https://w3id.org/oc/meta/id/0671077771,https://w3id.org/oc/meta/ar/061608186417,https://w3id.org/oc/meta/re/061601552649,https://w3id.org/oc/meta/br/061601871231,http://purl.org/spar/fabio/JournalArticle,Gonarthritis as only manifestation of chronic disseminated histoplasmosis,Gonarthritis As Only Manifestation Of Chronic Disseminated Histoplasmosis,70,10.1007/bf02030251,https://w3id.org/oc/meta/br/061601870646,year_volume_page
