reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Phosphate sensing in root development,Phosphate Sensing In Root Development,70,10.1016/j.pbi.2011.04.007,https://w3id.org/oc/meta/br/0620345054,author_title
b1,"PHO2, MicroRNA399, and PHR1 Define a Phosphate-Signaling Pathway in Plants","PHO2, MicroRNA399, And PHR1 Define A Phosphate-Signaling Pathway In Plants",70,10.1104/pp.106.079707,https://w3id.org/oc/meta/br/062101316854,author_title
b2,Ethylene: a regulator of root architectural responses to soil phosphorus availability,Ethylene: A Regulator Of Root Architectural Responses To Soil Phosphorus Availability,70,10.1046/j.1365-3040.1999.00405.x,https://w3id.org/oc/meta/br/062503125393,author_title
b5,"Phloem small RNAs, nutrient stress responses, and systemic mobility","Phloem Small RNAs, Nutrient Stress Responses, And Systemic Mobility",70,10.1186/1471-2229-10-64,https://w3id.org/oc/meta/br/06140140178,author_title
b6,Overexpression of the FRO2 Ferric Chelate Reductase Confers Tolerance to Growth on Low Iron and Uncovers Posttranscriptional Control,Overexpression Of The FRO2 Ferric Chelate Reductase Confers Tolerance To Growth On Low Iron And Uncovers Posttranscriptional Control,70,10.1104/pp.103.025122,https://w3id.org/oc/meta/br/062201318197,author_title
b9,Iron nutrition of plants at high pH,IRON NUTRITION OF PLANTS AT HIGH pH,70,10.1097/00010694-195503000-00001,https://w3id.org/oc/meta/br/06901290576,author_title
b10,Characterization of a Phosphate-Accumulator Mutant of Arabidopsis thaliana,Characterization Of A Phosphate-Accumulator Mutant Of Arabidopsis Thaliana,70,10.1104/pp.107.1.207,https://w3id.org/oc/meta/br/062101315962,author_title
b11,A type 5 acid phosphatase gene from Arabidopsis thaliana is induced by phosphate starvation and by some other types of phosphate mobilising/oxidative stress conditions,A Type 5 Acid Phosphatase Gene From Arabidopsis Thaliana Is Induced By Phosphate Starvation And By Some Other Types Of Phosphate Mobilising/Oxidative Stress Conditions,70,10.1046/j.1365-313x.1999.00562.x,https://w3id.org/oc/meta/br/06501032736,author_title
b19,Nitric oxide accumulation is required for molecular and physiological responses to iron deficiency in tomato roots,Nitric Oxide Accumulation Is Required For Molecular And Physiological Responses To Iron Deficiency In Tomato Roots,70,10.1111/j.1365-313x.2007.03283.x,https://w3id.org/oc/meta/br/062601036330,author_title
b20,Insights into plant phosphate sensing and signaling,Insights Into Plant Phosphate Sensing And Signaling,70,10.1016/j.copbio.2017.07.005,https://w3id.org/oc/meta/br/061101040435,author_title
