reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b3,N/A,Inner Virtue,65,10.1093/oso/9780190673383.001.0001,https://w3id.org/oc/meta/br/06102425395,author_title
b8,Educating through Exemplars: alternative paths to virtue,Educating Through Exemplars: Alternative Paths To Virtue,70,10.1177/1477878517695903,https://w3id.org/oc/meta/br/0650432443,author_title
b9,Exemplars and nudges: Combining two strategies for moral education,Exemplars And Nudges: Combining Two Strategies For Moral Education,70,10.1080/03057240.2017.1396966,https://w3id.org/oc/meta/br/062302375911,author_title
b11,The dancing ru: A confucian aesthetics of virtue,The Dancing Ru: A Confucian Aesthetics Of Virtue,70,10.1353/pew.2001.0022,https://w3id.org/oc/meta/br/061302768938,author_title
b12,N/A,A Theory Of Moral Education,70,10.4324/9781315708508,https://w3id.org/oc/meta/br/062046249,author_title
b13,"Beauty, virtue, and religious exemplars","Beauty, Virtue, And Religious Exemplars",50,10.1017/s0034412515000578,https://w3id.org/oc/meta/br/06301621294,author_title
b19,Thinking through an embodied confucian aesthetics of persons,Thinking Through An Embodied Confucian Aesthetics Of Persons,70,10.1007/978-3-319-43893-1_10,https://w3id.org/oc/meta/br/06802776047,author_title
b22,N/A,A Reader’s Companion To The Confucian Analects,70,10.1057/9781137303394,https://w3id.org/oc/meta/br/0619061013,author_title
b23,Of manners and morals,Of Manners And Morals,70,10.1111/j.1467-8527.2005.00295.x,https://w3id.org/oc/meta/br/06130860601,author_title
b28,N/A,Exemplarist Moral Theory,70,10.1093/acprof:oso/9780190655846.001.0001,https://w3id.org/oc/meta/br/061702260128,author_title
