reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,Higher-order structure of the 30-nm chromatin fiber revealed by cryo-EM,Higher-order Structure Of The 30-Nm Chromatin Fiber Revealed By cryo-EM,70,10.1002/iub.1568,https://w3id.org/oc/meta/br/062301507477,author_title
b6,Higher-order structure of long repeat chromatin,Higher-order Structure Of Long Repeat Chromatin.,70,10.1002/j.1460-2075.1985.tb04064.x,https://w3id.org/oc/meta/br/06602245802,author_title
b12,Structure of an H1-bound 6-nucleosome array reveals an untwisted two-start chromatin fiber conformation,Structure Of An H1-Bound 6-Nucleosome Array Reveals An Untwisted Two-Start Chromatin Fiber Conformation,70,10.1016/j.molcel.2018.09.027,https://w3id.org/oc/meta/br/062501305106,author_title
b13,The higher-order structure of chromatin: evidence for a helical ribbon arrangement,The Higher-Order Structure Of Chromatin: Evidence For A Helical Ribbon Arrangement.,70,10.1083/jcb.99.1.42,https://w3id.org/oc/meta/br/061601654691,author_title
b15,Transitions between in situ and isolated chromatin,Transitions Between In Situ And Isolated Chromatin,70,10.1242/jcs.105.2.551,https://w3id.org/oc/meta/br/06301656357,author_title
b20,Protein folding by restrained energy minimization and molecular dynamics,Protein Folding By Restrained Energy Minimization And Molecular Dynamics,70,10.1016/s0022-2836(83)80129-6,https://w3id.org/oc/meta/br/06120242433,author_title
b21,Computation of writhe in modeling of supercoiled DNA,Computation Of Writhe In Modeling Of Supercoiled DNA.,70,10.1002/1097-0282(20001015)54:5<307::aid-bip20>3.0.co;2-y,https://w3id.org/oc/meta/br/06220318434,author_title
b22,Computing the writhing number of a polygonal kno,Computing The Writhing Number Of A Polygonal Knot,50,10.1007/s00454-004-2864-x,https://w3id.org/oc/meta/br/06701088782,author_title
b23,Linker histones incorporation maintains chromatin fiber plasticity,Linker Histones Incorporation Maintains Chromatin Fiber Plasticity,70,10.1016/j.bpj.2011.03.064,https://w3id.org/oc/meta/br/06140318120,author_title
b24,Involvement of histone H1 in the organization of the nucleosome and of the salt-dependent superstructures of chromatin,Involvement Of Histone H1 In The Organization Of The Nucleosome And Of The Salt-Dependent Superstructures Of Chromatin.,70,10.1083/jcb.83.2.403,https://w3id.org/oc/meta/br/061601654646,author_title
b25,Chromatin higher-order structure studied by neutron scattering and scanning transmission electron microscopy,Chromatin Higher-Order Structure Studied By Neutron Scattering And Scanning Transmission Electron Microscopy.,70,10.1073/pnas.84.22.7802,https://w3id.org/oc/meta/br/06603475244,author_title
b27,"The effect of ionic conditions on DNA helical repeat, effective diameter and free energy of supercoiling","The Effect Of Ionic Conditions On DNA Helical Repeat, Effective Diameter And Free Energy Of Supercoiling",70,10.1093/nar/25.7.1412,https://w3id.org/oc/meta/br/062501335202,author_title
b28,Winding of the DNA helix by divalent metal ions,Winding Of The DNA Helix By Divalent Metal Ions,70,10.1093/nar/25.20.4067,https://w3id.org/oc/meta/br/062501334720,author_title
b33,Organization of spacer DNA in chromatin,Organization Of Spacer DNA In Chromatin.,70,10.1073/pnas.76.12.6326,https://w3id.org/oc/meta/br/062203050503,author_title
b35,Distinctive sequence patterns in metazoan and yeast nucleosomes: Implications for linker histone binding to AT-rich and methylated DNA,Distinctive Sequence Patterns In Metazoan And Yeast Nucleosomes: Implications For Linker Histone Binding To AT-rich And Methylated DNA,70,10.1093/nar/gkp113,https://w3id.org/oc/meta/br/062101334703,author_title
b36,Organization of internucleosomal DNA in rat liver chromatin.,Organization Of Internucleosomal DNA In Rat Liver Chromatin.,70,10.1002/j.1460-2075.1983.tb01379.x,https://w3id.org/oc/meta/br/06402258437,author_title
b38,A relationship between the helical twist of DNA and the ordered positioning of nucleosomes in all eukaryotic cells,A Relationship Between The Helical Twist Of DNA And The Ordered Positioning Of Nucleosomes In All Eukaryotic Cells.,70,10.1073/pnas.89.3.1095,https://w3id.org/oc/meta/br/06303479679,author_title
b39,Chromatin structure-dependent conformations of the H1 CTD,Chromatin Structure-Dependent Conformations Of The H1 CTD,70,10.1093/nar/gkw586,https://w3id.org/oc/meta/br/06901361643,author_title
b40,Solvent Mediated Interactions in the Structure of the Nucleosome Core Particle at 1.9Å Resolution,Solvent Mediated Interactions In The Structure Of The Nucleosome Core Particle At 1.9Å Resolution,70,10.1016/s0022-2836(02)00386-8,https://w3id.org/oc/meta/br/0620244588,author_title
b41,The structure of DNA in the nucleosome core,The Structure Of DNA In The Nucleosome Core,70,10.1038/nature01595,https://w3id.org/oc/meta/br/0690365650,author_title
b43,Single-base resolution mapping of H1–nucleosome interactions and 3D organization of the nucleosome,Single-base Resolution Mapping Of H1–nucleosome Interactions And 3D Organization Of The Nucleosome,70,10.1073/pnas.1000309107,https://w3id.org/oc/meta/br/061503059404,author_title
b48,Genome-wide measurement of local nucleosome array regularity and spacing by nanopore sequencing,Genome-wide Measurement Of Local Nucleosome Array Regularity And Spacing By Nanopore Sequencing,70,10.1038/s41594-018-0110-0,https://w3id.org/oc/meta/br/06250780177,author_title
b49,Linker Histone-dependent DNA Structure in Linear Mononucleosomes,Linker Histone-dependent DNA Structure In Linear Mononucleosomes,70,10.1006/jmbi.1996.0144,https://w3id.org/oc/meta/br/0690257099,author_title
b52,DNA topology in chromosomes: a quantitative survey and its physiological implications,DNA Topology In Chromosomes: A Quantitative Survey And Its Physiological Implications,50,10.1007/s00285-012-0621-y,https://w3id.org/oc/meta/br/06180405175,author_title
b54,Differences in the binding of H1 variants to DNA. Cooperativity and linker-length related distribution,Differences In The Binding Of H1 Variants To DNA. Cooperativity And Linker-Length Related Distribution,70,10.1111/j.1432-1033.1988.tb14447.x,https://w3id.org/oc/meta/br/062301224264,author_title
