reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,A chief HR officer’s perspective on talent management,A Chief HR Officer’S Perspective On Talent Management,70,10.1108/joepp-05-2017-0047,https://w3id.org/oc/meta/br/06250222469,author_title
b1,Education and talent management: Implications for the hospitality industry,Education And Talent Management: Implications For The Hospitality Industry,70,10.1108/09596110810897583,https://w3id.org/oc/meta/br/0649046240,author_title
b4,Challenges for the global hospitality industry: an HR perspective,Challenges For The Global Hospitality Industry: An HR Perspective,70,10.1108/17554211211217325,https://w3id.org/oc/meta/br/06802429271,author_title
b6,Talent or not? Employee reactions to talent identification,Talent Or Not? Employee Reactions To Talent Identification,70,10.1002/hrm.21525,https://w3id.org/oc/meta/br/06401380369,author_title
b7,Transferring HR practices within multinational corporations,Transferring HR Practices Within Multinational Corporations,70,10.1111/j.1748-8583.2007.00048.x,https://w3id.org/oc/meta/br/0635066423,author_title
b9,"Talentship, talent segmentation, and sustainability: a new HR decision science paradigm for a new strategy definition","Talentship, Talent Segmentation, And Sustainability: A New HR Decision Science Paradigm For A New Strategy Definition",70,10.1002/hrm.20054,https://w3id.org/oc/meta/br/06501386944,author_title
b12,Introduction,Introduction,70,10.1093/oxfordhb/9780199532162.003.0001,https://w3id.org/oc/meta/br/06703546681,author_title
b14,The historical context of talent management,The Historical Context Of Talent Management,70,10.1093/oxfordhb/9780198758273.013.21,https://w3id.org/oc/meta/br/061802412428,author_title
b18,Introduction,Introduction To A Special Phase Of Matter,70,10.1201/9781315272801-1,https://w3id.org/oc/meta/br/061302175146,author_title
b20,Talent management and building high performance organisations,Talent Management And Building High Performance Organisations,70,10.1108/00197851211268027,https://w3id.org/oc/meta/br/06140222835,author_title
b21,Cornerstones of talent management as a strategic priority in the hospitality,Cornerstones Of Talent Management As A Strategic Priority In The Hospitality,70,10.1108/whatt-10-2017-0070,https://w3id.org/oc/meta/br/06802429011,author_title
b23,"Revisiting talent management, work-life balance and retention strategies","Revisiting Talent Management, Work-Life Balance And Retention Strategies",70,10.1108/ijchm-12-2013-0538,https://w3id.org/oc/meta/br/0649045835,author_title
b25,Under- vs over-investment: hotel firms’ value around acquisitions,Under- Vs Over-Investment: Hotel Firms’ Value Around Acquisitions,70,10.1108/ijchm-04-2016-0219,https://w3id.org/oc/meta/br/0649045541,author_title
b26,"Talent management, from phenomenon to theory: introduction to the special issue","Talent Management, From Phenomenon To Theory: Introduction To The Special Issue",70,10.1016/j.hrmr.2013.08.006,https://w3id.org/oc/meta/br/06170747631,author_title
b27,The psychology of talent management: a review and research agenda,The Psychology Of Talent Management: A Review And Research Agenda,70,10.1016/j.hrmr.2013.05.001,https://w3id.org/oc/meta/br/06170747639,author_title
b29,How to identify leadership potential: development and testing of a consensus model,How To Identify Leadership Potential: Development And Testing Of A Consensus Model,70,10.1002/hrm.21473,https://w3id.org/oc/meta/br/06401380405,author_title
b32,Talent management in medium-sized German companies: an explorative study and agenda for future research,Talent Management In Medium-Sized German Companies: An Explorative Study And Agenda For Future Research,70,10.1080/09585192.2013.777538,https://w3id.org/oc/meta/br/0680396525,author_title
b33,Do your high potentials have potential? The impact of individual differences and designation on leader success,Do Your High Potentials Have Potential? The Impact Of Individual Differences And Designation On Leader Success,65,10.1111/peps.12225,https://w3id.org/oc/meta/br/061501506310,author_title
b34,What is the meaning of ‘talent’ in the world of work?,What Is The Meaning Of ‘Talent’ In The World Of Work?,70,10.1016/j.hrmr.2013.05.002,https://w3id.org/oc/meta/br/06170747637,author_title
b36,The development of political skill and political capital by global leaders through global assignments,The Development Of Political Skill And Political Capital By Global Leaders Through Global Assignments,70,10.1080/0958519042000238392,https://w3id.org/oc/meta/br/06110397075,author_title
b37,Human resource and organizational management content in the hospitality curriculum: how the professionals view it,Human Resource And Organizational Management Content In The Hospitality Curriculum: How The Professionals View It,70,10.1080/15332845.2012.648897,https://w3id.org/oc/meta/br/062601348938,author_title
b38,Talent management defined,Talent Management Defined,70,10.23912/978-1-910158-66-1-3312,https://w3id.org/oc/meta/br/06102901933,author_title
b39,Talent management as a management fashion in HRD: towards a research agenda,Talent Management As A Management Fashion In HRD: Towards A Research Agenda,70,10.1080/13678861003703666,https://w3id.org/oc/meta/br/0690579270,author_title
b40,Trends in the international hotel industry,Trends In The International Hotel Industry,70,10.1108/17554211311314100,https://w3id.org/oc/meta/br/06802429245,author_title
b42,Talent management practice effectiveness: investigating employee perspective,Talent Management Practice Effectiveness: Investigating Employee Perspective,70,10.1108/er-01-2016-0005,https://w3id.org/oc/meta/br/061401116047,author_title
b44,Aligning human capital with organizational needs,Aligning Human Capital With Organizational Needs,70,10.1093/oxfordhb/9780199532162.003.0014,https://w3id.org/oc/meta/br/06703546434,author_title
b45,Talent management: a critical review,Talent Management: A Critical Review,70,10.1016/j.hrmr.2006.03.001,https://w3id.org/oc/meta/br/06170747872,author_title
b46,Talent management: a systematic review and future prospects,Talent Management: A Systematic Review And Future Prospects,70,10.1504/ejim.2017.081253,https://w3id.org/oc/meta/br/06220877530,author_title
b47,N/A,Designing Qualitative Research,50,10.2307/329453,https://w3id.org/oc/meta/br/06903152059,author_title
b48,"The influence of underlying philosophies on talent management: theory, implications for practice, and research agenda","The Influence Of Underlying Philosophies On Talent Management: Theory, Implications For Practice, And Research Agenda",70,10.1016/j.jwb.2013.11.003,https://w3id.org/oc/meta/br/06201699938,author_title
b50,"A multidisciplinary review into the definition, operationalization, and measurement of talent","A Multidisciplinary Review Into The Definition, Operationalization, And Measurement Of Talent",70,10.1016/j.jwb.2013.11.002,https://w3id.org/oc/meta/br/06201699934,author_title
b53,Common method biases in behavioral research: a critical review of the literature and recommended remedies,Common Method Biases In Behavioral Research: A Critical Review Of The Literature And Recommended Remedies.,70,10.1037/0021-9010.88.5.879,https://w3id.org/oc/meta/br/06801484601,author_title
b54,A dialogic reframing of talent management as a lever for hospitableness,A Dialogic Reframing Of Talent Management As A Lever For Hospitableness,70,10.1108/whatt-10-2017-0066,https://w3id.org/oc/meta/br/06802429009,author_title
b55,Building customer centricity in the hospitality sector: the role of talent management,Building Customer Centricity In The Hospitality Sector: The Role Of Talent Management,70,10.1108/whatt-10-2017-0068,https://w3id.org/oc/meta/br/06802429010,author_title
b56,From talent management to talent optimization,From Talent Management To Talent Optimization,70,10.1016/j.jwb.2013.11.012,https://w3id.org/oc/meta/br/06201699940,author_title
b59,The role of talent-perception incongruence in effective talent management,The Role Of Talent-Perception Incongruence In Effective Talent Management,70,10.1016/j.jwb.2013.11.011,https://w3id.org/oc/meta/br/06201699928,author_title
b60,What is the value of talent management? Building value-driven processes within a talent management architecture,What Is The Value Of Talent Management? Building Value-Driven Processes Within A Talent Management Architecture,70,10.1016/j.hrmr.2015.04.002,https://w3id.org/oc/meta/br/06170747579,author_title
b64,Rites of passage through talent management progression stages: an identity work perspective,Rites Of Passage Through Talent Management Progression Stages: An Identity Work Perspective,70,10.1080/09585192.2013.777542,https://w3id.org/oc/meta/br/0680396515,author_title
