reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b3,Studies on the hydrogen evolution reaction on different stainless steels,Studies On The Hydrogen Evolution Reaction On Different Stainless Steels,70,10.1016/j.ijhydene.2006.03.017,https://w3id.org/oc/meta/br/06120660245,author_title
b5,Electrochemical mechanism of trivalent chromium reduction in 1-butyl-3-methylimidazolium bromide ionic liquid,Electrochemical Mechanism Of Trivalent Chromium Reduction In 1-Butyl-3-Methylimidazolium Bromide Ionic Liquid,70,10.1016/j.electacta.2014.03.027,https://w3id.org/oc/meta/br/061201945600,author_title
b6,Application of ionic liquids to the electrodeposition of metals,Application Of Ionic Liquids To The Electrodeposition Of Metals,70,10.1002/chin.200649233,https://w3id.org/oc/meta/br/06230390800,author_title
b7,Characterization of imidazolium chloride ionic liquids plus trivalent chromium chloride for chromium electroplating,Characterization Of Imidazolium Chloride Ionic Liquids Plus Trivalent Chromium Chloride For Chromium Electroplating,70,10.1021/ie505026v,https://w3id.org/oc/meta/br/06401472613,author_title
b8,Mechanistic study on the effect of PEG molecules in a trivalent chromium electrodeposition process,Mechanistic Study On The Effect Of PEG Molecules In A Trivalent Chromium Electrodeposition Process,70,10.1016/j.microc.2011.02.017,https://w3id.org/oc/meta/br/06260770320,author_title
b9,The effects of pH and polyethylene glycol on the Cr(III) solution chemistry and electrodeposition of chromium,The Effects Of pH And Polyethylene Glycol On The Cr(III) Solution Chemistry And Electrodeposition Of Chromium,70,10.1016/j.surfcoat.2012.04.025,https://w3id.org/oc/meta/br/06130231537,author_title
b10,Environmentally friendly chromium electrodeposition: effect of pre-electrolysis on a Cr(III) bath in an anion-exchange membrane reactor,Environmentally Friendly Chromium Electrodeposition: Effect Of Pre-Electrolysis On A Cr(iii) Bath In An Anion-Exchange Membrane Reactor,70,10.1039/c3ra42770f,https://w3id.org/oc/meta/br/0630980369,author_title
b12,The effect of the additive cetyl trimethyl ammonium bromide on the electrodeposition of lead dioxide,The Effect Of The Additive Cetyl Trimethyl Ammonium Bromide On The Electrodeposition Of Lead Dioxide,70,10.1007/bf00616141,https://w3id.org/oc/meta/br/0648055630,author_title
b15,Fabrication of a nanocrystalline Cr–C layer with excellent anti-wear performance,Fabrication Of A Nanocrystalline Cr–C Layer With Excellent Anti-Wear Performance,70,10.1016/j.matlet.2007.01.066,https://w3id.org/oc/meta/br/06220447675,author_title
b16,Improved corrosion resistance through microstructural modifications induced by codepositing SiC-particles with electrolytic nickel,Improved Corrosion Resistance Through Microstructural Modifications Induced By Codepositing SiC-particles With Electrolytic Nickel,70,10.1016/s0010-938x(02)00220-2,https://w3id.org/oc/meta/br/06180276706,author_title
