reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,Efficiently mining long patterns from databases,Efficiently Mining Long Patterns From Databases,70,10.1145/276305.276313,https://w3id.org/oc/meta/br/06240889538,author_title
b2,Mining frequent patterns without candidate generation,Mining Frequent Patterns Without Candidate Generation,70,10.1145/335191.335372,https://w3id.org/oc/meta/br/06240889325,author_title
b3,A frequent itemset mining algorithm based on the principle of inclusion–exclusion and transaction mapping,A Frequent Itemset Mining Algorithm Based On The Principle Of Inclusion–Exclusion And Transaction Mapping,70,10.1016/j.ins.2014.02.060,https://w3id.org/oc/meta/br/061802106855,author_title
b7,Efficient single-pass frequent pattern mining using a prefix-tree,Efficient Single-Pass Frequent Pattern Mining Using A Prefix-Tree,70,10.1016/j.ins.2008.10.027,https://w3id.org/oc/meta/br/062102103757,author_title
b8,Mining frequent patterns from microarray data,Mining Frequent Patterns From Microarray Data,70,10.1109/hibit.2011.6450819,https://w3id.org/oc/meta/br/06703357378,author_title
b10,Frequent pattern mining on message passing multiprocessor systems,Frequent Pattern Mining On Message Passing Multiprocessor Systems,70,10.1023/b:dapd.0000031634.19130.bd,https://w3id.org/oc/meta/br/061101023920,author_title
b11,A novel parallel algorithm for frequent pattern mining with privacy preserved in cloud computing environments,A Novel Parallel Algorithm For Frequent Pattern Mining With Privacy Preserved In Cloud Computing Environments,70,10.1504/ijahuc.2010.035533,https://w3id.org/oc/meta/br/06150857445,author_title
b12,Parallel tid-based frequent pattern mining algorithm on a pc cluster and grid computing system,Parallel TID-based Frequent Pattern Mining Algorithm On A PC Cluster And Grid Computing System,70,10.1016/j.eswa.2009.07.072,https://w3id.org/oc/meta/br/06190660631,author_title
b13,Balanced tidset-based parallel fp-tree algorithm for the frequent pattern mining on grid system,Balanced Tidset-based Parallel FP-tree Algorithm For The Frequent Pattern Mining On Grid System,70,10.1109/skg.2008.65,https://w3id.org/oc/meta/br/06803629686,author_title
b15,Parallel frequent itemset mining using systolic arrays,Parallel Frequent Itemset Mining Using Systolic Arrays,70,10.1016/j.knosys.2012.09.005,https://w3id.org/oc/meta/br/062303120666,author_title
b16,Efficient algorithms for frequent pattern mining in many-task computing environments,Efficient Algorithms For Frequent Pattern Mining In Many-Task Computing Environments,70,10.1016/j.knosys.2013.04.004,https://w3id.org/oc/meta/br/062303120520,author_title
b18,Adaptive parallel graph mining for cmp architectures,Adaptive Parallel Graph Mining For CMP Architectures,70,10.1109/icdm.2006.15,https://w3id.org/oc/meta/br/06903300700,author_title
b19,Mapreduce-based closed frequent itemset mining with efficient redundancy filtering,MapReduce-based Closed Frequent Itemset Mining With Efficient Redundancy Filtering,70,10.1109/icdmw.2012.24,https://w3id.org/oc/meta/br/062102949409,author_title
b20,Pampa-hd: a parallel mapreduce-based frequent pattern miner for high-dimensional data,PaMPa-HD: A Parallel MapReduce-Based Frequent Pattern Miner For High-Dimensional Data,70,10.1109/icdmw.2015.18,https://w3id.org/oc/meta/br/061602515495,author_title
b21,Discovering closed frequent itemsets on multicore: Parallelizing computations and optimizing memory accesses,Discovering Closed Frequent Itemsets On Multicore: Parallelizing Computations And Optimizing Memory Accesses,70,10.1109/hpcs.2010.5547082,https://w3id.org/oc/meta/br/06403592739,author_title
b23,Discovering frequent closed itemsets for association rules,Discovering Frequent Closed Itemsets For Association Rules,70,10.1007/3-540-49257-7_25,https://w3id.org/oc/meta/br/06403529433,author_title
b29,Charm: An efficient algorithm for closed itemset mining,CHARM: An Efficient Algorithm For Closed Itemset Mining,70,10.1137/1.9781611972726.27,https://w3id.org/oc/meta/br/06902933757,author_title
b33,Top-down mining of frequent closed patterns from very high dimensional data,Top-down Mining Of Frequent Closed Patterns From Very High Dimensional Data,70,10.1016/j.ins.2008.11.033,https://w3id.org/oc/meta/br/062102103716,author_title
b35,Top-down vertical itemset mining,Top-down Vertical Itemset Mining,70,10.1117/12.2179150,https://w3id.org/oc/meta/br/061702543139,author_title
b38,Gene association analysis: a survey of frequent pattern mining from gene expression data,Gene Association Analysis: A Survey Of Frequent Pattern Mining From Gene Expression Data,70,10.1093/bib/bbp042,https://w3id.org/oc/meta/br/06801044556,author_title
b40,Detecting conserved interaction patterns in biological networks,Detecting Conserved Interaction Patterns In Biological Networks,70,10.1089/cmb.2006.13.1299,https://w3id.org/oc/meta/br/061502810721,author_title
b41,Cross-ontology multi-level association rule mining in the gene ontology,Cross-Ontology Multi-level Association Rule Mining In The Gene Ontology,70,10.1371/journal.pone.0047411,https://w3id.org/oc/meta/br/06201530772,author_title
b43,Efficient algorithms for mining colossal patterns in high dimensional databases,Efficient Algorithms For Mining Colossal Patterns In High Dimensional Databases,70,10.1016/j.knosys.2017.01.034,https://w3id.org/oc/meta/br/062103109750,author_title
b44,Efficient colossal pattern mining in high dimensional datasets,Efficient Colossal Pattern Mining In High Dimensional Datasets,70,10.1016/j.knosys.2012.03.003,https://w3id.org/oc/meta/br/062303120782,author_title
b45,Subcellular localization prediction through boosting association rules,Subcellular Localization Prediction Through Boosting Association Rules,70,10.1109/tcbb.2011.131,https://w3id.org/oc/meta/br/062601937789,author_title
b47,Finding top-n colossal patterns based on clique search with dynamic update of graph,Finding Top-N Colossal Patterns Based On Clique Search With Dynamic Update Of Graph,70,10.1007/978-3-642-29892-9_23,https://w3id.org/oc/meta/br/061902745369,author_title
b48,Disclose: discovering colossal closed itemsets via a memory efficient compact row-tree,DisClose: Discovering Colossal Closed Itemsets Via A Memory Efficient Compact Row-Tree,65,10.1007/978-3-642-36778-6_12,https://w3id.org/oc/meta/br/061302718378,author_title
b49,A new method for mining colossal patterns,A New Method For Mining Colossal Patterns,70,10.1109/smc.2016.7844714,https://w3id.org/oc/meta/br/061602480140,author_title
b50,Constraint-based method for mining colossal patterns in high dimensional databases,Constraint-Based Method For Mining Colossal Patterns In High Dimensional Databases,70,10.1007/978-3-319-67220-5_18,https://w3id.org/oc/meta/br/061902243089,author_title
b51,Constraint-based concept mining and its application to microarray data analysis,Constraint-based Concept Mining And Its Application To Microarray Data Analysis,70,10.3233/ida-2005-9105,https://w3id.org/oc/meta/br/06101237073,author_title
