reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,On a path to unfolding the biological mechanisms of orthodontic tooth movement,On A Path To Unfolding The Biological Mechanisms Of Orthodontic Tooth Movement,70,10.1177/0022034509338914,https://w3id.org/oc/meta/br/06802286890,author_title
b2,Effect of orthodontic treatment on the periodontal tissues,Effect Of Orthodontic Treatment On The Periodontal Tissues,70,10.1111/prd.12194,https://w3id.org/oc/meta/br/061103088001,author_title
b3,Interrelationships between orthodontics and periodontics,Interrelationships Between Orthodontics And Periodontics,70,10.1016/s0002-9416(76)90316-x,https://w3id.org/oc/meta/br/0640937471,author_title
b4,The role of physical forces in osteoclastogenesis,The Role Of Physical Forces In Osteoclastogenesis,70,10.1002/jcp.28108,https://w3id.org/oc/meta/br/062301644992,author_title
b5,Optimal compressive force accelerates osteoclastogenesis in RAW264.7 cells,Optimal Compressive Force Accelerates Osteoclastogenesis In RAW264.7 Cells,70,10.3892/mmr.2015.4141,https://w3id.org/oc/meta/br/061701992343,author_title
b6,Continuous application of compressive force induces fusion of osteoclast-like RAW264.7 cells via upregulation of RANK and downregulation of LGR4,Continuous Application Of Compressive Force Induces Fusion Of Osteoclast-Like RAW264.7 Cells Via Upregulation Of RANK And Downregulation Of LGR4,70,10.1016/j.lfs.2018.03.038,https://w3id.org/oc/meta/br/062401552817,author_title
b7,Suture compression induced bone resorption with intensified MMP-1 and 13 expressions,Suture Compression Induced Bone Resorption With Intensified MMP-1 And 13 Expressions,70,10.1016/j.bone.2012.07.005,https://w3id.org/oc/meta/br/06301858255,author_title
b9,"The tissue, cellular, and molecular regulation of orthodontic tooth movement: 100 years after Carl Sandstedt","The Tissue, Cellular, And Molecular Regulation Of Orthodontic Tooth Movement: 100 Years After Carl Sandstedt",65,10.1093/ejo/cjl001,https://w3id.org/oc/meta/br/06260432286,author_title
b11,RANKL increase in compressed periodontal ligament cells from root resorption,RANKL Increase In Compressed Periodontal Ligament Cells From Root Resorption,70,10.1177/154405910608500812,https://w3id.org/oc/meta/br/06901931188,author_title
b14,Suppression of basal autophagy in neural cells causes neurodegenerative disease in mice,Suppression Of Basal Autophagy In Neural Cells Causes Neurodegenerative Disease In Mice,70,10.1038/nature04724,https://w3id.org/oc/meta/br/06170348338,author_title
b16,"Cellular adaptation to mechanical stress: role of integrins, Rho, cytoskeletal tension and mechanosensitive ion channels","Cellular Adaptation To Mechanical Stress: Role Of Integrins, Rho, Cytoskeletal Tension And Mechanosensitive Ion Channels",70,10.1242/jcs.02760,https://w3id.org/oc/meta/br/061901648838,author_title
b17,Induction of human vascular endothelial stress fibres by fluid shear stress,Induction Of Human Vascular Endothelial Stress Fibres By Fluid Shear Stress,70,10.1038/307648a0,https://w3id.org/oc/meta/br/06250354511,author_title
b18,Autophagy is activated in compression-induced cell degeneration and is mediated by reactive oxygen species in nucleus pulposus cells exposed to compression,Autophagy Is Activated In Compression-Induced Cell Degeneration And Is Mediated By Reactive Oxygen Species In Nucleus Pulposus Cells Exposed To Compression,70,10.1016/j.joca.2013.10.002,https://w3id.org/oc/meta/br/0630430098,author_title
b22,Autophagy in osteoblasts is involved in mineralization and bone homeostasis,Autophagy In Osteoblasts Is Involved In Mineralization And Bone Homeostasis,70,10.4161/auto.36182,https://w3id.org/oc/meta/br/0670645437,author_title
b23,Defective autophagy in osteoblasts induces endoplasmic reticulum stress and causes remarkable bone loss,Defective Autophagy In Osteoblasts Induces Endoplasmic Reticulum Stress And Causes Remarkable Bone Loss,70,10.1080/15548627.2018.1483807,https://w3id.org/oc/meta/br/0670644586,author_title
b25,Inactivation of autophagy ameliorates glucocorticoid-induced and ovariectomy-induced bone loss,Inactivation Of Autophagy Ameliorates Glucocorticoid-Induced And Ovariectomy-Induced Bone Loss,65,10.1136/annrheumdis-2015-207240,https://w3id.org/oc/meta/br/06190211818,author_title
b26,Hydrogen sulfide regulates bone remodeling and promotes orthodontic tooth movement,Hydrogen Sulfide Regulates Bone Remodeling And Promotes Orthodontic Tooth Movement,70,10.3892/mmr.2017.7813,https://w3id.org/oc/meta/br/061301983702,author_title
b29,"Cellular, molecular, and tissue-level reactions to orthodontic force","Cellular, Molecular, And Tissue-Level Reactions To Orthodontic Force",70,10.1016/j.ajodo.2005.10.007,https://w3id.org/oc/meta/br/0610345999,author_title
b30,Autophagy in bone: self-eating to stay in balance,Autophagy In Bone: Self-eating To Stay In Balance,70,10.1016/j.arr.2015.08.004,https://w3id.org/oc/meta/br/06703038182,author_title
b32,Opposing responses of apoptosis and autophagy to moderate compression in skeletal muscle,Opposing Responses Of Apoptosis And Autophagy To Moderate Compression In Skeletal Muscle,70,10.1111/j.1748-1716.2010.02173.x,https://w3id.org/oc/meta/br/0610515727,author_title
b33,Structure of periodontal tissues in health and disease,Structure Of Periodontal Tissues In Health And Disease*,70,10.1111/j.1600-0757.2005.00141.x,https://w3id.org/oc/meta/br/061103088700,author_title
b36,Autophagy and the integrated stress response,Autophagy And The Integrated Stress Response,70,10.1016/j.molcel.2010.09.023,https://w3id.org/oc/meta/br/06201321177,author_title
b38,A ubiquitin-like system mediates protein lipidation,A Ubiquitin-Like System Mediates Protein Lipidation,70,10.1038/35044114,https://w3id.org/oc/meta/br/06240341791,author_title
b39,Hierarchy of Atg proteins in pre-autophagosomal structure organization,Hierarchy Of Atg Proteins In Pre-Autophagosomal Structure Organization,70,10.1111/j.1365-2443.2007.01050.x,https://w3id.org/oc/meta/br/06230952681,author_title
b44,Rapamycin promotes the osteoblastic differentiation of human embryonic stem cells by blocking the mTOR pathway and stimulating the BMP/Smad pathway,Rapamycin Promotes The Osteoblastic Differentiation Of Human Embryonic Stem Cells By Blocking The mTOR Pathway And Stimulating The BMP/Smad Pathway,70,10.1089/scd.2009.0147,https://w3id.org/oc/meta/br/06230961152,author_title
b47,RANK/RANKL/OPG during orthodontic tooth movement,RANK/RANKL/OPG During Orthodontic Tooth Movement,70,10.1111/j.1601-6343.2009.01444.x,https://w3id.org/oc/meta/br/061602011380,author_title
