reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,Transaction costs and predictability: some utility cost calculations,Transaction Costs And Predictability: Some Utility Cost Calculations,70,10.1016/s0304-405x(99)00004-5,https://w3id.org/oc/meta/br/0640803231,author_title
b2,Individual investors,Chapter 15. Individual Investors,70,10.1515/9781400829125-018,https://w3id.org/oc/meta/br/061202467718,author_title
b3,The behavior of individual investors,The Behavior Of Individual Investors,70,10.1016/b978-0-44-459406-8.00022-6,https://w3id.org/oc/meta/br/061202953594,author_title
b4,Investing for the long run when returns are predictable,Investing For The Long Run When Returns Are Predictable,70,10.1111/0022-1082.00205,https://w3id.org/oc/meta/br/06401186894,author_title
b5,A survey of behavioral finance,Chapter 18 A Survey Of Behavioral Finance,70,10.1016/s1574-0102(03)01027-6,https://w3id.org/oc/meta/br/062402945469,author_title
b7,Solving constrained consumption–investment problems by simulation of artificial market strategies,Solving Constrained Consumption–Investment Problems By Simulation Of Artificial Market Strategies,70,10.1287/mnsc.1120.1623,https://w3id.org/oc/meta/br/06302350685,author_title
b8,Optimal consumption–portfolio choices and retirement planning,Optimal Consumption–Portfolio Choices And Retirement Planning,70,10.1016/s0165-1889(03)00068-x,https://w3id.org/oc/meta/br/062402784820,author_title
b9,Labor supply flexibility and portfolio choice in a life cycle model,Labor Supply Flexibility And Portfolio Choice In A Life Cycle Model,70,10.1016/0165-1889(92)90044-f,https://w3id.org/oc/meta/br/062102785408,author_title
b10,Discrete-time implementation of continuous-time portfolio strategies,Discrete-time Implementation Of Continuous-Time Portfolio Strategies,65,10.1080/13518470903075854,https://w3id.org/oc/meta/br/06110293117,author_title
b12,Robust portfolio choice with uncertainty about jump and diffusion risk,Robust Portfolio Choice With Uncertainty About Jump And Diffusion Risk,70,10.1016/j.jbankfin.2013.08.023,https://w3id.org/oc/meta/br/062402822846,author_title
b13,Robust portfolio choice with ambiguity and learning about return predictability,Robust Portfolio Choice With Ambiguity And Learning About Return Predictability,70,10.1016/j.jbankfin.2012.05.009,https://w3id.org/oc/meta/br/062502818798,author_title
b14,Optimal portfolios when volatility can jump,Optimal Portfolios When Volatility Can Jump,70,10.1016/j.jbankfin.2007.09.015,https://w3id.org/oc/meta/br/062602855478,author_title
b17,Down or out: assessing the welfare costs of household investment mistakes,Down Or Out: Assessing The Welfare Costs Of Household Investment Mistakes,70,10.1086/524204,https://w3id.org/oc/meta/br/06603167228,author_title
b18,Fight or flight? portfolio rebalancing by individual investors,Fight Or Flight? Portfolio Rebalancing By Individual Investors*,70,10.1162/qjec.2009.124.1.301,https://w3id.org/oc/meta/br/06230275714,author_title
b20,On the structural estimation of an optimal portfolio rule,On The Structural Estimation Of An Optimal Portfolio Rule,70,10.1016/j.frl.2015.12.012,https://w3id.org/oc/meta/br/061201155904,author_title
b21,Consumption and portfolio choice over the life cycle,Consumption And Portfolio Choice Over The Life Cycle,70,10.1093/rfs/hhi017,https://w3id.org/oc/meta/br/061601022179,author_title
b23,Optimal consumption and portfolio policies when asset prices follow a diffusion process,Optimal Consumption And Portfolio Policies When Asset Prices Follow A Diffusion Process,70,10.1016/0022-0531(89)90067-7,https://w3id.org/oc/meta/br/06240329395,author_title
b25,Systemic risk and international portfolio choice,Systemic Risk And International Portfolio Choice,70,10.1111/j.1540-6261.2004.00717.x,https://w3id.org/oc/meta/br/06401186449,author_title
b26,Portfolio selection: a review,Portfolio Selection: A Review,70,10.1007/s10957-012-0208-1,https://w3id.org/oc/meta/br/062501372370,author_title
b27,A Monte Carlo method for optimal portfolios,A Monte Carlo Method For Optimal Portfolios,70,10.1111/1540-6261.00529,https://w3id.org/oc/meta/br/06401186675,author_title
b28,Simulation methods for optimal portfolios,Chapter 21 Simulation Methods For Optimal Portfolios,65,10.1016/s0927-0507(07)15021-0,https://w3id.org/oc/meta/br/061803256395,author_title
b29,Asset and commodity prices with multi-attribute durable goods,Asset And Commodity Prices With Multi-Attribute Durable Goods,70,10.1016/0165-1889(95)00907-8,https://w3id.org/oc/meta/br/062402784772,author_title
b30,Closed-form solutions for optimal portfolio selection with stochastic interest rate and investment constraints,Closed-Form Solutions For Optimal Portfolio Selection With Stochastic Interest Rate And Investment Constraints,70,10.1111/j.1467-9965.2005.00250.x,https://w3id.org/oc/meta/br/062401053148,author_title
b31,Dynamic asset allocation: portfolio decomposition formula and applications,Dynamic Asset Allocation: Portfolio Decomposition Formula And Applications,65,10.1093/rfs/hhp040,https://w3id.org/oc/meta/br/061601021814,author_title
b32,Optimal consumption-portfolio policies with habit formation,Optimal Consumption-Portfolio Policies With Habit Formation,70,10.1111/j.1467-9965.1992.tb00032.x,https://w3id.org/oc/meta/br/062401053079,author_title
