reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b6,Modelling solar potential in the urban environment: state-of-the-art review,Modelling Solar Potential In The Urban Environment: State-of-the-art Review,70,10.1016/j.rser.2014.08.060,https://w3id.org/oc/meta/br/06190951785,author_title
b8,Technical potential for photovoltaics on buildings in the EU-27,Technical Potential For Photovoltaics On Buildings In The EU-27,70,10.1016/j.solener.2012.06.007,https://w3id.org/oc/meta/br/06401290027,author_title
b10,The application of LiDAR to assessment of rooftop solar photovoltaic deployment potential in a municipal district unit,The Application Of LiDAR To Assessment Of Rooftop Solar Photovoltaic Deployment Potential In A Municipal District Unit,70,10.3390/s120404534,https://w3id.org/oc/meta/br/06140441690,author_title
b11,Methodology for estimating solar potential on multiple building rooftops for photovoltaic systems,Methodology For Estimating Solar Potential On Multiple Building Rooftops For Photovoltaic Systems,70,10.1016/j.scs.2013.01.002,https://w3id.org/oc/meta/br/06150459700,author_title
b13,A simplified skyline-based method for estimating the annual solar energy potential in urban environments,A Simplified Skyline-Based Method For Estimating The Annual Solar Energy Potential In Urban Environments,70,10.1038/s41560-018-0318-6,https://w3id.org/oc/meta/br/0650841830,author_title
b14,Development of a method for estimating the rooftop solar photovoltaic (PV) potential by analyzing the available rooftop area using Hillshade analysis,Development Of A Method For Estimating The Rooftop Solar Photovoltaic (PV) Potential By Analyzing The Available Rooftop Area Using Hillshade Analysis,70,10.1016/j.apenergy.2016.07.001,https://w3id.org/oc/meta/br/06302300843,author_title
b16,Evaluation of the development potential of rooftop solar photovoltaic in Taiwan,Evaluation Of The Development Potential Of Rooftop Solar Photovoltaic In Taiwan,70,10.1016/j.renene.2014.11.077,https://w3id.org/oc/meta/br/06150559743,author_title
b17,"Potential rooftop distribution mapping using geographic information systems (GIS) for solar PV installation: a case study for Dhaka, Bangladesh","Potential Rooftop Distribution Mapping Using Geographic Information Systems (GIS) For Solar PV Installation: A Case Study For Dhaka, Bangladesh",70,10.1109/icdret.2014.6861648,https://w3id.org/oc/meta/br/061402541537,author_title
b18,"Calculation of bright roof-tops for solar PV applications in Dhaka Megacity, Bangladesh","Calculation Of Bright Roof-Tops For Solar PV Applications In Dhaka Megacity, Bangladesh",70,10.1016/j.renene.2009.11.016,https://w3id.org/oc/meta/br/06180558756,author_title
b21,Using GIS-based methods and lidar data to estimate rooftop solar technical potential in US cities,Using GIS-based Methods And Lidar Data To Estimate Rooftop Solar Technical Potential In US Cities,70,10.1088/1748-9326/aa7225,https://w3id.org/oc/meta/br/0637061973,author_title
b24,Assessment of the potential for distributed photovoltaic electricity production in Israel,Assessment Of The Potential For Distributed Photovoltaic Electricity Production In Israel,70,10.1016/j.renene.2010.07.030,https://w3id.org/oc/meta/br/06170556664,author_title
b27,Is rooftop solar PV at socket parity without subsidies?,Is Rooftop Solar PV At Socket Parity Without Subsidies?,70,10.1016/j.enpol.2015.11.017,https://w3id.org/oc/meta/br/06702465690,author_title
b28,Economic and environmental assessment of rooftops regarding suitability for photovoltaic systems installation based on remote sensing data,Economic And Environmental Assessment Of Rooftops Regarding Suitability For Photovoltaic Systems Installation Based On Remote Sensing Data,70,10.1016/j.energy.2016.04.089,https://w3id.org/oc/meta/br/0660675523,author_title
b35,"Estimating pv module performance over large geographical regions: the role of irradiance, air temperature, wind speed and solar spectrum","Estimating PV Module Performance Over Large Geographical Regions: The Role Of Irradiance, Air Temperature, Wind Speed And Solar Spectrum",70,10.3390/en8065159,https://w3id.org/oc/meta/br/06101649315,author_title
b39,PVMAPS: software tools and data for the estimation of solar radiation and photovoltaic module performance over large geographical areas,PVMAPS: Software Tools And Data For The Estimation Of Solar Radiation And Photovoltaic Module Performance Over Large Geographical Areas,70,10.1016/j.solener.2016.12.014,https://w3id.org/oc/meta/br/06201284024,author_title
b40,Photovoltaic degradation rates-an analytical review,Photovoltaic Degradation Rates-an Analytical Review,50,10.1002/pip.1182,https://w3id.org/oc/meta/br/06160968093,author_title
b41,Envisioning a low-cost solar future: exploring the potential impact of Achieving the SunShot 2030 targets for photovoltaics,Envisioning A Low-Cost Solar Future: Exploring The Potential Impact Of Achieving The SunShot 2030 Targets For Photovoltaics,70,10.1016/j.energy.2018.04.166,https://w3id.org/oc/meta/br/0620673133,author_title
b44,N/A,A Manual For The Economic Evaluation Of Energy Efficiency And Renewable Energy Technologies,70,10.2172/35391,https://w3id.org/oc/meta/br/06603676437,author_title
b47,WACC the dog: the effect of financing costs on the levelized cost of solar PV power,WACC The Dog: The Effect Of Financing Costs On The Levelized Cost Of Solar PV Power,70,10.1016/j.renene.2014.10.053,https://w3id.org/oc/meta/br/06150559808,author_title
b51,A methodology for maximizing the benefits of solar landfills on closed sites,A Methodology For Maximizing The Benefits Of Solar Landfills On Closed Sites,70,10.1016/j.rser.2017.03.117,https://w3id.org/oc/meta/br/06150955639,author_title
b52,Solar photovoltaic electricity generation: a lifeline for the european coal regions in transition,Solar Photovoltaic Electricity Generation: A Lifeline For The European Coal Regions In Transition,70,10.3390/su11133703,https://w3id.org/oc/meta/br/061801937859,author_title
b54,How rooftop solar can stabilize the grid [News],How Rooftop Solar Can Stabilize The Grid [News],70,10.1109/mspec.2015.7024493,https://w3id.org/oc/meta/br/06210689880,author_title
b55,HR outsourcing trends in Malaysia: the undetected tiger,HR Outsourcing Trends In Malaysia: The Undetected Tiger,70,10.1108/so-05-2015-0013,https://w3id.org/oc/meta/br/062601107544,author_title
b56,Cost-efficiency benchmarking of European renewable electricity support schemes,Cost-efficiency Benchmarking Of European Renewable Electricity Support Schemes,70,10.1016/j.rser.2018.09.001,https://w3id.org/oc/meta/br/06140945098,author_title
