reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Biosynthesis of flavocoenzymes,Biosynthesis Of Flavocoenzymes,70,10.1039/b210142b,https://w3id.org/oc/meta/br/0610336558,author_title
b1,Flavoenzymes,Flavoenzymes,70,10.1016/j.cbpa.2007.01.010,https://w3id.org/oc/meta/br/0650573455,author_title
b2,Absolute metabolite concentrations and implied enzyme active site occupancy in Escherichia coli,Absolute Metabolite Concentrations And Implied Enzyme Active Site Occupancy In Escherichia Coli,70,10.1038/nchembio.186,https://w3id.org/oc/meta/br/06602139225,author_title
b3,Overlapping riboflavin supply pathways in bacteria,Overlapping Riboflavin Supply Pathways In Bacteria,65,10.1080/1040841x.2016.1192578,https://w3id.org/oc/meta/br/0610582013,author_title
b4,Diversity of membrane transport proteins for vitamins in bacteria and archaea,Diversity Of Membrane Transport Proteins For Vitamins In Bacteria And Archaea,70,10.1016/j.bbagen.2014.05.006,https://w3id.org/oc/meta/br/0620804974,author_title
b6,Crystal structure of chicken riboflavin-binding protein,Crystal Structure Of Chicken Riboflavin-Binding Protein,70,10.1093/emboj/16.7.1475,https://w3id.org/oc/meta/br/06102257089,author_title
b7,Riboflavin-Binding proteins,Riboflavin-Binding Proteins,70,10.1146/annurev.nu.08.070188.001431,https://w3id.org/oc/meta/br/06703490483,author_title
b9,Flavin Storage and Sequestration by Mycobacterium tuberculosis Dodecin,Flavin Storage And Sequestration By Mycobacterium Tuberculosis Dodecin,70,10.1021/acsinfecdis.7b00237,https://w3id.org/oc/meta/br/06210457338,author_title
b10,Structural and biophysical characterization of Mycobacterium tuberculosis dodecin Rv1498A,Structural And Biophysical Characterization Of Mycobacterium Tuberculosis Dodecin Rv1498A,70,10.1016/j.jsb.2011.04.013,https://w3id.org/oc/meta/br/06301045669,author_title
b11,Chemical engineering of Mycobacterium tuberculosis dodecin hybrids,Chemical Engineering Of Mycobacterium Tuberculosis Dodecin Hybrids,70,10.1039/c1cc12929e,https://w3id.org/oc/meta/br/061503084724,author_title
b14,Ultrafast excited-state deactivation of flavins bound to dodecin,Ultrafast Excited-state Deactivation Of Flavins Bound To Dodecin,70,10.1074/jbc.m111.331652,https://w3id.org/oc/meta/br/0618087374,author_title
b15,"The dodecin from Thermus thermophilus, a bifunctional cofactor storage protein","The Dodecin From Thermus Thermophilus, A Bifunctional Cofactor Storage Protein",70,10.1074/jbc.m704951200,https://w3id.org/oc/meta/br/0613084693,author_title
b16,"Crystal structure of calcium dodecin (Rv0379), from Mycobacterium tuberculosis with a unique calcium-binding site","Crystal Structure Of Calcium Dodecin (Rv0379), From Mycobacterium Tuberculosis With A Unique Calcium-Binding Site",70,10.1002/pro.607,https://w3id.org/oc/meta/br/06150993853,author_title
b17,"Taxonomic analyses of members of the Streptomyces cinnabarinus cluster, description of Streptomyces cinnabarigriseus sp. nov. and Streptomyces davaonensis sp. nov","Taxonomic Analyses Of Members Of The Streptomyces Cinnabarinus Cluster, Description Of Streptomyces Cinnabarigriseus Sp. Nov. And Streptomyces Davaonensis Sp. Nov.",70,10.1099/ijsem.0.002519,https://w3id.org/oc/meta/br/061503145808,author_title
b19,Flavoproteins are potential targets for the antibiotic roseoflavin in Escherichia coli,Flavoproteins Are Potential Targets For The Antibiotic Roseoflavin In Escherichia Coli,70,10.1128/jb.00646-13,https://w3id.org/oc/meta/br/068083845,author_title
b23,Characterization of the small flavin-binding dodecin in the roseoflavin producer Streptomyces davawensis,Characterization Of The Small Flavin-Binding Dodecin In The Roseoflavin Producer Streptomyces Davawensis,70,10.1099/mic.0.000662,https://w3id.org/oc/meta/br/06210585250,author_title
b24,The internal pH of the forespore compartment of Bacillus megaterium decreases by about 1 pH unit during sporulation,The Internal pH Of The Forespore Compartment Of Bacillus Megaterium Decreases By About 1 pH Unit During Sporulation,70,10.1128/jb.176.8.2252-2258.1994,https://w3id.org/oc/meta/br/0626093036,author_title
b26,Intracellular water volume and internal pH of Streptomyces antibioticus spores,Intracellular Water Volume And Internal pH Of Streptomyces Antibioticus Spores,70,10.1016/0378-1097(96)00229-7,https://w3id.org/oc/meta/br/06202616898,author_title
b27,Enhancing the sporulation of Streptomyces kasugaensis by culture optimization,Enhancing The Sporulation Of Streptomyces Kasugaensis By Culture Optimization,70,10.1007/s11814-009-0074-1,https://w3id.org/oc/meta/br/061801752837,author_title
b28,"Lysogeny at mid-twentieth century: P1, P2, and other experimental systems","Lysogeny At Mid-Twentieth Century: P1, P2, And Other Experimental Systems",70,10.1128/jb.186.3.595-600.2004,https://w3id.org/oc/meta/br/0618080194,author_title
b30,Genome sequence of the bacterium Streptomyces davawensis JCM 4913 and heterologous production of the unique antibiotic roseoflavin,Genome Sequence Of The Bacterium Streptomyces Davawensis JCM 4913 And Heterologous Production Of The Unique Antibiotic Roseoflavin,70,10.1128/jb.01592-12,https://w3id.org/oc/meta/br/069086128,author_title
