reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Phase III study of gefitinib or pemetrexed with carboplatin in EGFR-mutated advanced lung adenocarcinoma,Phase III Study Of Gefitinib Or Pemetrexed With Carboplatin In EGFR-mutated Advanced Lung Adenocarcinoma,70,10.1136/esmoopen-2017-000168,https://w3id.org/oc/meta/br/061202087544,author_title
b2,Afatinib versus erlotinib as second-line treatment of patients with advanced squamous cell carcinoma of the lung (LUX-Lung 8): an open-label randomised controlled phase 3 trial,Afatinib Versus Erlotinib As Second-Line Treatment Of Patients With Advanced Squamous Cell Carcinoma Of The Lung (LUX-Lung 8): An Open-Label Randomised Controlled Phase 3 Trial.,70,10.1016/s1470-2045(15)00006-6,https://w3id.org/oc/meta/br/061201026252,author_title
b3,"NCCN Guidelines Insights: Non–Small Cell Lung Cancer, Version 5.2018","NCCN Guidelines Insights: Non–Small Cell Lung Cancer, Version 5.2018",70,10.6004/jnccn.2018.0062,https://w3id.org/oc/meta/br/062101132340,author_title
b5,Phase III Study Comparing Cisplatin Plus Gemcitabine With Cisplatin Plus Pemetrexed in Chemotherapy-Naive Patients With Advanced-Stage Non–Small-Cell Lung Cancer,Phase III Study Comparing Cisplatin Plus Gemcitabine With Cisplatin Plus Pemetrexed In Chemotherapy-Naive Patients With Advanced-Stage Non–Small-Cell Lung Cancer,70,10.1200/jco.2007.15.0375,https://w3id.org/oc/meta/br/061702872305,author_title
b6,Pemetrexed for advanced stage nonsquamous non-small cell lung cancer: latest evidence about its extended use and outcomes,Pemetrexed For Advanced Stage Nonsquamous Non-Small Cell Lung Cancer: Latest Evidence About Its Extended Use And Outcomes,70,10.1177/1758834016644155,https://w3id.org/oc/meta/br/06250784683,author_title
b7,PARAMOUNT: Final Overall Survival Results of the Phase III Study of Maintenance Pemetrexed Versus Placebo Immediately After Induction Treatment With Pemetrexed Plus Cisplatin for Advanced Nonsquamous Non–Small-Cell Lung Cancer,PARAMOUNT: Final Overall Survival Results Of The Phase III Study Of Maintenance Pemetrexed Versus Placebo Immediately After Induction Treatment With Pemetrexed Plus Cisplatin For Advanced Nonsquamous Non–Small-Cell Lung Cancer,70,10.1200/jco.2012.47.1102,https://w3id.org/oc/meta/br/061102879103,author_title
b10,Cost-Effectiveness of Continuation Maintenance Pemetrexed After Cisplatin and Pemetrexed Chemotherapy for Advanced Nonsquamous Non–Small-Cell Lung Cancer: Estimates From the Perspective of the Chinese Health Care System,Cost-Effectiveness Of Continuation Maintenance Pemetrexed After Cisplatin And Pemetrexed Chemotherapy For Advanced Nonsquamous Non–Small-Cell Lung Cancer: Estimates From The Perspective Of The Chinese Health Care System,70,10.1016/j.clinthera.2012.12.013,https://w3id.org/oc/meta/br/06260993872,author_title
b11,Cost-Effectiveness of Maintenance Pemetrexed in Patients with Advanced Nonsquamous-Cell Lung Cancer from the Perspective of the Swiss Health Care System,Cost-Effectiveness Of Maintenance Pemetrexed In Patients With Advanced Nonsquamous-Cell Lung Cancer From The Perspective Of The Swiss Health Care System,70,10.5167/uzh-68697,https://w3id.org/oc/meta/br/06260644558,author_title
b12,Approval Summary: Erlotinib Maintenance Therapy of Advanced/Metastatic Non-Small Cell Lung Cancer (NSCLC),Approval Summary: Erlotinib Maintenance Therapy Of Advanced/Metastatic Non-Small Cell Lung Cancer (NSCLC),70,10.1634/theoncologist.2010-0257,https://w3id.org/oc/meta/br/06103056413,author_title
b14,Erlotinib in Previously Treated Non–Small-Cell Lung Cancer,Erlotinib In Previously Treated Non–Small-Cell Lung Cancer,70,10.1056/nejmoa050753,https://w3id.org/oc/meta/br/062102121476,author_title
b15,N/A,Statistical Analysis With Missing Data,50,10.2307/1533221,https://w3id.org/oc/meta/br/061502661891,author_title
b17,Maintenance erlotinib versus erlotinib at disease progression in patients with advanced non-small-cell lung cancer who have not progressed following platinum-based chemotherapy (IUNO study),Maintenance Erlotinib Versus Erlotinib At Disease Progression In Patients With Advanced Non-Small-Cell Lung Cancer Who Have Not Progressed Following Platinum-Based Chemotherapy (IUNO Study),70,10.1016/j.lungcan.2016.10.007,https://w3id.org/oc/meta/br/0620893486,author_title
b19,Erlotinib in African Americans With Advanced Non–Small Cell Lung Cancer: A Prospective Randomized Study With Genetic and Pharmacokinetic Analyses,Erlotinib In African Americans With Advanced Non–Small Cell Lung Cancer: A Prospective Randomized Study With Genetic And Pharmacokinetic Analyses,70,10.1038/clpt.2014.93,https://w3id.org/oc/meta/br/061301134683,author_title
b20,Population Pharmacokinetics/Pharmacodynamics of Erlotinib and Pharmacogenomic Analysis of Plasma and Cerebrospinal Fluid Drug Concentrations in Japanese Patients with Non-Small Cell Lung Cancer,Population Pharmacokinetics/Pharmacodynamics Of Erlotinib And Pharmacogenomic Analysis Of Plasma And Cerebrospinal Fluid Drug Concentrations In Japanese Patients With Non-Small Cell Lung Cancer,70,10.1007/s40262-013-0058-5,https://w3id.org/oc/meta/br/061902450646,author_title
b22,Nivolumab versus Docetaxel in Advanced Squamous-Cell Non–Small-Cell Lung Cancer,Nivolumab Versus Docetaxel In Advanced Squamous-Cell Non–Small-Cell Lung Cancer,70,10.1056/nejmoa1504627,https://w3id.org/oc/meta/br/061202120839,author_title
b23,Nivolumab versus Docetaxel in Advanced Nonsquamous Non–Small-Cell Lung Cancer,Nivolumab Versus Docetaxel In Advanced Nonsquamous Non–Small-Cell Lung Cancer,70,10.1056/nejmoa1507643,https://w3id.org/oc/meta/br/061202120511,author_title
b24,"Pembrolizumab versus docetaxel for previously treated, PD-L1-positive, advanced non-small-cell lung cancer (KEYNOTE-010): a randomised controlled trial","Pembrolizumab Versus Docetaxel For Previously Treated, PD-L1-positive, Advanced Non-Small-Cell Lung Cancer (KEYNOTE-010): A Randomised Controlled Trial",70,10.1016/s0140-6736(15)01281-7,https://w3id.org/oc/meta/br/065101482,author_title
b26,ESMO-Magnitude of Clinical Benefit Scale version 1.1,ESMO-Magnitude Of Clinical Benefit Scale Version 1.1,70,10.1093/annonc/mdx310,https://w3id.org/oc/meta/br/062303335192,author_title
