reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b4,MAPK recruitment by beta-amyloid in organotypic hippocampal slice cultures depends on physical state and exposure time,MAPK Recruitment By Beta-Amyloid In Organotypic Hippocampal Slice Cultures Depends On Physical State And Exposure Time,70,10.1111/j.1471-4159.2004.02722.x,https://w3id.org/oc/meta/br/062501365122,author_title
b9,"Evaluation of the efficacy and safety of pamapimod, a p38 MAP kinase inhibitor, in a double-blind, methotrexate-controlled study of patients with active rheumatoid arthritis","Evaluation Of The Efficacy And Safety Of Pamapimod, A P38 MAP Kinase Inhibitor, In A Double-Blind, Methotrexate-Controlled Study Of Patients With Active Rheumatoid Arthritis",70,10.1002/art.24266,https://w3id.org/oc/meta/br/06103535231,author_title
b14,Regulatory T cells delay disease progression in Alzheimer-like pathology,Regulatory T Cells Delay Disease Progression In Alzheimer-like Pathology,70,10.1093/brain/awv408,https://w3id.org/oc/meta/br/061601876071,author_title
b16,"Maresin biosynthesis and identification of maresin 2, a new anti-inflammatory and pro-resolving mediator from human macrophages","Maresin Biosynthesis And Identification Of Maresin 2, A New Anti-Inflammatory And Pro-Resolving Mediator From Human Macrophages",70,10.1371/journal.pone.0102362,https://w3id.org/oc/meta/br/061801517472,author_title
b18,Restoration of lipoxin A4 signaling reduces Alzheimer's disease-like pathology in the 3xTg-AD mouse model,Restoration Of Lipoxin A4 Signaling Reduces Alzheimer's Disease-Like Pathology In The 3xTg-AD Mouse Model,65,10.3233/jad-141335,https://w3id.org/oc/meta/br/06230428595,author_title
b19,An imbalance between specialized pro-resolving lipid mediators and pro-inflammatory leukotrienes promotes instability of atherosclerotic plaques,An Imbalance Between Specialized Pro-Resolving Lipid Mediators And Pro-Inflammatory Leukotrienes Promotes Instability Of Atherosclerotic Plaques,70,10.1038/ncomms12859,https://w3id.org/oc/meta/br/061901314397,author_title
b20,Female-specific downregulation of tissue polymorphonuclear neutrophils drives impaired regulatory T cell and amplified effector T cell responses in autoimmune dry eye disease,Female-Specific Downregulation Of Tissue Polymorphonuclear Neutrophils Drives Impaired Regulatory T Cell And Amplified Effector T Cell Responses In Autoimmune Dry Eye Disease,70,10.4049/jimmunol.1500610,https://w3id.org/oc/meta/br/06703144399,author_title
b21,Role of interleukin-10 in acute brain injuries,Role Of Interleukin-10 In Acute Brain Injuries,70,10.3389/fneur.2017.00244,https://w3id.org/oc/meta/br/06220285752,author_title
b23,Resolvin D1 reduces infarct size through a phosphoinositide 3-kinase/protein kinase b mechanism,Resolvin D1 Reduces Infarct Size Through A Phosphoinositide 3-Kinase/Protein Kinase B Mechanism,70,10.1097/fjc.0000000000000245,https://w3id.org/oc/meta/br/06250559987,author_title
b25,Brain interleukin 1 and S-100 immunoreactivity are elevated in down syndrome and Alzheimer disease,Brain Interleukin 1 And S-100 Immunoreactivity Are Elevated In Down Syndrome And Alzheimer Disease.,70,10.1073/pnas.86.19.7611,https://w3id.org/oc/meta/br/06603475567,author_title
