reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b2,An observational study of older patients’ participation in hospital admission and discharge – exploring patient and next of kin perspectives,An Observational Study Of Older Patients’ Participation In Hospital Admission And Discharge – Exploring Patient And Next Of Kin Perspectives,70,10.1111/jocn.12773,https://w3id.org/oc/meta/br/0660997271,author_title
b3,Dignity and existential concerns among nursing homes residents from the perspective of their relatives,Dignity And Existential Concerns Among Nursing Homes Residents From The Perspective Of Their Relatives,70,10.5430/cns.v2n3p22,https://w3id.org/oc/meta/br/06802354189,author_title
b7,N/A,The Courage To Be,50,10.12987/9780300170023,https://w3id.org/oc/meta/br/06801610216,author_title
b11,"Existential loneliness: a review of the concept, its psychosocial precipitants and psychotherapeutic implications for HIV-infected women","Existential Loneliness: A Review Of The Concept, Its Psychosocial Precipitants And Psychotherapeutic Implications For HIV-infected Women",70,10.1348/000711201161082,https://w3id.org/oc/meta/br/06120252294,author_title
b12,Existential loneliness and end-of-life care: a systematic review,Existential Loneliness And End-Of-Life Care: A Systematic Review,70,10.1007/s11017-010-9141-1,https://w3id.org/oc/meta/br/06402226283,author_title
b13,Existential loneliness in a palliative home care setting,Existential Loneliness In A Palliative Home Care Setting,70,10.1089/jpm.2006.9.1376,https://w3id.org/oc/meta/br/061901209095,author_title
b18,Meanings of existential uncertainty and certainty for people diagnosed with cancer and receiving palliative treatment: a life-world phenomenological study,Meanings Of Existential Uncertainty And Certainty For People Diagnosed With Cancer And Receiving Palliative Treatment: A Life-World Phenomenological Study,70,10.1186/1472-684x-13-28,https://w3id.org/oc/meta/br/06902780591,author_title
b19,Addressing moral distress in critical care nurses: a pilot study,Addressing Moral Distress In Critical Care Nurses: A Pilot Study,70,10.23937/2474-3674/1510015,https://w3id.org/oc/meta/br/06602431384,author_title
b23,Proxy rated quality of life of care home residents with dementia: a systematic review,Proxy Rated Quality Of Life Of Care Home Residents With Dementia: A Systematic Review,70,10.1017/s1041610216002167,https://w3id.org/oc/meta/br/06120933569,author_title
b36,Strategies for ensuring trustworthiness in qualitative research projects,Strategies For Ensuring Trustworthiness In Qualitative Research Projects,70,10.3233/efi-2004-22201,https://w3id.org/oc/meta/br/06240149018,author_title
