reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Homopolysaccharides from lactic acid bacteria,Homopolysaccharides From Lactic Acid Bacteria,70,10.1016/s0958-6946(01)00113-3,https://w3id.org/oc/meta/br/06120384846,author_title
b1,"Dextran molecular size and degree of branching as a function of sucrose concentration, pH, and temperature of reaction of Leuconostoc mesenteroides B-512FMCM dextransucrase","Dextran Molecular Size And Degree Of Branching As A Function Of Sucrose Concentration, pH, And Temperature Of Reaction Of Leuconostoc Mesenteroides B-512FMCM Dextransucrase.",70,10.1016/s0008-6215(03)00148-4,https://w3id.org/oc/meta/br/06150532399,author_title
b2,Ultrasonic degradation of aqueous dextran: Effect of initial molecular weight and concentration,Ultrasonic Degradation Of Aqueous Dextran: Effect Of Initial Molecular Weight And Concentration,70,10.1016/j.carbpol.2012.05.064,https://w3id.org/oc/meta/br/06110166837,author_title
b3,Controlling the oral biofilm with antimicrobials,Controlling The Oral Biofilm With Antimicrobials.,70,10.1016/s0300-5712(10)70005-1,https://w3id.org/oc/meta/br/06210698048,author_title
b4,Enzymatic removal and disinfection of bacterial biofilms,Enzymatic Removal And Disinfection Of Bacterial Biofilms,70,10.1128/aem.63.9.3724-3728.1997,https://w3id.org/oc/meta/br/06120263968,author_title
b5,Characterisation of polysaccharides synthesised by Gluconobacter oxydans NCIMB 4943,Characterisation Of Polysaccharides Synthesised By Gluconobacter Oxydans NCIMB 4943,70,10.1016/s0144-8617(00)00262-9,https://w3id.org/oc/meta/br/06230167272,author_title
b6,Regulated insulin release from biodegradable dextran hydrogels containing poly(ethylene glycol),Regulated Insulin Release From Biodegradable Dextran Hydrogels Containing Poly(Ethylene Glycol),70,10.1016/0168-3659(96)01456-3,https://w3id.org/oc/meta/br/06403291948,author_title
b8,Specific method for quantitative measurement of the total dextran content of raw sugar,Specific Method For Quantitative Measurement Of The Total Dextran Content Of Raw Sugar,70,10.1021/jf00014a012,https://w3id.org/oc/meta/br/0650950306,author_title
b10,Regional Specificity of Chlorhexidine Effects on Taste Perception,Regional Specificity Of Chlorhexidine Effects On Taste Perception,70,10.1093/chemse/bjm095,https://w3id.org/oc/meta/br/062103116122,author_title
b11,Microbial Dextran-Hydrolyzing Enzymes: Fundamentals and Applications,Microbial Dextran-Hydrolyzing Enzymes: Fundamentals And Applications,70,10.1128/mmbr.69.2.306-325.2005,https://w3id.org/oc/meta/br/061602788053,author_title
b12,Modified Substrates and Modified Products as Inducers of Carbohydrases,Modified Substrates And Modified Products As Inducers Of Carbohydrases,65,10.1128/jb.100.3.1151-1154.1969,https://w3id.org/oc/meta/br/066078824,author_title
b13,Stimulation of dextranase production by oxidized dextran,Stimulation Of Dextranase Production By Oxidized Dextran,70,10.1139/m70-141,https://w3id.org/oc/meta/br/06901619811,author_title
b14,Isomaltooligosaccharide increases cecal Bifidobacterium population in young broiler chickens,Isomaltooligosaccharide Increases Cecal Bifidobacterium Population In Young Broiler Chickens,70,10.1093/ps/84.7.998,https://w3id.org/oc/meta/br/06220803744,author_title
b15,Application of dextranases in sugarcane factory: Overcoming practical problems,Application Of Dextranases In Sugarcane Factory: Overcoming Practical Problems,70,10.1007/s12355-009-0020-x,https://w3id.org/oc/meta/br/06701424952,author_title
b16,Successful application of dextranase in sugar beet factories,Successful Application Of Dextranase In Sugar Beet Factories,70,10.5274/assbt.2011.59,https://w3id.org/oc/meta/br/062202973161,author_title
b17,Immobilization of dextranase from Chaetomium erraticum,Immobilization Of Dextranase From Chaetomium Erraticum,70,10.1016/j.jbiotec.2007.07.946,https://w3id.org/oc/meta/br/06110788177,author_title
b18,"Diphenylamine–Aniline–Phosphoric Acid Reagent, a Versatile Spray Reagent for Revealing Glycoconjugates on Thin-Layer Chromatography Plates","Diphenylamine–Aniline–Phosphoric Acid Reagent, A Versatile Spray Reagent For Revealing Glycoconjugates On Thin-Layer Chromatography Plates",70,10.1006/abio.2000.4829,https://w3id.org/oc/meta/br/06230983733,author_title
b20,Biosynthesis of oligodextrans with different Mw by synergistic catalysis of dextransucrase and dextranase,Biosynthesis Of Oligodextrans With Different Mw By Synergistic Catalysis Of Dextransucrase And Dextranase,70,10.1016/j.carbpol.2014.06.018,https://w3id.org/oc/meta/br/0680164304,author_title
b21,Expression and secretion of an Arthrobacter dextranase in the oral bacterium Streptococcus gordonii,Expression And Secretion Of An Arthrobacter Dextranase In The Oral Bacterium Streptococcus Gordonii,70,10.1128/iai.61.10.4375-4381.1993,https://w3id.org/oc/meta/br/0670230673,author_title
