reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b3,Compact diode-pumped 11 kW Yb:YAG Innoslab femtosecond amplifier,Compact Diode-Pumped 11 kW Yb:YAG Innoslab Femtosecond Amplifier,70,10.1364/ol.35.004169,https://w3id.org/oc/meta/br/061301136456,author_title
b5,Second Generation Thin-Disk Multipass Amplifier Delivering Picosecond Pulses with 2 kW of Average Output Power,Second Generation Thin-Disk Multipass Amplifier Delivering Picosecond Pulses With 2 kW Of Average Output Power,70,10.1364/assl.2016.atu4a.5,https://w3id.org/oc/meta/br/06202900157,author_title
b6,Scalable concept for diode-pumped high-power solid-state lasers,Scalable Concept For Diode-Pumped High-Power Solid-State Lasers,70,10.1007/bf01081875,https://w3id.org/oc/meta/br/061401997698,author_title
b7,"1 kW, 200 mJ picosecond thin-disk laser system","1 kW, 200 mJ Picosecond Thin-Disk Laser System",70,10.1364/ol.42.001381,https://w3id.org/oc/meta/br/06201144489,author_title
b10,Compact extreme ultraviolet source at megahertz pulse repetition rate with a low-noise ultrafast thin-disk laser oscillator,Compact Extreme Ultraviolet Source At Megahertz Pulse Repetition Rate With A Low-Noise Ultrafast Thin-Disk Laser Oscillator,70,10.1364/optica.2.000980,https://w3id.org/oc/meta/br/06220847661,author_title
b12,Extreme ultraviolet light source at a megahertz repetition rate based on high-harmonic generation inside a mode-locked thin-disk laser oscillator,Extreme Ultraviolet Light Source At A Megahertz Repetition Rate Based On High-Harmonic Generation Inside A Mode-Locked Thin-Disk Laser Oscillator,70,10.1364/ol.42.005170,https://w3id.org/oc/meta/br/06101153544,author_title
b13,Nonlinear pulse compression in a multi-pass cell,Nonlinear Pulse Compression In A Multi-Pass Cell,70,10.1364/ol.41.004511,https://w3id.org/oc/meta/br/06301141227,author_title
b16,Powerful red-green-blue laser source pumped with a mode-locked thin disk laser,Powerful Red-Green-Blue Laser Source Pumped With A Mode-Locked Thin Disk Laser,70,10.1364/ol.29.001921,https://w3id.org/oc/meta/br/06701136528,author_title
b17,Pulse energy scaling to 5 μJ from a femtosecond thin disk laser,Pulse Energy Scaling To 5 μJ From A Femtosecond Thin Disk Laser,70,10.1364/ol.31.002728,https://w3id.org/oc/meta/br/06501152857,author_title
b18,Mode-locked Yb:YAG thin-disk oscillator with 41 µJ pulse energy at 145 W average infrared power and high power frequency conversion,Mode-locked Yb:YAG Thin-Disk Oscillator With 41 µJ Pulse Energy At 145 W Average Infrared Power And High Power Frequency Conversion,70,10.1364/oe.20.009698,https://w3id.org/oc/meta/br/062303130454,author_title
b21,High-power 200 fs Kerr-lens mode-locked Yb:YAG thin-disk oscillator,High-power 200 Fs Kerr-lens Mode-Locked Yb:YAG Thin-Disk Oscillator,70,10.1364/ol.36.004746,https://w3id.org/oc/meta/br/061101141677,author_title
b22,Energy scaling of Kerr-lens mode-locked thin-disk oscillators,Energy Scaling Of Kerr-lens Mode-Locked Thin-Disk Oscillators,70,10.1364/ol.39.006442,https://w3id.org/oc/meta/br/06501151950,author_title
b23,Kerr-lens mode-locked thin-disk oscillator with 50% output coupling rate,Kerr-lens Mode-Locked Thin-Disk Oscillator With 50% Output Coupling Rate,70,10.1364/ol.44.004227,https://w3id.org/oc/meta/br/062401113029,author_title
b24,Multielement stable resonators containing a variable lens,Multielement Stable Resonators Containing A Variable Lens,70,10.1364/josaa.4.001962,https://w3id.org/oc/meta/br/061902419762,author_title
b25,Recent development of disk lasers at TRUMPF,Recent Development Of Disk Lasers At TRUMPF,70,10.1117/12.2212789,https://w3id.org/oc/meta/br/062102498192,author_title
b26,Self-phase modulation cancellation in a high-power ultrafast thin-disk laser oscillator,Self-phase Modulation Cancellation In A High-Power Ultrafast Thin-Disk Laser Oscillator,70,10.1364/optica.5.001603,https://w3id.org/oc/meta/br/06140846538,author_title
b27,Soliton mode-locking with saturable absorbers,Soliton Mode-Locking With Saturable Absorbers,70,10.1109/2944.571754,https://w3id.org/oc/meta/br/06250184200,author_title
b28,Optimized SESAMs for kilowatt-level ultrafast lasers,Optimized SESAMs For Kilowatt-Level Ultrafast Lasers,70,10.1364/oe.24.010512,https://w3id.org/oc/meta/br/06803538980,author_title
b29,Gas-lens effect in kW-class thin-disk lasers,Gas-lens Effect In kW-class Thin-Disk Lasers,70,10.1364/oe.26.012648,https://w3id.org/oc/meta/br/06203550841,author_title
b31,High precision optical characterization of semiconductor saturable absorber mirrors,High Precision Optical Characterization Of Semiconductor Saturable Absorber Mirrors (SESAMs),70,10.1109/cleo.2008.4551467,https://w3id.org/oc/meta/br/061103246329,author_title
b32,Theory of Kerr-lens mode locking: role of self-focusing and radially varying gain,Theory Of Kerr-lens Mode Locking: Role Of Self-Focusing And Radially Varying Gain,70,10.1364/josab.11.000498,https://w3id.org/oc/meta/br/06601217984,author_title
b34,Deformable mirrors for intra-cavity use in high-power thin-disk lasers,Deformable Mirrors For Intra-Cavity Use In High-Power Thin-Disk Lasers,70,10.1364/oe.25.004254,https://w3id.org/oc/meta/br/06603544664,author_title
