reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b2,N/A,Multiple Regression: Testing And Interpreting Interactions.,50,10.2307/2583960,https://w3id.org/oc/meta/br/062302170298,author_title
b7,Domains and facets: Hierarchical personality assessment using the revised NEO personality inventory,Domains And Facets: Hierarchical Personality Assessment Using The Revised NEO Personality Inventory,70,10.1207/s15327752jpa6401_2,https://w3id.org/oc/meta/br/06130907873,author_title
b9,"Effortful control, social competence, and adjustment problems in children at risk for psychopathology","Effortful Control, Social Competence, And Adjustment Problems In Children At Risk For Psychopathology",70,10.1080/15374410701448513,https://w3id.org/oc/meta/br/06110779064,author_title
b11,Are effortful and reactive control unique constructs in young children?,Are Effortful And Reactive Control Unique Constructs In Young Children?,70,10.1037/a0031745,https://w3id.org/oc/meta/br/0680857324,author_title
b12,The relations of regulation and emotionality to problem behavior in elementary school children,The Relations Of Regulation And Emotionality To Problem Behavior In Elementary School Children,70,10.1017/s095457940000701x,https://w3id.org/oc/meta/br/0637069502,author_title
b13,Dispositional emotionality and regulation: Their role in predicting quality of social functioning,Dispositional Emotionality And Regulation: Their Role In Predicting Quality Of Social Functioning.,70,10.1037/0022-3514.78.1.136,https://w3id.org/oc/meta/br/0637039075,author_title
b14,"Regulation, resiliency, and quality of social functioning","Regulation, Resiliency, And Quality Of Social Functioning",70,10.1080/152988602317319294,https://w3id.org/oc/meta/br/06180298199,author_title
b22,Differential risks of covarying and pure components in mother and teacher reports of externalizing and internalizing behavior across ages 5 to 14,Differential Risks Of Covarying And Pure Components In Mother And Teacher Reports Of Externalizing And Internalizing Behavior Across Ages 5 To 14.,70,10.1023/a:1023277413027,https://w3id.org/oc/meta/br/062067442,author_title
b23,"Effortful control in early childhood: Continuity and change, antecedents, and implications for social development","Effortful Control In Early Childhood: Continuity And Change, Antecedents, And Implications For Social Development.",70,10.1037/0012-1649.36.2.220,https://w3id.org/oc/meta/br/06120842558,author_title
b28,Temperament and personality: Origins and outcomes,Temperament And Personality: Origins And Outcomes.,70,10.1037/0022-3514.78.1.122,https://w3id.org/oc/meta/br/0637039213,author_title
b30,Temperament,Measurement Of Fine-Grained Aspects Of Toddler Temperament: The Early Childhood Behavior Questionnaire,70,10.1016/j.infbeh.2006.01.004,https://w3id.org/oc/meta/br/06150915616,author_title
b31,"Executive attention and effortful control: Linking temperament, brain networks, and genes","Executive Attention And Effortful Control: Linking Temperament, Brain Networks, And Genes",70,10.1111/j.1750-8606.2007.00002.x,https://w3id.org/oc/meta/br/06260922170,author_title
b32,The genetics and evolution of the general factor of personality,The Genetics And Evolution Of The General Factor Of Personality,70,10.1016/j.jrp.2008.03.002,https://w3id.org/oc/meta/br/062203309216,author_title
b37,Emergence of gender differences in depression during adolescence: National panel results from three countries,Emergence Of Gender Differences In Depression During Adolescence: National Panel Results From Three Countries,70,10.1097/00004583-200202000-00013,https://w3id.org/oc/meta/br/0651039279,author_title
b38,Fixing our focus: Training attention to regulate emotion,Fixing Our Focus: Training Attention To Regulate Emotion,65,10.1177/1088868310365565,https://w3id.org/oc/meta/br/062201019352,author_title
b41,The five factor model and impulsivity: Using a structural model of personality to understand impulsivity,The Five Factor Model And Impulsivity: Using A Structural Model Of Personality To Understand Impulsivity,70,10.1016/s0191-8869(00)00064-7,https://w3id.org/oc/meta/br/061701897975,author_title
b42,US socioeconomic and racial differences in health: Patterns and explanations,US Socioeconomic And Racial Differences In Health: Patterns And Explanations,70,10.1146/annurev.so.21.080195.002025,https://w3id.org/oc/meta/br/062601633218,author_title
