reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b2,N/A,The Afrocentric Idea,50,10.1215/10439455-4.2.47,https://w3id.org/oc/meta/br/06902783552,author_title
b3,An African-centered approach to domestic violence,An African-Centered Approach To Domestic Violence,70,10.1606/1044-3894.2455,https://w3id.org/oc/meta/br/0630829731,author_title
b4,Could a common biochemical mechanism underlie addictions?,Could A Common Biochemical Mechanism Underlie Addictions?,70,10.1046/j.1365-2710.2000.00260.x,https://w3id.org/oc/meta/br/0680867855,author_title
b9,Neurogenetic adaptive mechanisms in alcoholism,Neurogenetic Adaptive Mechanisms In Alcoholism,70,10.1126/science.2882604,https://w3id.org/oc/meta/br/06150487614,author_title
b10,The myth of cross-cultural competence,The Myth Of Cross-Cultural Competence,70,10.1606/1044-3894.151,https://w3id.org/oc/meta/br/0630829976,author_title
b13,Africentric youth and family rites of passage program: Promoting resilience among at-risk African American youths,Africentric Youth And Family Rites Of Passage Program: Promoting Resilience Among At-Risk African American Youths,50,10.1093/sw/49.1.65,https://w3id.org/oc/meta/br/061101863665,author_title
b16,Family-strengthening approaches for the prevention of youth problem behaviors,Family-strengthening Approaches For The Prevention Of Youth Problem Behaviors.,70,10.1037/0003-066x.58.6-7.457,https://w3id.org/oc/meta/br/061901430963,author_title
b21,Afrocentricity and African spirituality,Afrocentricity And African Spirituality,70,10.1177/002193402237226,https://w3id.org/oc/meta/br/062301641963,author_title
b27,Substance Use Among Rural African American Adolescents: Identifying Risk and Protective Factors,Substance Use Among Rural African American Adolescents: Identifying Risk And Protective Factors,65,10.1007/s10560-012-0280-2,https://w3id.org/oc/meta/br/062403009498,author_title
b32,N/A,Voodoo Or IQ: An Introduction To African Psychology,50,10.1177/009579847500100202,https://w3id.org/oc/meta/br/06601192454,author_title
b34,Extended self: Rethinking the so-called Negro self-concept,Extended Self: Rethinking The So-Called Negro Self-Concept,50,10.1177/009579847600200205,https://w3id.org/oc/meta/br/06601192450,author_title
b36,Cultural sensitivity in substance use prevention,Cultural Sensitivity In Substance Use Prevention,70,10.1002/(sici)1520-6629(200005)28:3<271::aid-jcop4>3.0.co;2-i,https://w3id.org/oc/meta/br/06503165337,author_title
b38,N/A,Human Services And The Afrocentric Paradigm,50,10.4324/9781315043500,https://w3id.org/oc/meta/br/06103073845,author_title
b40,Screening and assessing adolescent substance abuse: A primer for counselors,Screening And Assessing Adolescent Substance Abuse: A Primer For Counselors,70,10.1002/j.2161-1874.2003.tb00179.x,https://w3id.org/oc/meta/br/061702194265,author_title
b43,Young African American Males in Reentry: An Afrocentric Cultural Approach,Young African American Males In Reentry: An Afrocentric Cultural Approach,70,10.1080/10911359.2014.922801,https://w3id.org/oc/meta/br/06501709724,author_title
b46,Afrocentric approaches to working with African American families,Afrocentric Approaches To Working With African American Families,70,10.1606/1044-3894.326,https://w3id.org/oc/meta/br/0620826961,author_title
b47,Etiology of adolescent substance abuse: a developmental perspective,Etiology Of Adolescent Substance Abuse: A Developmental Perspective,70,10.1080/10550490290087965,https://w3id.org/oc/meta/br/06250500129,author_title
b51,Theories of addiction,Developing General Models And Theories Of Addiction,50,10.4324/9781315689197-14,https://w3id.org/oc/meta/br/06202252206,author_title
