reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,Deep mycotic infections in cats,Deep Mycotic Infections In Cats,70,10.5326/15473317-32-5-380,https://w3id.org/oc/meta/br/062201318789,author_title
b2,Histoplasmosis in Dogs and Cats,Histoplasmosis In Dogs And Cats,70,10.1053/j.ctsap.2005.07.003,https://w3id.org/oc/meta/br/0650835758,author_title
b4,Histoplasma capsulatum Osteomyelitis in the Cat,Histoplasma Capsulatum Osteomyelitis In The Cat,70,10.1111/j.1939-1676.1987.tb02008.x,https://w3id.org/oc/meta/br/06230594398,author_title
b5,Antigen Concentrations as an Indicator of Clinical Remission and Disease Relapse in Cats with Histoplasmosis,Antigen Concentrations As An Indicator Of Clinical Remission And Disease Relapse In Cats With Histoplasmosis,70,10.1111/jvim.13962,https://w3id.org/oc/meta/br/06190593896,author_title
b6,Candidate prognostic indicators in cats with histoplasmosis treated with antifungal therapy,Candidate Prognostic Indicators In Cats With Histoplasmosis Treated With Antifungal Therapy,65,10.1177/1098612x17746523,https://w3id.org/oc/meta/br/06501689579,author_title
b10,Disseminated histoplasmosis with osseous lesions in a cat with feline lymphosarcoma,Disseminated Histoplasmosis With Osseous Lesions In A Cat With Feline Lymphosarcoma,70,10.1111/j.1740-8261.1986.tb00002.x,https://w3id.org/oc/meta/br/06302995857,author_title
b13,Articular presentation of disseminated histoplasmosis,Articular Presentation Of Disseminated Histoplasmosis,65,10.1007/s10067-006-0331-1,https://w3id.org/oc/meta/br/061401846073,author_title
b14,Gonarthritis as only manifestation of chronic disseminated histoplasmosis,Gonarthritis As Only Manifestation Of Chronic Disseminated Histoplasmosis,70,10.1007/bf02030251,https://w3id.org/oc/meta/br/061601870646,author_title
b16,Selected infectious agent,Selected Infectious Agents,50,10.1016/b978-0-323-53314-0.00003-1,https://w3id.org/oc/meta/br/06902318427,author_title
b18,Sensitivity and specificity of Histoplasma antigen detection by enzyme immunoassay,Sensitivity And Specificity Of Histoplasma Antigen Detection By Enzyme Immunoassay,70,10.5326/jaaha-ms-6202,https://w3id.org/oc/meta/br/062101317885,author_title
