reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Advances in the identification of adulterated vegetable oils,Advances In The Identification Of Adulterated Vegetable Oils,70,10.1016/b978-0-08-100220-9.00019-9,https://w3id.org/oc/meta/br/062302486298,author_title
b3,Characterization of sterolic and alcoholic fractions of some Algerian olive oils according to the variety and ripening stage,Characterization Of Sterolic And Alcoholic Fractions Of Some Algerian Olive Oils According To The Variety And Ripening Stage,70,10.1051/ocl/2017026,https://w3id.org/oc/meta/br/0650449446,author_title
b5,Characterization of glyceridic and unsaponifiable compounds of Sacha inchi (Plukenetia huayllabambana L.) oils,Characterization Of Glyceridic And Unsaponifiable Compounds Of Sacha Inchi (Plukenetia Huayllabambana L.) Oils,70,10.1021/jf5028697,https://w3id.org/oc/meta/br/06180931836,author_title
b6,Markers of quality and genuineness of commercial extra virgin Sacha inchi oils,Markers Of Quality And Genuineness Of Commercial Extra Virgin Sacha Inchi Oils,70,10.3989/gya.0457161,https://w3id.org/oc/meta/br/06101866980,author_title
b7,"Sacha inchi (Plukenetia volubilis): a seed source of polyunsaturated fatty acids, tocopherols, phytosterols, phenolic compounds and antioxidant capacity","Sacha Inchi (Plukenetia Volubilis): A Seed Source Of Polyunsaturated Fatty Acids, Tocopherols, Phytosterols, Phenolic Compounds And Antioxidant Capacity",70,10.1016/j.foodchem.2013.04.078,https://w3id.org/oc/meta/br/06403470673,author_title
b8,Comparison of the physico-chemical and phytochemical characteristics of the oil of two Plukenetia species,Comparison Of The Physico-Chemical And Phytochemical Characteristics Of The Oil Of Two Plukenetia Species,50,10.1016/j.foodchem.2014.10.120,https://w3id.org/oc/meta/br/06103478350,author_title
b10,Chemical characterization of Sacha inchi (Plukenetia volubilis L.) oil,Chemical Characterization Of Sacha Inchi (Plukenetia Volubilis L.) Oil,70,10.1021/jf203184y,https://w3id.org/oc/meta/br/06230932291,author_title
b13,N/A,Unsaponifiable Matter In Plant Seed Oils,70,10.1007/978-3-642-35710-7,https://w3id.org/oc/meta/br/0624053616,author_title
b18,Phytosterol content of sea buckthorn (Hippophae rhamnoides L.) seed oil: extraction and identification,Phytosterol Content Of Sea Buckthorn (Hippophae Rhamnoides L.) Seed Oil: Extraction And Identification,70,10.1016/j.foodchem.2006.04.033,https://w3id.org/oc/meta/br/061303039493,author_title
b23,"Characterization and authentication of a novel vegetable source of omega-3 fatty acids, Sacha inchi (Plukenetia volubilis L.) oil","Characterization And Authentication Of A Novel Vegetable Source Of Omega-3 Fatty Acids, Sacha Inchi (Plukenetia Volubilis L.) Oil",70,10.1016/j.foodchem.2012.02.143,https://w3id.org/oc/meta/br/06603464887,author_title
b28,An increase in the omega-6/omega-3 fatty acid ratio increases the risk for obesity,An Increase In The Omega-6/Omega-3 Fatty Acid Ratio Increases The Risk For Obesity,70,10.3390/nu8030128,https://w3id.org/oc/meta/br/06802617123,author_title
b30,Differentiation of refined and virgin edible oils by means of the trans- and cis-phytol isomer distribution,Differentiation Of Refined And Virgin Edible Oils By Means Of The Trans- And cis-Phytol Isomer Distribution,70,10.1021/jf301373k,https://w3id.org/oc/meta/br/06230931402,author_title
b32,Characterization and authentication of four important edible oils using free phytosterol profiles established by GC-GC-TOF/MS,Characterization And Authentication Of Four Important Edible Oils Using Free Phytosterol Profiles Established By GC-GC-TOF/MS,70,10.1039/c4ay01194e,https://w3id.org/oc/meta/br/062502769649,author_title
b33,Detection and identification of extra virgin olive oil adulteration by GC-MS combined with chemometrics,Detection And Identification Of Extra Virgin Olive Oil Adulteration By GC-MS Combined With Chemometrics,70,10.1021/jf4000538,https://w3id.org/oc/meta/br/06210930808,author_title
b34,A review of chemical composition and nutritional properties of minor vegetable oils in China,A Review Of Chemical Composition And Nutritional Properties Of Minor Vegetable Oils In China,70,10.1016/j.tifs.2018.01.013,https://w3id.org/oc/meta/br/06130190346,author_title
b35,Separation of Δ5- and Δ7-phytosterols by adsorption chromatography and semipreparative reversed phase high-performance liquid chromatography for quantitative analysis of phytosterols in foods,Separation Of Δ5- And Δ7-Phytosterols By Adsorption Chromatography And Semipreparative Reversed Phase High-Performance Liquid Chromatography For Quantitative Analysis Of Phytosterols In Foods,70,10.1021/jf052761x,https://w3id.org/oc/meta/br/0620942129,author_title
