reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Preparation and characterization of bone and tooth collagen for isotopic analysis,Preparation And Characterization Of Bone And Tooth Collagen For Isotopic Analysis,70,10.1016/0305-4403(90)90007-r,https://w3id.org/oc/meta/br/06302759410,author_title
b2,"Integrating isotopes and documentary evidence: dietary patterns in a late medieval and early modern mining community, Sweden","Integrating Isotopes And Documentary Evidence: Dietary Patterns In A Late Medieval And Early Modern Mining Community, Sweden",70,10.1007/s12520-017-0518-1,https://w3id.org/oc/meta/br/06170394772,author_title
b3,Interpreting the expansion of sea fishing in medieval Europe using stable isotope analysis of archaeological cod bones,Interpreting The Expansion Of Sea Fishing In Medieval Europe Using Stable Isotope Analysis Of Archaeological Cod Bones,70,10.1016/j.jas.2011.02.017,https://w3id.org/oc/meta/br/06102772145,author_title
b4,Organochlorine accumulation and stable isotope ratios in an Atlantic salmon (Salmo salar) population from the Baltic Sea,Organochlorine Accumulation And Stable Isotope Ratios In An Atlantic Salmon (Salmo Salar) Population From The Baltic Sea.,70,10.1016/s0048-9697(01)00842-7,https://w3id.org/oc/meta/br/06190987805,author_title
b7,"Domestication, Reindeer Husbandry and the Development of Sámi Pastoralism","Domestication, Reindeer Husbandry And The Development Of Sámi Pastoralism",70,10.1080/08003831.2013.847676,https://w3id.org/oc/meta/br/06901849388,author_title
b10,Improved Collagen Extraction by Modified Longin Method,Improved Collagen Extraction By Modified Longin Method,70,10.1017/s0033822200044118,https://w3id.org/oc/meta/br/061201153210,author_title
b12,Postmortem preservation and alteration of in vivo bone collagen isotope ratios in relation to palaeodietary reconstruction,Postmortem Preservation And Alteration Of In Vivo Bone Collagen Isotope Ratios In Relation To Palaeodietary Reconstruction,70,10.1038/317806a0,https://w3id.org/oc/meta/br/06210354227,author_title
b14,Consideration of Freshwater and Multiple Marine Reservoir Effects: Dating of Individuals with Mixed Diets from Northern Sweden,Consideration Of Freshwater And Multiple Marine Reservoir Effects: Dating Of Individuals With Mixed Diets From Northern Sweden,70,10.1017/rdc.2018.78,https://w3id.org/oc/meta/br/06801168080,author_title
b25,N/A,Dental Anthropology,70,10.1017/cbo9781139170697,https://w3id.org/oc/meta/br/06703177045,author_title
b27,Sulphur isotopes in our environment,Sulphur Isotopes In Our Environment,70,10.1016/b978-0-444-41780-0.50017-1,https://w3id.org/oc/meta/br/06301952415,author_title
b28,"Isotopic Evidence for Environmental Adaptation in Medieval Iin Hamina, Northern Finland","Isotopic Evidence For Environmental Adaptation In Medieval Iin Hamina, Northern Finland",70,10.1017/rdc.2017.52,https://w3id.org/oc/meta/br/06801168246,author_title
b30,"Hearths in the coastal areas of northernmost Sweden, from the period AD 800 to 1950","Hearths In The Coastal Areas Of Northernmost Sweden, From The Period AD 800 To 1950",70,10.7557/2.36.1.3767,https://w3id.org/oc/meta/br/06230149656,author_title
b38,"Radiocarbon dating of marine shells, including a discussion of apparent age of Recent shells from Norway","Radiocarbon Dating Of Marine Shells, Including A Discussion Of Apparent Age Of Recent Shells From Norway",50,10.1111/j.1502-3885.1972.tb00147.x,https://w3id.org/oc/meta/br/061901198868,author_title
