reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,The evolution of recombinant thrombolytics: current status and future directions,The Evolution Of Recombinant Thrombolytics: Current Status And Future Directions,65,10.1080/21655979.2016.1229718,https://w3id.org/oc/meta/br/06802798743,author_title
b3,Importance of continued activation of thrombin reflected by fibrinopeptide A to the efficacy of thrombolysis,Importance Of Continued Activation Of Thrombin Reflected By Fibrinopeptide A To The Efficacy Of Thrombolysis.,70,10.1016/s0735-1097(86)80144-9,https://w3id.org/oc/meta/br/061101753150,author_title
b4,Prognostic significance of fibrinopeptide a in survivors of cerebral infarction,Prognostic Significance Of Fibrinopeptide A In Survivors Of Cerebral Infarction.,70,10.1161/01.str.21.3.424,https://w3id.org/oc/meta/br/06220166543,author_title
b10,Subunit structure of thrombin-activated human factor VIIIa,Subunit Structure Of Thrombin-Activated Human Factor VIIIa,70,10.1016/0167-4838(88)90114-8,https://w3id.org/oc/meta/br/061601404185,author_title
b11,Factor XI activation in a revised model of blood coagulation,Factor XI Activation In A Revised Model Of Blood Coagulation,70,10.1126/science.1652157,https://w3id.org/oc/meta/br/06250483551,author_title
b14,Thrombin binds to soluble fibrin degradation products where it is protected from inhibition by heparin-antithrombin but susceptible to inactivation by antithrombin-independent inhibitors,Thrombin Binds To Soluble Fibrin Degradation Products Where It Is Protected From Inhibition By Heparin-Antithrombin But Susceptible To Inactivation By Antithrombin-Independent Inhibitors,70,10.1161/01.cir.97.6.544,https://w3id.org/oc/meta/br/061301126534,author_title
b15,Clot-bound thrombin is protected from inhibition by heparin-antithrombin III but is susceptible to inactivation by antithrombin III-independent inhibitors,Clot-bound Thrombin Is Protected From Inhibition By Heparin-Antithrombin III But Is Susceptible To Inactivation By Antithrombin III-independent Inhibitors.,70,10.1172/jci114723,https://w3id.org/oc/meta/br/06190620536,author_title
b16,Fibrin monomer protects thrombin from inactivation by heparin-antithrombin III: implications for heparin efficacy,Fibrin Monomer Protects Thrombin From Inactivation By Heparin-Antithrombin III: Implications For Heparin Efficacy.,70,10.1073/pnas.86.10.3619,https://w3id.org/oc/meta/br/062103048464,author_title
b17,Mechanisms of activation of mammalian plasma fibrinolytic systems with streptokinase and with recombinant staphylokinase,Mechanisms Of Activation Of Mammalian Plasma Fibrinolytic Systems With Streptokinase And With Recombinant Staphylokinase,70,10.1111/j.1432-1033.1993.tb18147.x,https://w3id.org/oc/meta/br/06401244227,author_title
b19,Thrombolytic properties of staphylokinase,Thrombolytic Properties Of Staphylokinase,70,10.1182/blood.v76.5.925.925,https://w3id.org/oc/meta/br/061901783516,author_title
b21,The regulation of natural anticoagulant pathways,The Regulation Of Natural Anticoagulant Pathways,70,10.1126/science.3029867,https://w3id.org/oc/meta/br/06230491711,author_title
