reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,The theory of planned behaviour,The Theory Of Planned Behaviour: Reactions And Reflections,50,10.1080/08870446.2011.613995,https://w3id.org/oc/meta/br/06230171190,author_title
b2,"Prediction of goal-directed behavior: Attitudes, intentions, and perceived behavioral control","Prediction Of Goal-Directed Behavior: Attitudes, Intentions, And Perceived Behavioral Control",70,10.1016/0022-1031(86)90045-4,https://w3id.org/oc/meta/br/062301168404,author_title
b3,The Social Influence of Brand Community: Evidence from European Car Clubs,The Social Influence Of Brand Community: Evidence From European Car Clubs,70,10.1509/jmkg.69.3.19.66363,https://w3id.org/oc/meta/br/061303309641,author_title
b5,On the evaluation of structural equation models,On The Evaluation Of Structural Equation Models,70,10.1007/bf02723327,https://w3id.org/oc/meta/br/061601202156,author_title
b6,A comparison of leading theories for the prediction of goal-directed behaviours,A Comparison Of Leading Theories For The Prediction Of Goal-Directed Behaviours,70,10.1111/j.2044-8309.1995.tb01076.x,https://w3id.org/oc/meta/br/061401178858,author_title
b7,Predicting adolescents’ use of social networking sites from an extended theory of planned behaviour perspective,Predicting Adolescents’ Use Of Social Networking Sites From An Extended Theory Of Planned Behaviour Perspective,70,10.1016/j.chb.2010.06.006,https://w3id.org/oc/meta/br/06170109042,author_title
b8,Self-efficacy mechanism in human agency,Self-efficacy Mechanism In Human Agency.,70,10.1037/0003-066x.37.2.122,https://w3id.org/oc/meta/br/06901449895,author_title
b10,Strategic self-presentation on Facebook: Personal motives and audience response to online behavior,Strategic Self-Presentation On Facebook: Personal Motives And Audience Response To Online Behavior,70,10.1016/j.chb.2015.10.033,https://w3id.org/oc/meta/br/06150110009,author_title
b11,Crowdfunding: Tapping the right crowd,Corrigendum To “Crowdfunding: Tapping The Right Crowd”,70,10.1016/j.jbusvent.2014.06.001,https://w3id.org/oc/meta/br/06120425525,author_title
b12,Comparative fit indexes in structural models,Comparative Fit Indexes In Structural Models.,70,10.1037/0033-2909.107.2.238,https://w3id.org/oc/meta/br/06801481844,author_title
b13,Significance tests and goodness of fit in the analysis of covariance structures,Significance Tests And Goodness Of Fit In The Analysis Of Covariance Structures.,70,10.1037/0033-2909.88.3.588,https://w3id.org/oc/meta/br/062601499119,author_title
b14,Producing a worthy illness: Personal crowdfunding amidst financial crisis,Producing A Worthy Illness: Personal Crowdfunding Amidst Financial Crisis,70,10.1016/j.socscimed.2017.02.008,https://w3id.org/oc/meta/br/0610742287,author_title
b15,The influence of online information on investing decisions of reward-based crowdfunding,The Influence Of Online Information On Investing Decisions Of Reward-Based Crowdfunding,70,10.1016/j.jbusres.2016.10.001,https://w3id.org/oc/meta/br/0680292627,author_title
b17,"From friendfunding to crowdfunding: Relevance of relationships, social media, and platform activities to crowdfunding performance","From Friendfunding To Crowdfunding: Relevance Of Relationships, Social Media, And Platform Activities To Crowdfunding Performance",70,10.1177/1461444817694599,https://w3id.org/oc/meta/br/06601192314,author_title
b18,Not just an ego-trip: Exploring backers’ motivation for funding in incentive-based crowdfunding,Not Just An Ego-Trip: Exploring Backers’ Motivation For Funding In Incentive-Based Crowdfunding,70,10.1016/j.jsis.2017.02.002,https://w3id.org/oc/meta/br/061501017858,author_title
b19,An Empirical Examination of the Antecedents and Consequences of Contribution Patterns in Crowd-Funded Markets,An Empirical Examination Of The Antecedents And Consequences Of Contribution Patterns In Crowd-Funded Markets,70,10.1287/isre.1120.0468,https://w3id.org/oc/meta/br/062401013572,author_title
b20,"Serial Crowdfunding, Social Capital, and Project Success","Serial Crowdfunding, Social Capital, And Project Success",70,10.1111/etap.12271,https://w3id.org/oc/meta/br/062302177523,author_title
b21,Testing for the equivalence of factor covariance and mean structures: The issue of partial measurement invariance,Testing For The Equivalence Of Factor Covariance And Mean Structures: The Issue Of Partial Measurement Invariance.,70,10.1037/0033-2909.105.3.456,https://w3id.org/oc/meta/br/06301486186,author_title
b22,Psychological entitlement: Interpersonal consequences and validation of a self-report measure,Psychological Entitlement: Interpersonal Consequences And Validation Of A Self-Report Measure,70,10.1207/s15327752jpa8301_04,https://w3id.org/oc/meta/br/06140909233,author_title
b24,Fundraising through online social networks: A field experiment on peer-to-peer solicitation,Fundraising Through Online Social Networks: A Field Experiment On Peer-To-Peer Solicitation,70,10.1016/j.jpubeco.2014.01.002,https://w3id.org/oc/meta/br/0680989425,author_title
b25,What happens if we compare chopsticks with forks? The impact of making inappropriate comparisons in cross-cultural research,What Happens If We Compare Chopsticks With Forks? The Impact Of Making Inappropriate Comparisons In Cross-Cultural Research.,70,10.1037/a0013193,https://w3id.org/oc/meta/br/0632038605,author_title
b26,What drives consumers to spread electronic word of mouth in online consumer-opinion platforms,What Drives Consumers To Spread Electronic Word Of Mouth In Online Consumer-Opinion Platforms,70,10.1016/j.dss.2012.01.015,https://w3id.org/oc/meta/br/0610152223,author_title
b27,Service co-creation in social media: An extension of the theory of planned behavior,Service Co-Creation In Social Media: An Extension Of The Theory Of Planned Behavior,70,10.1016/j.chb.2016.08.031,https://w3id.org/oc/meta/br/06140106641,author_title
b28,The influence of the propensity to trust on mobile users' attitudes toward in-app advertisements: An extension of the theory of planned behavior,The Influence Of The Propensity To Trust On Mobile Users' Attitudes Toward In-App Advertisements: An Extension Of The Theory Of Planned Behavior,70,10.1016/j.chb.2017.07.011,https://w3id.org/oc/meta/br/06140106003,author_title
b29,A cross-cultural comparative analysis of crowdfunding projects in the United States and South Korea,A Cross-Cultural Comparative Analysis Of Crowdfunding Projects In The United States And South Korea,70,10.1016/j.chb.2017.03.013,https://w3id.org/oc/meta/br/06140106243,author_title
b30,Does the Possibility to Make Equity Investments in Crowdfunding Projects Crowd Out Reward–Based Investments?,Does The Possibility To Make Equity Investments In Crowdfunding Projects Crowd Out Reward–Based Investments?,70,10.1111/etap.12139,https://w3id.org/oc/meta/br/062302177621,author_title
b31,N/A,Sampling Techniques.,65,10.2307/2530031,https://w3id.org/oc/meta/br/06170317224,author_title
b32,Internal Social Capital and the Attraction of Early Contributions in Crowdfunding,Internal Social Capital And The Attraction Of Early Contributions In Crowdfunding Projects,50,10.2139/ssrn.2319320,https://w3id.org/oc/meta/br/06180311144,author_title
b33,What Reviewers Should Expect from Authors Regarding Common Method Bias in Organizational Research,What Reviewers Should Expect From Authors Regarding Common Method Bias In Organizational Research,70,10.1007/s10869-010-9181-6,https://w3id.org/oc/meta/br/062302017571,author_title
b34,Being seen to care: The relationship between self-presentation and contributions to online pro-social crowdfunding campaigns,Being Seen To Care: The Relationship Between Self-Presentation And Contributions To Online Pro-Social Crowdfunding Campaigns,70,10.1016/j.chb.2018.01.014,https://w3id.org/oc/meta/br/06130108538,author_title
b35,Demand-driven securities regulation: evidence from crowdfunding,Demand-driven Securities Regulation: Evidence From Crowdfunding,70,10.1080/13691066.2013.847635,https://w3id.org/oc/meta/br/06701264830,author_title
b38,Crowdfunding in Europe: Determinants of Platform Creation across Countries,Crowdfunding In Europe: Determinants Of Platform Creation Across Countries,70,10.1525/cmr.2016.58.2.44,https://w3id.org/oc/meta/br/061103114218,author_title
b43,Structural Equation Models with Unobservable Variables and Measurement Error: Algebra and Statistics,Structural Equation Models With Unobservable Variables And Measurement Error: Algebra And Statistics,70,10.2307/3150980,https://w3id.org/oc/meta/br/061703331929,author_title
b44,Social Comparisons and Pro-social Behavior: Testing “Conditional Cooperation” in a Field Experiment,Social Comparisons And Pro-social Behavior: Testing “Conditional Cooperation” In A Field Experiment,70,10.1257/0002828043052187,https://w3id.org/oc/meta/br/062501195949,author_title
b45,Exploring entrepreneurial legitimacy in reward-based crowdfunding,Exploring Entrepreneurial Legitimacy In Reward-Based Crowdfunding,70,10.1080/13691066.2014.916512,https://w3id.org/oc/meta/br/06701264820,author_title
b46,Understanding why consumers engage in electronic word-of-mouth communication: Perspectives from theory of planned behavior and justice theory,Understanding Why Consumers Engage In Electronic Word-Of-Mouth Communication: Perspectives From Theory Of Planned Behavior And Justice Theory,70,10.1016/j.elerap.2015.09.003,https://w3id.org/oc/meta/br/06401019343,author_title
b52,Comparing theories to explain e-commerce adoption,Comparing Theories To Explain E-Commerce Adoption,70,10.1016/j.jbusres.2009.11.015,https://w3id.org/oc/meta/br/06110290881,author_title
b53,Viral effects of social network and media on consumers’ purchase intention,Viral Effects Of Social Network And Media On Consumers’ Purchase Intention,70,10.1016/j.jbusres.2015.06.004,https://w3id.org/oc/meta/br/0690294976,author_title
b54,N/A,Multivariate Data Analysis: An Overview,65,10.1007/978-3-642-04898-2_395,https://w3id.org/oc/meta/br/061303138482,author_title
b56,Success in the management of crowdfunding projects in the creative industries,Success In The Management Of Crowdfunding Projects In The Creative Industries,70,10.1108/intr-08-2014-0202,https://w3id.org/oc/meta/br/061703311030,author_title
b57,Social Behavior as Exchange,Social Behavior As Exchange,70,10.1086/222355,https://w3id.org/oc/meta/br/06802576195,author_title
b58,"The cognitive basis of trust. The relation between education, cognitive ability, and generalized and political trust","The Cognitive Basis Of Trust. The Relation Between Education, Cognitive Ability, And Generalized And Political Trust",70,10.1016/j.intell.2012.08.006,https://w3id.org/oc/meta/br/06130557841,author_title
b59,"Acceptance of blog usage: The roles of technology acceptance, social influence and knowledge sharing motivation","Acceptance Of Blog Usage: The Roles Of Technology Acceptance, Social Influence And Knowledge Sharing Motivation",70,10.1016/j.im.2007.11.001,https://w3id.org/oc/meta/br/06130459485,author_title
60,Internet self-efficacy and electronic service acceptance,Internet Self-Efficacy And Electronic Service Acceptance,70,10.1016/j.dss.2003.08.001,https://w3id.org/oc/meta/br/0620148011,author_title
b61,A longitudinal investigation of continued online shopping behavior: An extension of the theory of planned behavior,A Longitudinal Investigation Of Continued Online Shopping Behavior: An Extension Of The Theory Of Planned Behavior,70,10.1016/j.ijhcs.2006.04.004,https://w3id.org/oc/meta/br/061602199425,author_title
b62,Cutoff criteria for fit indexes in covariance structure analysis: Conventional criteria versus new alternatives,Cutoff Criteria For Fit Indexes In Covariance Structure Analysis: Conventional Criteria Versus New Alternatives,70,10.1080/10705519909540118,https://w3id.org/oc/meta/br/062302408377,author_title
b68,The impact of word-of-mouth communication on attribute evaluation,The Impact Of Word-Of-Mouth Communication On Attribute Evaluation,70,10.1016/j.jbusres.2009.09.014,https://w3id.org/oc/meta/br/06110290915,author_title
b69,Success drivers of online equity crowdfunding campaigns,Success Drivers Of Online Equity Crowdfunding Campaigns,70,10.1016/j.dss.2016.04.006,https://w3id.org/oc/meta/br/0610151520,author_title
b70,N/A,Investor Motivations And Decision Criteria In Equity Crowdfunding,70,10.2139/ssrn.3263434,https://w3id.org/oc/meta/br/0620303474,author_title
b71,Academic research on crowdfunders: What's been done and what's to come?,Academic Research On Crowdfunders: What's Been Done And What's To Come?,70,10.1002/jsc.2010,https://w3id.org/oc/meta/br/061801044095,author_title
b72,The role of electronic word of mouth in reducing information asymmetry: An empirical investigation of online hotel booking,The Role Of Electronic Word Of Mouth In Reducing Information Asymmetry: An Empirical Investigation Of Online Hotel Booking,70,10.1016/j.jbusres.2017.12.019,https://w3id.org/oc/meta/br/0670287415,author_title
b73,The effects of subjective norms on behaviour in the theory of planned behaviour: A meta-analysis,The Effects Of Subjective Norms On Behaviour In The Theory Of Planned Behaviour: A Meta-Analysis,70,10.1348/014466608x393136,https://w3id.org/oc/meta/br/06201203422,author_title
b74,Distinguishing Between Perceived Behavioral Control and Self-Efficacy in the Domain of Academic Achievement Intentions and Behaviors,Distinguishing Between Perceived Behavioral Control And Self-Efficacy In The Domain Of Academic Achievement Intentions And Behaviors,70,10.1111/j.1559-1816.1998.tb01682.x,https://w3id.org/oc/meta/br/0622071619,author_title
