reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b1,Coordination in humanitarian relief chains: chain coordinators,Coordination In Humanitarian Relief Chains: Chain Coordinators,70,10.1108/20426741211226019,https://w3id.org/oc/meta/br/06302412346,author_title
b7,Inventory management support systems for emergency humanitarian relief operations in south sudan,Inventory Management Support Systems For Emergency Humanitarian Relief Operations In South Sudan,70,10.1108/09574090610689952,https://w3id.org/oc/meta/br/061402639767,author_title
b10,The price of robustness,The Price Of Robustness,70,10.1287/opre.1030.0065,https://w3id.org/oc/meta/br/06210748903,author_title
b12,Optimization models in emergency logistics: a literature review,Optimization Models In Emergency Logistics: A Literature Review,70,10.1016/j.seps.2011.04.004,https://w3id.org/oc/meta/br/06130776507,author_title
b14,A scenario planning approach for the flood emergency logistics preparation problem under uncertainty,A Scenario Planning Approach For The Flood Emergency Logistics Preparation Problem Under Uncertainty,70,10.1016/j.tre.2006.10.013,https://w3id.org/oc/meta/br/06190835682,author_title
b16,A two-echelon stochastic facility location model for humanitarian relief logistics,A Two-Echelon Stochastic Facility Location Model For Humanitarian Relief Logistics,65,10.1007/s11590-011-0421-0,https://w3id.org/oc/meta/br/061702887990,author_title
b18,Collaboration in Humanitarian Logistics,Collaboration In Humanitarian Logistics,70,10.1061/41139(387)155,https://w3id.org/oc/meta/br/06903188382,author_title
b19,A grasp metaheuristic for humanitarian aid distribution,A GRASP Metaheuristic For Humanitarian Aid Distribution,65,10.1007/s10732-015-9302-5,https://w3id.org/oc/meta/br/061302873161,author_title
b20,Recent advances in robust optimization: An overview,Recent Advances In Robust Optimization: An Overview,70,10.1016/j.ejor.2013.09.036,https://w3id.org/oc/meta/br/06240220484,author_title
b21,Prepositioning of supplies in preparation for a hurricane under potential destruction of prepositioned supplies,Prepositioning Of Supplies In Preparation For A Hurricane Under Potential Destruction Of Prepositioned Supplies,70,10.1016/j.seps.2012.11.002,https://w3id.org/oc/meta/br/06130776457,author_title
b22,Review of recent developments in OR/MS research in disaster operations management,Review Of Recent Developments In OR/MS Research In Disaster Operations Management,70,10.1016/j.ejor.2013.01.039,https://w3id.org/oc/meta/br/06240220892,author_title
b23,Two-stage stochastic programming in disaster management: A literature survey,Two-stage Stochastic Programming In Disaster Management: A Literature Survey,70,10.1016/j.sorms.2016.11.002,https://w3id.org/oc/meta/br/062202147086,author_title
b28,A heuristic program for locating warehouses,A Heuristic Program For Locating Warehouses,70,10.1287/mnsc.9.4.643,https://w3id.org/oc/meta/br/06602355364,author_title
b32,Location and Emergency Inventory Pre-Positioning for Disaster Response Operations: Min-Max Robust Model and a Case Study of Yushu Earthquake,Location And Emergency Inventory Pre-Positioning For Disaster Response Operations: Min-Max Robust Model And A Case Study Of Yushu Earthquake,65,10.1111/poms.12789,https://w3id.org/oc/meta/br/0690106322,author_title
b34,Reliable logistics networks design with facility disruptions,Reliable Logistics Networks Design With Facility Disruptions,70,10.1016/j.trb.2011.05.022,https://w3id.org/oc/meta/br/06170399171,author_title
b36,Pre-positioning of emergency supplies for disaster response,Pre-positioning Of Emergency Supplies For Disaster Response,70,10.1016/j.trb.2009.08.003,https://w3id.org/oc/meta/br/06170399300,author_title
b37,Pre-positioning and dynamic delivery planning for short-term response following a natural disaster,Pre-positioning And Dynamic Delivery Planning For Short-Term Response Following A Natural Disaster,70,10.1016/j.seps.2011.10.002,https://w3id.org/oc/meta/br/06130776494,author_title
b38,Robust humanitarian relief logistics network planning,Robust Humanitarian Relief Logistics Network Planning,70,10.5267/j.uscm.2014.1.002,https://w3id.org/oc/meta/br/061801502555,author_title
b39,Stochastic Optimization for Natural Disaster Asset Prepositioning,Stochastic Optimization For Natural Disaster Asset Prepositioning,70,10.1111/j.1937-5956.2009.01119.x,https://w3id.org/oc/meta/br/0622094728,author_title
b45,Humanitarian aid logistics: supply chain management in high gear,Humanitarian Aid Logistics: Supply Chain Management In High Gear,70,10.1057/palgrave.jors.2602125,https://w3id.org/oc/meta/br/062402165622,author_title
b46,A dynamic logistics coordination model for evacuation and support in disaster response activities,A Dynamic Logistics Coordination Model For Evacuation And Support In Disaster Response Activities,70,10.1016/j.ejor.2005.03.077,https://w3id.org/oc/meta/br/0620220903,author_title
