reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,A systematic review of low back pain cost of illness studies in the United States and internationally,Psy28 A Systematic Review Of Low Back Pain Cost Of Illness Studies In The United States And Internationally,70,10.1016/s1098-3015(10)70509-x,https://w3id.org/oc/meta/br/0630634978,author_title
b1,A systematic review of the global prevalence of low back pain,A Systematic Review Of The Global Prevalence Of Low Back Pain,70,10.1002/art.34347,https://w3id.org/oc/meta/br/062503092534,author_title
b3,"The effect of core stability exercises on variations in acceleration of trunk movement, pain, and disability during an episode of acute nonspecific low back pain: a pilot clinical trial","The Effect Of Core Stability Exercises On Variations In Acceleration Of Trunk Movement, Pain, And Disability During An Episode Of Acute Nonspecific Low Back Pain: A Pilot Clinical Trial",70,10.1016/j.jmpt.2012.12.012,https://w3id.org/oc/meta/br/0645027230,author_title
b4,Visceral mobilization can lyse and prevent peritoneal adhesions in a rat model,Visceral Mobilization Can Lyse And Prevent Peritoneal Adhesions In A Rat Model,70,10.1016/j.jbmt.2011.02.004,https://w3id.org/oc/meta/br/06150996022,author_title
b12,Central sensitization: implications for the diagnosis and treatment of pain,Central Sensitization: Implications For The Diagnosis And Treatment Of Pain,65,10.1016/j.pain.2010.09.030,https://w3id.org/oc/meta/br/06140792719,author_title
b13,Evidence of augmented central pain processing in idiopathic chronic low back pain,Evidence Of Augmented Central Pain Processing In Idiopathic Chronic Low Back Pain,70,10.1002/art.20063,https://w3id.org/oc/meta/br/061503108350,author_title
b16,Low back pain and kidney mobility: local osteopathic fascial manipulation decreases pain perception and improves renal mobility,Low Back Pain And Kidney Mobility: Local Osteopathic Fascial Manipulation Decreases Pain Perception And Improves Renal Mobility,70,10.1016/j.jbmt.2012.02.001,https://w3id.org/oc/meta/br/06150995966,author_title
b19,Responsiveness of the numeric pain rating scale in patients with low back pain,Responsiveness Of The Numeric Pain Rating Scale In Patients With Low Back Pain,70,10.1097/01.brs.0000164099.92112.29,https://w3id.org/oc/meta/br/0616096209,author_title
b24,Assessing disability and change on individual patients: a report of a patient specific measure,Assessing Disability And Change On Individual Patients: A Report Of A Patient Specific Measure,70,10.3138/ptc.47.4.258,https://w3id.org/oc/meta/br/062101279946,author_title
b27,Ultrasound evidence of altered lumbar connective tissue structure in human subjects with chronic low back pain,Ultrasound Evidence Of Altered Lumbar Connective Tissue Structure In Human Subjects With Chronic Low Back Pain,70,10.1186/1471-2474-10-151,https://w3id.org/oc/meta/br/06160461178,author_title
