reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Replication-transcription conflicts in bacteria,The Clash Of Macromolecular Titans: Replication-Transcription Conflicts In Bacteria,50,10.1146/annurev-micro-090817-062514,https://w3id.org/oc/meta/br/06401716087,author_title
b3,The role of co-transcriptional translation and protein translocation (transertion) in bacterial chromosome segregation,The Role Of Co-Transcriptional Translation And Protein Translocation (Transertion) In Bacterial Chromosome Segregation,70,10.1046/j.1365-2958.2002.02993.x,https://w3id.org/oc/meta/br/06302603968,author_title
b5,Streptomyces morphogenetics: dissecting differentiation in a filamentous bacterium,Streptomyces Morphogenetics: Dissecting Differentiation In A Filamentous Bacterium,70,10.1038/nrmicro1968,https://w3id.org/oc/meta/br/06901660054,author_title
b8,In vivo DNase I sensitivity of the Streptomyces coelicolor chromosome correlates with gene expression: implications for bacterial chromosome structure,In Vivo DNase I Sensitivity Of The Streptomyces Coelicolor Chromosome Correlates With Gene Expression: Implications For Bacterial Chromosome Structure,70,10.1093/nar/gkl649,https://w3id.org/oc/meta/br/061601349830,author_title
b9,Cell division is dispensable but not irrelevant in Streptomyces,Cell Division Is Dispensable But Not Irrelevant In Streptomyces,70,10.1016/j.mib.2009.10.004,https://w3id.org/oc/meta/br/0650346232,author_title
b11,MreB of Streptomyces coelicolor is not essential for vegetative growth but is required for the integrity of aerial hyphae and spores,MreB Of Streptomyces Coelicolor Is Not Essential For Vegetative Growth But Is Required For The Integrity Of Aerial Hyphae And Spores,70,10.1111/j.1365-2958.2006.05134.x,https://w3id.org/oc/meta/br/062502215789,author_title
b12,Cytological evidence for association of the ends of the linear chromosome in Streptomyces coelicolor,Cytological Evidence For Association Of The Ends Of The Linear Chromosome In Streptomyces Coelicolor,70,10.1128/jb.183.17.5180-5186.2001,https://w3id.org/oc/meta/br/06903513038,author_title
b14,Bacterial subcellular architecture: recent advances and future prospects,Bacterial Subcellular Architecture: Recent Advances And Future Prospects,70,10.1111/j.1365-2958.2004.04343.x,https://w3id.org/oc/meta/br/062602250002,author_title
b15,Transcription factor dynamics,Transcription Factor Dynamics,70,10.1099/mic.0.2008/018549-0,https://w3id.org/oc/meta/br/0640588244,author_title
b16,The distribution of RNA polymerase in Escherichia coli is dynamic and sensitive to environmental cues,The Distribution Of RNA Polymerase In Escherichia Coli Is Dynamic And Sensitive To Environmental Cues,70,10.1046/j.1365-2958.2003.03805.x,https://w3id.org/oc/meta/br/06102616544,author_title
b17,The midcell replication factory in Bacillus subtilis is highly mobile: implications for coordinating chromosome replication with other cell cycle events,The Midcell Replication Factory In Bacillus Subtilis Is Highly Mobile: Implications For Coordinating Chromosome Replication With Other Cell Cycle Events,70,10.1111/j.1365-2958.2004.04267.x,https://w3id.org/oc/meta/br/062602250076,author_title
b21,The ppGpp synthetase gene (relA) of Streptomyces coelicolor A3(2) plays a conditional role in antibiotic production and morphological differentiation,The ppGpp Synthetase Gene (relA) Of Streptomyces Coelicolor A3(2) Plays A Conditional Role In Antibiotic Production And Morphological Differentiation,70,10.1128/jb.179.18.5854-5861.1997,https://w3id.org/oc/meta/br/0624075321,author_title
b22,A set of ordered cosmids and a detailed genetic and physical map for the 8 Mb Streptomyces coelicolor A3(2) chromosome,A Set Of Ordered Cosmids And A Detailed Genetic And Physical Map For The 8 Mb Streptomyces Coelicolor A3(2) Chromosome,70,10.1046/j.1365-2958.1996.6191336.x,https://w3id.org/oc/meta/br/06102616909,author_title
b23,PCR-targeted Streptomyces gene replacement identifies a protein domain needed for biosynthesis of the sesquiterpene soil odor geosmin,PCR-targeted Streptomyces Gene Replacement Identifies A Protein Domain Needed For Biosynthesis Of The Sesquiterpene Soil Odor Geosmin,70,10.1073/pnas.0337542100,https://w3id.org/oc/meta/br/062403052939,author_title
b24,Time-lapse microscopy of Streptomyces coelicolor growth and sporulation,Time-Lapse Microscopy Of Streptomyces Coelicolor Growth And Sporulation,70,10.1128/aem.01233-08,https://w3id.org/oc/meta/br/06110273266,author_title
b25,Characterization of heterogeneous LSU rRNA profiles in Streptomyces coelicolor under different growth stages and conditions,Characterization Of Heterogeneous LSU rRNA Profiles In Streptomyces Coelicolor Under Different Growth Stages And Conditions,70,10.1007/s00284-008-9238-1,https://w3id.org/oc/meta/br/061501823850,author_title
b26,Chloramphenicol acetylation in Streptomyces,Chloramphenicol Acetylation In Streptomyces,70,10.1099/00221287-94-1-159,https://w3id.org/oc/meta/br/06120672142,author_title
b27,Complete genome sequence of the model actinomycete Streptomyces coelicolor A3(2),Complete Genome Sequence Of The Model Actinomycete Streptomyces Coelicolor A3(2),70,10.1038/417141a,https://w3id.org/oc/meta/br/0610354766,author_title
b32,Still looking for the magic spot: the crystallographically defined binding site for ppGpp on RNA polymerase is unlikely to be responsible for rRNA transcription regulation,Still Looking For The Magic Spot: The Crystallographically Defined Binding Site For ppGpp On RNA Polymerase Is Unlikely To Be Responsible For rRNA Transcription Regulation,70,10.1016/j.jmb.2008.01.042,https://w3id.org/oc/meta/br/0690255944,author_title
b33,ppGpp: magic beyond RNA polymerase,ppGpp: Magic Beyond RNA Polymerase,70,10.1038/nrmicro2720,https://w3id.org/oc/meta/br/06901659403,author_title
b34,Induction of ppGpp synthesis in Streptomyces coelicolor A3(2) grown under conditions of nutritional sufficiency elicits actII-ORF4 transcription and actinorhodin biosynthesis,Induction Of ppGpp Synthesis In Streptomyces Coelicolor A3(2) Grown Under Conditions Of Nutritional Sufficiency Elicits actII-ORF4 Transcription And Actinorhodin Biosynthesis,70,10.1046/j.1365-2958.2001.02221.x,https://w3id.org/oc/meta/br/06202605772,author_title
b36,Differentiation of Streptomyces coelicolor A3(2) under nitrate-limited conditions,Differentiation Of Streptomyces Coelicolor A3(2) Under Nitrate-Limited Conditions,70,10.1099/00221287-143-11-3581,https://w3id.org/oc/meta/br/0620583245,author_title
b37,"A flexible mathematical model platform for studying branching networks: experimentally validated using the model actinomycete, Streptomyces coelicolor","A Flexible Mathematical Model Platform For Studying Branching Networks: Experimentally Validated Using The Model Actinomycete, Streptomyces Coelicolor",70,10.1371/journal.pone.0054316,https://w3id.org/oc/meta/br/061701526486,author_title
b40,The Ser/Thr protein kinase AfsK regulates polar growth and hyphal branching in the filamentous bacteria Streptomyces,The Ser/Thr Protein Kinase AfsK Regulates Polar Growth And Hyphal Branching In The Filamentous Bacteria Streptomyces,70,10.1073/pnas.1207409109,https://w3id.org/oc/meta/br/06503483910,author_title
b41,Regulation of apical growth and hyphal branching in Streptomyces,Regulation Of Apical Growth And Hyphal Branching In Streptomyces,70,10.1016/j.mib.2012.10.012,https://w3id.org/oc/meta/br/0650345903,author_title
b42,The global role of ppGpp synthesis in morphological differentiation and antibiotic production in Streptomyces coelicolor A3(2),The Global Role Of ppGpp Synthesis In Morphological Differentiation And Antibiotic Production In Streptomyces Coelicolor A3(2),70,10.1186/gb-2007-8-8-r161,https://w3id.org/oc/meta/br/06501029654,author_title
b43,Chloramphenicol causes fusion of separated nucleoids in Escherichia coli K-12 cells and filaments,Chloramphenicol Causes Fusion Of Separated Nucleoids In Escherichia Coli K-12 Cells And Filaments,70,10.1128/jb.178.14.4289-4293.1996,https://w3id.org/oc/meta/br/0621080174,author_title
b44,Cooperation between translating ribosomes and RNA polymerase in transcription elongation,Cooperation Between Translating Ribosomes And RNA Polymerase In Transcription Elongation,70,10.1126/science.1184939,https://w3id.org/oc/meta/br/06140476363,author_title
