reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,N/A,Lubricants And Lubrication,65,10.1002/9783527610341,https://w3id.org/oc/meta/br/06803537593,author_title
b1,N/A,"Metalworking Fluids, Third Edition",50,10.4324/9781351228213,https://w3id.org/oc/meta/br/0611055065,author_title
b2,Application of interaction energy in quantitative structure-inhibition relationship study of some benzenethiol derivatives on copper corrosion,Application Of Interaction Energy In Quantitative Structure-Inhibition Relationship Study Of Some Benzenethiol Derivatives On Copper Corrosion,70,10.1016/j.corsci.2016.01.014,https://w3id.org/oc/meta/br/0690281858,author_title
b3,Copper oxides: kinetics of formation and semiconducting properties. Part I. Polycrystalline copper and copper-gold alloys,Copper Oxides: Kinetics Of Formation And Semiconducting Properties. Part I. Polycrystalline Copper And Copper-Gold Alloys,70,10.1007/s10008-014-2522-z,https://w3id.org/oc/meta/br/06903335976,author_title
b4,The desorption and reaction of 1-alkenes and 1-alkynes on Cu(111) and copper foils,The Desorption And Reaction Of 1-Alkenes And 1-Alkynes On Cu(111) And Copper Foils,70,10.1016/j.susc.2013.04.007,https://w3id.org/oc/meta/br/06301121990,author_title
b6,"Experimental and theoretical investigation of 3-amino-1,2,4-triazole-5-thiol as a corrosion inhibitor for carbon steel in HCl medium","Experimental And Theoretical Investigation Of 3-Amino-1,2,4-Triazole-5-Thiol As A Corrosion Inhibitor For Carbon Steel In HCl Medium",70,10.1016/j.corsci.2011.08.038,https://w3id.org/oc/meta/br/06120270224,author_title
b10,SERS and MD simulation studies of a kinase inhibitor demonstrate the emergence of a potential drug discovery tool,SERS And MD Simulation Studies Of A Kinase Inhibitor Demonstrate The Emergence Of A Potential Drug Discovery Tool,70,10.1073/pnas.1402695111,https://w3id.org/oc/meta/br/062203049210,author_title
b15,Performance of the Vienna ab initio simulation package (VASP) in chemical applications,Performance Of The Vienna Ab Initio Simulation Package (VASP) In Chemical Applications,70,10.1016/s0166-1280(02)00733-9,https://w3id.org/oc/meta/br/06190253938,author_title
b16,Generalized gradient approximation made simple,Generalized Gradient Approximation Made Simple,70,10.1103/physrevlett.77.3865,https://w3id.org/oc/meta/br/061403482731,author_title
b18,Structure analysis of the Cu(110)-(1×2) surface reconstruction induced by alkali-metal adsorption,Structure Analysis Of The Cu(110)-(1×2) Surface Reconstruction Induced By Alkali-Metal Adsorption,70,10.1103/physrevb.41.9692,https://w3id.org/oc/meta/br/062203280320,author_title
b19,Poly(1-vinylimidazole) formation on copper surfaces via surface-initiated graft polymerization for corrosion protection,Poly(1-vinylimidazole) Formation On Copper Surfaces Via Surface-Initiated Graft Polymerization For Corrosion Protection,70,10.1016/j.corsci.2010.02.010,https://w3id.org/oc/meta/br/06130269394,author_title
b25,Adsorption and corrosion inhibition of Osmanthus fragran leaves extract on carbon steel,Adsorption And Corrosion Inhibition Of Osmanthus Fragran Leaves Extract On Carbon Steel,70,10.1016/j.corsci.2012.05.026,https://w3id.org/oc/meta/br/06120269874,author_title
b26,"Wettability characteristics of carbon steel modified with CO2, Nd:YAG, excimer and high power diode lasers","Wettability Characteristics Of Carbon Steel Modified With CO2, Nd:YAG, Excimer And High Power Diode Lasers",70,10.1016/s0169-4332(99)00416-x,https://w3id.org/oc/meta/br/06190892506,author_title
b28,Copper on carbon materials: stabilization by nitrogen doping,Copper On Carbon Materials: Stabilization By Nitrogen Doping,70,10.1039/c7ta02282d,https://w3id.org/oc/meta/br/06180496659,author_title
b29,"Resolving surface chemical states in XPS analysis of first row transition metals, oxides and hydroxides: Sc, Ti, V, Cu and Zn","Resolving Surface Chemical States In XPS Analysis Of First Row Transition Metals, Oxides And Hydroxides: Sc, Ti, V, Cu And Zn",70,10.1016/j.apsusc.2010.07.086,https://w3id.org/oc/meta/br/0640896128,author_title
