reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b4,The prevalence of doctor-diagnosed angina in 4314 older adults in China and comparison with the Rose Angina Questionnaire: the 4 Province Study,The Prevalence Of Doctor-Diagnosed Angina In 4314 Older Adults In China And Comparison With The Rose Angina Questionnaire: The 4 Province Study,70,10.1016/j.ijcard.2014.09.126,https://w3id.org/oc/meta/br/06303213938,author_title
b10,A randomized controlled trial of acupuncture in stable ischemic heart disease patients,A Randomized Controlled Trial Of Acupuncture In Stable Ischemic Heart Disease Patients,70,10.1016/j.ijcard.2014.07.011,https://w3id.org/oc/meta/br/06303214492,author_title
b11,The effects of transcutaneous electrical nerve stimulation in patients with severe angina pectoris,The Effects Of Transcutaneous Electrical Nerve Stimulation In Patients With Severe Angina Pectoris.,70,10.1161/01.cir.71.2.308,https://w3id.org/oc/meta/br/062201123571,author_title
b12,Effect of acupuncture in patients with angina pectoris,Effect Of Acupuncture In Patients With Angina Pectoris,70,10.1093/oxfordjournals.eurheartj.a059865,https://w3id.org/oc/meta/br/0660598936,author_title
b13,"Effects of acupuncture in moderate, stable angina pectoris: a controlled study","Effects Of Acupuncture In Moderate, Stable Angina Pectoris: A Controlled Study",70,10.1111/j.1365-2796.1990.tb00114.x,https://w3id.org/oc/meta/br/0620887380,author_title
b14,Cardioprotection of electroacupuncture against myocardial ischemia-reperfusion injury by modulation of cardiac norepinephrine release,Cardioprotection Of Electroacupuncture Against Myocardial Ischemia-Reperfusion Injury By Modulation Of Cardiac Norepinephrine Release,70,10.1152/ajpheart.00030.2012,https://w3id.org/oc/meta/br/06190764244,author_title
b15,Electroacupuncture improves cardiac function and remodeling by inhibition of sympathoexcitation in chronic heart failure rats,Electroacupuncture Improves Cardiac Function And Remodeling By Inhibition Of Sympathoexcitation In Chronic Heart Failure Rats,70,10.1152/ajpheart.00889.2013,https://w3id.org/oc/meta/br/06190763523,author_title
b19,"Acupuncture in severe, stable angina pectoris: a randomized trial","Acupuncture In Severe, Stable Angina Pectoris: A Randomized Trial",50,10.1111/j.0954-6820.1986.tb02770.x,https://w3id.org/oc/meta/br/06201595765,author_title
b21,Effectiveness of acupuncture for angina pectoris: a systematic review of randomized controlled trials,Effectiveness Of Acupuncture For Angina Pectoris: A Systematic Review Of Randomized Controlled Trials,70,10.1186/s12906-015-0586-7,https://w3id.org/oc/meta/br/06110188079,author_title
b22,Acupuncture in angina pectoris: do psycho-social and neurophysiological factors relate to the effect?,Acupuncture In Angina Pectoris: Do Psycho-Social And Neurophysiological Factors Relate To The Effect?,70,10.3727/036012995816357113,https://w3id.org/oc/meta/br/06210664873,author_title
b23,Acupuncture in angina pectoris: does acupuncture have a specific effect?,Acupuncture In Angina Pectoris: Does Acupuncture Have A Specific Effect?,70,10.1111/j.1365-2796.1991.tb00359.x,https://w3id.org/oc/meta/br/0620887202,author_title
b24,2007 Focused update of the ACC/AHA/SCAI 2005 guideline update for percutaneous coronary intervention,2007 Focused Update Of The ACC/AHA/SCAI 2005 Guideline Update For Percutaneous Coronary Intervention,70,10.1161/circulationaha.107.188208,https://w3id.org/oc/meta/br/06101145100,author_title
b30,2012 ACCF/AHA/ACP/AATS/PCNA/SCAI/STS guideline for the diagnosis and management of patients with stable ischemic heart disease,2012 ACCF/AHA/ACP/AATS/PCNA/SCAI/STS Guideline For The Diagnosis And Management Of Patients With Stable Ischemic Heart Disease,70,10.1016/j.jacc.2012.07.013,https://w3id.org/oc/meta/br/062601767697,author_title
b31,Chinese herbal medicine suxiao jiuxin wan for angina pectoris,Chinese Herbal Medicine Suxiao Jiuxin Wan For Angina Pectoris,70,10.1002/14651858.cd004473.pub2,https://w3id.org/oc/meta/br/0637033407,author_title
b32,The effect of brief electrical and manual acupuncture stimulation on mechanical experimental pain,The Effect Of Brief Electrical And Manual Acupuncture Stimulation On Mechanical Experimental Pain,70,10.1111/j.1526-4637.2010.01051.x,https://w3id.org/oc/meta/br/06502246600,author_title
