reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,Mental health: on the spectrum,Mental Health: On The Spectrum,70,10.1038/496416a,https://w3id.org/oc/meta/br/06130345287,author_title
b1,Tropisetron attenuated the anxiogenic effects of social isolation by modulating nitrergic system and mitochondrial function,Tropisetron Attenuated The Anxiogenic Effects Of Social Isolation By Modulating Nitrergic System And Mitochondrial Function,70,10.1016/j.bbagen.2015.09.009,https://w3id.org/oc/meta/br/0610811497,author_title
b3,CACNA1C (Cav1.2) in the pathophysiology of psychiatric disease,CACNA1C (Cav1.2) In The Pathophysiology Of Psychiatric Disease,70,10.1016/j.pneurobio.2012.06.001,https://w3id.org/oc/meta/br/06170105944,author_title
b4,Assessing mitochondrial dysfunction in cells,Assessing Mitochondrial Dysfunction In Cells,70,10.1042/bj4370575u,https://w3id.org/oc/meta/br/061603055031,author_title
b5,"Differential effects of social and physical environmental enrichment on brain plasticity, cognition, and ultrasonic communication in rats","Differential Effects Of Social And Physical Environmental Enrichment On Brain Plasticity, Cognition, And Ultrasonic Communication In Rats",65,10.1002/cne.23842,https://w3id.org/oc/meta/br/06140614367,author_title
b6,A detailed analysis of open-field habituation and behavioral and neurochemical antidepressant-like effects in postweaning enriched rats,A Detailed Analysis Of Open-Field Habituation And Behavioral And Neurochemical Antidepressant-Like Effects In Postweaning Enriched Rats,70,10.1016/j.bbr.2008.08.014,https://w3id.org/oc/meta/br/0630250309,author_title
b7,Proteolytic processing of the L-type Ca2+ channel alpha11.2 subunit in neurons,Proteolytic Processing Of The L-type Ca2+ Channel Alpha11.2 Subunit In Neurons,70,10.12688/f1000research.11808.1,https://w3id.org/oc/meta/br/0690982510,author_title
b9,Neural circuitry and neuroplasticity in mood disorders: Insights for novel therapeutic targets,Neural Circuitry And Neuroplasticity In Mood Disorders: Insights For Novel Therapeutic Targets,70,10.1016/j.nurx.2005.12.009,https://w3id.org/oc/meta/br/06202289082,author_title
b10,Cytometric assessment of mitochondria using fluorescent probes,Cytometric Assessment Of Mitochondria Using Fluorescent Probes,70,10.1002/cyto.a.21061,https://w3id.org/oc/meta/br/0680221992,author_title
b12,Mood Disorder Susceptibility Gene CACNA1C Modifies Mood-Related Behaviors in Mice and Interacts with Sex to Influence Behavior in Mice and Diagnosis in Humans,Mood Disorder Susceptibility Gene CACNA1C Modifies Mood-Related Behaviors In Mice And Interacts With Sex To Influence Behavior In Mice And Diagnosis In Humans,70,10.1016/j.biopsych.2010.06.019,https://w3id.org/oc/meta/br/06120316546,author_title
b13,Threshold Effects and Control of Oxidative Phosphorylation in Nonsynaptic Rat Brain Mitochondria,Threshold Effects And Control Of Oxidative Phosphorylation In Nonsynaptic Rat Brain Mitochondria,50,10.1046/j.1471-4159.1996.66041617.x,https://w3id.org/oc/meta/br/06401386241,author_title
b14,Cross-disorder risk gene CACNA1C differentially modulates susceptibility to psychiatric disorders during development and adulthood,Cross-disorder Risk Gene CACNA1C Differentially Modulates Susceptibility To Psychiatric Disorders During Development And Adulthood,65,10.1038/mp.2017.133,https://w3id.org/oc/meta/br/06110833748,author_title
b15,Replication of brain function effects of a genome-wide supported psychiatric risk variant in the CACNA1C gene and new multi-locus effects,Replication Of Brain Function Effects Of A Genome-Wide Supported Psychiatric Risk Variant In The CACNA1C Gene And New Multi-Locus Effects,70,10.1016/j.neuroimage.2014.03.007,https://w3id.org/oc/meta/br/06301317278,author_title
b16,Oxidative and nitrosative stress pathways in the brain of socially isolated adult male rats demonstrating depressive- and anxiety-like symptoms,Oxidative And Nitrosative Stress Pathways In The Brain Of Socially Isolated Adult Male Rats Demonstrating Depressive- And Anxiety-Like Symptoms,65,10.1007/s00429-016-1218-9,https://w3id.org/oc/meta/br/0649061902,author_title
b17,Behavioural and neurochemical effects of post-weaning social isolation in rodents—Relevance to developmental neuropsychiatric disorders,Behavioural And Neurochemical Effects Of Post-Weaning Social Isolation In rodents—Relevance To Developmental Neuropsychiatric Disorders,70,10.1016/j.neubiorev.2008.03.003,https://w3id.org/oc/meta/br/06240955681,author_title
b19,Knockout Rats via Embryo Microinjection of Zinc-Finger Nucleases,Knockout Rats Via Embryo Microinjection Of Zinc-Finger Nucleases,70,10.1126/science.1172447,https://w3id.org/oc/meta/br/06150485316,author_title
b20,Chronic mild stress damages mitochondrial ultrastructure and function in mouse brain,Chronic Mild Stress Damages Mitochondrial Ultrastructure And Function In Mouse Brain,70,10.1016/j.neulet.2010.11.006,https://w3id.org/oc/meta/br/06130788383,author_title
b22,Cacna1c in the Prefrontal Cortex Regulates Depression-Related Behaviors via REDD1,Cacna1c In The Prefrontal Cortex Regulates Depression-Related Behaviors Via REDD1,65,10.1038/npp.2016.271,https://w3id.org/oc/meta/br/06602403022,author_title
b23,Potential involvement of the mitochondrial unfolded protein response in depressive-like symptoms in mice,Potential Involvement Of The Mitochondrial Unfolded Protein Response In Depressive-Like Symptoms In Mice,70,10.1016/j.neulet.2015.01.006,https://w3id.org/oc/meta/br/0680801647,author_title
b24,Gene–Environment Interaction in Major Depression and Antidepressant Treatment Response,Gene–Environment Interaction In Major Depression And Antidepressant Treatment Response,65,10.1007/s11920-011-0251-x,https://w3id.org/oc/meta/br/061501806629,author_title
